id	2c298a08-f047-49c0-8e69-cec2187caddf	8e08141b-7a0a-4a93-b9f1-0479b423c4b0
285550	1467.0	1034.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	9.0
3640	1.0	3.0
3638	19809.0	3899.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1142.0	2076.0
100873313	0.0	0.0
3632	3489.0	4835.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	868.0	1303.0
100873318	0.0	1.0
3635	1130.0	1583.0
100873317	0.0	0.0
3636	7029.0	11778.0
100128771	45.0	84.0
100873316	4.0	6.0
100873315	0.0	0.0
100128766	6.0	4.0
3651	0.0	8.0
1	22.0	10.0
2	33687.0	74019.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	880.0	271.0
3642	2.0	792.0
100873302	0.0	0.0
3643	5126.0	9482.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	17.0	58.0
100873307	0.0	0.0
3646	21970.0	25642.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	212.0	100.0
100873304	0.0	0.0
100873332	3.0	3.0
3660	3419.0	3179.0
100873331	0.0	1.0
3661	2173.0	2007.0
100873330	1.0	0.0
285577	4.0	87.0
3662	19.0	52.0
100128756	0.0	0.0
1000	123.0	527.0
3652	2218.0	1868.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	20.0	26.0
3654	7481.0	9104.0
100873334	0.0	0.0
3655	11871.0	9780.0
100873333	2.0	1.0
3656	342.0	383.0
100873339	0.0	0.0
3658	6777.0	7262.0
100873338	0.0	0.0
3659	1468.0	1877.0
100873337	0.0	1.0
3670	214.0	815.0
100873321	0.0	0.0
3671	1319.0	6581.0
100873320	0.0	0.0
3672	3136.0	8761.0
285588	0.0	1.0
3673	6580.0	3048.0
1011	0.0	0.0
1010	3.0	7.0
1008	283.0	272.0
1007	0.0	1.0
1006	161.0	73.0
1005	194.0	1066.0
1004	131.0	165.0
1003	798.0	1077.0
1002	4.0	87.0
1001	8377.0	2919.0
3663	321.0	575.0
100873325	1.0	0.0
3664	14025.0	11299.0
100873324	0.0	0.0
3665	743.0	1137.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2345.0	5115.0
100873329	0.0	0.0
285590	2278.0	3204.0
100873328	0.0	0.0
3669	319.0	719.0
100873327	0.0	0.0
1009	824.0	8109.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	0.0
728477	20.0	37.0
3680	1346.0	1943.0
3681	3.0	18.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	867.0	608.0
100873353	0.0	0.0
3683	344.0	744.0
100873352	0.0	0.0
128710	1060.0	1414.0
3684	247.0	789.0
100873351	0.0	0.0
285512	95.0	120.0
1022	1525.0	1694.0
285513	262.0	510.0
1021	3821.0	3175.0
1020	1056.0	1235.0
440299	2.0	0.0
1019	4108.0	5418.0
128709	2.0	2.0
1018	10.0	28.0
1017	1587.0	2206.0
1016	6.0	5.0
1015	31.0	39.0
1014	0.0	0.0
1013	22.0	8.0
1012	514.0	2204.0
116730	29.0	14.0
3674	27.0	19.0
100873358	0.0	0.0
3675	6672.0	5893.0
100873357	1.0	1.0
3676	315.0	882.0
100128731	8344.0	6040.0
100873356	0.0	0.0
3678	1930.0	6097.0
3679	687.0	2442.0
100873359	0.0	0.0
728464	86.0	139.0
728463	40.0	75.0
100128725	0.0	0.0
3690	110.0	264.0
3691	4567.0	5218.0
100873343	2.0	3.0
3692	6494.0	4914.0
3693	13399.0	14595.0
285521	2004.0	1676.0
100873342	0.0	0.0
3694	671.0	620.0
100873341	0.0	0.0
3695	75.0	124.0
100873340	0.0	0.0
100128723	2.0	1.0
1033	39.0	174.0
1032	176.0	202.0
285525	6.0	3.0
1031	200.0	586.0
285527	4169.0	7703.0
1030	584.0	1002.0
728468	0.0	0.0
440288	217.0	224.0
1029	48.0	184.0
440295	97.0	146.0
1028	1981.0	753.0
1027	5461.0	5874.0
1026	2890.0	2402.0
1025	3028.0	3725.0
1024	784.0	1006.0
3685	10512.0	16574.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	145.0	686.0
100873345	0.0	0.0
3688	20143.0	29585.0
100873344	0.0	0.0
3689	1020.0	3015.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	15.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	47.0	61.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	32.0	50.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	8.0
1043	222.0	321.0
1041	0.0	1.0
1040	4844.0	3178.0
1039	1333.0	1946.0
1038	0.0	1.0
1036	1607.0	275.0
3696	3073.0	2886.0
3697	2.0	0.0
100873379	0.0	0.0
3698	3.0	13.0
100873378	0.0	2.0
3699	31.0	82.0
100873377	0.0	0.0
728486	3.0	6.0
100873361	0.0	0.0
105373869	0.0	8.0
100873360	0.0	0.0
285540	179.0	178.0
100128705	1.0	6.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	127.0	186.0
100873362	0.0	0.0
100128701	3.0	8.0
1054	3012.0	2175.0
285547	0.0	0.0
1053	2.0	2.0
285548	3.0	1.0
1052	419.0	1016.0
1051	741.0	844.0
728489	3.0	10.0
1050	2737.0	1278.0
100128707	0.0	1.0
1048	5.0	112.0
1047	8300.0	4700.0
1046	3.0	0.0
1045	37.0	115.0
100873369	8.0	8.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	3762.0	2789.0
1063	244.0	1711.0
1062	103.0	478.0
1061	6.0	4.0
1060	2603.0	2290.0
440253	87.0	96.0
1059	4241.0	5113.0
1058	21.0	84.0
1057	1.0	0.0
85379	6906.0	8346.0
114112	475.0	903.0
1056	192.0	70.0
85377	2292.0	2877.0
85378	2586.0	3855.0
128745	0.0	0.0
85376	54.0	38.0
440248	356.0	444.0
1075	769.0	2363.0
1074	31.0	55.0
1073	3604.0	2952.0
1072	41534.0	36996.0
1071	36.0	18.0
440243	0.0	1.0
1070	1176.0	932.0
1069	4248.0	2622.0
1068	0.0	0.0
85369	2195.0	2660.0
85366	2.0	0.0
85364	1280.0	1598.0
85365	5994.0	3173.0
85363	3056.0	2540.0
85360	518.0	1200.0
1080	83.0	382.0
85391	2.0	5.0
403296	1.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	841.0	1129.0
1087	3.0	2.0
1086	0.0	0.0
440279	5.0	12.0
1085	3.0	1.0
1084	1.0	5.0
440278	192.0	175.0
1082	0.0	1.0
403294	0.0	0.0
440275	10572.0	12938.0
1081	5.0	71.0
85397	0.0	3.0
85395	490.0	520.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	1.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	2.0
440270	251.0	473.0
1089	1.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	62.0	95.0
285598	495.0	582.0
126133	1457.0	1720.0
128790	0.0	0.0
126129	87.0	221.0
126123	2.0	6.0
442862	0.0	0.0
126119	572.0	697.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	13.0
442896	1.0	0.0
114132	1.0	7.0
442897	0.0	0.0
442898	0.0	0.0
114134	732.0	826.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	3.0
100128788	104.0	118.0
100128787	0.0	0.0
440225	0.0	0.0
440224	5.0	8.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	685.0	658.0
100128781	9.0	7.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	4.0	20.0
102466616	0.0	0.0
126052	0.0	0.0
151009	83.0	92.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	10.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	7.0	10.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1981.0	1336.0
107131122	0.0	0.0
138050	10040.0	9913.0
403219	0.0	0.0
151011	4241.0	2729.0
645587	0.0	4.0
165679	445.0	1258.0
126037	70.0	44.0
114049	4767.0	3612.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	669.0	888.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2397.0	2504.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	337.0	501.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	8.0	10.0
645598	0.0	0.0
163007	1.0	4.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	11.0	42.0
106481496	0.0	0.0
114042	4.0	1.0
106481493	0.0	0.0
114043	1.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	267.0	391.0
126017	5118.0	2782.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	114.0	385.0
85301	977.0	1164.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	5676.0	6696.0
106481459	0.0	0.0
26994	10074.0	9257.0
106481457	4.0	1.0
26995	3165.0	3536.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
