id	c2b1046e-0aaf-4bfb-8d29-58f963d4484b	0d1c74b2-4b01-43d8-8283-987c16c5e3a5
100873375	0.0	0.0
100128710	0.0	2.0
285533	71.0	34.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	1.0	0.0
1044	1.0	3.0
1043	187.0	405.0
1041	2.0	0.0
1040	2150.0	4199.0
1039	1705.0	2241.0
1038	0.0	0.0
1036	430.0	264.0
3696	2343.0	3130.0
3697	0.0	6.0
100873379	0.0	0.0
3698	3.0	6.0
100873378	0.0	2.0
3699	69.0	51.0
100873377	0.0	0.0
728486	1.0	1.0
100873361	0.0	0.0
105373869	3.0	3.0
100873360	0.0	0.0
285540	146.0	190.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	349.0	225.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	2153.0	2684.0
285547	0.0	0.0
1053	2.0	3.0
285548	0.0	6.0
1052	4945.0	5367.0
1051	2468.0	2195.0
728489	6.0	14.0
1050	910.0	1026.0
100128707	0.0	0.0
1048	2.0	91.0
1047	3024.0	7868.0
1046	0.0	0.0
1045	93.0	89.0
100873369	4.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	3162.0	1570.0
1063	61.0	525.0
1062	65.0	202.0
1061	3.0	8.0
1060	1021.0	2068.0
440253	57.0	70.0
1059	5990.0	5699.0
1058	4.0	27.0
1057	0.0	1.0
85379	4144.0	7666.0
114112	379.0	502.0
1056	61.0	48.0
85377	3280.0	2747.0
85378	2372.0	3149.0
128745	0.0	0.0
85376	11.0	15.0
440248	201.0	415.0
1075	671.0	1796.0
1074	15.0	22.0
1073	7293.0	4064.0
1072	36329.0	41450.0
1071	14.0	56.0
440243	0.0	0.0
1070	515.0	953.0
1069	3684.0	2774.0
1068	0.0	0.0
85369	1489.0	2916.0
85366	8.0	0.0
85364	1085.0	1667.0
85365	2532.0	4744.0
85363	1068.0	1995.0
85360	1033.0	915.0
1080	89.0	452.0
85391	11.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	433.0	1147.0
1087	2.0	2.0
1086	0.0	0.0
440279	16.0	14.0
1085	1.0	2.0
1084	1.0	8.0
440278	82.0	261.0
1082	1.0	0.0
403294	0.0	0.0
440275	4260.0	10426.0
1081	1.0	1.0
85397	3.0	0.0
85395	296.0	530.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	182.0	228.0
1089	1.0	11.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	82.0	90.0
285598	328.0	633.0
126133	766.0	1376.0
128790	0.0	0.0
126129	120.0	120.0
126123	4.0	3.0
442862	0.0	0.0
126119	380.0	473.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	3.0	13.0
442896	0.0	0.0
114132	5.0	15.0
442897	0.0	0.0
442898	0.0	1.0
114134	258.0	1181.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	1.0
100128788	73.0	106.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	2.0
100128782	278.0	411.0
100128781	0.0	3.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	5.0	3.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	3.0	11.0
102466616	0.0	0.0
126052	3.0	0.0
151009	73.0	118.0
403227	0.0	0.0
403228	0.0	0.0
138046	16.0	6.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1402.0	2661.0
107131122	0.0	0.0
138050	7173.0	11775.0
403219	0.0	0.0
151011	3248.0	3774.0
645587	0.0	0.0
165679	859.0	2086.0
126037	48.0	21.0
114049	3778.0	4780.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	763.0	602.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1434.0	2689.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	168.0	370.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	4.0	5.0
645598	2.0	0.0
163007	1.0	2.0
114038	0.0	0.0
645591	0.0	1.0
106481495	0.0	0.0
114041	0.0	8.0
106481496	0.0	0.0
114042	10.0	9.0
106481493	0.0	0.0
114043	8.0	8.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	119.0	291.0
126017	1502.0	3169.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1226.0	401.0
85301	1255.0	1104.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1973.0	6510.0
106481459	0.0	0.0
26994	6545.0	9579.0
106481457	0.0	4.0
26995	1558.0	3219.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1483.0	5350.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	0.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2884.0	3088.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	1.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4.0	4.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	52.0	79.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	2.0
403254	0.0	0.0
126070	931.0	1814.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	4.0
106481437	0.0	0.0
26974	139.0	360.0
153657	29.0	46.0
106481438	0.0	0.0
106481435	0.0	1.0
26973	1448.0	1733.0
165631	13.0	37.0
106481436	0.0	1.0
26978	22.0	7.0
126075	2084.0	1626.0
106481439	0.0	0.0
403250	0.0	0.0
126074	153.0	261.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2926.0	2348.0
106481444	0.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	669.0	1376.0
85354	0.0	0.0
85352	1626.0	714.0
403241	0.0	0.0
344462	4.0	2.0
403244	0.0	0.0
403245	0.0	2.0
153642	581.0	791.0
153643	7.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	3439.0	5616.0
106481448	0.0	0.0
26986	39679.0	100015.0
126069	74.0	145.0
106481449	0.0	0.0
126068	253.0	642.0
106481446	0.0	0.0
26983	0.0	0.0
26984	667.0	635.0
106481447	2.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	69.0	49.0
106481455	0.0	0.0
85349	30.0	27.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	9.0	2.0
106481454	0.0	1.0
403238	0.0	0.0
85344	2.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	1.0	0.0
100128811	3.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2865.0	3768.0
100873390	0.0	0.0
728556	47.0	116.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	72.0	132.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	266.0	578.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	14.0	105.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	123.0	220.0
100873384	0.0	0.0
285601	32.0	20.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	5.0	2.0
63910	41.0	71.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	389.0	1061.0
222008	673.0	276.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5238.0	4166.0
63904	0.0	0.0
106481430	1.0	0.0
163071	5.0	18.0
63906	713.0	934.0
106481433	0.0	0.0
63908	518.0	674.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	60.0	158.0
63920	329.0	455.0
63923	5.0	60.0
63922	157.0	443.0
728577	27.0	30.0
63925	1297.0	1969.0
63924	14.0	5.0
63916	3766.0	7448.0
63917	3967.0	8088.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	2.0
728564	3.0	1.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	771.0	1181.0
106481402	1.0	0.0
63931	1460.0	2412.0
106481403	0.0	1.0
63934	274.0	679.0
728567	5.0	5.0
106481408	1.0	0.0
163088	7.0	6.0
63933	1477.0	2268.0
106481409	0.0	1.0
106481406	0.0	0.0
63935	3193.0	3631.0
163087	444.0	750.0
728568	225.0	463.0
106481407	15.0	17.0
3704	1473.0	1996.0
3705	10914.0	8548.0
63926	433.0	1109.0
3706	17.0	23.0
63929	664.0	1245.0
3707	5525.0	6381.0
63928	191.0	150.0
3708	11871.0	20806.0
106481411	0.0	0.0
3709	1804.0	7069.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	5.0	13.0
3702	55.0	246.0
3703	9381.0	22986.0
645506	1.0	0.0
151050	942.0	1470.0
645520	0.0	0.0
63941	5483.0	8240.0
63940	285.0	492.0
63943	179.0	361.0
728517	0.0	0.0
163033	427.0	634.0
258010	2334.0	4641.0
63947	0.0	0.0
63946	1.0	15.0
728513	1.0	2.0
100033803	0.0	0.0
3716	7564.0	11081.0
100033804	0.0	0.0
3717	781.0	1097.0
100033805	0.0	0.0
3718	148.0	470.0
63939	1203.0	1755.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	48.0	116.0
3710	2391.0	9659.0
3712	7795.0	11789.0
3713	1.0	0.0
3714	1703.0	1841.0
63950	0.0	1.0
728505	1.0	0.0
63951	213.0	578.0
100033807	0.0	0.0
728501	46.0	30.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	20779.0	36357.0
100033814	0.0	0.0
3727	18885.0	19486.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	17693.0	21955.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	701.0	1940.0
151056	138.0	157.0
3725	45901.0	46935.0
645528	0.0	1.0
728532	38.0	26.0
163059	279.0	406.0
728538	1.0	0.0
728537	24.0	52.0
63967	5.0	73.0
3737	24.0	28.0
3738	6.0	44.0
3739	0.0	4.0
645538	0.0	0.0
3730	1627.0	2089.0
3732	3295.0	6446.0
3734	28.0	52.0
3735	6607.0	6474.0
3736	5.0	1.0
63970	28.0	15.0
3750	107.0	128.0
63971	5559.0	10026.0
63974	0.0	0.0
163049	1481.0	3146.0
63973	0.0	0.0
63976	65.0	92.0
222068	7301.0	12398.0
63978	0.0	0.0
63977	307.0	700.0
63979	285.0	615.0
728524	0.0	0.0
3748	181.0	275.0
163051	37.0	34.0
3749	507.0	721.0
163050	22.0	59.0
3741	39.0	48.0
645548	10.0	7.0
3743	4.0	3.0
3744	1.0	0.0
3745	968.0	533.0
3746	44.0	41.0
3747	78.0	235.0
285671	1020.0	1294.0
285672	1691.0	2377.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	171.0	710.0
285676	59.0	79.0
3761	1.0	4.0
100128657	0.0	0.0
285679	0.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	182.0	431.0
283008	31.0	16.0
3751	10.0	19.0
100873435	0.0	0.0
3752	3608.0	5146.0
100873434	0.0	0.0
3753	1.0	2.0
100873433	0.0	0.0
3754	15.0	11.0
100873432	0.0	0.0
3755	508.0	590.0
100873439	0.0	0.0
3756	15.0	43.0
100873438	0.0	0.0
3757	2193.0	1080.0
100873437	0.0	0.0
3758	3.0	2.0
100873436	0.0	0.0
100873420	0.0	1.0
3770	82.0	73.0
3772	63.0	99.0
100861458	0.0	0.0
100861453	16.0	10.0
100861455	0.0	0.0
1107	16670.0	19581.0
1106	6034.0	9959.0
1105	1773.0	3408.0
1104	624.0	2200.0
100873429	0.0	0.0
1103	0.0	32.0
1102	1143.0	1375.0
1101	92.0	58.0
3762	577.0	251.0
100873424	0.0	0.0
3763	96.0	91.0
100128640	218.0	253.0
100873423	0.0	0.0
3764	1175.0	716.0
100873422	0.0	0.0
3765	0.0	3.0
100873421	0.0	1.0
3766	28.0	30.0
100873428	0.0	0.0
3767	462.0	1020.0
100873427	0.0	0.0
3768	61.0	444.0
1109	0.0	0.0
100873426	0.0	0.0
1108	10086.0	15132.0
3769	5.0	4.0
100873425	0.0	1.0
100128637	1.0	3.0
100128639	0.0	0.0
3780	29.0	81.0
100873453	0.0	0.0
3781	559.0	1815.0
100873452	0.0	0.0
3782	444.0	941.0
100873451	0.0	0.0
3783	1723.0	4883.0
100873450	0.0	0.0
1121	1341.0	2783.0
100861468	0.0	0.0
1120	170.0	107.0
100861469	0.0	0.0
1118	12.0	95.0
1117	27.0	70.0
1116	37.0	85.0
1114	148.0	134.0
1113	671.0	715.0
1112	5573.0	7405.0
1111	250.0	300.0
3773	0.0	8.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	569.0	873.0
100873455	0.0	0.0
3776	23.0	43.0
100873454	0.0	0.0
3777	2443.0	1826.0
3778	8697.0	5941.0
3779	7224.0	2351.0
100873459	0.0	0.0
1119	2815.0	3289.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	440.0	1674.0
100128628	3.0	6.0
3791	2190.0	3860.0
100873442	0.0	0.0
3792	13.0	17.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	2.0
1131	174.0	3232.0
1130	998.0	1692.0
100861476	0.0	0.0
1129	0.0	4.0
1128	14258.0	10145.0
1124	1038.0	1264.0
1123	856.0	684.0
1122	314.0	878.0
100861470	0.0	0.0
3784	814.0	2310.0
100873446	0.0	0.0
3785	0.0	36.0
100873445	0.0	1.0
3786	133.0	142.0
100873444	0.0	0.0
3787	98.0	100.0
100873443	0.0	0.0
3788	11.0	20.0
100873449	1.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	118.0	172.0
100128618	2.0	0.0
728597	2.0	5.0
100128617	56.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	329.0	750.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	4.0
285634	6.0	11.0
1142	0.0	1.0
1141	11.0	8.0
285636	2294.0	3683.0
1140	214.0	188.0
728599	4.0	3.0
1139	60.0	56.0
1138	223.0	173.0
1137	3.0	0.0
100861485	0.0	1.0
1136	27.0	22.0
1135	12632.0	7507.0
1134	15.0	0.0
1133	4.0	4.0
3795	245.0	194.0
100873479	12.0	35.0
3796	543.0	1332.0
100873478	0.0	0.0
3797	663.0	543.0
100873477	0.0	0.0
3798	49.0	52.0
100873476	0.0	0.0
3799	14677.0	22314.0
100873460	0.0	0.0
728586	24.0	22.0
285641	0.0	0.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2409.0	1594.0
1153	22614.0	33935.0
1152	49857.0	37431.0
285647	11.0	31.0
728589	1.0	10.0
728588	1.0	2.0
1149	2.0	0.0
1147	1003.0	1967.0
1146	3.0	1.0
1145	29.0	58.0
1144	10.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	329.0	465.0
1163	349.0	545.0
285659	0.0	1.0
1161	214.0	431.0
1160	390.0	259.0
1159	115.0	174.0
1158	1178.0	97.0
1157	1.0	1.0
1155	2146.0	2462.0
550643	1414.0	1992.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1708.0	2209.0
1175	4678.0	5332.0
285668	6.0	8.0
1174	2415.0	2749.0
1173	24682.0	24502.0
550631	123.0	160.0
100873489	0.0	0.0
283014	6.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	22.0	18.0
1186	2581.0	4017.0
1185	1034.0	1552.0
1184	242.0	675.0
1183	244.0	464.0
1182	5994.0	12171.0
1181	243.0	674.0
440375	44.0	61.0
1180	6.0	6.0
1179	0.0	0.0
1178	0.0	0.0
283089	5.0	16.0
85495	0.0	0.0
85480	538.0	196.0
283080	0.0	0.0
1198	2604.0	4422.0
1197	1.0	0.0
1196	1032.0	2071.0
1195	4207.0	5639.0
440366	0.0	1.0
1193	262.0	451.0
1192	19775.0	19270.0
1191	53028.0	17670.0
1188	41.0	20.0
283078	799.0	913.0
85486	13.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	16.0	90.0
440396	21.0	32.0
128609	0.0	0.0
128602	6.0	1.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	1.0
126014	29.0	63.0
440335	637.0	2233.0
100128690	0.0	0.0
114034	665.0	779.0
126006	40.0	25.0
114036	3.0	2.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	96.0	110.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	20.0
100128678	2.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	184.0	247.0
440356	2.0	5.0
440354	31.0	37.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	28.0
100873410	0.0	0.0
100873417	0.0	4.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	7.0	7.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	11.0	59.0
200734	2223.0	3443.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	14.0
100873402	0.0	1.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3227.0	4880.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	6.0	3.0
165530	25.0	39.0
85409	103.0	113.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	0.0	390.0
106481383	0.0	4.0
85417	8.0	103.0
106481384	0.0	0.0
103106903	0.0	5.0
85414	106566.0	118671.0
106481389	0.0	0.0
85415	5026.0	19440.0
106481387	0.0	0.0
85413	2.0	15.0
106481388	1.0	2.0
645436	2.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	13.0	6.0
106481380	0.0	0.0
11	0.0	0.0
403341	429.0	963.0
12	10.0	35.0
13	0.0	0.0
14	7429.0	11554.0
15	4.0	1.0
16	10551.0	9497.0
645455	3.0	19.0
18	6671.0	7311.0
19	458.0	1654.0
128580	10.0	8.0
85407	1073.0	1192.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	997.0	2418.0
106481395	0.0	2.0
85403	1626.0	3705.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	2434.0	10382.0
106481390	0.0	0.0
21	2592.0	6017.0
106481391	0.0	0.0
22	957.0	1784.0
153571	183.0	364.0
153572	516.0	920.0
23	5269.0	7311.0
24	25.0	41.0
25	8331.0	10911.0
26	1216.0	1240.0
27	1576.0	3411.0
28	2253.0	1518.0
29	4729.0	6500.0
153579	145.0	309.0
728615	0.0	0.0
728614	0.0	0.0
200765	99.0	232.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	7.0	31.0
102466518	0.0	0.0
102466516	0.0	4.0
102466515	0.0	0.0
106481363	2.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	166.0	355.0
106481362	1.0	0.0
106481367	0.0	0.0
85437	2225.0	3148.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	134.0	212.0
106481366	0.0	0.0
30	6912.0	6686.0
106481360	0.0	0.0
31	9892.0	23725.0
32	2259.0	2092.0
33	1528.0	1574.0
34	2032.0	3156.0
35	1192.0	1456.0
153562	1254.0	4322.0
36	4215.0	19471.0
37	16280.0	16727.0
38	2596.0	3926.0
440307	19.0	14.0
39	4668.0	3540.0
165545	1.0	40.0
106481369	0.0	0.0
728606	553.0	3738.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	1.0
40	13.0	21.0
106481370	0.0	0.0
41	500.0	1003.0
106481371	0.0	0.0
43	278.0	406.0
645486	0.0	0.0
47	17645.0	37072.0
48	4671.0	4844.0
49	10.0	22.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	0.0	3.0
106481340	0.0	0.0
85458	4094.0	3587.0
106481345	0.0	0.0
