id	b50ac187-7079-4b52-b872-f815521fc164	f676c6d1-b263-467c-ae4f-547628572df8
285550	1401.0	1630.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	23.0	10.0
3640	3.0	4.0
3638	4118.0	6423.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	998.0	1055.0
100873313	0.0	0.0
3632	3238.0	4344.0
100873312	0.0	2.0
100873311	0.0	0.0
3633	981.0	478.0
100873318	0.0	1.0
3635	2743.0	557.0
100873317	0.0	0.0
3636	4865.0	8558.0
100128771	74.0	20.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	6.0	34.0
2	20317.0	19652.0
100873309	0.0	0.0
100873308	0.0	0.0
3	1.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	290.0	787.0
3642	40.0	51.0
100873302	0.0	0.0
3643	8770.0	6814.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	242.0	21.0
100873307	0.0	0.0
3646	20224.0	13627.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	90.0	102.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3834.0	2825.0
100873331	0.0	0.0
3661	2997.0	2588.0
100873330	0.0	0.0
285577	0.0	0.0
3662	21.0	44.0
100128756	0.0	0.0
1000	1130.0	50.0
3652	744.0	1094.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	54.0	21.0
3654	4170.0	6864.0
100873334	0.0	0.0
3655	10399.0	3978.0
100873333	0.0	1.0
3656	446.0	248.0
100873339	1.0	0.0
3658	1853.0	2028.0
100873338	0.0	0.0
3659	3793.0	7613.0
100873337	0.0	0.0
3670	981.0	331.0
100873321	0.0	0.0
3671	4676.0	3070.0
100873320	0.0	0.0
3672	8281.0	4060.0
285588	1.0	0.0
3673	2317.0	971.0
1011	0.0	0.0
1010	3.0	0.0
1008	92.0	169.0
1007	1.0	0.0
1006	141.0	6.0
1005	179.0	25.0
1004	86.0	155.0
1003	828.0	932.0
1002	157.0	66.0
1001	4776.0	1946.0
3663	599.0	335.0
100873325	0.0	0.0
3664	17176.0	8580.0
100873324	0.0	0.0
3665	1158.0	2777.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2065.0	4999.0
100873329	0.0	0.0
285590	2505.0	1355.0
100873328	0.0	0.0
3669	533.0	751.0
100873327	0.0	0.0
1009	1733.0	1573.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	3.0
728477	6.0	0.0
3680	3041.0	842.0
3681	7.0	19.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	787.0	649.0
100873353	0.0	0.0
3683	370.0	402.0
100873352	0.0	0.0
128710	558.0	508.0
3684	204.0	201.0
100873351	0.0	0.0
285512	65.0	162.0
1022	968.0	1150.0
285513	221.0	268.0
1021	1194.0	1840.0
1020	724.0	1145.0
440299	0.0	0.0
1019	3298.0	2768.0
128709	0.0	0.0
1018	14.0	32.0
1017	1357.0	1395.0
1016	25.0	9.0
1015	67.0	24.0
1014	16.0	1.0
1013	3.0	7.0
1012	825.0	281.0
116730	13.0	8.0
3674	15.0	19.0
100873358	0.0	0.0
3675	9414.0	3325.0
100873357	2.0	0.0
3676	111.0	110.0
100128731	9446.0	7060.0
100873356	0.0	0.0
3678	9856.0	8333.0
3679	4658.0	1863.0
100873359	0.0	0.0
728464	95.0	49.0
728463	37.0	19.0
100128725	0.0	0.0
3690	265.0	88.0
3691	10197.0	3123.0
100873343	1.0	0.0
3692	6687.0	6491.0
3693	11329.0	12768.0
285521	993.0	1890.0
100873342	0.0	0.0
3694	1988.0	377.0
100873341	0.0	0.0
3695	57.0	16.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	35.0	70.0
1032	403.0	347.0
285525	1.0	2.0
1031	797.0	540.0
285527	2023.0	2114.0
1030	676.0	437.0
728468	0.0	0.0
440288	133.0	161.0
1029	71.0	218.0
440295	67.0	93.0
1028	2392.0	1150.0
1027	3872.0	2988.0
1026	6005.0	20759.0
1025	3763.0	3977.0
1024	1070.0	779.0
3685	3850.0	7331.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	208.0	767.0
100873345	1.0	0.0
3688	12083.0	7378.0
100873344	0.0	0.0
3689	1172.0	1745.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	10.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	18.0	46.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	107.0	76.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	5.0
1043	391.0	227.0
1041	0.0	0.0
1040	1903.0	5015.0
1039	1738.0	2074.0
1038	2.0	0.0
1036	1608.0	137.0
3696	2900.0	1323.0
3697	2.0	0.0
100873379	0.0	0.0
3698	7.0	8.0
100873378	0.0	1.0
3699	59.0	32.0
100873377	0.0	0.0
728486	4.0	0.0
100873361	0.0	0.0
105373869	2.0	2.0
100873360	0.0	0.0
285540	147.0	122.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	17.0	427.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	2125.0	3159.0
285547	0.0	0.0
1053	1.0	3.0
285548	1.0	37.0
1052	3521.0	17637.0
1051	2965.0	3319.0
728489	12.0	11.0
1050	1584.0	2815.0
100128707	0.0	1.0
1048	21.0	4.0
1047	1727.0	8563.0
1046	1.0	0.0
1045	149.0	10.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	6373.0	2921.0
1063	72.0	254.0
1062	67.0	129.0
1061	2.0	1.0
1060	1581.0	1340.0
440253	114.0	91.0
1059	7559.0	5077.0
1058	5.0	26.0
1057	36.0	0.0
85379	6177.0	4678.0
114112	590.0	502.0
1056	703.0	29.0
85377	4215.0	2665.0
85378	2390.0	2993.0
128745	1.0	0.0
85376	7.0	25.0
440248	304.0	477.0
1075	1060.0	1139.0
1074	31.0	39.0
1073	6072.0	3842.0
1072	38799.0	52699.0
1071	10.0	82.0
440243	0.0	0.0
1070	730.0	814.0
1069	4400.0	3599.0
1068	0.0	0.0
85369	1923.0	3026.0
85366	6.0	3.0
85364	1959.0	1648.0
85365	2137.0	4423.0
85363	1031.0	1650.0
85360	1481.0	901.0
1080	439.0	57.0
85391	40.0	15.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	457.0	512.0
1087	7.0	0.0
1086	0.0	0.0
440279	67.0	1.0
1085	0.0	1.0
1084	5.0	1.0
440278	95.0	98.0
1082	0.0	0.0
403294	0.0	0.0
440275	2812.0	5636.0
1081	16.0	4.0
85397	2.0	2.0
85395	579.0	580.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	227.0	618.0
1089	7.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	35.0	88.0
285598	582.0	315.0
126133	1615.0	1255.0
128790	0.0	0.0
126129	125.0	98.0
126123	14.0	1.0
442862	0.0	0.0
126119	1016.0	813.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	5.0	0.0
442896	0.0	0.0
114132	3.0	29.0
442897	0.0	0.0
442898	0.0	0.0
114134	211.0	839.0
