id	8c36062e-bf1d-4d6c-be76-37d9fd4805bc	640827e7-e319-4b34-a59b-485ef92cdc66
285550	1719.0	1812.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	7.0
3640	8.0	2.0
3638	9533.0	11158.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1133.0	2204.0
100873313	0.0	0.0
3632	3105.0	4824.0
100873312	0.0	4.0
100873311	0.0	0.0
3633	939.0	833.0
100873318	0.0	1.0
3635	1549.0	975.0
100873317	0.0	0.0
3636	4442.0	13694.0
100128771	25.0	56.0
100873316	8.0	2.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	0.0	1.0
1	16.0	6.0
2	15705.0	59115.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	7.0
3641	0.0	0.0
100873303	0.0	1.0
9	1050.0	253.0
3642	54.0	652.0
100873302	0.0	1.0
3643	3416.0	13227.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	4.0
3645	46.0	7.0
100873307	0.0	0.0
3646	22529.0	15228.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	132.0	48.0
100873304	0.0	0.0
100873332	1.0	3.0
3660	2633.0	3129.0
100873331	0.0	0.0
3661	1879.0	2635.0
100873330	0.0	0.0
285577	7.0	53.0
3662	267.0	114.0
100128756	0.0	0.0
1000	673.0	301.0
3652	1818.0	2460.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	68.0	74.0
3654	5444.0	13972.0
100873334	0.0	0.0
3655	9246.0	6917.0
100873333	0.0	1.0
3656	504.0	240.0
100873339	0.0	0.0
3658	5272.0	5178.0
100873338	0.0	0.0
3659	4142.0	1989.0
100873337	1.0	0.0
3670	871.0	347.0
100873321	0.0	0.0
3671	2281.0	2859.0
100873320	0.0	0.0
3672	3437.0	6721.0
285588	0.0	2.0
3673	2245.0	2329.0
1011	0.0	0.0
1010	4.0	41.0
1008	159.0	400.0
1007	5.0	0.0
1006	16.0	10.0
1005	305.0	67.0
1004	314.0	728.0
1003	916.0	2335.0
1002	56.0	28.0
1001	2768.0	1651.0
3663	527.0	697.0
100873325	3.0	0.0
3664	8946.0	13493.0
100873324	1.0	0.0
3665	1009.0	1932.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	5365.0	10501.0
100873329	0.0	0.0
285590	1670.0	1469.0
100873328	0.0	0.0
3669	959.0	407.0
100873327	0.0	0.0
1009	1277.0	3104.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	4.0
728477	32.0	45.0
3680	1889.0	2132.0
3681	13.0	36.0
100128733	0.0	2.0
100873354	1.0	0.0
3682	1124.0	635.0
100873353	0.0	0.0
3683	890.0	766.0
100873352	0.0	0.0
128710	706.0	2101.0
3684	403.0	551.0
100873351	0.0	0.0
285512	96.0	305.0
1022	1414.0	1617.0
285513	773.0	472.0
1021	1604.0	1181.0
1020	713.0	1002.0
440299	0.0	2.0
1019	3841.0	5102.0
128709	2.0	1.0
1018	22.0	36.0
1017	1392.0	1517.0
1016	31.0	2.0
1015	90.0	43.0
1014	5.0	1.0
1013	9.0	20.0
1012	507.0	1219.0
116730	13.0	20.0
3674	26.0	30.0
100873358	0.0	0.0
3675	4298.0	5499.0
100873357	0.0	0.0
3676	898.0	819.0
100128731	9704.0	6731.0
100873356	0.0	0.0
3678	2138.0	3273.0
3679	1462.0	2674.0
100873359	0.0	0.0
728464	154.0	64.0
728463	27.0	132.0
100128725	0.0	0.0
3690	158.0	210.0
3691	4328.0	2703.0
100873343	0.0	3.0
3692	5717.0	4434.0
3693	6151.0	12984.0
285521	1936.0	1878.0
100873342	0.0	0.0
3694	2785.0	585.0
100873341	0.0	0.0
3695	220.0	109.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	88.0	127.0
1032	284.0	447.0
285525	2.0	2.0
1031	629.0	1170.0
285527	2442.0	4135.0
1030	673.0	1142.0
728468	0.0	0.0
440288	203.0	249.0
1029	84.0	194.0
440295	154.0	163.0
1028	1548.0	664.0
1027	6265.0	5658.0
1026	9128.0	4177.0
1025	2399.0	3229.0
1024	882.0	966.0
3685	9330.0	11019.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	604.0	822.0
100873345	0.0	0.0
3688	17847.0	20295.0
100873344	0.0	0.0
3689	2740.0	2664.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	18.0	24.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	83.0	101.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	77.0	40.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	18.0	1.0
1043	2170.0	334.0
1041	0.0	0.0
1040	2814.0	5560.0
1039	1825.0	2578.0
1038	1.0	1.0
1036	222.0	114.0
3696	2785.0	1018.0
3697	11.0	1.0
100873379	0.0	0.0
3698	8.0	50.0
100873378	0.0	4.0
3699	73.0	70.0
100873377	0.0	0.0
728486	9.0	7.0
100873361	0.0	0.0
105373869	10.0	15.0
100873360	0.0	0.0
285540	139.0	163.0
100128705	2.0	3.0
100873365	3.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	131.0	143.0
100873362	0.0	0.0
100128701	0.0	5.0
1054	2545.0	4831.0
285547	0.0	0.0
1053	2.0	4.0
285548	4.0	2.0
1052	3790.0	1828.0
1051	1868.0	962.0
728489	5.0	15.0
1050	1318.0	1279.0
100128707	0.0	0.0
1048	399.0	29.0
1047	2276.0	3688.0
1046	3.0	0.0
1045	38.0	8.0
100873369	3.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	3839.0	1751.0
1063	160.0	1303.0
1062	101.0	297.0
1061	4.0	6.0
1060	2221.0	1923.0
440253	119.0	173.0
1059	4398.0	5822.0
1058	36.0	116.0
1057	1.0	2.0
85379	4158.0	9583.0
114112	464.0	1245.0
1056	47.0	16.0
85377	1984.0	3591.0
