id	af3e7155-9f1b-4c80-b397-3724dfc25d62	d903e92f-677f-4292-b2f7-66e0fcea767f
3697	2.0	7.0
100873379	0.0	0.0
3698	9.0	13.0
100873378	0.0	1.0
3699	99.0	65.0
100873377	0.0	0.0
728486	7.0	4.0
100873361	0.0	0.0
105373869	50.0	8.0
100873360	0.0	0.0
285540	104.0	188.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	195.0
100873362	0.0	0.0
100128701	2.0	6.0
1054	1167.0	1897.0
285547	0.0	2.0
1053	2.0	6.0
285548	4.0	13.0
1052	1419.0	8020.0
1051	1556.0	2985.0
728489	9.0	6.0
1050	449.0	1029.0
100128707	0.0	1.0
1048	5.0	62.0
1047	138.0	1614.0
1046	14.0	0.0
1045	1.0	40.0
100873369	5.0	2.0
100873368	0.0	2.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	5693.0	3317.0
1063	51.0	231.0
1062	59.0	82.0
1061	2.0	3.0
1060	1051.0	1466.0
440253	115.0	87.0
1059	5503.0	4969.0
1058	0.0	23.0
1057	3.0	1.0
85379	7221.0	4994.0
114112	474.0	583.0
1056	201.0	49.0
85377	8062.0	2305.0
85378	2786.0	3422.0
128745	0.0	0.0
85376	9.0	25.0
440248	244.0	444.0
1075	1788.0	2285.0
1074	8.0	24.0
1073	6880.0	3024.0
1072	24760.0	28508.0
1071	30.0	32.0
440243	0.0	0.0
1070	497.0	731.0
1069	4276.0	2217.0
1068	0.0	3.0
85369	1897.0	1477.0
85366	1.0	1.0
85364	1308.0	1208.0
85365	3374.0	3013.0
85363	1283.0	1182.0
85360	2040.0	1104.0
1080	39.0	1362.0
85391	5.0	20.0
403296	0.0	0.0
403297	0.0	6.0
85390	0.0	0.0
403299	0.0	1.0
1088	0.0	9.0
153733	357.0	659.0
1087	1.0	6.0
1086	0.0	0.0
440279	31.0	31.0
1085	1.0	0.0
1084	3.0	14.0
440278	108.0	94.0
1082	0.0	1.0
403294	0.0	0.0
440275	2379.0	3337.0
1081	3.0	4.0
85397	2.0	4.0
85395	419.0	573.0
403285	0.0	0.0
1091	0.0	2.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	7.0
440270	418.0	875.0
1089	6.0	29.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	85.0	112.0
285598	683.0	537.0
126133	1702.0	1604.0
128790	0.0	1.0
126129	322.0	307.0
126123	2.0	15.0
442862	0.0	0.0
126119	970.0	859.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	2.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	59.0
442896	1.0	1.0
114132	8.0	15.0
442897	0.0	0.0
442898	0.0	1.0
114134	306.0	563.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	1.0
100128788	27.0	146.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	1.0
128756	0.0	1.0
100128782	264.0	268.0
100128781	2.0	5.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	1.0
63982	9.0	11.0
102466616	0.0	0.0
126052	0.0	1.0
151009	40.0	158.0
403227	0.0	0.0
403228	0.0	0.0
138046	122.0	31.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	4.0
645572	0.0	0.0
645571	8.0	18.0
403223	0.0	4.0
403224	0.0	0.0
403226	0.0	0.0
200634	1074.0	2463.0
107131122	0.0	0.0
138050	4505.0	5052.0
403219	0.0	0.0
151011	2974.0	2732.0
645587	0.0	7.0
165679	21.0	1075.0
126037	143.0	41.0
114049	3566.0	3460.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	3.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	8804.0	707.0
100033821	2.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1211.0	1484.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	178.0	244.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	21.0	7.0
645598	0.0	4.0
163007	6.0	11.0
114038	8.0	1.0
645591	0.0	0.0
106481495	0.0	1.0
114041	3.0	4.0
106481496	0.0	0.0
114042	4.0	0.0
106481493	0.0	0.0
114043	5.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	109.0	241.0
126017	243.0	1800.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1394.0	351.0
85301	2311.0	1966.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	4.0
102466656	0.0	1.0
403276	0.0	1.0
403277	0.0	0.0
403278	0.0	0.0
26996	471.0	3267.0
106481459	0.0	0.0
26994	5709.0	5011.0
106481457	2.0	12.0
26995	1742.0	2352.0
106481458	0.0	0.0
403271	0.0	1.0
26998	0.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1850.0	1738.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1955.0	2511.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	1.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	2.0
403260	0.0	2.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	27.0	1.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	6.0	144.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	559.0	697.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	11.0
106481437	0.0	0.0
26974	145.0	221.0
153657	188.0	35.0
106481438	0.0	0.0
106481435	0.0	1.0
26973	700.0	1455.0
165631	14.0	66.0
106481436	0.0	0.0
26978	11.0	10.0
126075	773.0	1471.0
106481439	0.0	0.0
403250	0.0	0.0
126074	218.0	282.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2224.0	2560.0
106481444	1.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	6.0	0.0
85358	1413.0	1520.0
85354	0.0	0.0
85352	2676.0	616.0
403241	0.0	7.0
344462	0.0	4.0
403244	0.0	0.0
403245	0.0	1.0
153642	600.0	515.0
153643	18.0	10.0
403247	0.0	0.0
403248	0.0	1.0
26985	2458.0	2916.0
106481448	0.0	0.0
26986	43889.0	76233.0
126069	76.0	90.0
106481449	0.0	0.0
126068	504.0	506.0
106481446	0.0	0.0
26983	0.0	2.0
26984	536.0	677.0
106481447	0.0	0.0
106481451	1.0	3.0
106481452	0.0	3.0
106481450	0.0	0.0
114088	587.0	48.0
106481455	0.0	0.0
85349	14.0	17.0
106481456	0.0	1.0
26982	0.0	1.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	1.0
106481454	1.0	0.0
403238	0.0	0.0
85344	3.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	4.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	1.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	4.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	828.0	3338.0
100873390	0.0	0.0
728556	45.0	61.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	60.0	71.0
106481417	0.0	1.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	227.0	346.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	2.0
100873383	0.0	2.0
100873382	0.0	0.0
100873381	29.0	52.0
100873380	0.0	1.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	3.0
285600	131.0	102.0
100873384	0.0	0.0
285601	23.0	25.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	4.0
63910	78.0	88.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	465.0	476.0
222008	1.0	1.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	4134.0	3512.0
63904	0.0	4.0
106481430	0.0	0.0
163071	95.0	26.0
63906	579.0	607.0
106481433	1.0	0.0
63908	772.0	684.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	0.0
285613	38.0	124.0
63920	268.0	390.0
63923	6.0	76.0
63922	279.0	687.0
728577	10.0	25.0
63925	1242.0	1744.0
63924	318.0	18.0
63916	3632.0	3034.0
63917	2610.0	3217.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	3.0
728564	12.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	938.0	1056.0
106481402	0.0	1.0
63931	1343.0	1615.0
106481403	0.0	0.0
63934	374.0	531.0
728567	4.0	3.0
106481408	1.0	0.0
163088	3.0	8.0
63933	1808.0	1585.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2909.0	2653.0
163087	555.0	529.0
728568	222.0	383.0
106481407	6.0	11.0
3704	1112.0	1410.0
3705	6757.0	4907.0
63926	672.0	449.0
3706	38.0	18.0
63929	934.0	1089.0
3707	7934.0	3592.0
63928	308.0	386.0
3708	15724.0	3761.0
106481411	0.0	1.0
3709	898.0	3002.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	8.0	21.0
3702	53.0	144.0
3703	13748.0	11842.0
645506	0.0	3.0
151050	1136.0	1033.0
645520	0.0	0.0
63941	1399.0	3769.0
63940	454.0	847.0
63943	222.0	249.0
728517	0.0	1.0
163033	546.0	749.0
258010	1587.0	2459.0
63947	0.0	0.0
63946	0.0	28.0
728513	1.0	1.0
100033803	0.0	0.0
3716	8293.0	6523.0
100033804	0.0	0.0
3717	714.0	716.0
100033805	0.0	0.0
3718	297.0	584.0
63939	1190.0	862.0
100033806	0.0	0.0
100190799	6.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	66.0	147.0
3710	5620.0	2982.0
3712	8239.0	6426.0
3713	3.0	7.0
3714	2459.0	2962.0
63950	0.0	1.0
728505	0.0	0.0
63951	105.0	487.0
100033807	0.0	0.0
728501	26.0	32.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16466.0	37550.0
100033814	0.0	0.0
3727	9407.0	17834.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	11582.0	12907.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	830.0	1152.0
151056	154.0	207.0
3725	29815.0	52014.0
645528	1.0	2.0
728532	19.0	18.0
163059	204.0	308.0
728538	0.0	1.0
728537	69.0	110.0
63967	8.0	30.0
3737	29.0	12.0
3738	5.0	27.0
3739	55.0	3.0
645538	0.0	0.0
3730	1056.0	1129.0
3732	10750.0	4193.0
3734	34.0	50.0
3735	5194.0	6743.0
3736	9.0	4.0
63970	71.0	114.0
3750	284.0	178.0
63971	3159.0	3917.0
63974	0.0	0.0
163049	1640.0	1914.0
63973	0.0	0.0
63976	1421.0	88.0
222068	9029.0	7122.0
63978	1.0	6.0
63977	327.0	469.0
63979	307.0	414.0
728524	0.0	0.0
3748	1700.0	465.0
163051	21.0	43.0
3749	1108.0	707.0
163050	45.0	67.0
3741	13.0	6.0
645548	1.0	2.0
3743	2.0	6.0
3744	1.0	1.0
3745	1176.0	269.0
3746	5.0	51.0
3747	1.0	88.0
285671	1649.0	738.0
285672	1302.0	1581.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	1372.0	360.0
285676	90.0	78.0
3761	0.0	6.0
100128657	0.0	0.0
285679	1.0	16.0
100861449	0.0	2.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	402.0	519.0
283008	2.0	0.0
3751	155.0	29.0
100873435	0.0	0.0
3752	2249.0	2214.0
100873434	0.0	0.0
3753	2.0	9.0
100873433	0.0	0.0
3754	24.0	6.0
100873432	0.0	1.0
3755	2448.0	319.0
100873439	0.0	0.0
3756	35.0	13.0
100873438	0.0	0.0
3757	3000.0	1063.0
100873437	0.0	0.0
3758	73.0	8.0
100873436	0.0	0.0
100873420	4.0	3.0
3770	58.0	53.0
3772	2310.0	368.0
100861458	0.0	2.0
100861453	18.0	15.0
100861455	0.0	2.0
1107	11225.0	18250.0
1106	4935.0	5629.0
1105	1507.0	1894.0
1104	903.0	2166.0
100873429	0.0	0.0
1103	3.0	3.0
1102	2203.0	1265.0
1101	77.0	70.0
3762	5695.0	615.0
100873424	0.0	0.0
3763	3.0	42.0
100128640	198.0	272.0
100873423	0.0	0.0
3764	1844.0	602.0
100873422	0.0	0.0
3765	0.0	1.0
100873421	1.0	0.0
3766	22.0	21.0
100873428	0.0	0.0
3767	916.0	550.0
100873427	0.0	0.0
3768	157.0	98.0
1109	0.0	3.0
100873426	0.0	0.0
1108	14410.0	9752.0
3769	100.0	14.0
100873425	0.0	0.0
100128637	0.0	3.0
100128639	0.0	2.0
3780	38.0	64.0
100873453	0.0	0.0
3781	458.0	2661.0
100873452	0.0	1.0
3782	265.0	389.0
100873451	0.0	0.0
3783	2422.0	2249.0
100873450	0.0	0.0
1121	1049.0	1126.0
100861468	0.0	0.0
1120	130.0	241.0
100861469	1.0	0.0
1118	3.0	84.0
1117	14.0	260.0
1116	9.0	251.0
1114	664.0	94.0
1113	61.0	568.0
1112	5316.0	4771.0
1111	4530.0	431.0
3773	3356.0	4.0
100873457	0.0	1.0
100873456	0.0	1.0
3775	1323.0	858.0
100873455	0.0	0.0
3776	231.0	41.0
100873454	0.0	0.0
3777	1089.0	1349.0
3778	16355.0	5042.0
3779	9630.0	2680.0
100873459	0.0	1.0
1119	2161.0	2410.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	226.0	556.0
100128628	3.0	3.0
3791	4765.0	2529.0
100873442	0.0	0.0
3792	26.0	14.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	2.0
1131	2225.0	239.0
1130	1087.0	1517.0
100861476	4.0	0.0
1129	3.0	0.0
1128	11.0	6730.0
1124	268.0	615.0
1123	1059.0	517.0
1122	211.0	649.0
100861470	0.0	1.0
3784	16229.0	1116.0
100873446	0.0	1.0
3785	1.0	67.0
100873445	0.0	0.0
3786	102.0	96.0
100873444	0.0	0.0
3787	1368.0	138.0
100873443	0.0	0.0
3788	115.0	9.0
100873449	1.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	48.0	82.0
100128618	0.0	5.0
728597	0.0	4.0
100128617	3.0	2.0
100873475	0.0	0.0
100873474	0.0	1.0
728591	82.0	55.0
100873473	3.0	0.0
100873472	0.0	0.0
1143	7.0	4.0
285634	4.0	4.0
1142	0.0	4.0
1141	2.0	2.0
285636	1670.0	1907.0
1140	418.0	251.0
728599	3.0	7.0
1139	7.0	89.0
1138	6.0	148.0
1137	8.0	0.0
100861485	0.0	0.0
1136	1.0	19.0
1135	25.0	4278.0
1134	0.0	7.0
1133	2.0	14.0
3795	359.0	225.0
100873479	0.0	9.0
3796	926.0	823.0
100873478	0.0	3.0
3797	1054.0	814.0
100873477	2.0	0.0
3798	22.0	65.0
100873476	0.0	0.0
3799	9892.0	10858.0
100873460	0.0	0.0
728586	9.0	15.0
285641	0.0	9.0
100873464	4.0	2.0
100873463	0.0	3.0
100873462	1.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1252.0	703.0
1153	17389.0	23370.0
1152	39306.0	37984.0
285647	15.0	27.0
728589	6.0	5.0
728588	6.0	5.0
1149	0.0	8.0
1147	969.0	1055.0
1146	2.0	1.0
1145	20.0	39.0
1144	0.0	10.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	1.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	2.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	349.0	265.0
1163	518.0	323.0
285659	0.0	2.0
1161	262.0	270.0
1160	368.0	163.0
1159	14.0	77.0
1158	179.0	107.0
1157	0.0	7.0
1155	2456.0	2317.0
550643	1475.0	1325.0
283025	0.0	3.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	1.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4814.0	1930.0
1175	1839.0	3091.0
285668	1.0	0.0
1174	1025.0	2245.0
1173	24733.0	18053.0
550631	135.0	147.0
100873489	0.0	0.0
283014	5.0	13.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	1.0
283092	0.0	0.0
1187	16.0	82.0
1186	2848.0	3487.0
1185	850.0	1096.0
1184	265.0	450.0
1183	347.0	337.0
1182	4731.0	6963.0
1181	438.0	490.0
440375	38.0	40.0
1180	4.0	13.0
1179	0.0	1.0
1178	3.0	0.0
283089	3.0	3.0
85495	0.0	0.0
85480	491.0	186.0
283080	1.0	0.0
1198	2394.0	2785.0
1197	1.0	11.0
1196	1535.0	2078.0
1195	2694.0	5343.0
440366	0.0	1.0
1193	243.0	409.0
1192	7642.0	12533.0
1191	375995.0	17869.0
1188	118.0	32.0
283078	418.0	1362.0
85486	0.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	10.0	72.0
440396	30.0	60.0
128609	0.0	0.0
128602	39.0	3.0
440387	3.0	0.0
128674	5.0	0.0
128676	0.0	0.0
114026	0.0	3.0
100861402	2.0	2.0
126014	33.0	143.0
440335	1234.0	1343.0
100128690	0.0	0.0
114034	611.0	661.0
126006	46.0	48.0
114036	5.0	4.0
100128696	0.0	4.0
100128688	0.0	0.0
126003	64.0	77.0
100861412	1.0	0.0
105180390	0.0	2.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	0.0	25.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	127.0	146.0
440356	4.0	5.0
440354	44.0	60.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	1.0	17.0
100873410	0.0	2.0
100873417	0.0	2.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	11.0	10.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	85.0	100.0
200734	1696.0	1904.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	20.0	16.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3943.0	2806.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	5.0	5.0
165530	24.0	133.0
85409	185.0	275.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	2.0	12.0
106481383	0.0	1.0
85417	72.0	18.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	160.0	64360.0
106481389	0.0	0.0
85415	436.0	5319.0
106481387	0.0	0.0
85413	1.0	23.0
106481388	0.0	7.0
645436	1.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	13.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	535.0	626.0
12	18.0	159.0
13	0.0	0.0
14	5615.0	6574.0
15	0.0	12.0
16	9098.0	7229.0
645455	0.0	1.0
18	549.0	3347.0
19	1787.0	1840.0
128580	2.0	7.0
85407	882.0	484.0
106481396	0.0	0.0
106481397	0.0	2.0
106481394	0.0	0.0
85406	1231.0	1367.0
106481395	0.0	3.0
85403	1376.0	1655.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	3472.0	4036.0
106481390	0.0	0.0
21	2351.0	2047.0
106481391	0.0	0.0
22	783.0	935.0
153571	219.0	411.0
153572	171.0	757.0
23	3889.0	4127.0
24	362.0	35.0
25	9462.0	4736.0
26	54.0	3578.0
27	960.0	1661.0
28	666.0	883.0
29	4099.0	4923.0
153579	443.0	197.0
728615	0.0	0.0
728614	1.0	0.0
200765	120.0	304.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	13.0	15.0
102466518	0.0	2.0
102466516	4.0	5.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	31.0	4.0
106481361	0.0	2.0
85439	292.0	168.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1857.0	2217.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	159.0	197.0
106481366	0.0	0.0
30	2553.0	4428.0
106481360	0.0	0.0
31	6701.0	7325.0
32	4332.0	1647.0
33	316.0	877.0
34	2083.0	2478.0
35	1029.0	1412.0
153562	881.0	1703.0
36	1861.0	3079.0
37	15315.0	14548.0
38	3535.0	2454.0
440307	4.0	17.0
39	480.0	1250.0
165545	1.0	3.0
106481369	0.0	0.0
728606	2.0	188.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	120.0	19.0
106481370	0.0	0.0
41	258.0	468.0
106481371	0.0	0.0
43	209.0	463.0
645486	0.0	3.0
47	4857.0	11652.0
48	3724.0	3379.0
49	13.0	21.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	5.0	2.0
106481340	0.0	0.0
85458	5259.0	2361.0
106481345	0.0	0.0
85459	460.0	730.0
