id	c2b14984-5f00-40a2-b977-990f30066906	a772773c-9c24-4eb0-bd27-70c8a72b2f51
285550	2591.0	944.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	7.0
3640	3.0	2.0
3638	10182.0	1966.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	825.0	1466.0
100873313	0.0	0.0
3632	3274.0	2727.0
100873312	0.0	2.0
100873311	0.0	0.0
3633	947.0	350.0
100873318	0.0	1.0
3635	1296.0	569.0
100873317	0.0	0.0
3636	3201.0	8910.0
100128771	73.0	104.0
100873316	3.0	2.0
100873315	0.0	0.0
100128766	6.0	0.0
3651	0.0	0.0
1	9.0	4.0
2	29239.0	78399.0
100873309	0.0	0.0
100873308	0.0	0.0
3	14.0	2.0
3641	1.0	0.0
100873303	0.0	0.0
9	589.0	43.0
3642	17.0	526.0
100873302	0.0	0.0
3643	1794.0	5888.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	17.0	11.0
100873307	0.0	0.0
3646	37006.0	19116.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	194.0	23.0
100873304	0.0	0.0
100873332	0.0	2.0
3660	3322.0	1814.0
100873331	0.0	0.0
3661	2040.0	1448.0
100873330	0.0	0.0
285577	3.0	0.0
3662	26.0	61.0
100128756	0.0	0.0
1000	143.0	222.0
3652	1749.0	1109.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	87.0	31.0
3654	4847.0	10811.0
100873334	0.0	0.0
3655	8132.0	7964.0
100873333	1.0	0.0
3656	334.0	118.0
100873339	0.0	0.0
3658	4138.0	3778.0
100873338	0.0	0.0
3659	2679.0	2370.0
100873337	0.0	0.0
3670	581.0	156.0
100873321	0.0	1.0
3671	2701.0	2469.0
100873320	0.0	0.0
3672	6450.0	4110.0
285588	0.0	0.0
3673	2277.0	1259.0
1011	0.0	0.0
1010	2.0	1.0
1008	449.0	621.0
1007	0.0	0.0
1006	61.0	1.0
1005	259.0	10.0
1004	100.0	58.0
1003	601.0	1082.0
1002	3.0	24.0
1001	4016.0	217.0
3663	348.0	430.0
100873325	0.0	1.0
3664	9576.0	7928.0
100873324	0.0	0.0
3665	967.0	680.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2235.0	743.0
100873329	0.0	0.0
285590	1084.0	1682.0
100873328	0.0	0.0
3669	671.0	145.0
100873327	0.0	0.0
1009	1079.0	1143.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	23.0	17.0
3680	1398.0	1696.0
3681	6.0	59.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1689.0	410.0
100873353	0.0	0.0
3683	272.0	451.0
100873352	0.0	0.0
128710	498.0	550.0
3684	146.0	271.0
100873351	0.0	0.0
285512	41.0	46.0
1022	1578.0	1172.0
285513	220.0	264.0
1021	924.0	6573.0
1020	1457.0	1331.0
440299	0.0	0.0
1019	5763.0	3098.0
128709	2.0	0.0
1018	15.0	8.0
1017	1670.0	1041.0
1016	2.0	1.0
1015	83.0	34.0
1014	3.0	0.0
1013	25.0	26.0
1012	813.0	231.0
116730	22.0	9.0
3674	27.0	9.0
100873358	0.0	0.0
3675	3997.0	2091.0
100873357	2.0	1.0
3676	437.0	264.0
100128731	16026.0	4470.0
100873356	0.0	0.0
3678	5011.0	5054.0
3679	1387.0	1170.0
100873359	0.0	0.0
728464	239.0	53.0
728463	57.0	84.0
100128725	0.0	0.0
3690	184.0	122.0
3691	2259.0	783.0
100873343	0.0	0.0
3692	8402.0	3557.0
3693	5524.0	9319.0
285521	2563.0	1246.0
100873342	0.0	0.0
3694	1657.0	110.0
100873341	0.0	0.0
3695	76.0	53.0
100873340	0.0	0.0
100128723	1.0	2.0
1033	97.0	118.0
1032	278.0	227.0
285525	3.0	1.0
1031	751.0	504.0
285527	1783.0	3000.0
1030	536.0	316.0
728468	1.0	0.0
440288	240.0	130.0
1029	73.0	135.0
440295	48.0	56.0
1028	1992.0	473.0
1027	6637.0	2983.0
1026	4783.0	10063.0
1025	2136.0	1973.0
1024	1161.0	593.0
3685	10390.0	16674.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	202.0	544.0
100873345	0.0	0.0
3688	24984.0	12465.0
100873344	0.0	1.0
3689	1760.0	2341.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	11.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	129.0	42.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	173.0	30.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	1.0
1043	1033.0	364.0
1041	2.0	1.0
1040	2630.0	3466.0
1039	1538.0	1319.0
1038	0.0	0.0
1036	933.0	78.0
3696	2574.0	369.0
3697	3.0	3.0
100873379	0.0	0.0
3698	9.0	2.0
100873378	0.0	0.0
3699	63.0	22.0
100873377	0.0	0.0
728486	6.0	0.0
100873361	0.0	0.0
105373869	6.0	6.0
100873360	0.0	0.0
285540	228.0	108.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	481.0	778.0
100873362	0.0	0.0
100128701	1.0	0.0
1054	2117.0	1627.0
285547	0.0	0.0
1053	4.0	1.0
285548	2.0	0.0
1052	2075.0	4507.0
1051	1316.0	1501.0
728489	5.0	4.0
1050	1485.0	1717.0
100128707	0.0	0.0
1048	30.0	226.0
1047	4813.0	784.0
1046	1.0	0.0
1045	91.0	6.0
100873369	3.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	5148.0	2150.0
1063	58.0	718.0
1062	81.0	188.0
1061	3.0	1.0
1060	1737.0	1033.0
440253	74.0	19.0
1059	3446.0	5034.0
1058	31.0	85.0
1057	0.0	0.0
85379	1942.0	5149.0
114112	493.0	421.0
1056	78.0	12.0
85377	1553.0	2128.0
85378	1168.0	2024.0
128745	1.0	0.0
85376	12.0	10.0
440248	182.0	206.0
1075	1981.0	1309.0
1074	21.0	14.0
1073	16748.0	2765.0
1072	41973.0	41575.0
1071	29.0	94.0
440243	0.0	0.0
1070	1721.0	487.0
1069	7594.0	1952.0
1068	0.0	0.0
85369	1620.0	2079.0
85366	0.0	4.0
85364	1156.0	841.0
85365	5057.0	2993.0
85363	2103.0	1664.0
85360	986.0	674.0
1080	526.0	15.0
85391	0.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	590.0	613.0
1087	5.0	1.0
1086	0.0	0.0
440279	4.0	2.0
1085	1.0	0.0
1084	7.0	0.0
440278	243.0	276.0
1082	0.0	0.0
403294	0.0	0.0
440275	7165.0	7641.0
1081	2.0	1.0
85397	0.0	0.0
85395	642.0	415.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	185.0	210.0
1089	20.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	84.0	28.0
285598	329.0	211.0
126133	838.0	1874.0
128790	0.0	0.0
126129	148.0	97.0
126123	3.0	2.0
442862	0.0	0.0
126119	1074.0	626.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	3.0	0.0
114131	1.0	0.0
