id	7985247f-9162-420b-b09c-55c977985b1e	aa09a5af-44cc-4f04-9ad9-d3b0a8b6aafc
285550	990.0	1431.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	22.0	10.0
3640	9.0	9.0
3638	5922.0	1787.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	8.0
3631	1312.0	1188.0
100873313	0.0	0.0
3632	2777.0	2658.0
100873312	5.0	6.0
100873311	0.0	0.0
3633	1149.0	600.0
100873318	11.0	4.0
3635	2791.0	637.0
100873317	0.0	0.0
3636	8176.0	7982.0
100128771	52.0	54.0
100873316	4.0	1.0
100873315	0.0	0.0
100128766	3.0	1.0
3651	0.0	0.0
1	17.0	5.0
2	56507.0	26549.0
100873309	0.0	0.0
100873308	0.0	0.0
3	12.0	1.0
3641	0.0	0.0
100873303	1.0	0.0
9	363.0	1638.0
3642	56.0	210.0
100873302	0.0	0.0
3643	5153.0	4415.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	193.0	14.0
100873307	0.0	0.0
3646	11455.0	12019.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	152.0	52.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2350.0	2216.0
100873331	0.0	0.0
3661	4195.0	3029.0
100873330	1.0	0.0
285577	3.0	1.0
3662	214.0	121.0
100128756	0.0	0.0
1000	521.0	27.0
3652	846.0	870.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	53.0	55.0
3654	6727.0	9591.0
100873334	0.0	0.0
3655	9470.0	7135.0
100873333	1.0	3.0
3656	543.0	340.0
100873339	0.0	0.0
3658	2551.0	2527.0
100873338	0.0	0.0
3659	8042.0	8863.0
100873337	0.0	0.0
3670	480.0	162.0
100873321	0.0	0.0
3671	3590.0	1604.0
100873320	0.0	0.0
3672	4460.0	784.0
285588	2.0	1.0
3673	3559.0	675.0
1011	0.0	0.0
1010	7.0	198.0
1008	294.0	92.0
1007	4.0	0.0
1006	102.0	14.0
1005	70.0	228.0
1004	105.0	83.0
1003	1325.0	489.0
1002	42.0	44.0
1001	4395.0	2183.0
3663	542.0	535.0
100873325	0.0	0.0
3664	14967.0	10959.0
100873324	0.0	0.0
3665	1976.0	2109.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	3370.0	4421.0
100873329	0.0	0.0
285590	2575.0	931.0
100873328	0.0	0.0
3669	1052.0	1058.0
100873327	0.0	0.0
1009	1424.0	853.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	18.0	3.0
728477	8.0	13.0
3680	2614.0	459.0
3681	23.0	109.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	807.0	588.0
100873353	0.0	0.0
3683	911.0	597.0
100873352	0.0	0.0
128710	594.0	493.0
3684	393.0	317.0
100873351	0.0	0.0
285512	196.0	188.0
1022	779.0	751.0
285513	452.0	255.0
1021	2130.0	2174.0
1020	579.0	872.0
440299	0.0	0.0
1019	2473.0	2813.0
128709	0.0	0.0
1018	122.0	79.0
1017	1400.0	1365.0
1016	21.0	6.0
1015	97.0	18.0
1014	1.0	0.0
1013	15.0	3.0
1012	332.0	238.0
116730	12.0	11.0
3674	89.0	39.0
100873358	0.0	0.0
3675	8938.0	2777.0
100873357	1.0	0.0
3676	292.0	224.0
100128731	4767.0	7391.0
100873356	0.0	0.0
3678	4042.0	2705.0
3679	4221.0	802.0
100873359	0.0	0.0
728464	68.0	21.0
728463	62.0	68.0
100128725	0.0	0.0
3690	155.0	28.0
3691	13778.0	2863.0
100873343	0.0	1.0
3692	3979.0	4757.0
3693	9462.0	11305.0
285521	789.0	1143.0
100873342	0.0	0.0
3694	2109.0	378.0
100873341	0.0	0.0
3695	145.0	100.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	28.0	125.0
1032	405.0	231.0
285525	2.0	2.0
1031	511.0	1459.0
285527	2812.0	1888.0
1030	756.0	193.0
728468	0.0	0.0
440288	100.0	156.0
1029	80.0	155.0
440295	372.0	192.0
1028	1939.0	444.0
1027	4309.0	1597.0
1026	18512.0	14039.0
1025	3299.0	3541.0
1024	636.0	639.0
3685	5620.0	1366.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	803.0	1051.0
100873345	0.0	0.0
3688	11651.0	7201.0
100873344	0.0	0.0
3689	2620.0	2497.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	25.0	20.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	35.0	21.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	84.0	21.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	2.0
1043	485.0	365.0
1041	4.0	0.0
1040	1811.0	4064.0
1039	1333.0	1351.0
1038	3.0	0.0
1036	383.0	96.0
3696	2736.0	4789.0
3697	3.0	2.0
100873379	0.0	0.0
3698	15.0	18.0
100873378	0.0	0.0
3699	55.0	15.0
100873377	0.0	0.0
728486	3.0	3.0
100873361	0.0	0.0
105373869	2.0	1.0
100873360	1.0	0.0
285540	126.0	93.0
100128705	4.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	246.0	1058.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2213.0	2451.0
285547	0.0	0.0
1053	5.0	4.0
285548	2.0	1.0
1052	14163.0	14344.0
1051	4861.0	3075.0
728489	5.0	14.0
1050	1242.0	1366.0
100128707	0.0	0.0
1048	159.0	315.0
1047	1536.0	11872.0
1046	0.0	0.0
1045	9.0	2.0
100873369	3.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	2984.0	290.0
1063	167.0	621.0
1062	80.0	202.0
1061	5.0	2.0
1060	1706.0	1147.0
440253	141.0	90.0
1059	5741.0	3013.0
1058	13.0	94.0
1057	2.0	4.0
85379	6290.0	4142.0
114112	481.0	337.0
1056	338.0	57.0
85377	3818.0	1459.0
85378	5934.0	4393.0
128745	0.0	0.0
85376	13.0	27.0
440248	788.0	524.0
1075	1606.0	1863.0
1074	37.0	24.0
1073	3416.0	1191.0
1072	25231.0	40577.0
1071	41.0	89.0
440243	0.0	0.0
1070	695.0	931.0
1069	2290.0	2846.0
1068	0.0	0.0
85369	2035.0	2766.0
85366	4.0	9.0
85364	1325.0	1025.0
85365	2349.0	4864.0
85363	1478.0	2107.0
85360	1301.0	405.0
1080	1120.0	352.0
85391	30.0	81.0
403296	1.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	413.0	1071.0
1087	47.0	7.0
1086	0.0	0.0
440279	5.0	2.0
1085	1.0	2.0
1084	9.0	3.0
440278	173.0	340.0
1082	1.0	0.0
403294	0.0	0.0
440275	4035.0	6317.0
1081	34.0	67.0
85397	4.0	2.0
85395	597.0	613.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	1.0
440270	2500.0	2159.0
1089	17.0	20.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	293.0	96.0
285598	673.0	121.0
126133	2147.0	1626.0
128790	0.0	0.0
126129	188.0	96.0
126123	2.0	3.0
442862	0.0	0.0
126119	944.0	660.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	1.0
442896	0.0	0.0
114132	15.0	18.0
442897	0.0	0.0
442898	6.0	6.0
114134	276.0	609.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	3.0
100128788	199.0	226.0
100128787	0.0	0.0
440225	0.0	0.0
440224	7.0	0.0
442890	0.0	0.0
