id	8cbca0d4-0cbd-47b8-8643-331c67840817	2a178039-8f10-43d6-b6f5-fae66d92b6a5
116729	3.0	4.0
728477	18.0	26.0
3680	4312.0	830.0
3681	2.0	11.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1095.0	716.0
100873353	0.0	0.0
3683	402.0	191.0
100873352	0.0	0.0
128710	501.0	788.0
3684	318.0	105.0
100873351	0.0	0.0
285512	220.0	163.0
1022	1331.0	1758.0
285513	213.0	95.0
1021	2160.0	4262.0
1020	915.0	1096.0
440299	0.0	0.0
1019	3716.0	5121.0
128709	0.0	1.0
1018	55.0	51.0
1017	1214.0	1576.0
1016	41.0	2.0
1015	111.0	25.0
1014	0.0	0.0
1013	4.0	3.0
1012	454.0	835.0
116730	5.0	12.0
3674	56.0	20.0
100873358	0.0	0.0
3675	5707.0	2312.0
100873357	0.0	0.0
3676	205.0	62.0
100128731	9380.0	9904.0
100873356	0.0	0.0
3678	4661.0	4369.0
3679	6736.0	3271.0
100873359	0.0	0.0
728464	160.0	63.0
728463	49.0	23.0
100128725	0.0	1.0
3690	157.0	82.0
3691	6104.0	1112.0
100873343	0.0	2.0
3692	7267.0	6334.0
3693	11128.0	8627.0
285521	1139.0	1548.0
100873342	0.0	0.0
3694	810.0	96.0
100873341	0.0	0.0
3695	85.0	48.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	23.0	72.0
1032	301.0	165.0
285525	5.0	5.0
1031	477.0	275.0
285527	3294.0	3891.0
1030	588.0	195.0
728468	0.0	0.0
440288	160.0	196.0
1029	46.0	330.0
440295	167.0	187.0
1028	1204.0	762.0
1027	4639.0	3554.0
1026	4273.0	2058.0
1025	3087.0	3075.0
1024	852.0	793.0
3685	7794.0	7689.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	240.0	228.0
100873345	0.0	0.0
3688	23407.0	18150.0
100873344	0.0	2.0
3689	906.0	723.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	22.0	12.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	30.0	56.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	143.0	45.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	0.0
1043	286.0	132.0
1041	0.0	0.0
1040	3047.0	2376.0
1039	1830.0	1456.0
1038	2.0	0.0
1036	667.0	1817.0
3696	1497.0	449.0
3697	3.0	0.0
100873379	0.0	0.0
3698	8.0	11.0
100873378	3.0	4.0
3699	46.0	92.0
100873377	0.0	0.0
728486	3.0	7.0
100873361	0.0	0.0
105373869	4.0	1.0
100873360	0.0	0.0
285540	230.0	181.0
100128705	3.0	6.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1099.0	648.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	3005.0	2184.0
285547	0.0	0.0
1053	0.0	1.0
285548	2.0	4.0
1052	1366.0	1040.0
1051	1617.0	757.0
728489	8.0	14.0
1050	1443.0	1441.0
100128707	1.0	0.0
1048	4.0	199.0
1047	2037.0	3980.0
1046	0.0	1.0
1045	37.0	119.0
100873369	3.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	4567.0	1142.0
1063	101.0	363.0
1062	79.0	150.0
1061	5.0	6.0
1060	2178.0	1823.0
440253	146.0	124.0
1059	5935.0	4439.0
1058	10.0	25.0
1057	0.0	0.0
85379	5461.0	3625.0
114112	490.0	681.0
1056	42.0	18.0
85377	2857.0	2398.0
85378	4189.0	4220.0
128745	0.0	0.0
85376	18.0	23.0
440248	241.0	239.0
1075	1599.0	1246.0
1074	31.0	55.0
1073	6965.0	2358.0
1072	37895.0	35601.0
1071	19.0	32.0
440243	0.0	0.0
1070	1070.0	1290.0
1069	5280.0	3610.0
1068	0.0	0.0
85369	2267.0	2433.0
85366	4.0	2.0
85364	1737.0	1632.0
85365	4571.0	4356.0
85363	1909.0	2112.0
85360	1189.0	444.0
1080	94.0	24.0
85391	8.0	3.0
403296	1.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	827.0	1131.0
1087	3.0	0.0
1086	0.0	0.0
440279	3.0	0.0
1085	0.0	0.0
1084	14.0	1.0
440278	98.0	152.0
1082	2.0	0.0
403294	1.0	0.0
440275	7183.0	8515.0
1081	31.0	12.0
85397	1.0	0.0
85395	399.0	700.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	1.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	1559.0	1071.0
1089	11.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	244.0	93.0
285598	654.0	284.0
126133	869.0	988.0
128790	0.0	0.0
126129	144.0	53.0
126123	6.0	1.0
442862	0.0	0.0
126119	717.0	622.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	2.0
442896	0.0	0.0
114132	20.0	3.0
442897	0.0	0.0
442898	5.0	0.0
114134	370.0	341.0
442899	0.0	0.0
100128790	1.0	0.0
128760	2.0	6.0
100128788	161.0	205.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	779.0	713.0
100128781	2.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	14.0	5.0
102466616	0.0	0.0
126052	1.0	0.0
151009	66.0	50.0
403227	0.0	0.0
403228	0.0	0.0
138046	4.0	5.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	4.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1780.0	2057.0
107131122	2.0	1.0
138050	7896.0	8853.0
403219	7.0	1.0
151011	5171.0	2272.0
645587	0.0	3.0
165679	975.0	3593.0
126037	47.0	24.0
114049	4687.0	5189.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	2.0	0.0
106481483	0.0	0.0
85315	1080.0	441.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2147.0	1966.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	166.0	338.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	4.0	3.0
645598	0.0	0.0
163007	1.0	1.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	28.0	2.0
106481496	0.0	0.0
114042	10.0	4.0
106481493	0.0	0.0
114043	17.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	240.0	389.0
126017	2754.0	2729.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	229.0	151.0
85301	2908.0	590.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3270.0	6813.0
106481459	0.0	0.0
26994	7198.0	5353.0
106481457	12.0	0.0
26995	2164.0	4096.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1295.0	3570.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	19.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3668.0	3153.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	15.0	91.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1201.0	1342.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	10.0
106481437	0.0	0.0
26974	351.0	514.0
153657	66.0	85.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1409.0	1285.0
165631	28.0	16.0
106481436	0.0	0.0
26978	9.0	7.0
126075	2775.0	3199.0
106481439	0.0	0.0
403250	0.0	0.0
126074	317.0	590.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4351.0	3463.0
106481444	8.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1292.0	805.0
85354	0.0	0.0
85352	508.0	564.0
403241	0.0	0.0
344462	1.0	5.0
403244	0.0	0.0
403245	0.0	1.0
153642	745.0	577.0
153643	5.0	12.0
403247	0.0	0.0
403248	0.0	0.0
26985	5300.0	5432.0
106481448	0.0	0.0
26986	44367.0	81958.0
126069	196.0	196.0
106481449	0.0	0.0
126068	928.0	534.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1132.0	929.0
106481447	0.0	0.0
106481451	3.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	47.0	17.0
106481455	0.0	0.0
85349	75.0	5.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	3.0
85347	0.0	0.0
26980	2.0	2.0
106481454	0.0	1.0
403238	0.0	0.0
85344	6.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	7.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	7098.0	8314.0
100873390	0.0	0.0
728556	59.0	106.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	121.0	100.0
106481417	1.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	506.0	424.0
106481423	0.0	0.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	25.0	142.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	85.0	84.0
100873384	0.0	0.0
285601	29.0	17.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	3.0	2.0
63910	51.0	44.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	560.0	910.0
222008	3495.0	224.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	6623.0	3661.0
63904	0.0	0.0
106481430	0.0	0.0
163071	29.0	7.0
63906	923.0	829.0
106481433	0.0	0.0
63908	1158.0	750.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	138.0	235.0
63920	576.0	571.0
63923	7.0	6.0
63922	412.0	731.0
728577	147.0	163.0
63925	2022.0	2207.0
63924	7.0	5.0
63916	4855.0	7922.0
63917	6140.0	5933.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	4.0
728564	7.0	7.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1534.0	1196.0
106481402	0.0	0.0
63931	2789.0	2932.0
106481403	0.0	0.0
63934	559.0	863.0
728567	0.0	4.0
106481408	0.0	0.0
163088	4.0	9.0
63933	2648.0	2818.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3381.0	2938.0
163087	741.0	621.0
728568	521.0	685.0
106481407	13.0	15.0
3704	2273.0	2583.0
3705	12871.0	5327.0
63926	495.0	853.0
3706	54.0	16.0
63929	827.0	1211.0
3707	4712.0	6162.0
63928	138.0	5.0
3708	7867.0	6399.0
106481411	0.0	1.0
3709	2212.0	7099.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	30.0	17.0
3702	91.0	35.0
3703	14110.0	27781.0
645506	0.0	0.0
151050	1820.0	1027.0
645520	0.0	0.0
63941	6801.0	8337.0
63940	567.0	290.0
63943	305.0	302.0
728517	0.0	0.0
163033	481.0	675.0
258010	3766.0	4256.0
63947	0.0	0.0
63946	0.0	7.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8319.0	6144.0
100033804	0.0	0.0
3717	1016.0	595.0
100033805	0.0	0.0
3718	240.0	85.0
63939	1765.0	989.0
100033806	0.0	0.0
100190799	3.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	113.0	220.0
3710	3078.0	6926.0
3712	13244.0	23985.0
3713	0.0	0.0
3714	2041.0	698.0
63950	0.0	12.0
728505	0.0	0.0
63951	361.0	1007.0
100033807	0.0	0.0
728501	55.0	54.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10171.0	5468.0
100033814	0.0	0.0
3727	8374.0	6329.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	13497.0	17384.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1415.0	1684.0
151056	257.0	212.0
3725	22342.0	14977.0
645528	1.0	0.0
728532	24.0	19.0
163059	580.0	502.0
728538	0.0	0.0
728537	85.0	98.0
63967	12.0	56.0
3737	62.0	17.0
3738	21.0	3.0
3739	0.0	0.0
645538	0.0	0.0
3730	1607.0	945.0
3732	4039.0	2487.0
3734	56.0	44.0
3735	7932.0	10351.0
3736	3.0	1.0
63970	132.0	16.0
3750	159.0	112.0
63971	8055.0	6847.0
63974	1.0	0.0
163049	2332.0	1888.0
63973	0.0	1.0
63976	74.0	79.0
222068	10231.0	13592.0
63978	1.0	0.0
63977	550.0	720.0
63979	436.0	415.0
728524	0.0	0.0
3748	264.0	315.0
163051	61.0	55.0
3749	766.0	183.0
163050	81.0	70.0
3741	9.0	15.0
645548	4.0	4.0
3743	4.0	0.0
3744	0.0	0.0
3745	764.0	412.0
3746	33.0	8.0
3747	208.0	20.0
285671	967.0	721.0
285672	2020.0	1432.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	741.0	40.0
285676	152.0	40.0
3761	1.0	0.0
100128657	0.0	0.0
285679	5.0	11.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	357.0	101.0
283008	0.0	1.0
3751	2.0	6.0
100873435	0.0	0.0
3752	3632.0	4398.0
100873434	0.0	0.0
3753	4.0	3.0
100873433	0.0	0.0
3754	75.0	3.0
100873432	0.0	0.0
3755	345.0	588.0
100873439	0.0	0.0
3756	104.0	4.0
100873438	0.0	0.0
3757	1571.0	1269.0
100873437	0.0	0.0
3758	1.0	0.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	99.0	120.0
3772	170.0	0.0
100861458	0.0	0.0
100861453	23.0	5.0
100861455	0.0	0.0
1107	21576.0	22530.0
1106	7661.0	8001.0
1105	1789.0	2008.0
1104	859.0	2373.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2543.0	1367.0
1101	54.0	6.0
3762	605.0	75.0
100873424	0.0	0.0
3763	240.0	47.0
100128640	183.0	271.0
100873423	0.0	0.0
3764	1059.0	459.0
100873422	0.0	0.0
3765	6.0	5.0
100873421	1.0	0.0
3766	20.0	33.0
100873428	0.0	0.0
3767	442.0	1484.0
100873427	0.0	0.0
3768	102.0	114.0
1109	0.0	0.0
100873426	0.0	0.0
1108	11026.0	11537.0
3769	10.0	0.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	49.0	18.0
100873453	0.0	0.0
3781	1345.0	2726.0
100873452	0.0	0.0
3782	665.0	185.0
100873451	0.0	0.0
3783	630.0	12101.0
100873450	0.0	0.0
1121	2150.0	1408.0
100861468	0.0	0.0
1120	362.0	246.0
100861469	1.0	0.0
1118	44.0	303.0
1117	123.0	60.0
1116	21.0	203.0
1114	233.0	658.0
1113	942.0	5116.0
1112	5494.0	4050.0
1111	414.0	450.0
3773	4.0	2.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	782.0	788.0
100873455	0.0	0.0
3776	15.0	12.0
100873454	0.0	0.0
3777	3985.0	1913.0
3778	10940.0	2388.0
3779	6000.0	2168.0
100873459	0.0	0.0
1119	3290.0	3078.0
100128627	5.0	2.0
100128626	1.0	0.0
3790	774.0	1811.0
100128628	7.0	0.0
3791	5422.0	1082.0
100873442	0.0	1.0
3792	25.0	10.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	8.0
1131	230.0	4865.0
1130	1601.0	1072.0
100861476	0.0	0.0
1129	66.0	1.0
1128	13130.0	5785.0
1124	760.0	3820.0
1123	1423.0	505.0
1122	536.0	973.0
100861470	0.0	0.0
3784	987.0	2106.0
100873446	0.0	0.0
3785	113.0	5.0
100873445	0.0	0.0
3786	104.0	66.0
100873444	0.0	0.0
3787	135.0	29.0
100873443	0.0	0.0
3788	20.0	10.0
100873449	5.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	266.0	193.0
100128618	2.0	0.0
728597	3.0	0.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	550.0	356.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	1.0
285634	4.0	5.0
1142	1.0	0.0
1141	8.0	2.0
285636	2449.0	2405.0
1140	473.0	259.0
728599	2.0	3.0
1139	103.0	4.0
1138	361.0	208.0
1137	19.0	6.0
100861485	0.0	0.0
1136	52.0	18.0
1135	11580.0	12138.0
1134	8.0	4.0
1133	9.0	12.0
3795	195.0	190.0
100873479	10.0	3.0
3796	1019.0	935.0
100873478	0.0	0.0
3797	610.0	259.0
100873477	2.0	3.0
3798	97.0	27.0
100873476	0.0	0.0
3799	16624.0	14466.0
100873460	0.0	0.0
728586	35.0	48.0
285641	0.0	0.0
100873464	2.0	2.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	629.0	375.0
1153	30754.0	37592.0
1152	53821.0	36367.0
285647	27.0	40.0
728589	6.0	3.0
728588	0.0	6.0
1149	2.0	0.0
1147	1766.0	1557.0
1146	4.0	4.0
1145	33.0	23.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	418.0	508.0
1163	716.0	378.0
285659	0.0	0.0
1161	428.0	462.0
1160	442.0	405.0
1159	133.0	238.0
1158	608.0	104.0
1157	0.0	0.0
1155	3072.0	3594.0
550643	2634.0	2180.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2714.0	2223.0
1175	7140.0	4741.0
285668	2.0	1.0
1174	4410.0	2950.0
1173	29257.0	22221.0
550631	228.0	213.0
100873489	0.0	0.0
283014	10.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	36.0	33.0
1186	3072.0	4086.0
1185	1251.0	1500.0
1184	390.0	458.0
1183	228.0	435.0
1182	7745.0	11475.0
1181	406.0	828.0
440375	61.0	58.0
1180	2.0	1.0
1179	0.0	0.0
1178	5.0	0.0
283089	18.0	28.0
85495	0.0	0.0
85480	526.0	33.0
283080	0.0	0.0
1198	3910.0	4247.0
1197	1.0	2.0
1196	2225.0	2410.0
1195	7756.0	5233.0
440366	0.0	0.0
1193	430.0	120.0
1192	26513.0	26133.0
1191	42613.0	14063.0
1188	79.0	11.0
283078	1166.0	264.0
85486	3.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	29.0	15.0
440396	56.0	68.0
128609	0.0	0.0
128602	1.0	3.0
440387	2.0	5.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	1.0
100861402	2.0	5.0
126014	71.0	31.0
440335	477.0	4426.0
100128690	0.0	0.0
114034	1150.0	788.0
126006	116.0	57.0
114036	12.0	5.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	105.0	111.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	19.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	297.0	465.0
440356	10.0	2.0
440354	66.0	49.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	4.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	14.0	76.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	526.0	568.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	51.0	96.0
200734	2389.0	1368.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	28.0	7.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5004.0	4883.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	3.0
165530	39.0	15.0
85409	212.0	34.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	32.0
106481383	1.0	1.0
85417	29.0	47.0
106481384	0.0	0.0
103106903	0.0	3.0
85414	162981.0	254632.0
106481389	0.0	0.0
85415	4934.0	10038.0
106481387	0.0	0.0
85413	2.0	30.0
106481388	1.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	764.0	615.0
12	9.0	107.0
13	2.0	0.0
14	9917.0	12430.0
15	0.0	2.0
16	14428.0	16522.0
645455	3.0	4.0
18	9794.0	9545.0
19	697.0	1157.0
128580	1.0	7.0
85407	1076.0	515.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1612.0	1912.0
106481395	0.0	0.0
85403	2315.0	2374.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	4.0
20	2620.0	4387.0
106481390	0.0	1.0
21	3474.0	5453.0
106481391	0.0	0.0
22	1089.0	1177.0
153571	233.0	508.0
153572	714.0	746.0
23	5945.0	5757.0
24	17.0	15.0
25	6949.0	9126.0
26	3367.0	26.0
27	1699.0	1969.0
28	1315.0	744.0
29	6147.0	4718.0
153579	437.0	100.0
728615	0.0	1.0
728614	0.0	0.0
200765	388.0	343.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	11.0	14.0
102466518	2.0	0.0
102466516	2.0	4.0
102466515	0.0	0.0
106481363	2.0	2.0
106481364	0.0	0.0
85438	5.0	0.0
106481361	0.0	0.0
85439	218.0	145.0
106481362	0.0	0.0
106481367	0.0	2.0
85437	3882.0	3948.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	402.0	378.0
106481366	0.0	0.0
30	10225.0	8568.0
106481360	0.0	0.0
31	12136.0	22018.0
32	2677.0	1033.0
33	2709.0	1044.0
34	3116.0	3503.0
35	1636.0	1138.0
153562	1126.0	2336.0
36	4877.0	7316.0
37	31454.0	20425.0
38	3900.0	4918.0
440307	23.0	16.0
39	5826.0	4290.0
165545	5.0	6.0
106481369	0.0	0.0
728606	707.0	934.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	8.0
106481370	0.0	0.0
41	554.0	765.0
106481371	0.0	0.0
43	145.0	70.0
645486	1.0	0.0
47	20395.0	35202.0
48	5714.0	4665.0
49	18.0	7.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	2.0	6.0
106481340	0.0	0.0
85458	4138.0	1978.0
106481345	0.0	0.0
