id	e3ed758e-6842-45dd-9048-82cf7a7be5b2	f8032464-fd4f-4927-8f28-d0fc90e35669
403236	0.0	0.0
63982	25.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	40.0	138.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	3.0
645572	0.0	0.0
645571	15.0	10.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	899.0	2545.0
107131122	0.0	0.0
138050	5547.0	6943.0
403219	0.0	0.0
151011	4146.0	2587.0
645587	1.0	0.0
165679	899.0	1206.0
126037	24.0	61.0
114049	2399.0	5371.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1192.0	532.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1491.0	1983.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	125.0	387.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	10.0	2.0
645598	1.0	1.0
163007	1.0	0.0
114038	0.0	1.0
645591	0.0	1.0
106481495	0.0	0.0
114041	48.0	10.0
106481496	0.0	0.0
114042	2.0	5.0
106481493	0.0	0.0
114043	6.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	108.0	161.0
126017	1262.0	2534.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	270.0	64.0
85301	1246.0	330.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1792.0	4876.0
106481459	0.0	0.0
26994	7535.0	7540.0
106481457	0.0	2.0
26995	1654.0	3608.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1687.0	3429.0
403273	0.0	0.0
102466658	4.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	4.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1433.0	2201.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	7.0	1.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	71.0	154.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	797.0	1384.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	25.0
106481437	0.0	0.0
26974	182.0	271.0
153657	27.0	29.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	815.0	1108.0
165631	28.0	11.0
106481436	1.0	0.0
26978	11.0	18.0
126075	820.0	1595.0
106481439	0.0	0.0
403250	0.0	0.0
126074	191.0	363.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1679.0	3576.0
106481444	0.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1989.0	1044.0
85354	0.0	0.0
85352	855.0	180.0
403241	0.0	1.0
344462	0.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	654.0	542.0
153643	2.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	3973.0	5012.0
106481448	0.0	0.0
26986	49435.0	91416.0
126069	105.0	204.0
106481449	0.0	0.0
126068	406.0	365.0
106481446	0.0	0.0
26983	0.0	0.0
26984	639.0	902.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	78.0	21.0
106481455	0.0	0.0
85349	33.0	45.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	9.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	0.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	1.0
100873392	0.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2542.0	4181.0
100873390	0.0	0.0
728556	62.0	75.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	89.0	65.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	323.0	395.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	29.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	205.0	113.0
100873384	0.0	1.0
285601	12.0	7.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	4.0
63910	53.0	15.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	695.0	919.0
222008	961.0	8.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2819.0	3725.0
63904	0.0	0.0
106481430	1.0	2.0
163071	18.0	11.0
63906	566.0	929.0
106481433	0.0	0.0
63908	586.0	484.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	54.0	92.0
63920	326.0	392.0
63923	4.0	11.0
63922	208.0	634.0
728577	56.0	45.0
63925	1168.0	1743.0
63924	47.0	1.0
63916	4016.0	6848.0
63917	3762.0	6821.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	12.0
728564	2.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1090.0	1374.0
106481402	1.0	0.0
63931	1498.0	2370.0
106481403	0.0	3.0
63934	257.0	478.0
728567	2.0	9.0
106481408	0.0	0.0
163088	2.0	5.0
63933	1380.0	1750.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2382.0	3427.0
163087	573.0	471.0
728568	274.0	712.0
106481407	10.0	26.0
3704	1044.0	1546.0
3705	4711.0	4821.0
63926	515.0	606.0
3706	43.0	17.0
63929	937.0	1273.0
3707	5083.0	5749.0
63928	333.0	139.0
3708	11229.0	8987.0
106481411	0.0	0.0
3709	3574.0	3938.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	7.0	7.0
3702	145.0	70.0
3703	11305.0	18476.0
645506	0.0	5.0
151050	1700.0	1139.0
645520	0.0	0.0
63941	2671.0	8572.0
63940	468.0	263.0
63943	176.0	306.0
728517	0.0	0.0
163033	338.0	877.0
258010	2430.0	3310.0
63947	0.0	0.0
63946	1.0	42.0
728513	1.0	9.0
100033803	0.0	0.0
3716	10479.0	9096.0
100033804	0.0	0.0
3717	1200.0	580.0
100033805	0.0	0.0
3718	358.0	150.0
63939	950.0	972.0
100033806	0.0	0.0
100190799	2.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	66.0	98.0
3710	2890.0	9726.0
3712	7721.0	16661.0
3713	27.0	2.0
3714	1748.0	2180.0
63950	0.0	0.0
728505	0.0	0.0
63951	369.0	877.0
100033807	0.0	0.0
728501	22.0	65.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	37923.0	46778.0
100033814	0.0	0.0
3727	11616.0	20723.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	10986.0	26093.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1174.0	2273.0
151056	218.0	216.0
3725	46320.0	40919.0
645528	1.0	0.0
728532	24.0	47.0
163059	219.0	300.0
728538	0.0	2.0
728537	29.0	37.0
63967	49.0	49.0
3737	32.0	2.0
3738	42.0	2.0
3739	6.0	3.0
645538	0.0	0.0
3730	1085.0	712.0
3732	4477.0	3333.0
3734	51.0	36.0
3735	4926.0	11373.0
3736	0.0	3.0
63970	65.0	35.0
3750	299.0	106.0
63971	5823.0	7167.0
63974	0.0	0.0
163049	1785.0	3103.0
63973	0.0	0.0
63976	81.0	62.0
222068	5891.0	12289.0
63978	0.0	1.0
63977	414.0	581.0
63979	570.0	690.0
728524	0.0	0.0
3748	188.0	181.0
163051	18.0	61.0
3749	663.0	362.0
163050	34.0	32.0
3741	31.0	1.0
645548	1.0	2.0
3743	1.0	0.0
3744	0.0	0.0
3745	1045.0	204.0
3746	13.0	18.0
3747	306.0	27.0
285671	1382.0	523.0
285672	1811.0	1695.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1864.0	29.0
285676	125.0	68.0
3761	1.0	0.0
100128657	1.0	0.0
285679	2.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	235.0	104.0
283008	0.0	2.0
3751	6.0	55.0
100873435	0.0	0.0
3752	3778.0	5085.0
100873434	0.0	0.0
3753	0.0	3.0
100873433	0.0	0.0
3754	36.0	3.0
100873432	0.0	0.0
3755	448.0	361.0
100873439	0.0	0.0
3756	42.0	23.0
100873438	0.0	0.0
3757	2429.0	754.0
100873437	0.0	0.0
3758	1.0	0.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	57.0	125.0
3772	754.0	260.0
100861458	0.0	0.0
100861453	17.0	14.0
100861455	0.0	0.0
1107	19265.0	27745.0
1106	5160.0	5947.0
1105	1990.0	2595.0
1104	752.0	2487.0
100873429	0.0	0.0
1103	2.0	2.0
1102	1417.0	1618.0
1101	28.0	24.0
3762	291.0	313.0
100873424	0.0	0.0
3763	65.0	31.0
100128640	105.0	290.0
100873423	0.0	0.0
3764	1165.0	166.0
100873422	0.0	0.0
3765	2.0	4.0
100873421	2.0	0.0
3766	27.0	9.0
100873428	0.0	0.0
3767	455.0	1828.0
100873427	0.0	0.0
3768	142.0	269.0
1109	0.0	0.0
100873426	0.0	0.0
1108	10013.0	13201.0
3769	1.0	1.0
100873425	0.0	0.0
100128637	0.0	6.0
100128639	0.0	0.0
3780	14.0	39.0
100873453	0.0	0.0
3781	1081.0	6797.0
100873452	0.0	0.0
3782	705.0	220.0
100873451	0.0	0.0
3783	2485.0	7946.0
100873450	0.0	0.0
1121	1677.0	1365.0
100861468	0.0	0.0
1120	63.0	103.0
100861469	0.0	0.0
1118	133.0	35.0
1117	325.0	40.0
1116	116.0	172.0
1114	1321.0	308.0
1113	1902.0	3110.0
1112	6247.0	6082.0
1111	293.0	369.0
3773	4.0	29.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	619.0	878.0
100873455	0.0	0.0
3776	7.0	86.0
100873454	0.0	0.0
3777	2897.0	2038.0
3778	10412.0	2554.0
3779	5362.0	802.0
100873459	0.0	0.0
1119	1320.0	2989.0
100128627	3.0	1.0
100128626	0.0	0.0
3790	321.0	2143.0
100128628	3.0	7.0
3791	3695.0	797.0
100873442	0.0	0.0
3792	17.0	15.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	7.0
1131	197.0	2528.0
1130	2219.0	1079.0
100861476	0.0	0.0
1129	313.0	0.0
1128	4817.0	9198.0
1124	817.0	1594.0
1123	1816.0	508.0
1122	372.0	765.0
100861470	0.0	0.0
3784	1045.0	2390.0
100873446	0.0	0.0
3785	312.0	66.0
100873445	0.0	0.0
3786	192.0	326.0
100873444	0.0	0.0
3787	63.0	69.0
100873443	0.0	0.0
3788	65.0	17.0
100873449	3.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	32.0	64.0
100128618	1.0	4.0
728597	1.0	6.0
100128617	3.0	12.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	155.0	94.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	5.0
285634	6.0	5.0
1142	0.0	1.0
1141	18.0	5.0
285636	2578.0	2730.0
1140	184.0	195.0
728599	0.0	6.0
1139	58.0	69.0
1138	65.0	134.0
1137	79.0	5.0
100861485	0.0	0.0
1136	22.0	28.0
1135	3362.0	10791.0
1134	2.0	2.0
1133	2.0	3.0
3795	151.0	173.0
100873479	12.0	12.0
3796	1473.0	1034.0
100873478	0.0	0.0
3797	850.0	823.0
100873477	0.0	2.0
3798	96.0	26.0
100873476	0.0	0.0
3799	15765.0	15604.0
100873460	0.0	0.0
728586	15.0	20.0
285641	2.0	0.0
100873464	1.0	1.0
100873463	0.0	0.0
100873462	2.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	490.0	820.0
1153	13464.0	25228.0
1152	42334.0	63814.0
285647	24.0	25.0
728589	2.0	2.0
728588	3.0	1.0
1149	8.0	0.0
1147	1367.0	1554.0
1146	2.0	3.0
1145	29.0	38.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	352.0	411.0
1163	435.0	443.0
285659	0.0	0.0
1161	296.0	329.0
1160	400.0	50.0
1159	83.0	115.0
1158	897.0	11.0
1157	0.0	2.0
1155	2329.0	3791.0
550643	1433.0	1908.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1828.0	2255.0
1175	2812.0	4987.0
285668	2.0	0.0
1174	1691.0	4029.0
1173	16863.0	24426.0
550631	100.0	202.0
100873489	0.0	0.0
283014	2.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	12.0	33.0
1186	2446.0	4742.0
1185	939.0	902.0
1184	398.0	477.0
1183	457.0	361.0
1182	7683.0	12415.0
1181	229.0	569.0
440375	37.0	94.0
1180	6.0	3.0
1179	0.0	0.0
1178	6.0	1.0
283089	6.0	9.0
85495	0.0	0.0
85480	838.0	106.0
283080	0.0	0.0
1198	2049.0	3382.0
1197	0.0	2.0
1196	1091.0	1645.0
1195	2600.0	2668.0
440366	1.0	0.0
1193	258.0	130.0
1192	11612.0	21873.0
1191	59877.0	13530.0
1188	48.0	14.0
283078	1766.0	522.0
85486	4.0	18.0
128615	0.0	0.0
85481	1.0	0.0
128611	41.0	9.0
440396	45.0	58.0
128609	0.0	0.0
128602	3.0	0.0
440387	0.0	1.0
128674	0.0	0.0
128676	1.0	2.0
114026	0.0	0.0
100861402	2.0	6.0
126014	46.0	31.0
440335	271.0	1372.0
100128690	0.0	0.0
114034	679.0	843.0
126006	4.0	13.0
114036	4.0	4.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	77.0	153.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	38.0
100128678	1.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	164.0	209.0
440356	3.0	2.0
440354	33.0	29.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	14.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	37.0	54.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	132.0	26.0
200734	2007.0	2116.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	6.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3274.0	2850.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	4.0
645443	2.0	7.0
165530	47.0	39.0
85409	225.0	80.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	18.0	276.0
106481383	1.0	2.0
85417	21.0	34.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	85591.0	92303.0
106481389	0.0	0.0
85415	4339.0	14108.0
106481387	0.0	0.0
85413	4.0	4.0
106481388	2.0	0.0
645436	0.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	12.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	546.0	583.0
12	260.0	196.0
13	2.0	0.0
14	6401.0	11107.0
15	0.0	2.0
16	8997.0	13567.0
645455	13.0	15.0
18	4711.0	4797.0
19	1277.0	1144.0
128580	3.0	13.0
85407	1040.0	204.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1476.0	2411.0
106481395	0.0	0.0
85403	1671.0	3231.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3871.0	9071.0
106481390	0.0	0.0
21	2388.0	4427.0
106481391	0.0	0.0
22	852.0	1379.0
153571	195.0	476.0
153572	386.0	926.0
23	4591.0	6949.0
24	24.0	30.0
25	7427.0	10200.0
26	429.0	7706.0
27	1732.0	1973.0
28	635.0	380.0
29	6305.0	6544.0
153579	187.0	41.0
728615	0.0	1.0
728614	0.0	0.0
200765	150.0	185.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	10.0	14.0
102466518	0.0	0.0
102466516	2.0	2.0
102466515	0.0	0.0
106481363	0.0	2.0
106481364	0.0	0.0
85438	10.0	0.0
106481361	0.0	0.0
85439	378.0	118.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2398.0	3685.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	95.0	103.0
106481366	0.0	0.0
30	3480.0	5985.0
106481360	0.0	0.0
31	12421.0	21244.0
32	2420.0	1204.0
33	1479.0	681.0
34	2364.0	2576.0
35	921.0	618.0
153562	1588.0	3840.0
36	6741.0	6884.0
37	11487.0	14852.0
38	2554.0	5608.0
440307	7.0	12.0
39	2472.0	3129.0
165545	4.0	8.0
106481369	0.0	0.0
728606	416.0	3233.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	4.0
106481370	0.0	0.0
41	478.0	900.0
106481371	0.0	0.0
43	248.0	587.0
645486	1.0	2.0
47	18130.0	30360.0
48	5750.0	3474.0
49	11.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	0.0
106481340	0.0	0.0
85458	4699.0	2919.0
106481345	0.0	0.0
85459	744.0	862.0
106481346	0.0	0.0
