id	03ba09dd-2589-42ab-afe1-cf0493ba15a1	39952ce1-cb34-48c6-ad20-7aca8286f4ef
285550	997.0	1041.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	4.0	8.0
3640	2.0	3.0
3638	8522.0	5870.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	985.0	1336.0
100873313	0.0	0.0
3632	3404.0	3089.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	653.0	659.0
100873318	0.0	0.0
3635	792.0	410.0
100873317	0.0	0.0
3636	6148.0	9092.0
100128771	40.0	39.0
100873316	0.0	3.0
100873315	0.0	0.0
100128766	3.0	1.0
3651	0.0	0.0
1	8.0	4.0
2	17255.0	32791.0
100873309	0.0	0.0
100873308	0.0	0.0
3	1.0	1.0
3641	0.0	1.0
100873303	0.0	0.0
9	493.0	1343.0
3642	11.0	7.0
100873302	0.0	0.0
3643	6684.0	6811.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	12.0
100873307	0.0	0.0
3646	13991.0	20673.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	139.0	91.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2287.0	2357.0
100873331	0.0	0.0
3661	1841.0	1957.0
100873330	0.0	0.0
285577	1.0	1.0
3662	22.0	9.0
100128756	0.0	0.0
1000	128.0	172.0
3652	1088.0	1252.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	25.0	21.0
3654	9143.0	7358.0
100873334	0.0	0.0
3655	8075.0	6029.0
100873333	0.0	0.0
3656	374.0	257.0
100873339	0.0	0.0
3658	3540.0	3624.0
100873338	0.0	0.0
3659	1251.0	1576.0
100873337	0.0	0.0
3670	400.0	562.0
100873321	0.0	0.0
3671	1242.0	2678.0
100873320	0.0	0.0
3672	5642.0	6473.0
285588	0.0	0.0
3673	2099.0	703.0
1011	0.0	0.0
1010	8.0	0.0
1008	61.0	73.0
1007	0.0	3.0
1006	34.0	7.0
1005	138.0	266.0
1004	139.0	275.0
1003	755.0	1369.0
1002	115.0	127.0
1001	4176.0	4249.0
3663	292.0	399.0
100873325	0.0	1.0
3664	12698.0	9559.0
100873324	0.0	0.0
3665	1150.0	1458.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7840.0	3325.0
100873329	0.0	0.0
285590	3247.0	2622.0
100873328	0.0	0.0
3669	660.0	527.0
100873327	0.0	0.0
1009	1429.0	2510.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	9.0
728477	12.0	13.0
3680	1711.0	1753.0
3681	3.0	16.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	686.0	394.0
100873353	0.0	0.0
3683	241.0	215.0
100873352	0.0	0.0
128710	463.0	1358.0
3684	264.0	237.0
100873351	0.0	0.0
285512	27.0	82.0
1022	898.0	1175.0
285513	166.0	157.0
1021	1509.0	3592.0
1020	784.0	1393.0
440299	0.0	0.0
1019	3107.0	3629.0
128709	0.0	0.0
1018	4.0	21.0
1017	1311.0	1736.0
1016	3.0	10.0
1015	145.0	39.0
1014	0.0	0.0
1013	5.0	34.0
1012	493.0	668.0
116730	7.0	16.0
3674	7.0	13.0
100873358	0.0	0.0
3675	7347.0	3262.0
100873357	0.0	0.0
3676	287.0	225.0
100128731	6340.0	8399.0
100873356	0.0	0.0
3678	12410.0	15465.0
3679	3509.0	5120.0
100873359	0.0	0.0
728464	88.0	93.0
728463	55.0	62.0
100128725	0.0	0.0
3690	339.0	294.0
3691	9298.0	4909.0
100873343	0.0	0.0
3692	5414.0	5855.0
3693	9191.0	13099.0
285521	1167.0	1174.0
100873342	0.0	0.0
3694	830.0	260.0
100873341	0.0	0.0
3695	98.0	39.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	27.0	186.0
1032	162.0	319.0
285525	0.0	1.0
1031	369.0	1039.0
285527	2806.0	3508.0
1030	424.0	481.0
728468	0.0	0.0
440288	113.0	153.0
1029	65.0	193.0
440295	52.0	90.0
1028	1222.0	985.0
1027	3412.0	3435.0
1026	4162.0	2973.0
1025	2700.0	3092.0
1024	721.0	1249.0
3685	6498.0	9652.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	149.0	306.0
100873345	0.0	0.0
3688	15679.0	16959.0
100873344	0.0	0.0
3689	1243.0	1326.0
100873349	0.0	0.0
100873348	0.0	1.0
100873372	1.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	11.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	27.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	71.0	75.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	1.0
1043	204.0	193.0
1041	0.0	0.0
1040	2313.0	4005.0
1039	1204.0	2367.0
1038	1.0	2.0
1036	180.0	117.0
3696	2490.0	1433.0
3697	2.0	0.0
100873379	0.0	0.0
3698	7.0	12.0
100873378	0.0	2.0
3699	36.0	102.0
100873377	0.0	0.0
728486	1.0	1.0
100873361	0.0	0.0
105373869	1.0	13.0
100873360	0.0	0.0
285540	121.0	93.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	185.0	85.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	1711.0	2524.0
285547	0.0	0.0
1053	5.0	3.0
285548	2.0	3.0
1052	5085.0	4016.0
1051	2563.0	1714.0
728489	7.0	7.0
1050	735.0	1317.0
100128707	0.0	0.0
1048	9.0	321.0
1047	5313.0	8066.0
1046	0.0	1.0
1045	109.0	4.0
100873369	2.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	1012.0	959.0
1063	193.0	1307.0
1062	79.0	354.0
1061	1.0	5.0
1060	1099.0	994.0
440253	60.0	33.0
1059	5062.0	5348.0
1058	11.0	134.0
1057	1.0	1.0
85379	5838.0	6379.0
114112	454.0	507.0
1056	26.0	15.0
85377	3202.0	3403.0
85378	1899.0	2387.0
128745	1.0	0.0
85376	24.0	12.0
440248	191.0	450.0
1075	947.0	1011.0
1074	18.0	25.0
1073	3988.0	3687.0
1072	36133.0	49273.0
1071	18.0	70.0
440243	0.0	0.0
1070	621.0	938.0
1069	2949.0	4185.0
1068	0.0	1.0
85369	1789.0	1999.0
85366	2.0	6.0
85364	1142.0	1417.0
85365	3408.0	4070.0
85363	1303.0	1240.0
85360	758.0	934.0
1080	1535.0	255.0
85391	4.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	529.0	876.0
1087	1.0	9.0
1086	0.0	0.0
440279	2.0	1.0
1085	0.0	0.0
1084	2.0	2.0
440278	125.0	268.0
1082	0.0	0.0
403294	1.0	0.0
440275	5350.0	6409.0
1081	31.0	2.0
85397	1.0	1.0
85395	585.0	544.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	135.0	282.0
1089	6.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	28.0	27.0
285598	363.0	310.0
126133	1504.0	1873.0
128790	0.0	0.0
126129	95.0	103.0
126123	18.0	3.0
442862	0.0	0.0
126119	813.0	831.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	11.0	8.0
442897	0.0	0.0
442898	0.0	0.0
114134	411.0	821.0
442899	0.0	0.0
100128790	0.0	0.0
