id	5eb01b59-7181-491d-9c1e-9903473ad91e	725ae5e0-0325-4f5e-ba91-7694ac1166bb
285550	1489.0	1723.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	40.0	7.0
3640	10.0	13.0
3638	8412.0	4313.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1054.0	1277.0
100873313	0.0	0.0
3632	3494.0	3281.0
100873312	9.0	1.0
100873311	1.0	0.0
3633	901.0	632.0
100873318	1.0	0.0
3635	2263.0	1661.0
100873317	1.0	0.0
3636	7149.0	6713.0
100128771	55.0	144.0
100873316	5.0	0.0
100873315	0.0	0.0
100128766	7.0	0.0
3651	1.0	1.0
1	19.0	15.0
2	11487.0	101644.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	6.0
3641	0.0	0.0
100873303	1.0	0.0
9	1022.0	126.0
3642	51.0	785.0
100873302	0.0	0.0
3643	10733.0	6711.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	389.0	35.0
100873307	0.0	0.0
3646	18273.0	30861.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	73.0	96.0
100873304	3.0	0.0
100873332	1.0	1.0
3660	4291.0	3060.0
100873331	0.0	0.0
3661	5599.0	2632.0
100873330	0.0	0.0
285577	3.0	28.0
3662	52.0	28.0
100128756	0.0	0.0
1000	209.0	404.0
3652	924.0	852.0
100873336	0.0	0.0
100873335	2.0	0.0
100128750	40.0	48.0
3654	4306.0	7465.0
100873334	0.0	0.0
3655	10110.0	4618.0
100873333	0.0	1.0
3656	369.0	267.0
100873339	0.0	0.0
3658	2352.0	2798.0
100873338	0.0	0.0
3659	5679.0	2059.0
100873337	1.0	0.0
3670	1075.0	820.0
100873321	0.0	0.0
3671	3258.0	7648.0
100873320	0.0	0.0
3672	4897.0	14121.0
285588	2.0	0.0
3673	1125.0	1975.0
1011	0.0	0.0
1010	29.0	1.0
1008	64.0	209.0
1007	3.0	1.0
1006	83.0	14.0
1005	422.0	369.0
1004	63.0	182.0
1003	337.0	1794.0
1002	559.0	13.0
1001	4135.0	4485.0
3663	625.0	436.0
100873325	0.0	0.0
3664	24203.0	7164.0
100873324	0.0	0.0
3665	2222.0	1617.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3769.0	2504.0
100873329	0.0	0.0
285590	2282.0	2647.0
100873328	0.0	0.0
3669	658.0	810.0
100873327	0.0	0.0
1009	1166.0	2877.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	11.0	1.0
728477	13.0	5.0
3680	1255.0	4551.0
3681	14.0	5.0
100128733	0.0	2.0
100873354	0.0	1.0
3682	900.0	733.0
100873353	0.0	0.0
3683	504.0	463.0
100873352	0.0	0.0
128710	671.0	750.0
3684	230.0	278.0
100873351	0.0	0.0
285512	301.0	28.0
1022	1256.0	2165.0
285513	200.0	300.0
1021	1472.0	3406.0
1020	994.0	1386.0
440299	3.0	0.0
1019	3076.0	3754.0
128709	1.0	1.0
1018	87.0	10.0
1017	1749.0	1954.0
1016	73.0	1.0
1015	179.0	112.0
1014	12.0	0.0
1013	6.0	5.0
1012	581.0	904.0
116730	20.0	19.0
3674	124.0	22.0
100873358	1.0	0.0
3675	9562.0	7530.0
100873357	5.0	0.0
3676	91.0	247.0
100128731	10533.0	11546.0
100873356	2.0	0.0
3678	3812.0	5799.0
3679	2933.0	4216.0
100873359	0.0	0.0
728464	62.0	167.0
728463	42.0	82.0
100128725	0.0	0.0
3690	191.0	321.0
3691	13438.0	6479.0
100873343	0.0	0.0
3692	7311.0	6443.0
3693	10669.0	8667.0
285521	1583.0	1670.0
100873342	0.0	0.0
3694	2171.0	1693.0
100873341	0.0	0.0
3695	109.0	71.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	22.0	80.0
1032	470.0	294.0
285525	3.0	1.0
1031	728.0	351.0
285527	2173.0	2218.0
1030	794.0	1282.0
728468	1.0	0.0
440288	191.0	182.0
1029	107.0	403.0
440295	392.0	74.0
1028	3684.0	1674.0
1027	5913.0	4282.0
1026	17528.0	7779.0
1025	5920.0	3149.0
1024	1135.0	895.0
3685	4713.0	6032.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	170.0	217.0
100873345	0.0	1.0
3688	9597.0	17161.0
100873344	1.0	0.0
3689	949.0	1685.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	1.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	18.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	37.0	44.0
100873375	1.0	0.0
100128710	0.0	0.0
285533	151.0	117.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	3.0
1043	388.0	437.0
1041	1.0	2.0
1040	3407.0	1938.0
1039	1872.0	1936.0
1038	0.0	0.0
1036	308.0	2441.0
3696	3908.0	3025.0
3697	9.0	0.0
100873379	0.0	0.0
3698	12.0	20.0
100873378	1.0	0.0
3699	55.0	77.0
100873377	0.0	0.0
728486	10.0	0.0
100873361	1.0	0.0
105373869	1.0	7.0
100873360	0.0	0.0
285540	290.0	230.0
100128705	3.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	1.0	0.0
728484	87.0	306.0
100873362	0.0	0.0
100128701	2.0	5.0
1054	2746.0	2577.0
285547	1.0	0.0
1053	2.0	2.0
285548	12.0	0.0
1052	8696.0	3521.0
1051	9673.0	2951.0
728489	18.0	10.0
1050	1448.0	1308.0
100128707	0.0	0.0
1048	33.0	248.0
1047	2421.0	3466.0
1046	1.0	0.0
1045	591.0	8.0
100873369	3.0	0.0
100873368	0.0	0.0
100873367	2.0	0.0
100873366	0.0	0.0
105373877	1.0	2.0
1066	2351.0	4079.0
1063	115.0	321.0
1062	83.0	111.0
1061	4.0	3.0
1060	1802.0	1038.0
440253	144.0	58.0
1059	6646.0	6219.0
1058	11.0	49.0
1057	4.0	0.0
85379	5477.0	4044.0
114112	477.0	580.0
1056	1017.0	77.0
85377	3472.0	2330.0
85378	6255.0	1991.0
128745	0.0	0.0
85376	28.0	36.0
440248	635.0	236.0
