id	23c08503-80f7-4a8e-94fb-4a51dcebd78b	46e9b99f-ca9d-4db6-a705-662343b5242a
285550	1884.0	1184.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	15.0	8.0
3640	8.0	13.0
3638	10504.0	4296.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1686.0	2475.0
100873313	0.0	0.0
3632	4592.0	4676.0
100873312	0.0	4.0
100873311	0.0	0.0
3633	1498.0	1519.0
100873318	2.0	0.0
3635	1994.0	1727.0
100873317	0.0	0.0
3636	6642.0	12371.0
100128771	38.0	117.0
100873316	5.0	9.0
100873315	0.0	0.0
100128766	4.0	2.0
3651	0.0	1.0
1	9.0	6.0
2	29566.0	71470.0
100873309	0.0	0.0
100873308	0.0	0.0
3	14.0	8.0
3641	0.0	0.0
100873303	0.0	0.0
9	754.0	563.0
3642	23.0	620.0
100873302	0.0	0.0
3643	3497.0	10585.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	54.0	27.0
100873307	0.0	0.0
3646	25115.0	19833.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	243.0	167.0
100873304	0.0	0.0
100873332	0.0	3.0
3660	2883.0	2858.0
100873331	0.0	0.0
3661	2169.0	2112.0
100873330	0.0	2.0
285577	1.0	29.0
3662	85.0	171.0
100128756	0.0	0.0
1000	843.0	375.0
3652	1900.0	1991.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	61.0	44.0
3654	7506.0	11846.0
100873334	0.0	0.0
3655	8549.0	18101.0
100873333	0.0	1.0
3656	476.0	655.0
100873339	0.0	0.0
3658	5236.0	9721.0
100873338	0.0	0.0
3659	2548.0	3192.0
100873337	0.0	0.0
3670	1298.0	887.0
100873321	0.0	0.0
3671	4891.0	3686.0
100873320	0.0	0.0
3672	9417.0	14992.0
285588	2.0	0.0
3673	3374.0	4335.0
1011	0.0	0.0
1010	7.0	1.0
1008	716.0	370.0
1007	0.0	1.0
1006	93.0	5.0
1005	174.0	816.0
1004	150.0	243.0
1003	1124.0	2148.0
1002	44.0	99.0
1001	3741.0	3509.0
3663	399.0	507.0
100873325	0.0	0.0
3664	8155.0	10917.0
100873324	0.0	0.0
3665	980.0	1546.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2262.0	5472.0
100873329	0.0	0.0
285590	2858.0	3637.0
100873328	0.0	0.0
3669	379.0	998.0
100873327	0.0	0.0
1009	2132.0	4330.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	29.0	2.0
728477	23.0	35.0
3680	3329.0	4981.0
3681	19.0	27.0
100128733	0.0	1.0
100873354	0.0	1.0
3682	998.0	780.0
100873353	0.0	0.0
3683	601.0	1154.0
100873352	0.0	0.0
128710	619.0	1060.0
3684	485.0	1143.0
100873351	0.0	0.0
285512	101.0	179.0
1022	1216.0	1421.0
285513	461.0	1059.0
1021	1743.0	3013.0
1020	934.0	662.0
440299	3.0	1.0
1019	4273.0	4266.0
128709	0.0	0.0
1018	27.0	37.0
1017	1507.0	2373.0
1016	63.0	17.0
1015	132.0	66.0
1014	0.0	0.0
1013	34.0	13.0
1012	413.0	767.0
116730	11.0	15.0
3674	46.0	28.0
100873358	0.0	0.0
3675	6123.0	9107.0
100873357	0.0	1.0
3676	572.0	1048.0
100128731	8405.0	5275.0
100873356	0.0	0.0
3678	5646.0	8452.0
3679	4156.0	5980.0
100873359	0.0	0.0
728464	290.0	194.0
728463	106.0	205.0
100128725	0.0	0.0
3690	351.0	517.0
3691	4901.0	8278.0
100873343	0.0	0.0
3692	5252.0	3173.0
3693	7837.0	12457.0
285521	1719.0	1757.0
100873342	0.0	0.0
3694	1716.0	1770.0
100873341	0.0	0.0
3695	139.0	332.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	68.0	69.0
1032	293.0	183.0
285525	6.0	4.0
1031	821.0	681.0
285527	2872.0	7931.0
1030	604.0	713.0
728468	0.0	0.0
440288	164.0	214.0
1029	65.0	133.0
440295	116.0	152.0
1028	2004.0	938.0
1027	5181.0	4774.0
1026	4661.0	4577.0
1025	2885.0	3905.0
1024	1065.0	1078.0
3685	9384.0	21633.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	400.0	862.0
100873345	0.0	0.0
3688	29337.0	33171.0
100873344	0.0	0.0
3689	2421.0	5231.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	2.0	1.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	20.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	51.0	54.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	199.0	98.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	3.0
1043	598.0	647.0
1041	1.0	1.0
1040	2422.0	3902.0
1039	2106.0	2419.0
1038	3.0	1.0
1036	1476.0	1987.0
3696	3232.0	4495.0
3697	0.0	1.0
100873379	0.0	0.0
3698	10.0	32.0
100873378	2.0	0.0
3699	95.0	43.0
100873377	0.0	0.0
728486	5.0	12.0
100873361	0.0	0.0
105373869	8.0	2.0
100873360	0.0	0.0
285540	225.0	171.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	336.0	292.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	2295.0	2671.0
285547	0.0	0.0
1053	4.0	7.0
285548	3.0	3.0
1052	2063.0	2733.0
1051	1441.0	1826.0
728489	9.0	7.0
1050	1558.0	1335.0
100128707	0.0	0.0
1048	6.0	69.0
1047	3493.0	5638.0
1046	0.0	0.0
1045	26.0	40.0
100873369	5.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	5999.0	3931.0
1063	105.0	837.0
1062	96.0	336.0
1061	3.0	4.0
1060	2460.0	2462.0
440253	175.0	147.0
1059	5054.0	4968.0
1058	9.0	50.0
1057	0.0	1.0
85379	4483.0	8818.0
114112	602.0	877.0
1056	123.0	25.0
85377	3509.0	4756.0
85378	2707.0	4717.0
128745	0.0	0.0
85376	29.0	67.0
440248	453.0	751.0
1075	2116.0	2605.0
1074	26.0	35.0
1073	13841.0	6357.0
1072	33944.0	30567.0
1071	43.0	132.0
440243	0.0	0.0
1070	1307.0	881.0
1069	6052.0	3139.0
1068	0.0	0.0
85369	2255.0	3657.0
85366	47.0	7.0
85364	1355.0	1843.0
85365	3800.0	4259.0
85363	2005.0	2398.0
85360	1709.0	1650.0
1080	1007.0	2763.0
85391	5.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	807.0	1067.0
1087	15.0	13.0
1086	0.0	0.0
440279	7.0	5.0
1085	2.0	3.0
1084	4.0	19.0
440278	171.0	257.0
1082	0.0	0.0
403294	0.0	0.0
440275	6957.0	10571.0
1081	0.0	9.0
85397	1.0	4.0
85395	437.0	540.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	788.0	764.0
1089	23.0	31.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	207.0	197.0
285598	727.0	856.0
126133	906.0	1749.0
128790	0.0	1.0
126129	262.0	198.0
126123	9.0	9.0
442862	0.0	0.0
126119	755.0	716.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	1.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	2.0
442896	0.0	0.0
114132	17.0	18.0
442897	0.0	0.0
442898	0.0	1.0
114134	613.0	1189.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	2.0
100128788	95.0	159.0
100128787	0.0	0.0
440225	0.0	1.0
440224	1.0	6.0
442890	1.0	0.0
442891	0.0	0.0
442892	0.0	3.0
128756	1.0	0.0
100128782	748.0	565.0
100128781	2.0	7.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	6.0	15.0
102466616	0.0	0.0
126052	3.0	0.0
151009	50.0	66.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	4.0	1.0
645572	0.0	0.0
645571	15.0	11.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1937.0	2293.0
107131122	0.0	0.0
138050	5123.0	9734.0
403219	0.0	0.0
151011	7084.0	4842.0
645587	5.0	3.0
165679	1218.0	1007.0
126037	47.0	51.0
114049	3734.0	3615.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1103.0	1101.0
100033821	0.0	4.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2512.0	2470.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	338.0	516.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	15.0	21.0
645598	0.0	1.0
163007	0.0	0.0
114038	0.0	0.0
645591	4.0	0.0
106481495	1.0	0.0
114041	27.0	79.0
106481496	0.0	0.0
114042	4.0	3.0
106481493	0.0	0.0
114043	4.0	14.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	200.0	345.0
126017	2842.0	4681.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	570.0	691.0
85301	1943.0	2501.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3410.0	7981.0
106481459	0.0	0.0
26994	10850.0	9177.0
106481457	6.0	5.0
26995	2840.0	4182.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1611.0	4014.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	9.0
106481460	0.0	4.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2268.0	2647.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	2.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	5.0	10.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	1.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	188.0	160.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1360.0	1498.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	3.0
106481437	0.0	0.0
26974	296.0	430.0
153657	41.0	37.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1261.0	1772.0
165631	75.0	115.0
106481436	0.0	0.0
26978	10.0	17.0
126075	1456.0	1180.0
106481439	0.0	0.0
403250	0.0	0.0
126074	286.0	461.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3453.0	2313.0
106481444	5.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1391.0	2533.0
85354	0.0	0.0
85352	1554.0	1713.0
403241	0.0	0.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1019.0	957.0
153643	25.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	4834.0	6231.0
