id	16d2659e-8bd4-4956-b6f7-6f8aba267527	6a2fc43b-131d-4bba-8e64-8a39243fcdc6
285550	1055.0	1151.0
100873310	0.0	0.0
100128777	1.0	0.0
285555	9.0	10.0
3640	2.0	4.0
3638	1947.0	8175.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	592.0	1941.0
100873313	0.0	0.0
3632	1158.0	3629.0
100873312	0.0	4.0
100873311	0.0	0.0
3633	816.0	806.0
100873318	0.0	5.0
3635	851.0	770.0
100873317	0.0	0.0
3636	4364.0	7862.0
100128771	28.0	66.0
100873316	2.0	3.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	1.0
1	54.0	28.0
2	7578.0	24987.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	4.0
3641	0.0	1.0
100873303	0.0	0.0
9	158.0	501.0
3642	1.0	15.0
100873302	0.0	0.0
3643	5008.0	13228.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	5.0
100873307	0.0	0.0
3646	9833.0	18294.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	33.0	114.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	1669.0	3333.0
100873331	0.0	0.0
3661	3266.0	2304.0
100873330	0.0	1.0
285577	0.0	56.0
3662	2.0	174.0
100128756	0.0	0.0
1000	45.0	34.0
3652	638.0	1851.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	35.0	64.0
3654	4339.0	8954.0
100873334	1.0	0.0
3655	11787.0	13010.0
100873333	0.0	1.0
3656	134.0	915.0
100873339	0.0	0.0
3658	1776.0	9356.0
100873338	0.0	0.0
3659	680.0	5019.0
100873337	0.0	0.0
3670	81.0	128.0
100873321	0.0	0.0
3671	1027.0	969.0
100873320	0.0	0.0
3672	2394.0	3483.0
285588	0.0	0.0
3673	2192.0	3861.0
1011	0.0	0.0
1010	7.0	0.0
1008	6.0	68.0
1007	0.0	0.0
1006	69.0	4.0
1005	9.0	78.0
1004	75.0	264.0
1003	424.0	1358.0
1002	73.0	198.0
1001	836.0	8496.0
3663	5266.0	333.0
100873325	0.0	0.0
3664	7224.0	12619.0
100873324	1.0	0.0
3665	363.0	1538.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1774.0	3396.0
100873329	0.0	0.0
285590	1022.0	2221.0
100873328	0.0	0.0
3669	1077.0	554.0
100873327	0.0	0.0
1009	276.0	1861.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	3.0
728477	24.0	29.0
3680	503.0	990.0
3681	2.0	12.0
100128733	1.0	1.0
100873354	0.0	0.0
3682	388.0	515.0
100873353	0.0	0.0
3683	83.0	490.0
100873352	0.0	1.0
128710	424.0	1775.0
3684	90.0	618.0
100873351	0.0	0.0
285512	57.0	97.0
1022	643.0	975.0
285513	85.0	507.0
1021	825.0	1631.0
1020	696.0	713.0
440299	2.0	1.0
1019	1293.0	3465.0
128709	1.0	1.0
1018	33.0	29.0
1017	1055.0	2475.0
1016	11.0	11.0
1015	21.0	49.0
1014	115.0	0.0
1013	4.0	3.0
1012	113.0	632.0
116730	14.0	17.0
3674	64.0	21.0
100873358	0.0	0.0
3675	2918.0	5747.0
100873357	0.0	0.0
3676	48.0	725.0
100128731	6771.0	6902.0
100873356	0.0	0.0
3678	3056.0	6996.0
3679	1355.0	1557.0
100873359	0.0	0.0
728464	28.0	42.0
728463	8.0	42.0
100128725	0.0	0.0
3690	133.0	281.0
3691	4235.0	4994.0
100873343	0.0	0.0
3692	3796.0	4964.0
3693	8000.0	6587.0
285521	1092.0	1244.0
100873342	0.0	0.0
3694	1069.0	2357.0
100873341	0.0	0.0
3695	74.0	112.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	23.0	65.0
1032	124.0	211.0
285525	0.0	0.0
1031	334.0	850.0
285527	2034.0	5764.0
1030	85.0	430.0
728468	1.0	0.0
440288	81.0	163.0
1029	14.0	33.0
440295	140.0	174.0
1028	1176.0	439.0
1027	2841.0	8584.0
1026	3982.0	21655.0
1025	3595.0	3835.0
1024	1245.0	1014.0
3685	3544.0	11568.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	162.0	783.0
100873345	0.0	1.0
3688	14045.0	16600.0
100873344	0.0	0.0
3689	246.0	2429.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	6.0	13.0
100873376	0.0	0.0
