id	80d9227d-b41b-44eb-b230-cb1c14b5ee1a	30684606-b403-43ca-830f-05bc75ab7ac9
1068	0.0	0.0
85369	1670.0	3188.0
85366	103.0	1.0
85364	1636.0	1141.0
85365	4702.0	4279.0
85363	1954.0	2100.0
85360	1020.0	833.0
1080	305.0	1380.0
85391	2.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	566.0	387.0
1087	1.0	6.0
1086	2.0	0.0
440279	35.0	8.0
1085	0.0	0.0
1084	0.0	4.0
440278	115.0	55.0
1082	0.0	0.0
403294	0.0	0.0
440275	3623.0	6188.0
1081	238.0	45.0
85397	2.0	2.0
85395	435.0	459.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	12.0	3.0
440270	252.0	574.0
1089	0.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	51.0	210.0
285598	461.0	389.0
126133	2052.0	1580.0
128790	0.0	2.0
126129	177.0	169.0
126123	0.0	4.0
442862	0.0	0.0
126119	969.0	681.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	0.0	10.0
442897	0.0	0.0
442898	1.0	2.0
114134	241.0	599.0
442899	0.0	0.0
100128790	0.0	0.0
128760	0.0	1.0
100128788	50.0	187.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	275.0	292.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	300.0	5.0
102466616	0.0	0.0
126052	1.0	0.0
151009	18.0	37.0
403227	0.0	0.0
403228	0.0	0.0
138046	25.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	10.0	6.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1325.0	1591.0
107131122	0.0	1.0
138050	4849.0	7034.0
403219	0.0	0.0
151011	3592.0	2913.0
645587	1.0	0.0
165679	37.0	359.0
126037	167.0	20.0
114049	4674.0	3704.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	9167.0	484.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1746.0	1733.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	35.0	67.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	148.0	9.0
645598	0.0	0.0
163007	4.0	1.0
114038	13.0	4.0
645591	2.0	0.0
106481495	0.0	1.0
114041	4.0	9.0
106481496	0.0	0.0
114042	0.0	2.0
106481493	0.0	0.0
114043	7.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	130.0	201.0
126017	409.0	1051.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	227.0	239.0
85301	740.0	1527.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2042.0	4252.0
106481459	0.0	0.0
26994	7229.0	9169.0
106481457	3.0	8.0
26995	2205.0	2800.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3070.0	3628.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	5.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1677.0	2760.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	107.0	9.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	6.0	23.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	829.0	1278.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	6.0
106481437	0.0	0.0
26974	289.0	259.0
153657	164.0	36.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	879.0	1670.0
165631	10.0	80.0
106481436	2.0	2.0
26978	13.0	16.0
126075	838.0	1710.0
106481439	0.0	0.0
403250	0.0	0.0
126074	226.0	235.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2070.0	2339.0
106481444	3.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	17.0	0.0
85358	801.0	1324.0
85354	0.0	0.0
85352	1389.0	635.0
403241	0.0	0.0
344462	3.0	2.0
403244	0.0	1.0
403245	0.0	0.0
153642	805.0	496.0
153643	40.0	11.0
403247	0.0	0.0
403248	0.0	0.0
26985	2996.0	3336.0
106481448	0.0	0.0
26986	50802.0	71421.0
126069	60.0	116.0
106481449	0.0	0.0
126068	752.0	297.0
106481446	0.0	0.0
26983	1.0	0.0
26984	599.0	775.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	428.0	33.0
106481455	0.0	1.0
85349	45.0	98.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	4.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	6.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1241.0	5993.0
100873390	0.0	0.0
728556	46.0	129.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	73.0	72.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	372.0	308.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	42.0	44.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	145.0	123.0
100873384	0.0	0.0
285601	32.0	12.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	53.0	67.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	675.0	544.0
222008	7.0	317.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4146.0	3341.0
63904	0.0	0.0
106481430	0.0	1.0
163071	247.0	7.0
63906	731.0	615.0
106481433	0.0	0.0
63908	620.0	513.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	3.0
285613	21.0	140.0
63920	439.0	274.0
63923	2.0	19.0
63922	211.0	491.0
728577	26.0	26.0
63925	1049.0	1700.0
63924	184.0	3.0
63916	2919.0	4094.0
63917	2942.0	4393.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	1.0
728564	4.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	965.0	998.0
106481402	2.0	0.0
63931	1905.0	1828.0
106481403	0.0	3.0
63934	367.0	420.0
728567	4.0	1.0
106481408	1.0	0.0
163088	3.0	7.0
63933	2783.0	1989.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2858.0	2255.0
163087	679.0	394.0
728568	238.0	311.0
106481407	20.0	11.0
3704	1241.0	1545.0
3705	8279.0	7545.0
63926	958.0	674.0
3706	34.0	20.0
63929	1345.0	977.0
3707	5800.0	3495.0
63928	951.0	24.0
3708	14730.0	3032.0
106481411	0.0	0.0
3709	2445.0	5256.0
106481412	4.0	0.0
106481410	0.0	0.0
3700	9.0	13.0
3702	43.0	777.0
3703	21689.0	12732.0
645506	0.0	0.0
151050	1491.0	1643.0
645520	0.0	0.0
63941	1146.0	5680.0
63940	441.0	722.0
63943	324.0	222.0
728517	0.0	0.0
163033	669.0	700.0
258010	2723.0	3537.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	10330.0	8820.0
100033804	0.0	0.0
3717	1135.0	1001.0
100033805	0.0	0.0
3718	356.0	645.0
63939	1113.0	1012.0
100033806	0.0	0.0
100190799	1.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	89.0	100.0
3710	8844.0	3314.0
3712	11622.0	11316.0
3713	117.0	0.0
3714	1715.0	1456.0
63950	0.0	2.0
728505	0.0	0.0
63951	51.0	691.0
100033807	0.0	0.0
728501	24.0	63.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8810.0	43753.0
100033814	0.0	0.0
3727	7495.0	19087.0
63948	6.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	19589.0	23339.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1668.0	1492.0
151056	217.0	205.0
3725	18350.0	32863.0
645528	1.0	0.0
728532	25.0	37.0
163059	286.0	222.0
728538	0.0	1.0
728537	57.0	66.0
63967	6.0	31.0
3737	16.0	8.0
3738	3.0	73.0
3739	350.0	0.0
645538	0.0	0.0
3730	949.0	1806.0
3732	13552.0	4050.0
3734	23.0	27.0
3735	6698.0	7365.0
3736	11.0	0.0
63970	453.0	13.0
3750	211.0	149.0
63971	3494.0	5031.0
63974	0.0	0.0
163049	2072.0	1686.0
63973	0.0	0.0
63976	1622.0	77.0
222068	12817.0	9647.0
63978	0.0	2.0
63977	313.0	514.0
63979	465.0	375.0
728524	0.0	0.0
3748	1432.0	441.0
163051	35.0	10.0
3749	1316.0	392.0
163050	57.0	34.0
3741	93.0	49.0
645548	1.0	0.0
3743	5.0	1.0
3744	0.0	0.0
3745	747.0	1017.0
3746	2.0	24.0
3747	1.0	37.0
285671	1986.0	684.0
285672	1919.0	1304.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	594.0	55.0
285676	90.0	54.0
3761	20.0	1.0
100128657	0.0	0.0
285679	5.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	618.0	231.0
283008	22.0	14.0
3751	18.0	4.0
100873435	0.0	0.0
3752	2093.0	4221.0
100873434	0.0	0.0
3753	1.0	24.0
100873433	0.0	0.0
3754	16.0	11.0
100873432	0.0	0.0
3755	2206.0	133.0
100873439	0.0	0.0
3756	44.0	14.0
100873438	0.0	0.0
3757	1308.0	960.0
100873437	0.0	0.0
3758	80.0	2.0
100873436	0.0	0.0
100873420	13.0	1.0
3770	41.0	97.0
3772	5825.0	227.0
100861458	0.0	0.0
100861453	10.0	12.0
100861455	0.0	0.0
1107	13239.0	16973.0
1106	5850.0	5760.0
1105	1412.0	2175.0
1104	975.0	1372.0
100873429	0.0	0.0
1103	2.0	4.0
1102	3472.0	1162.0
1101	59.0	35.0
3762	9003.0	274.0
100873424	0.0	0.0
3763	3.0	137.0
100128640	209.0	220.0
100873423	0.0	0.0
3764	785.0	546.0
100873422	0.0	0.0
3765	1.0	4.0
100873421	0.0	2.0
3766	36.0	32.0
100873428	0.0	0.0
3767	1092.0	1676.0
100873427	0.0	0.0
3768	57.0	82.0
1109	0.0	0.0
100873426	1.0	0.0
1108	15537.0	11748.0
3769	74.0	0.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	39.0	17.0
100873453	0.0	0.0
3781	64.0	1164.0
100873452	0.0	0.0
3782	276.0	339.0
100873451	0.0	0.0
3783	3703.0	811.0
100873450	0.0	0.0
1121	1251.0	1852.0
100861468	0.0	0.0
1120	88.0	129.0
100861469	0.0	0.0
1118	19.0	1453.0
1117	51.0	383.0
1116	75.0	838.0
1114	463.0	73.0
1113	19.0	793.0
1112	4663.0	4793.0
1111	7798.0	463.0
3773	8328.0	71.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1530.0	1445.0
100873455	0.0	0.0
3776	28.0	14.0
100873454	0.0	0.0
3777	3917.0	623.0
3778	9374.0	3527.0
3779	4604.0	1578.0
100873459	0.0	0.0
1119	2855.0	3944.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	418.0	752.0
100128628	2.0	8.0
3791	6540.0	2494.0
100873442	0.0	0.0
3792	57.0	9.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	14.0
1131	3264.0	155.0
1130	1157.0	1206.0
100861476	0.0	1.0
1129	3.0	0.0
1128	43.0	5757.0
1124	231.0	550.0
1123	853.0	503.0
1122	324.0	810.0
100861470	0.0	0.0
3784	29680.0	1012.0
100873446	0.0	0.0
3785	3.0	9.0
100873445	0.0	0.0
3786	129.0	103.0
100873444	0.0	0.0
3787	1892.0	123.0
100873443	0.0	0.0
3788	39.0	15.0
100873449	4.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	81.0	99.0
100128618	0.0	0.0
728597	1.0	2.0
100128617	0.0	6.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	238.0	94.0
100873473	1.0	0.0
100873472	0.0	0.0
1143	3.0	1.0
285634	3.0	0.0
1142	1.0	0.0
1141	1.0	3.0
285636	2672.0	2555.0
1140	547.0	134.0
728599	2.0	6.0
1139	10.0	274.0
1138	13.0	203.0
1137	3.0	1.0
100861485	0.0	0.0
1136	2.0	22.0
1135	17.0	16475.0
1134	0.0	9.0
1133	4.0	6.0
3795	188.0	174.0
100873479	7.0	6.0
3796	1208.0	993.0
100873478	0.0	0.0
3797	1136.0	665.0
100873477	1.0	0.0
3798	73.0	61.0
100873476	0.0	0.0
3799	11114.0	15679.0
100873460	0.0	0.0
728586	13.0	47.0
285641	0.0	0.0
100873464	0.0	2.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2683.0	564.0
1153	25548.0	21495.0
1152	25557.0	44047.0
285647	21.0	26.0
728589	4.0	5.0
728588	1.0	13.0
1149	0.0	0.0
1147	1159.0	1219.0
1146	0.0	2.0
1145	92.0	54.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	1.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	320.0	758.0
1163	585.0	348.0
285659	1.0	0.0
1161	376.0	246.0
1160	779.0	176.0
1159	19.0	30.0
1158	165.0	129.0
1157	0.0	0.0
1155	2493.0	2524.0
550643	2224.0	1609.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	7264.0	1713.0
1175	2189.0	5744.0
285668	7.0	0.0
1174	1449.0	2859.0
1173	21664.0	18389.0
550631	144.0	175.0
100873489	0.0	0.0
283014	5.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	41.0	31.0
1186	2947.0	3904.0
1185	843.0	973.0
1184	543.0	502.0
1183	1024.0	128.0
1182	7464.0	14075.0
1181	314.0	363.0
440375	37.0	43.0
1180	8.0	1.0
1179	1.0	0.0
1178	0.0	2.0
283089	8.0	5.0
85495	0.0	0.0
85480	101.0	152.0
283080	0.0	0.0
1198	2354.0	3387.0
1197	1.0	2.0
1196	1465.0	1228.0
1195	2394.0	4522.0
440366	1.0	1.0
1193	246.0	464.0
1192	8513.0	21659.0
1191	717030.0	15187.0
1188	645.0	15.0
283078	326.0	1493.0
85486	4.0	1.0
128615	0.0	0.0
85481	1.0	0.0
128611	9.0	118.0
440396	38.0	48.0
128609	0.0	0.0
128602	5.0	31.0
440387	1.0	10.0
128674	1.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	0.0
126014	27.0	158.0
440335	1825.0	2599.0
100128690	0.0	0.0
114034	664.0	851.0
126006	39.0	32.0
114036	9.0	8.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	61.0	71.0
100861412	4.0	0.0
105180390	0.0	0.0
100128685	1.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	7.0
100128678	3.0	0.0
100861429	0.0	0.0
128653	2.0	0.0
200728	218.0	332.0
440356	2.0	2.0
440354	47.0	62.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	3.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	36.0
100873410	0.0	0.0
100873417	0.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	68.0	150.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	44.0	53.0
200734	1783.0	3105.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	7.0	11.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3818.0	3773.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	6.0	2.0
165530	20.0	59.0
85409	68.0	185.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	1.0	1.0
106481383	0.0	2.0
85417	71.0	44.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	135.0	183810.0
106481389	0.0	0.0
85415	666.0	13961.0
106481387	0.0	0.0
85413	0.0	7.0
106481388	1.0	1.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	663.0	506.0
12	24.0	267.0
13	0.0	0.0
14	6435.0	7946.0
15	1.0	1.0
16	11853.0	10790.0
645455	3.0	8.0
18	1405.0	15696.0
19	1312.0	1401.0
128580	2.0	3.0
85407	1025.0	547.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1209.0	1557.0
106481395	0.0	0.0
85403	1782.0	2523.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	3837.0	6373.0
106481390	0.0	0.0
21	2970.0	3636.0
106481391	0.0	0.0
22	967.0	1026.0
153571	288.0	329.0
153572	266.0	1051.0
23	4012.0	5553.0
24	993.0	27.0
25	6183.0	9110.0
26	1091.0	114.0
27	1183.0	2694.0
28	1241.0	370.0
29	4695.0	4730.0
153579	333.0	297.0
728615	0.0	0.0
728614	0.0	0.0
200765	95.0	200.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	12.0
102466518	0.0	0.0
102466516	0.0	2.0
102466515	0.0	0.0
106481363	0.0	2.0
106481364	0.0	0.0
85438	32.0	0.0
106481361	2.0	0.0
85439	545.0	228.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2518.0	2502.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	193.0	186.0
106481366	0.0	0.0
30	2860.0	7157.0
106481360	0.0	0.0
31	5976.0	15755.0
32	4120.0	1844.0
33	274.0	1803.0
34	3651.0	2538.0
35	833.0	768.0
153562	1621.0	1639.0
36	3073.0	6424.0
37	16274.0	14374.0
38	4317.0	2650.0
440307	5.0	17.0
39	703.0	2463.0
165545	3.0	3.0
106481369	0.0	0.0
728606	8.0	2199.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	5.0
106481370	0.0	0.0
41	137.0	933.0
106481371	0.0	0.0
43	320.0	1122.0
645486	1.0	0.0
47	5475.0	33503.0
48	3952.0	3353.0
49	16.0	6.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	7.0	10.0
106481340	0.0	0.0
85458	6375.0	2942.0
106481345	0.0	0.0
85459	523.0	668.0
