id	497d8716-c8a0-4b3d-b0ec-b491f0f056cd	cf98581e-c0bf-4224-9862-6f4c5c18d7e8
285550	2108.0	1414.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	4.0	8.0
3640	3.0	5.0
3638	9236.0	5707.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	4495.0	1658.0
100873313	0.0	0.0
3632	11687.0	4363.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	2142.0	644.0
100873318	1.0	2.0
3635	2676.0	581.0
100873317	0.0	0.0
3636	15222.0	10655.0
100128771	185.0	83.0
100873316	2.0	1.0
100873315	0.0	0.0
100128766	10.0	1.0
3651	0.0	0.0
1	12.0	14.0
2	159382.0	32209.0
100873309	0.0	0.0
100873308	0.0	0.0
3	9.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	468.0	1636.0
3642	19.0	143.0
100873302	0.0	0.0
3643	10195.0	12169.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	31.0	7.0
100873307	0.0	0.0
3646	28916.0	37423.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	295.0	60.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	3988.0	2511.0
100873331	0.0	0.0
3661	2424.0	2135.0
100873330	0.0	0.0
285577	7.0	8.0
3662	106.0	37.0
100128756	0.0	0.0
1000	1305.0	115.0
3652	2402.0	1830.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	52.0	24.0
3654	11300.0	18535.0
100873334	0.0	0.0
3655	9616.0	12363.0
100873333	1.0	0.0
3656	473.0	403.0
100873339	1.0	0.0
3658	7134.0	5063.0
100873338	0.0	0.0
3659	2884.0	1497.0
100873337	1.0	0.0
3670	2040.0	274.0
100873321	0.0	0.0
3671	12266.0	2302.0
100873320	0.0	0.0
3672	45517.0	3900.0
285588	0.0	1.0
3673	2121.0	1701.0
1011	0.0	0.0
1010	33.0	1.0
1008	1163.0	152.0
1007	1.0	0.0
1006	195.0	2.0
1005	55.0	35.0
1004	590.0	224.0
1003	3602.0	1605.0
1002	87.0	60.0
1001	4111.0	1824.0
3663	389.0	514.0
100873325	0.0	0.0
3664	5282.0	9428.0
100873324	0.0	0.0
3665	495.0	1841.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	9051.0	3547.0
100873329	0.0	0.0
285590	13365.0	1557.0
100873328	0.0	0.0
3669	453.0	901.0
100873327	0.0	0.0
1009	12487.0	1519.0
100873326	0.0	0.0
100873350	1.0	0.0
116729	281.0	2.0
728477	10.0	26.0
3680	24757.0	1398.0
3681	36.0	23.0
100128733	3.0	0.0
100873354	0.0	0.0
3682	837.0	566.0
100873353	1.0	0.0
3683	822.0	363.0
100873352	0.0	0.0
128710	729.0	1097.0
3684	1167.0	323.0
100873351	0.0	0.0
285512	52.0	85.0
1022	1104.0	1884.0
285513	725.0	252.0
1021	2266.0	7453.0
1020	960.0	1433.0
440299	2.0	0.0
1019	4503.0	4688.0
128709	1.0	0.0
1018	2.0	25.0
1017	2012.0	1795.0
1016	214.0	6.0
1015	439.0	14.0
1014	3.0	1.0
1013	556.0	28.0
1012	2535.0	289.0
116730	37.0	8.0
3674	39.0	11.0
100873358	0.0	0.0
3675	11480.0	2867.0
100873357	0.0	0.0
3676	568.0	243.0
100128731	8964.0	8817.0
100873356	0.0	0.0
3678	34610.0	4590.0
3679	34970.0	1415.0
100873359	0.0	0.0
728464	1116.0	39.0
728463	957.0	42.0
100128725	1.0	0.0
3690	1522.0	122.0
3691	7388.0	2605.0
100873343	0.0	0.0
3692	6794.0	7027.0
3693	12520.0	13131.0
285521	1460.0	2154.0
100873342	0.0	0.0
3694	1260.0	326.0
100873341	0.0	0.0
3695	96.0	43.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	94.0	144.0
1032	685.0	251.0
285525	70.0	2.0
1031	2163.0	844.0
285527	5496.0	4563.0
1030	2843.0	319.0
728468	4.0	0.0
440288	126.0	218.0
1029	374.0	57.0
440295	103.0	114.0
1028	2521.0	887.0
1027	6065.0	3732.0
1026	19326.0	9980.0
1025	4263.0	3767.0
1024	2250.0	1037.0
3685	20456.0	9420.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	614.0	523.0
100873345	1.0	0.0
3688	83484.0	15420.0
100873344	0.0	0.0
3689	4088.0	1630.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	12.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	69.0	63.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	381.0	31.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	1.0
1043	400.0	184.0
1041	1.0	0.0
1040	1449.0	4777.0
1039	5579.0	1451.0
1038	3.0	2.0
1036	1478.0	77.0
3696	2337.0	740.0
3697	3.0	2.0
100873379	0.0	0.0
3698	14.0	5.0
100873378	0.0	1.0
3699	141.0	21.0
100873377	0.0	0.0
728486	6.0	4.0
100873361	0.0	0.0
105373869	6.0	3.0
100873360	0.0	0.0
285540	274.0	100.0
100128705	0.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	102.0	138.0
100873362	0.0	0.0
100128701	5.0	0.0
1054	3627.0	2616.0
285547	0.0	0.0
1053	2.0	3.0
285548	12.0	0.0
1052	5100.0	3375.0
1051	2925.0	1136.0
728489	8.0	9.0
1050	1107.0	2956.0
100128707	1.0	0.0
1048	30.0	84.0
1047	1261.0	5370.0
1046	0.0	0.0
1045	2.0	56.0
100873369	0.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	0.0
1066	17109.0	1344.0
1063	213.0	803.0
1062	256.0	333.0
1061	18.0	2.0
1060	2355.0	1309.0
440253	187.0	60.0
1059	11495.0	5114.0
1058	8.0	62.0
1057	8.0	2.0
85379	10019.0	9063.0
114112	1217.0	763.0
1056	88.0	20.0
85377	12570.0	2509.0
85378	3593.0	3141.0
128745	4.0	1.0
85376	30.0	42.0
440248	292.0	415.0
1075	3518.0	1593.0
1074	4.0	7.0
1073	46160.0	2073.0
1072	50360.0	50139.0
1071	22.0	98.0
440243	0.0	0.0
1070	1146.0	781.0
1069	9795.0	3131.0
1068	1.0	0.0
85369	4468.0	4990.0
85366	1713.0	1.0
85364	2760.0	1301.0
85365	3520.0	5935.0
85363	2073.0	2627.0
85360	6094.0	543.0
1080	207.0	228.0
85391	1.0	1.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	972.0	1154.0
1087	9.0	3.0
1086	0.0	0.0
440279	14.0	0.0
1085	6.0	1.0
1084	13.0	1.0
440278	169.0	194.0
1082	0.0	0.0
403294	0.0	0.0
440275	8334.0	11329.0
1081	4.0	4.0
85397	0.0	0.0
85395	426.0	703.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	1.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	208.0	337.0
1089	23.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	158.0	39.0
285598	1765.0	214.0
126133	1839.0	2303.0
128790	0.0	0.0
126129	388.0	114.0
126123	0.0	0.0
442862	0.0	0.0
126119	1229.0	728.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	3.0	1.0
442896	0.0	0.0
114132	51.0	4.0
442897	0.0	0.0
442898	1.0	0.0
114134	1089.0	660.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	1.0
100128788	35.0	143.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	11.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	815.0	472.0
100128781	4.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	12.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	52.0	7.0
102466616	0.0	0.0
126052	2.0	0.0
151009	35.0	129.0
403227	0.0	0.0
403228	0.0	0.0
138046	8.0	14.0
645558	0.0	0.0
403229	0.0	0.0
645573	4.0	0.0
645572	0.0	0.0
645571	16.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	633.0	2817.0
107131122	0.0	0.0
138050	12807.0	11316.0
403219	1.0	0.0
151011	9817.0	2428.0
645587	1.0	0.0
165679	414.0	392.0
126037	115.0	53.0
114049	4259.0	4602.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	3058.0	368.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2573.0	1153.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	448.0	246.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	4.0	6.0
645598	1.0	0.0
163007	1.0	1.0
114038	0.0	0.0
645591	3.0	0.0
106481495	0.0	0.0
114041	8.0	4.0
106481496	0.0	0.0
114042	3.0	2.0
106481493	0.0	0.0
114043	29.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	223.0	234.0
126017	1443.0	2654.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3040.0	337.0
85301	1552.0	316.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1702.0	6246.0
106481459	0.0	0.0
26994	18036.0	8048.0
106481457	2.0	2.0
26995	2894.0	5639.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	6173.0	5718.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	5.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2752.0	2290.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	3.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	18.0	3.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	186.0	29.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	825.0	1237.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	7.0
106481437	0.0	0.0
26974	430.0	651.0
153657	35.0	42.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1383.0	1193.0
165631	88.0	20.0
106481436	2.0	0.0
26978	20.0	14.0
126075	1139.0	2002.0
106481439	0.0	0.0
403250	0.0	0.0
126074	299.0	476.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3560.0	3436.0
106481444	0.0	3.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3268.0	1712.0
85354	1.0	0.0
85352	4479.0	470.0
403241	0.0	0.0
344462	0.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	1575.0	812.0
153643	11.0	52.0
403247	0.0	0.0
403248	0.0	0.0
26985	8057.0	6619.0
106481448	0.0	0.0
26986	75197.0	263662.0
126069	251.0	194.0
106481449	0.0	0.0
126068	994.0	535.0
106481446	0.0	0.0
26983	3.0	0.0
26984	1222.0	805.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	936.0	15.0
106481455	0.0	0.0
85349	13.0	18.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	17.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	1.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	2940.0	10198.0
100873390	0.0	0.0
728556	95.0	169.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	185.0	123.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	593.0	360.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	20.0	18.0
100873380	0.0	0.0
100128804	0.0	3.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	489.0	165.0
100873384	0.0	0.0
285601	20.0	2.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	8.0	0.0
63910	69.0	43.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1528.0	824.0
222008	24483.0	177.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	8263.0	4501.0
63904	0.0	0.0
106481430	0.0	1.0
163071	21.0	9.0
63906	1190.0	976.0
106481433	0.0	0.0
63908	1258.0	708.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	9.0
285613	97.0	196.0
63920	858.0	467.0
63923	22.0	282.0
63922	211.0	504.0
728577	145.0	25.0
63925	1743.0	1728.0
63924	128.0	5.0
63916	8456.0	5905.0
63917	6111.0	6464.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	2.0
728564	25.0	2.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2023.0	1464.0
106481402	0.0	0.0
63931	2718.0	2568.0
106481403	0.0	0.0
63934	683.0	680.0
728567	19.0	5.0
106481408	0.0	0.0
163088	4.0	9.0
63933	2902.0	3227.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6310.0	2481.0
163087	1384.0	718.0
728568	488.0	511.0
106481407	14.0	12.0
3704	1505.0	2526.0
3705	12967.0	9773.0
63926	447.0	987.0
3706	82.0	21.0
63929	1676.0	1898.0
3707	15175.0	5253.0
63928	89.0	18.0
3708	87809.0	2686.0
106481411	0.0	0.0
3709	3200.0	4094.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	25.0	11.0
3702	178.0	65.0
3703	14274.0	29037.0
645506	4.0	0.0
151050	2667.0	1844.0
645520	0.0	0.0
63941	3901.0	8546.0
63940	801.0	287.0
63943	292.0	498.0
728517	0.0	0.0
163033	785.0	915.0
258010	4600.0	3248.0
63947	1.0	0.0
63946	0.0	1.0
728513	4.0	3.0
100033803	0.0	0.0
3716	25930.0	9315.0
100033804	0.0	0.0
3717	3761.0	1025.0
100033805	0.0	0.0
3718	426.0	283.0
63939	3565.0	1202.0
100033806	0.0	1.0
100190799	4.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	213.0	78.0
3710	2440.0	4682.0
3712	12140.0	21742.0
3713	1.0	3.0
3714	1888.0	1697.0
63950	2.0	1.0
728505	5.0	1.0
63951	606.0	1013.0
100033807	0.0	0.0
728501	30.0	46.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	49860.0	8203.0
100033814	0.0	0.0
3727	19128.0	10566.0
63948	0.0	0.0
100033815	0.0	0.0
222052	8.0	3.0
3728	11149.0	32610.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1910.0	1726.0
151056	461.0	129.0
3725	51130.0	17917.0
645528	0.0	0.0
728532	130.0	21.0
163059	386.0	451.0
728538	1.0	1.0
728537	58.0	77.0
63967	33.0	106.0
3737	294.0	7.0
3738	75.0	19.0
3739	1.0	2.0
645538	0.0	0.0
3730	784.0	1075.0
3732	5441.0	5993.0
3734	51.0	30.0
3735	10978.0	8277.0
3736	25.0	0.0
63970	64.0	10.0
3750	854.0	106.0
