id	3977b684-3188-4d52-bcd7-39a1d5d6f48f	acb3e352-b255-4c41-b90f-5e5ed2273b06
285550	1544.0	1214.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	16.0
3640	4.0	3.0
3638	16955.0	2188.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1838.0	1319.0
100873313	0.0	0.0
3632	4809.0	2573.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1204.0	507.0
100873318	3.0	0.0
3635	2254.0	652.0
100873317	0.0	0.0
3636	11382.0	8866.0
100128771	36.0	50.0
100873316	5.0	8.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	17.0
1	28.0	7.0
2	50373.0	15630.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	9.0
3641	1.0	0.0
100873303	0.0	0.0
9	1432.0	68.0
3642	52.0	778.0
100873302	0.0	0.0
3643	6205.0	5408.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	28.0	5.0
100873307	0.0	0.0
3646	18155.0	26277.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	151.0	49.0
100873304	0.0	0.0
100873332	4.0	0.0
3660	4102.0	2166.0
100873331	0.0	0.0
3661	3567.0	1627.0
100873330	0.0	0.0
285577	6.0	88.0
3662	192.0	177.0
100128756	0.0	0.0
1000	985.0	58.0
3652	1481.0	962.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	48.0	22.0
3654	10493.0	9518.0
100873334	0.0	2.0
3655	13349.0	8742.0
100873333	0.0	0.0
3656	554.0	298.0
100873339	0.0	0.0
3658	5403.0	4796.0
100873338	0.0	0.0
3659	3492.0	2584.0
100873337	0.0	0.0
3670	614.0	246.0
100873321	0.0	0.0
3671	4412.0	1243.0
100873320	0.0	0.0
3672	8299.0	1775.0
285588	0.0	0.0
3673	3887.0	1259.0
1011	0.0	0.0
1010	7.0	3.0
1008	416.0	205.0
1007	0.0	0.0
1006	93.0	4.0
1005	309.0	1514.0
1004	1073.0	132.0
1003	1475.0	453.0
1002	86.0	40.0
1001	5150.0	1459.0
3663	510.0	243.0
100873325	0.0	0.0
3664	23155.0	7450.0
100873324	0.0	0.0
3665	2141.0	1223.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9396.0	2490.0
100873329	0.0	0.0
285590	4312.0	763.0
100873328	0.0	0.0
3669	833.0	412.0
100873327	0.0	0.0
1009	2473.0	1108.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	12.0	6.0
3680	4006.0	602.0
3681	12.0	5.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1039.0	527.0
100873353	0.0	0.0
3683	1410.0	859.0
100873352	0.0	0.0
128710	622.0	616.0
3684	531.0	265.0
100873351	0.0	0.0
285512	126.0	63.0
1022	1441.0	2016.0
285513	531.0	303.0
1021	2496.0	1934.0
1020	980.0	621.0
440299	0.0	1.0
1019	4241.0	4672.0
128709	0.0	0.0
1018	36.0	19.0
1017	1579.0	1455.0
1016	16.0	1.0
1015	120.0	42.0
1014	1.0	0.0
1013	7.0	2.0
1012	810.0	393.0
116730	8.0	18.0
3674	46.0	8.0
100873358	0.0	0.0
3675	9018.0	2242.0
100873357	0.0	0.0
3676	795.0	387.0
100128731	9108.0	5902.0
100873356	0.0	0.0
3678	8205.0	1458.0
3679	5580.0	1017.0
100873359	0.0	0.0
728464	166.0	26.0
728463	68.0	14.0
100128725	0.0	0.0
3690	307.0	72.0
3691	14165.0	2077.0
100873343	7.0	2.0
3692	7263.0	4006.0
3693	12376.0	8885.0
285521	1540.0	1309.0
100873342	0.0	0.0
3694	1871.0	349.0
100873341	0.0	0.0
3695	296.0	182.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	46.0	72.0
1032	311.0	150.0
285525	1.0	0.0
1031	594.0	175.0
285527	4858.0	3489.0
1030	789.0	158.0
728468	1.0	0.0
440288	218.0	118.0
1029	64.0	94.0
440295	166.0	144.0
1028	2983.0	342.0
1027	7107.0	3941.0
1026	10549.0	1744.0
1025	4246.0	2214.0
1024	921.0	677.0
3685	6990.0	7437.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	430.0	282.0
100873345	0.0	1.0
3688	23506.0	9504.0
100873344	0.0	0.0
3689	3107.0	1797.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	1.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	23.0	13.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	54.0	21.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	142.0	22.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	2.0
1043	636.0	520.0
1041	0.0	0.0
1040	3860.0	2555.0
1039	2324.0	1460.0
1038	1.0	1.0
1036	699.0	1889.0
3696	2592.0	1646.0
3697	4.0	5.0
100873379	0.0	0.0
3698	7.0	6.0
100873378	1.0	1.0
3699	50.0	12.0
100873377	0.0	0.0
728486	9.0	3.0
100873361	0.0	0.0
105373869	4.0	0.0
100873360	0.0	1.0
285540	241.0	119.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	197.0	170.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2798.0	1800.0
285547	0.0	0.0
1053	8.0	2.0
285548	1.0	0.0
1052	13330.0	1956.0
1051	4076.0	1182.0
728489	16.0	3.0
1050	1579.0	729.0
100128707	0.0	0.0
1048	129.0	84.0
1047	6249.0	1791.0
1046	0.0	0.0
1045	572.0	589.0
100873369	2.0	4.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	895.0	112.0
1063	168.0	575.0
1062	118.0	199.0
1061	1.0	1.0
1060	2644.0	1466.0
440253	196.0	76.0
1059	7015.0	3065.0
1058	5.0	50.0
