id	2496e6ca-cfe1-4160-9a5d-d8d0c1853062	85f7e377-a186-40a2-951b-cb60fc835896
285550	1427.0	1369.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	23.0	18.0
3640	11.0	1.0
3638	9383.0	9852.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2516.0	1347.0
100873313	0.0	0.0
3632	4781.0	3302.0
100873312	0.0	1.0
100873311	1.0	0.0
3633	1767.0	640.0
100873318	2.0	1.0
3635	2968.0	738.0
100873317	0.0	0.0
3636	8271.0	7470.0
100128771	31.0	69.0
100873316	6.0	4.0
100873315	0.0	0.0
100128766	3.0	3.0
3651	0.0	0.0
1	38.0	12.0
2	260006.0	53033.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	499.0	770.0
3642	17.0	9.0
100873302	0.0	0.0
3643	7248.0	7508.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	99.0	9.0
100873307	0.0	0.0
3646	18539.0	16940.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	169.0	102.0
100873304	0.0	0.0
100873332	4.0	0.0
3660	2956.0	2124.0
100873331	0.0	0.0
3661	2237.0	2033.0
100873330	1.0	0.0
285577	0.0	2.0
3662	145.0	35.0
100128756	0.0	0.0
1000	543.0	315.0
3652	1557.0	1485.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	53.0	29.0
3654	8715.0	15103.0
100873334	0.0	0.0
3655	10269.0	10902.0
100873333	0.0	0.0
3656	516.0	240.0
100873339	3.0	0.0
3658	5838.0	4560.0
100873338	0.0	0.0
3659	2639.0	1118.0
100873337	0.0	0.0
3670	549.0	432.0
100873321	0.0	0.0
3671	7065.0	2617.0
100873320	0.0	0.0
3672	25060.0	7090.0
285588	0.0	0.0
3673	3893.0	2619.0
1011	0.0	1.0
1010	2.0	3.0
1008	2086.0	400.0
1007	0.0	0.0
1006	52.0	33.0
1005	431.0	86.0
1004	636.0	307.0
1003	2537.0	994.0
1002	38.0	12.0
1001	6830.0	1805.0
3663	432.0	294.0
100873325	0.0	0.0
3664	7877.0	7791.0
100873324	0.0	0.0
3665	658.0	647.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6122.0	3341.0
100873329	0.0	0.0
285590	8908.0	2365.0
100873328	0.0	0.0
3669	440.0	1108.0
100873327	0.0	0.0
1009	6197.0	2147.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	33.0
728477	20.0	43.0
3680	7835.0	2677.0
3681	29.0	13.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	665.0	654.0
100873353	0.0	0.0
3683	960.0	384.0
100873352	0.0	0.0
128710	671.0	849.0
3684	1320.0	348.0
100873351	0.0	0.0
285512	99.0	139.0
1022	1062.0	1350.0
285513	837.0	295.0
1021	2802.0	6263.0
1020	680.0	865.0
440299	1.0	0.0
1019	3494.0	3431.0
128709	0.0	0.0
1018	18.0	20.0
1017	1504.0	1094.0
1016	3.0	1.0
1015	162.0	23.0
1014	0.0	3.0
1013	33.0	68.0
1012	900.0	388.0
116730	7.0	13.0
3674	43.0	14.0
100873358	0.0	0.0
3675	9432.0	3356.0
100873357	0.0	0.0
3676	903.0	319.0
100128731	5256.0	6382.0
100873356	0.0	0.0
3678	26170.0	3245.0
3679	8447.0	3236.0
100873359	0.0	0.0
728464	344.0	104.0
728463	221.0	60.0
100128725	0.0	0.0
3690	762.0	160.0
3691	9400.0	2054.0
100873343	1.0	0.0
3692	4024.0	3901.0
3693	10194.0	10983.0
285521	1229.0	1736.0
100873342	0.0	0.0
3694	2232.0	213.0
100873341	0.0	0.0
3695	121.0	43.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	41.0	64.0
1032	296.0	256.0
285525	2.0	6.0
1031	443.0	672.0
285527	4689.0	4018.0
1030	2487.0	366.0
728468	0.0	0.0
440288	106.0	148.0
1029	210.0	48.0
440295	88.0	105.0
1028	1532.0	987.0
1027	4549.0	3566.0
1026	20583.0	4584.0
1025	3094.0	2522.0
1024	780.0	780.0
3685	15917.0	11417.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	614.0	190.0
100873345	0.0	0.0
3688	41718.0	18101.0
100873344	1.0	0.0
3689	5924.0	1690.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	10.0	16.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	24.0	32.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	228.0	60.0
100873374	0.0	0.0
728495	4.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	1.0
1043	411.0	178.0
1041	2.0	0.0
1040	2332.0	3758.0
1039	2872.0	1275.0
1038	10.0	6.0
1036	1132.0	386.0
3696	4956.0	1254.0
3697	10.0	1.0
100873379	0.0	0.0
3698	10.0	5.0
100873378	1.0	2.0
3699	154.0	11.0
100873377	0.0	0.0
728486	9.0	1.0
100873361	0.0	0.0
105373869	14.0	3.0
100873360	0.0	0.0
285540	208.0	144.0
100128705	0.0	3.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	96.0	715.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	2157.0	2166.0
285547	0.0	1.0
1053	3.0	1.0
285548	9.0	8.0
1052	9128.0	2156.0
1051	4241.0	1108.0
728489	4.0	6.0
1050	1143.0	2125.0
100128707	1.0	1.0
1048	3.0	83.0
1047	2160.0	3650.0
1046	1.0	0.0
1045	30.0	27.0
100873369	6.0	4.0
100873368	0.0	1.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	10525.0	2590.0
1063	289.0	378.0
1062	190.0	127.0
1061	6.0	0.0
1060	2193.0	1582.0
440253	166.0	113.0
1059	4953.0	4225.0
1058	14.0	32.0
1057	0.0	0.0
85379	8765.0	5485.0
114112	641.0	539.0
1056	79.0	11.0
