id	b6fd2d99-73d8-4881-a03c-fdc3c47cbd12	f950e572-3faa-4ee3-ba56-da53e1476fa7
1068	0.0	0.0
85369	2016.0	2385.0
85366	1.0	25.0
85364	1406.0	1808.0
85365	3286.0	6313.0
85363	1523.0	2204.0
85360	627.0	762.0
1080	2841.0	60.0
85391	1.0	18.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	518.0	716.0
1087	41.0	3.0
1086	0.0	0.0
440279	1.0	2.0
1085	3.0	0.0
1084	7.0	4.0
440278	90.0	155.0
1082	0.0	0.0
403294	0.0	0.0
440275	4100.0	10794.0
1081	11.0	13.0
85397	0.0	1.0
85395	623.0	356.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	415.0	491.0
1089	9.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	96.0	4.0
285598	357.0	294.0
126133	1899.0	1966.0
128790	0.0	0.0
126129	73.0	169.0
126123	4.0	0.0
442862	0.0	0.0
126119	729.0	512.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	6.0	0.0
442896	0.0	0.0
114132	20.0	21.0
442897	0.0	0.0
442898	0.0	0.0
114134	367.0	376.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	1.0
100128788	110.0	156.0
100128787	0.0	0.0
440225	0.0	3.0
440224	2.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	2.0	0.0
100128782	373.0	308.0
100128781	1.0	10.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	5.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	1.0	217.0
102466616	0.0	0.0
126052	0.0	0.0
151009	66.0	147.0
403227	0.0	0.0
403228	1.0	0.0
138046	3.0	2.0
645558	0.0	0.0
403229	0.0	2.0
645573	0.0	0.0
645572	0.0	0.0
645571	13.0	12.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2041.0	2321.0
107131122	0.0	0.0
138050	5913.0	5339.0
403219	0.0	0.0
151011	2436.0	3329.0
645587	0.0	0.0
165679	2541.0	625.0
126037	40.0	34.0
114049	3122.0	5281.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	18.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	531.0	331.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1254.0	2400.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	125.0	177.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	31.0	4.0
645598	0.0	1.0
163007	7.0	0.0
114038	0.0	0.0
645591	0.0	1.0
106481495	0.0	1.0
114041	38.0	64.0
106481496	0.0	0.0
114042	5.0	0.0
106481493	0.0	0.0
114043	3.0	20.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	208.0	189.0
126017	1415.0	3206.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	448.0	27.0
85301	823.0	192.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2080.0	7685.0
106481459	0.0	0.0
26994	4812.0	8814.0
106481457	4.0	22.0
26995	2185.0	4231.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1391.0	4016.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	1.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1838.0	3526.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	65.0
106481468	0.0	1.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	1.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1255.0	87.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	996.0	1772.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	12.0	4.0
106481437	0.0	0.0
26974	130.0	338.0
153657	30.0	42.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	747.0	4370.0
165631	15.0	33.0
106481436	0.0	1.0
26978	14.0	9.0
126075	1203.0	977.0
106481439	0.0	0.0
403250	0.0	0.0
126074	332.0	412.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	2375.0	1911.0
106481444	3.0	8.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	767.0	1827.0
85354	0.0	0.0
85352	481.0	219.0
403241	1.0	1.0
344462	4.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	503.0	247.0
153643	1.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	3249.0	15799.0
106481448	0.0	0.0
26986	56183.0	109810.0
126069	93.0	80.0
106481449	0.0	0.0
126068	409.0	423.0
106481446	0.0	0.0
26983	0.0	0.0
26984	617.0	1057.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	18.0	35.0
106481455	1.0	0.0
85349	69.0	6.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	1.0
106481454	0.0	1.0
403238	0.0	0.0
85344	0.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	11.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	3.0
100873392	4.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2448.0	4456.0
100873390	0.0	0.0
728556	82.0	191.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	67.0	98.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	257.0	569.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	22.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	71.0	75.0
100873384	1.0	0.0
285601	19.0	11.0
106481426	0.0	0.0
106481427	2.0	4.0
222005	0.0	1.0
63910	45.0	113.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	592.0	1016.0
222008	22.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3393.0	4993.0
63904	0.0	0.0
106481430	1.0	0.0
163071	9.0	7.0
63906	791.0	870.0
106481433	0.0	0.0
63908	553.0	474.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	0.0
285613	111.0	114.0
63920	278.0	227.0
63923	2.0	28.0
63922	423.0	938.0
728577	14.0	9.0
63925	1350.0	5243.0
63924	15.0	6.0
63916	3062.0	5197.0
63917	3375.0	4020.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	5.0
728564	8.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1234.0	1735.0
106481402	1.0	1.0
63931	1587.0	2074.0
106481403	0.0	0.0
63934	332.0	893.0
728567	0.0	3.0
106481408	0.0	0.0
163088	4.0	6.0
63933	1363.0	3734.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3026.0	15790.0
163087	563.0	600.0
728568	268.0	1456.0
106481407	16.0	9.0
3704	1234.0	2049.0
3705	4365.0	4004.0
63926	619.0	1016.0
3706	21.0	12.0
63929	758.0	1952.0
3707	5935.0	3366.0
63928	341.0	24.0
3708	3690.0	3118.0
106481411	0.0	0.0
3709	5619.0	2428.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	16.0
3702	77.0	34.0
3703	11076.0	18126.0
645506	0.0	0.0
151050	948.0	1039.0
645520	0.0	0.0
63941	2988.0	6783.0
63940	555.0	453.0
63943	281.0	445.0
728517	0.0	0.0
163033	619.0	734.0
258010	2125.0	3320.0
63947	0.0	0.0
63946	0.0	14.0
728513	0.0	7.0
100033803	0.0	0.0
3716	7160.0	8393.0
100033804	0.0	0.0
3717	548.0	844.0
100033805	0.0	0.0
3718	285.0	452.0
63939	956.0	1719.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	135.0	116.0
3710	4651.0	3023.0
3712	7795.0	17664.0
3713	14.0	1.0
3714	3219.0	2441.0
63950	2.0	2.0
728505	1.0	0.0
63951	486.0	283.0
100033807	0.0	0.0
728501	33.0	166.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14864.0	7664.0
100033814	0.0	0.0
3727	12986.0	6277.0
63948	0.0	0.0
100033815	0.0	0.0
222052	6.0	1.0
3728	23846.0	26660.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1297.0	2379.0
151056	228.0	246.0
3725	18694.0	17204.0
645528	1.0	0.0
728532	24.0	54.0
163059	270.0	290.0
728538	0.0	0.0
728537	87.0	100.0
63967	27.0	578.0
3737	13.0	2.0
3738	25.0	21.0
3739	1.0	26.0
645538	0.0	0.0
3730	1230.0	1174.0
3732	7595.0	1165.0
3734	33.0	90.0
3735	5534.0	14390.0
3736	4.0	1.0
63970	90.0	30.0
3750	106.0	81.0
63971	4201.0	6915.0
63974	0.0	0.0
163049	1612.0	2648.0
63973	0.0	57.0
63976	45.0	71.0
222068	6859.0	12570.0
63978	0.0	0.0
63977	442.0	771.0
63979	484.0	933.0
728524	0.0	0.0
3748	255.0	272.0
163051	37.0	41.0
3749	467.0	1028.0
163050	47.0	67.0
3741	5.0	62.0
645548	0.0	17.0
3743	2.0	2.0
3744	0.0	0.0
3745	465.0	87.0
3746	60.0	3.0
3747	59.0	238.0
285671	533.0	341.0
285672	1394.0	1492.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	114.0	61.0
285676	83.0	28.0
3761	0.0	0.0
100128657	0.0	0.0
285679	3.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	672.0	636.0
283008	30.0	31.0
3751	5.0	88.0
100873435	0.0	0.0
3752	3018.0	2633.0
100873434	0.0	0.0
3753	3.0	1.0
100873433	0.0	0.0
3754	39.0	6.0
100873432	0.0	0.0
3755	258.0	889.0
100873439	0.0	0.0
3756	13.0	190.0
100873438	0.0	0.0
3757	922.0	353.0
100873437	0.0	0.0
3758	5.0	7.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	91.0	108.0
3772	311.0	74.0
100861458	0.0	0.0
100861453	3.0	4.0
100861455	0.0	0.0
1107	20974.0	24661.0
1106	5860.0	10291.0
1105	1362.0	1892.0
1104	1139.0	4463.0
100873429	0.0	0.0
1103	0.0	1.0
1102	1318.0	692.0
1101	176.0	11.0
3762	321.0	433.0
100873424	0.0	0.0
3763	3.0	92.0
100128640	126.0	262.0
100873423	0.0	0.0
3764	440.0	293.0
100873422	0.0	0.0
3765	3.0	27.0
100873421	1.0	1.0
3766	8.0	15.0
100873428	0.0	0.0
3767	435.0	348.0
100873427	0.0	0.0
3768	50.0	467.0
1109	0.0	0.0
100873426	0.0	0.0
1108	9723.0	17184.0
3769	2.0	26.0
100873425	0.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	9.0	43.0
100873453	0.0	0.0
3781	684.0	2294.0
100873452	0.0	0.0
3782	215.0	714.0
100873451	0.0	0.0
3783	11382.0	312.0
100873450	0.0	0.0
1121	1128.0	2727.0
100861468	2.0	0.0
1120	178.0	161.0
100861469	0.0	1.0
1118	3.0	1093.0
1117	1649.0	28.0
1116	87.0	1095.0
1114	238.0	37.0
1113	4331.0	127.0
1112	4207.0	3052.0
1111	279.0	1196.0
3773	6.0	1.0
100873457	0.0	1.0
100873456	0.0	2.0
3775	961.0	2019.0
100873455	0.0	0.0
3776	8.0	72.0
100873454	0.0	0.0
3777	529.0	1459.0
3778	3380.0	4240.0
3779	1791.0	652.0
100873459	0.0	0.0
1119	2198.0	1939.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	392.0	620.0
100128628	2.0	9.0
3791	915.0	5748.0
100873442	0.0	0.0
3792	23.0	253.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	27.0
1131	135.0	294.0
1130	1105.0	1178.0
100861476	0.0	0.0
1129	0.0	0.0
1128	10806.0	545.0
1124	415.0	913.0
1123	260.0	1674.0
1122	382.0	1085.0
100861470	0.0	0.0
3784	4033.0	881.0
100873446	0.0	0.0
3785	25.0	122.0
100873445	0.0	0.0
3786	65.0	105.0
100873444	0.0	0.0
3787	320.0	32.0
100873443	0.0	0.0
3788	16.0	10.0
100873449	3.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	131.0	327.0
100128618	1.0	1.0
728597	0.0	4.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	209.0	999.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	6.0
285634	4.0	15.0
1142	0.0	0.0
1141	10.0	4.0
285636	1929.0	6934.0
1140	282.0	121.0
728599	3.0	3.0
1139	81.0	11.0
1138	59.0	898.0
1137	3.0	0.0
100861485	0.0	0.0
1136	9.0	129.0
1135	6283.0	2043.0
1134	0.0	29.0
1133	4.0	8.0
3795	258.0	328.0
100873479	10.0	10.0
3796	1094.0	1589.0
100873478	0.0	0.0
3797	714.0	694.0
100873477	0.0	5.0
3798	24.0	47.0
100873476	0.0	0.0
3799	10782.0	18311.0
100873460	0.0	0.0
728586	15.0	18.0
285641	0.0	1.0
100873464	0.0	7.0
100873463	0.0	0.0
100873462	2.0	2.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	287.0	340.0
1153	23898.0	14061.0
1152	32397.0	28167.0
285647	20.0	54.0
728589	6.0	4.0
728588	0.0	9.0
1149	1.0	1.0
1147	1114.0	1384.0
1146	1.0	8.0
1145	18.0	39.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	175.0	2212.0
1163	452.0	1192.0
285659	0.0	0.0
1161	235.0	392.0
1160	213.0	84.0
1159	120.0	579.0
1158	192.0	17.0
1157	0.0	0.0
1155	2073.0	2778.0
550643	1153.0	1957.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	1.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1363.0	2195.0
1175	3010.0	4461.0
285668	3.0	2.0
1174	1937.0	2813.0
1173	17996.0	24842.0
550631	140.0	155.0
100873489	0.0	0.0
283014	5.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	127.0	20.0
1186	3437.0	4922.0
1185	1082.0	1438.0
1184	372.0	936.0
1183	437.0	219.0
1182	7528.0	15796.0
1181	260.0	944.0
440375	46.0	63.0
1180	7.0	2.0
1179	3.0	0.0
1178	0.0	1.0
283089	8.0	1.0
85495	0.0	0.0
85480	131.0	13.0
283080	0.0	0.0
1198	3042.0	2185.0
1197	1.0	0.0
1196	1475.0	2703.0
1195	2719.0	5497.0
440366	1.0	0.0
1193	141.0	305.0
1192	14759.0	27774.0
1191	19486.0	4459.0
1188	18.0	50.0
283078	494.0	627.0
85486	5.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	31.0	19.0
440396	32.0	32.0
128609	0.0	0.0
128602	4.0	6.0
440387	0.0	2.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	3.0	1.0
126014	85.0	117.0
440335	1707.0	1660.0
100128690	0.0	0.0
114034	757.0	607.0
126006	57.0	28.0
114036	2.0	1.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	80.0	154.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	137.0	248.0
440356	7.0	4.0
440354	39.0	45.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	16.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	138.0	401.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	38.0	51.0
200734	1839.0	2111.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	5.0	12.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	1.0
100128665	0.0	2.0
128637	3366.0	3128.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	1.0	5.0
165530	91.0	14.0
85409	126.0	40.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	478.0
106481383	0.0	3.0
85417	19.0	28.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	113292.0	124773.0
106481389	0.0	0.0
85415	5307.0	7931.0
106481387	0.0	0.0
85413	2.0	120.0
106481388	0.0	5.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	4.0
106481380	0.0	0.0
11	1.0	0.0
403341	618.0	2472.0
12	168.0	31.0
13	0.0	11.0
14	7889.0	10892.0
15	3.0	2.0
16	8632.0	25643.0
645455	4.0	15.0
18	4661.0	3629.0
19	790.0	3174.0
128580	5.0	3.0
85407	605.0	202.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1645.0	2508.0
106481395	0.0	1.0
85403	1505.0	7110.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4692.0	3899.0
106481390	0.0	0.0
21	2833.0	2717.0
106481391	0.0	0.0
22	770.0	1599.0
153571	403.0	119.0
153572	783.0	224.0
23	4757.0	5804.0
24	33.0	67.0
25	6711.0	9618.0
26	95.0	242.0
27	1134.0	2943.0
28	883.0	2861.0
29	6811.0	3819.0
153579	69.0	403.0
728615	0.0	0.0
728614	0.0	0.0
200765	125.0	206.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	8.0	17.0
102466518	0.0	0.0
102466516	2.0	1.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	0.0	3.0
106481361	0.0	0.0
85439	193.0	235.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	2151.0	3585.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	179.0	219.0
106481366	0.0	0.0
30	5668.0	3511.0
106481360	0.0	0.0
31	9608.0	26286.0
32	2792.0	737.0
33	844.0	579.0
34	2149.0	3260.0
35	1368.0	1856.0
153562	1874.0	3116.0
36	6582.0	5069.0
37	13073.0	9303.0
38	1914.0	1442.0
440307	13.0	27.0
39	3226.0	3359.0
165545	6.0	15.0
106481369	0.0	0.0
728606	357.0	25.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	6.0	7.0
106481370	0.0	0.0
41	607.0	426.0
106481371	0.0	0.0
43	492.0	524.0
645486	0.0	0.0
47	17955.0	37065.0
48	3134.0	4204.0
49	2.0	33.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	1.0	6.0
106481340	0.0	0.0
85458	2568.0	895.0
106481345	0.0	0.0
85459	432.0	643.0
