id	8309be46-0342-49d9-b6f1-b2779eaaee9a	5ec72280-04a7-434f-bdee-5bcffe7bc83d
85369	1729.0	1228.0
85366	13.0	0.0
85364	1691.0	1382.0
85365	6464.0	3994.0
85363	1497.0	989.0
85360	997.0	606.0
1080	68.0	1600.0
85391	1.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	629.0	774.0
1087	2.0	12.0
1086	1.0	0.0
440279	24.0	3.0
1085	0.0	2.0
1084	2.0	2.0
440278	165.0	205.0
1082	0.0	0.0
403294	0.0	0.0
440275	3393.0	6275.0
1081	19.0	59.0
85397	10.0	2.0
85395	539.0	787.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	522.0	132.0
1089	6.0	17.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	58.0	25.0
285598	404.0	257.0
126133	1789.0	1602.0
128790	0.0	0.0
126129	226.0	101.0
126123	0.0	18.0
442862	0.0	0.0
126119	1233.0	1052.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	18.0
442896	0.0	0.0
114132	6.0	18.0
442897	0.0	0.0
442898	0.0	0.0
114134	528.0	444.0
442899	0.0	0.0
100128790	4.0	0.0
128760	5.0	5.0
100128788	57.0	95.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	418.0	259.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	15.0	9.0
102466616	0.0	0.0
126052	0.0	0.0
151009	66.0	98.0
403227	0.0	0.0
403228	0.0	0.0
138046	62.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	5.0	10.0
403223	2.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2016.0	2707.0
107131122	1.0	0.0
138050	5085.0	5634.0
403219	0.0	0.0
151011	3069.0	2673.0
645587	2.0	0.0
165679	34.0	844.0
126037	351.0	31.0
114049	6071.0	3941.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	26603.0	650.0
100033821	2.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1497.0	1581.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	237.0	258.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	35.0	15.0
645598	0.0	1.0
163007	2.0	2.0
114038	13.0	0.0
645591	1.0	0.0
106481495	1.0	0.0
114041	3.0	11.0
106481496	0.0	0.0
114042	0.0	2.0
106481493	1.0	0.0
114043	6.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	120.0	117.0
126017	328.0	2049.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	323.0	59.0
85301	799.0	311.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	499.0	4201.0
106481459	0.0	0.0
26994	6474.0	5648.0
106481457	0.0	0.0
26995	2543.0	2744.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3935.0	2329.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2121.0	1707.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	3.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	17.0	3.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	28.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	795.0	859.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	7.0
106481437	0.0	0.0
26974	118.0	270.0
153657	259.0	27.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	847.0	1140.0
165631	7.0	18.0
106481436	0.0	0.0
26978	13.0	12.0
126075	1144.0	1230.0
106481439	0.0	0.0
403250	0.0	0.0
126074	470.0	381.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3097.0	2959.0
106481444	7.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	14.0	0.0
85358	1151.0	609.0
85354	0.0	0.0
85352	1204.0	229.0
403241	0.0	1.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	668.0	667.0
153643	31.0	7.0
403247	0.0	0.0
403248	0.0	0.0
26985	3121.0	3275.0
106481448	0.0	0.0
26986	66092.0	89209.0
126069	85.0	110.0
106481449	0.0	0.0
126068	879.0	358.0
106481446	0.0	0.0
26983	0.0	0.0
26984	552.0	789.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	306.0	23.0
106481455	0.0	0.0
85349	37.0	5.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	10.0	6.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	950.0	2654.0
100873390	0.0	0.0
728556	54.0	56.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	53.0	64.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	220.0	262.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	31.0	79.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	90.0	63.0
100873384	0.0	0.0
285601	8.0	21.0
106481426	0.0	2.0
106481427	0.0	1.0
222005	1.0	0.0
63910	60.0	30.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	641.0	702.0
222008	0.0	167.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4518.0	3908.0
63904	0.0	0.0
106481430	0.0	1.0
163071	23.0	5.0
63906	836.0	805.0
106481433	0.0	0.0
63908	762.0	502.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	59.0	93.0
63920	489.0	409.0
63923	9.0	245.0
63922	265.0	310.0
728577	48.0	40.0
63925	1172.0	1155.0
63924	114.0	6.0
63916	2666.0	3738.0
63917	2897.0	4577.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	12.0
728564	4.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1139.0	1257.0
106481402	0.0	0.0
63931	1866.0	1454.0
106481403	0.0	0.0
63934	248.0	536.0
728567	1.0	2.0
106481408	0.0	0.0
163088	4.0	3.0
63933	3995.0	2120.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3397.0	2596.0
163087	744.0	617.0
728568	306.0	528.0
106481407	14.0	16.0
3704	1431.0	1556.0
3705	8472.0	7189.0
63926	1485.0	692.0
3706	27.0	17.0
63929	1441.0	994.0
3707	4667.0	4074.0
63928	191.0	255.0
3708	19177.0	2483.0
106481411	0.0	0.0
3709	913.0	3426.0
106481412	1.0	0.0
106481410	0.0	0.0
3700	4.0	9.0
3702	16.0	135.0
3703	29103.0	16304.0
645506	1.0	0.0
151050	1469.0	816.0
645520	0.0	0.0
63941	1729.0	5378.0
63940	268.0	855.0
63943	401.0	322.0
728517	0.0	0.0
163033	703.0	880.0
258010	2875.0	3288.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8081.0	6377.0
100033804	0.0	0.0
3717	972.0	555.0
100033805	0.0	0.0
3718	212.0	370.0
63939	1051.0	1093.0
100033806	0.0	0.0
100190799	2.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	100.0	90.0
3710	10690.0	3571.0
3712	12067.0	11075.0
3713	3.0	4.0
3714	2727.0	2259.0
63950	0.0	1.0
728505	0.0	0.0
63951	204.0	486.0
100033807	0.0	0.0
728501	44.0	35.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14401.0	25842.0
100033814	0.0	0.0
3727	9579.0	13554.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	18597.0	19789.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1359.0	1223.0
151056	95.0	192.0
3725	27102.0	46826.0
645528	0.0	0.0
728532	20.0	9.0
163059	402.0	276.0
728538	1.0	0.0
728537	79.0	28.0
63967	6.0	15.0
3737	21.0	1.0
3738	11.0	9.0
3739	112.0	2.0
645538	0.0	0.0
3730	1189.0	1175.0
3732	18610.0	4124.0
3734	21.0	25.0
3735	7012.0	8570.0
3736	17.0	0.0
63970	82.0	36.0
3750	203.0	88.0
63971	2764.0	4760.0
63974	0.0	0.0
163049	2165.0	1859.0
63973	0.0	0.0
63976	3379.0	29.0
222068	17735.0	9401.0
63978	0.0	0.0
63977	360.0	328.0
63979	410.0	381.0
728524	0.0	0.0
3748	1264.0	105.0
163051	44.0	58.0
3749	774.0	339.0
163050	54.0	38.0
3741	12.0	14.0
645548	2.0	0.0
3743	0.0	2.0
3744	0.0	0.0
3745	621.0	237.0
3746	7.0	28.0
3747	0.0	19.0
285671	1920.0	642.0
285672	1558.0	1663.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	573.0	94.0
285676	84.0	69.0
3761	0.0	2.0
100128657	0.0	0.0
285679	3.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	868.0	425.0
283008	14.0	21.0
3751	89.0	91.0
100873435	0.0	0.0
3752	1738.0	2408.0
100873434	0.0	0.0
3753	1.0	1.0
100873433	1.0	0.0
3754	24.0	5.0
100873432	0.0	0.0
3755	2562.0	544.0
100873439	0.0	0.0
3756	111.0	7.0
100873438	0.0	0.0
3757	1111.0	744.0
100873437	0.0	0.0
3758	128.0	3.0
100873436	0.0	0.0
100873420	6.0	2.0
3770	61.0	114.0
3772	5259.0	136.0
100861458	0.0	0.0
100861453	7.0	10.0
100861455	0.0	0.0
1107	18948.0	15598.0
1106	6056.0	4940.0
1105	1499.0	1303.0
1104	1034.0	1743.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2598.0	1185.0
1101	89.0	71.0
3762	19061.0	446.0
100873424	0.0	0.0
3763	0.0	52.0
100128640	275.0	353.0
100873423	0.0	0.0
3764	492.0	427.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	1.0	0.0
3766	15.0	11.0
100873428	0.0	0.0
3767	2133.0	928.0
100873427	0.0	0.0
3768	81.0	210.0
1109	0.0	0.0
100873426	0.0	0.0
1108	15260.0	9537.0
3769	368.0	5.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	65.0	18.0
100873453	0.0	0.0
3781	163.0	3078.0
100873452	0.0	0.0
3782	226.0	144.0
100873451	0.0	0.0
3783	4341.0	7903.0
100873450	0.0	0.0
1121	1225.0	1213.0
100861468	0.0	0.0
1120	147.0	94.0
100861469	0.0	0.0
1118	2.0	51.0
1117	19.0	6532.0
1116	44.0	221.0
1114	1374.0	835.0
1113	21.0	2714.0
1112	4737.0	3261.0
1111	13857.0	516.0
3773	6573.0	0.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1610.0	1335.0
100873455	0.0	0.0
3776	98.0	85.0
100873454	0.0	0.0
3777	372.0	2814.0
3778	9445.0	2601.0
3779	4391.0	1459.0
100873459	0.0	0.0
1119	6910.0	1649.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	328.0	890.0
100128628	1.0	1.0
3791	3617.0	739.0
100873442	0.0	0.0
3792	73.0	21.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	5.0
1131	5626.0	313.0
1130	1203.0	804.0
100861476	3.0	0.0
1129	0.0	0.0
1128	25.0	11759.0
1124	258.0	796.0
1123	1428.0	297.0
1122	207.0	453.0
100861470	0.0	0.0
3784	33974.0	1940.0
100873446	0.0	0.0
3785	9.0	522.0
100873445	0.0	0.0
3786	99.0	205.0
100873444	0.0	0.0
3787	2742.0	295.0
100873443	0.0	0.0
3788	76.0	28.0
100873449	5.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	77.0	90.0
100128618	0.0	0.0
728597	0.0	9.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	593.0	111.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	4.0
285634	2.0	0.0
1142	0.0	0.0
1141	5.0	25.0
285636	2347.0	1953.0
1140	645.0	228.0
728599	3.0	2.0
1139	3.0	46.0
1138	15.0	194.0
1137	1.0	4.0
100861485	0.0	0.0
1136	6.0	26.0
1135	32.0	5833.0
1134	0.0	5.0
1133	5.0	2.0
3795	379.0	266.0
100873479	7.0	12.0
3796	893.0	896.0
100873478	0.0	0.0
3797	524.0	694.0
100873477	0.0	0.0
3798	26.0	26.0
100873476	0.0	0.0
3799	9729.0	11847.0
100873460	0.0	0.0
728586	8.0	24.0
285641	1.0	0.0
100873464	0.0	1.0
100873463	0.0	1.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2728.0	697.0
1153	24951.0	23400.0
1152	25199.0	74580.0
285647	18.0	27.0
728589	6.0	2.0
728588	18.0	1.0
1149	2.0	0.0
1147	1318.0	1410.0
1146	1.0	1.0
1145	51.0	31.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	351.0	463.0
1163	729.0	477.0
285659	0.0	0.0
1161	289.0	297.0
1160	264.0	116.0
1159	20.0	192.0
1158	111.0	18.0
1157	0.0	0.0
1155	2574.0	3746.0
550643	2342.0	1858.0
283025	3.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	11947.0	1846.0
1175	2632.0	4211.0
285668	6.0	1.0
1174	1622.0	3495.0
1173	25426.0	20936.0
550631	162.0	124.0
100873489	0.0	0.0
283014	3.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	14.0	28.0
1186	3974.0	3354.0
1185	821.0	747.0
1184	454.0	321.0
1183	617.0	343.0
1182	8488.0	10001.0
1181	1758.0	483.0
440375	38.0	41.0
1180	4.0	6.0
1179	0.0	0.0
1178	0.0	0.0
283089	9.0	15.0
85495	0.0	0.0
85480	84.0	122.0
283080	1.0	0.0
1198	3016.0	2226.0
1197	2.0	1.0
1196	1774.0	1242.0
1195	2755.0	1643.0
440366	0.0	0.0
1193	229.0	248.0
1192	8217.0	21553.0
1191	486129.0	13271.0
1188	323.0	19.0
283078	220.0	729.0
85486	4.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	12.0	67.0
440396	24.0	23.0
128609	0.0	0.0
128602	29.0	5.0
440387	2.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	0.0
100861402	3.0	1.0
126014	27.0	102.0
440335	3139.0	1632.0
100128690	0.0	0.0
114034	748.0	690.0
126006	65.0	28.0
114036	10.0	4.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	66.0	110.0
100861412	1.0	0.0
105180390	0.0	4.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	5.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	201.0	185.0
440356	10.0	3.0
440354	66.0	36.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	2.0	1.0
100873411	0.0	0.0
100128675	4.0	11.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	98.0	33.0
100861435	0.0	2.0
100861436	0.0	0.0
440345	22.0	17.0
200734	1889.0	1584.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4732.0	2707.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	0.0	1.0
165530	18.0	26.0
85409	115.0	86.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	54.0
106481383	1.0	0.0
85417	237.0	18.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	175.0	113198.0
106481389	0.0	0.0
85415	1016.0	6567.0
106481387	0.0	0.0
85413	0.0	59.0
106481388	4.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	15.0	6.0
106481380	0.0	0.0
11	0.0	0.0
403341	629.0	474.0
12	24.0	216.0
13	0.0	0.0
14	7375.0	8997.0
15	5.0	0.0
16	12451.0	10594.0
645455	5.0	4.0
18	708.0	6091.0
19	2369.0	1424.0
128580	2.0	4.0
85407	906.0	141.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1484.0	1617.0
106481395	0.0	0.0
85403	2553.0	2438.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	3233.0	4551.0
106481390	0.0	0.0
21	4070.0	3365.0
106481391	0.0	0.0
22	1032.0	1163.0
153571	430.0	441.0
153572	205.0	577.0
23	3720.0	4764.0
24	740.0	11.0
25	8795.0	5479.0
26	8.0	8349.0
27	1360.0	1063.0
28	708.0	639.0
29	2570.0	4257.0
153579	341.0	28.0
728615	0.0	0.0
728614	0.0	0.0
200765	119.0	162.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	103.0	9.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	28.0	3.0
106481361	1.0	0.0
85439	347.0	150.0
106481362	0.0	0.0
106481367	2.0	0.0
85437	2728.0	3195.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	115.0	70.0
106481366	0.0	0.0
30	3631.0	6300.0
106481360	0.0	0.0
31	9835.0	9782.0
32	5781.0	975.0
33	271.0	805.0
34	3502.0	2582.0
35	1032.0	1192.0
153562	1786.0	2464.0
36	2481.0	4636.0
37	24699.0	11226.0
38	4614.0	3640.0
440307	14.0	8.0
39	441.0	2419.0
165545	4.0	0.0
106481369	0.0	0.0
728606	10.0	214.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	82.0	29.0
106481370	0.0	0.0
41	108.0	819.0
106481371	0.0	0.0
43	310.0	212.0
645486	0.0	0.0
47	5443.0	21687.0
48	3261.0	2546.0
49	13.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	3.0	2.0
106481340	0.0	0.0
85458	4934.0	2346.0
106481345	0.0	0.0
85459	580.0	331.0
106481346	0.0	0.0
