id	9feb9cef-8d78-43c5-8760-2641bb539b48	90dcc0ac-a55e-4551-9573-022c10d1c0e1
1068	0.0	0.0
85369	1783.0	3357.0
85366	11.0	1.0
85364	1586.0	1814.0
85365	7063.0	3767.0
85363	1873.0	2727.0
85360	683.0	850.0
1080	177.0	858.0
85391	4.0	16.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	699.0	717.0
1087	1.0	21.0
1086	0.0	0.0
440279	19.0	7.0
1085	1.0	1.0
1084	4.0	14.0
440278	170.0	248.0
1082	0.0	0.0
403294	0.0	0.0
440275	2679.0	8679.0
1081	107.0	17.0
85397	6.0	0.0
85395	598.0	838.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	8.0	2.0
440270	743.0	1294.0
1089	2.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	77.0	138.0
285598	446.0	471.0
126133	1572.0	2359.0
128790	0.0	0.0
126129	190.0	139.0
126123	1.0	10.0
442862	0.0	0.0
126119	1343.0	1511.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	2.0	0.0
442895	0.0	0.0
114131	0.0	7.0
442896	0.0	0.0
114132	5.0	7.0
442897	0.0	0.0
442898	1.0	1.0
114134	252.0	476.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	2.0
100128788	53.0	274.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	30.0
442890	0.0	0.0
442891	2.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	498.0	652.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	2.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	25.0	4.0
102466616	0.0	0.0
126052	1.0	0.0
151009	21.0	67.0
403227	0.0	0.0
403228	0.0	0.0
138046	8.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	17.0	49.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1831.0	3017.0
107131122	0.0	1.0
138050	4508.0	8636.0
403219	0.0	0.0
151011	3105.0	3341.0
645587	2.0	1.0
165679	14.0	916.0
126037	309.0	45.0
114049	5303.0	5355.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	3.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	16297.0	551.0
100033821	4.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1710.0	2074.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	94.0	171.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	1.0
138065	118.0	27.0
645598	0.0	2.0
163007	1.0	1.0
114038	41.0	1.0
645591	2.0	0.0
106481495	0.0	0.0
114041	1.0	31.0
106481496	0.0	0.0
114042	1.0	4.0
106481493	0.0	0.0
114043	7.0	10.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	153.0	386.0
126017	283.0	1501.0
106481497	0.0	1.0
106481498	1.0	0.0
85303	1.0	0.0
85300	161.0	304.0
85301	901.0	1791.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	911.0	4026.0
106481459	0.0	0.0
26994	4991.0	6645.0
106481457	5.0	7.0
26995	2483.0	3835.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	6360.0	2367.0
403273	0.0	0.0
102466658	0.0	3.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	5.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2435.0	3805.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	3.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	0.0
106481471	0.0	0.0
85329	15.0	1.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	944.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	766.0	1289.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	7.0
106481437	0.0	0.0
26974	225.0	548.0
153657	134.0	53.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	879.0	1486.0
165631	16.0	43.0
106481436	0.0	0.0
26978	10.0	21.0
126075	1148.0	3126.0
106481439	0.0	0.0
403250	0.0	0.0
126074	339.0	471.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2744.0	4810.0
106481444	4.0	13.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	4.0	0.0
85358	560.0	1572.0
85354	0.0	0.0
85352	550.0	370.0
403241	0.0	0.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	623.0	810.0
153643	54.0	26.0
403247	0.0	0.0
403248	0.0	0.0
26985	2983.0	5915.0
106481448	0.0	0.0
26986	47840.0	80251.0
126069	50.0	155.0
106481449	0.0	0.0
126068	717.0	572.0
106481446	0.0	0.0
26983	0.0	0.0
26984	771.0	1086.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	470.0	34.0
106481455	0.0	3.0
85349	68.0	31.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	2.0	5.0
106481454	0.0	1.0
403238	0.0	0.0
85344	33.0	12.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	4.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	2.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	1.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1089.0	7789.0
100873390	0.0	0.0
728556	58.0	327.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	53.0	116.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	327.0	354.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	40.0	35.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	0.0
285600	73.0	73.0
100873384	0.0	0.0
285601	13.0	35.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	74.0	105.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	543.0	643.0
222008	7.0	720.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4773.0	6619.0
63904	0.0	0.0
106481430	1.0	0.0
163071	16.0	12.0
63906	900.0	1137.0
106481433	1.0	0.0
63908	863.0	945.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	9.0
285613	43.0	249.0
63920	456.0	509.0
63923	1.0	6.0
63922	339.0	908.0
728577	21.0	64.0
63925	1258.0	2386.0
63924	61.0	3.0
63916	2438.0	5063.0
63917	2605.0	5853.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	1.0
728564	4.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	944.0	1301.0
106481402	0.0	0.0
63931	1964.0	2891.0
106481403	0.0	2.0
63934	361.0	729.0
728567	4.0	1.0
106481408	0.0	0.0
163088	4.0	5.0
63933	3878.0	2689.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3126.0	3501.0
163087	599.0	652.0
728568	394.0	597.0
106481407	7.0	10.0
3704	2216.0	3082.0
3705	9899.0	12582.0
63926	1076.0	866.0
3706	24.0	37.0
63929	1190.0	1394.0
3707	2708.0	6502.0
63928	198.0	734.0
3708	15811.0	3274.0
106481411	0.0	0.0
3709	1214.0	3405.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	8.0	19.0
3702	72.0	144.0
3703	28415.0	20425.0
645506	0.0	0.0
151050	1361.0	1756.0
645520	0.0	0.0
63941	1348.0	9067.0
63940	424.0	693.0
63943	485.0	602.0
728517	0.0	0.0
163033	464.0	928.0
258010	2419.0	3645.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	7629.0	9137.0
100033804	0.0	0.0
3717	617.0	979.0
100033805	0.0	0.0
3718	170.0	442.0
63939	555.0	1032.0
100033806	0.0	0.0
100190799	1.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	72.0	142.0
3710	10897.0	4679.0
3712	9934.0	21801.0
3713	24.0	25.0
3714	2699.0	3006.0
63950	0.0	11.0
728505	1.0	0.0
63951	175.0	465.0
100033807	0.0	0.0
728501	47.0	69.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	18871.0	73576.0
100033814	0.0	0.0
3727	8716.0	29608.0
63948	2.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	16787.0	28344.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1191.0	1717.0
151056	79.0	229.0
3725	14394.0	67305.0
645528	3.0	0.0
728532	19.0	24.0
163059	449.0	552.0
728538	0.0	0.0
728537	92.0	168.0
63967	13.0	43.0
3737	9.0	12.0
3738	8.0	34.0
3739	57.0	1.0
645538	0.0	0.0
3730	1989.0	1120.0
3732	19925.0	6834.0
3734	32.0	58.0
3735	6879.0	9756.0
3736	4.0	3.0
63970	109.0	59.0
3750	116.0	147.0
63971	2335.0	7659.0
63974	0.0	1.0
163049	2016.0	2270.0
63973	0.0	0.0
63976	2664.0	61.0
222068	18460.0	12067.0
63978	0.0	0.0
63977	439.0	868.0
63979	342.0	431.0
728524	0.0	0.0
3748	1199.0	425.0
163051	49.0	43.0
3749	596.0	605.0
163050	42.0	54.0
3741	13.0	11.0
645548	0.0	2.0
3743	4.0	4.0
3744	0.0	0.0
3745	241.0	326.0
3746	5.0	10.0
3747	2.0	971.0
285671	1595.0	627.0
285672	1291.0	1559.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	167.0	155.0
285676	56.0	129.0
3761	2.0	2.0
100128657	0.0	0.0
285679	2.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	560.0	328.0
283008	2.0	4.0
3751	44.0	12.0
100873435	0.0	0.0
3752	1210.0	4812.0
100873434	0.0	0.0
3753	0.0	15.0
100873433	0.0	0.0
3754	13.0	6.0
100873432	0.0	0.0
3755	1281.0	353.0
100873439	0.0	0.0
3756	126.0	16.0
100873438	0.0	0.0
3757	398.0	1061.0
100873437	0.0	0.0
3758	328.0	6.0
100873436	0.0	0.0
100873420	6.0	2.0
3770	68.0	171.0
3772	6213.0	444.0
100861458	0.0	0.0
100861453	7.0	12.0
100861455	0.0	0.0
1107	14508.0	29972.0
1106	6786.0	8598.0
1105	1744.0	1534.0
1104	1571.0	1943.0
100873429	0.0	0.0
1103	7.0	2.0
1102	2442.0	1255.0
1101	84.0	144.0
3762	22468.0	552.0
100873424	0.0	0.0
3763	48.0	101.0
100128640	183.0	295.0
100873423	0.0	0.0
3764	516.0	547.0
100873422	0.0	0.0
3765	0.0	3.0
100873421	0.0	2.0
3766	16.0	49.0
100873428	0.0	0.0
3767	2006.0	1035.0
100873427	0.0	0.0
3768	34.0	94.0
1109	0.0	0.0
100873426	0.0	2.0
1108	12748.0	13720.0
3769	626.0	5.0
100873425	0.0	1.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	10.0	3.0
100873453	0.0	0.0
3781	94.0	3312.0
100873452	0.0	1.0
3782	50.0	209.0
100873451	0.0	0.0
3783	5688.0	3692.0
100873450	0.0	0.0
1121	1149.0	1647.0
100861468	0.0	0.0
1120	203.0	330.0
100861469	0.0	0.0
1118	7.0	496.0
1117	93.0	227.0
1116	57.0	243.0
1114	1347.0	169.0
1113	4.0	1464.0
1112	3511.0	4865.0
1111	11510.0	522.0
3773	3939.0	2.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	1982.0	1163.0
100873455	0.0	0.0
3776	73.0	83.0
100873454	0.0	0.0
3777	769.0	3284.0
3778	5370.0	6326.0
3779	1725.0	2109.0
100873459	0.0	1.0
1119	7529.0	4673.0
100128627	2.0	1.0
100128626	0.0	0.0
3790	382.0	608.0
100128628	0.0	4.0
3791	2182.0	1527.0
100873442	0.0	1.0
3792	36.0	25.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	10.0
1131	3327.0	357.0
1130	1082.0	2125.0
100861476	0.0	0.0
1129	10.0	109.0
1128	30.0	12824.0
1124	187.0	491.0
1123	1019.0	608.0
1122	194.0	504.0
100861470	0.0	0.0
3784	31361.0	2166.0
100873446	0.0	0.0
3785	2.0	26.0
100873445	0.0	0.0
3786	70.0	140.0
100873444	0.0	0.0
3787	2596.0	86.0
100873443	0.0	0.0
3788	22.0	63.0
100873449	3.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	74.0	143.0
100128618	0.0	0.0
728597	0.0	5.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	601.0	1502.0
100873473	1.0	0.0
100873472	0.0	0.0
1143	8.0	6.0
285634	5.0	4.0
1142	1.0	1.0
1141	1.0	25.0
285636	1899.0	2957.0
1140	860.0	320.0
728599	4.0	2.0
1139	5.0	88.0
1138	6.0	257.0
1137	1.0	28.0
100861485	0.0	1.0
1136	0.0	21.0
1135	38.0	24790.0
1134	0.0	10.0
1133	10.0	13.0
3795	314.0	272.0
100873479	1.0	18.0
3796	857.0	1223.0
100873478	0.0	0.0
3797	498.0	953.0
100873477	6.0	3.0
3798	19.0	47.0
100873476	0.0	0.0
3799	8012.0	13244.0
100873460	0.0	0.0
728586	8.0	33.0
285641	0.0	3.0
100873464	3.0	3.0
100873463	0.0	2.0
100873462	0.0	1.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3686.0	777.0
1153	28376.0	35122.0
1152	11925.0	66937.0
285647	27.0	29.0
728589	4.0	6.0
728588	18.0	11.0
1149	4.0	2.0
1147	1388.0	1761.0
1146	0.0	4.0
1145	53.0	50.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	243.0	484.0
1163	837.0	573.0
285659	0.0	0.0
1161	308.0	451.0
1160	755.0	282.0
1159	18.0	206.0
1158	5.0	70.0
1157	0.0	0.0
1155	3291.0	3666.0
550643	2278.0	1940.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	10283.0	2265.0
1175	2289.0	10982.0
285668	1.0	5.0
1174	1433.0	4520.0
1173	25649.0	33145.0
550631	231.0	459.0
100873489	0.0	0.0
283014	3.0	5.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	84.0	73.0
1186	2996.0	5618.0
1185	711.0	1706.0
1184	489.0	545.0
1183	559.0	261.0
1182	8134.0	11654.0
1181	692.0	503.0
440375	44.0	66.0
1180	8.0	41.0
1179	0.0	0.0
1178	0.0	1.0
283089	12.0	16.0
85495	0.0	0.0
85480	51.0	113.0
283080	0.0	0.0
1198	2979.0	4772.0
1197	0.0	1.0
1196	2098.0	2636.0
1195	4713.0	6203.0
440366	0.0	3.0
1193	153.0	332.0
1192	10810.0	28515.0
1191	628042.0	26566.0
1188	579.0	38.0
283078	122.0	733.0
85486	1.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	22.0	70.0
440396	28.0	66.0
128609	0.0	0.0
128602	40.0	42.0
440387	0.0	14.0
128674	1.0	0.0
128676	0.0	0.0
114026	2.0	0.0
100861402	3.0	4.0
126014	49.0	124.0
440335	3532.0	1932.0
100128690	0.0	0.0
114034	765.0	1162.0
126006	74.0	111.0
114036	8.0	4.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	53.0	91.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	143.0	317.0
440356	13.0	10.0
440354	28.0	45.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	2.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	28.0
100873410	0.0	0.0
100873417	0.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	282.0	775.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	48.0	87.0
200734	1604.0	2497.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	10.0	28.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4335.0	5397.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	3.0
165530	16.0	51.0
85409	85.0	146.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	6.0
106481383	0.0	2.0
85417	201.0	159.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	333.0	233674.0
106481389	0.0	0.0
85415	1134.0	7740.0
106481387	0.0	0.0
85413	2.0	43.0
106481388	3.0	2.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	38.0	17.0
106481380	0.0	0.0
11	0.0	0.0
403341	608.0	697.0
12	27.0	171.0
13	0.0	0.0
14	8278.0	12715.0
15	5.0	5.0
16	14675.0	17917.0
645455	3.0	5.0
18	620.0	13149.0
19	1407.0	1407.0
128580	5.0	4.0
85407	449.0	361.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1425.0	2086.0
106481395	0.0	0.0
85403	2091.0	2942.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	2383.0	6602.0
106481390	0.0	0.0
21	4196.0	7216.0
106481391	0.0	0.0
22	872.0	1332.0
153571	239.0	489.0
153572	178.0	822.0
23	4269.0	6909.0
24	285.0	33.0
25	6885.0	9257.0
26	919.0	7271.0
27	1206.0	2174.0
28	139.0	1982.0
29	2608.0	8382.0
153579	133.0	181.0
728615	0.0	1.0
728614	0.0	0.0
200765	89.0	345.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	62.0	25.0
102466518	0.0	0.0
102466516	4.0	6.0
102466515	0.0	0.0
106481363	0.0	2.0
106481364	0.0	0.0
85438	80.0	4.0
106481361	0.0	0.0
85439	468.0	551.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2357.0	3975.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	223.0	265.0
106481366	0.0	0.0
30	3056.0	10084.0
106481360	0.0	0.0
31	7101.0	27652.0
32	4885.0	1885.0
33	212.0	4801.0
34	3311.0	2913.0
35	1105.0	1925.0
153562	1234.0	1281.0
36	2069.0	10119.0
37	25834.0	25838.0
38	5772.0	5438.0
440307	20.0	31.0
39	933.0	9463.0
165545	5.0	29.0
106481369	0.0	0.0
728606	8.0	3489.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	42.0	2.0
106481370	0.0	0.0
41	52.0	763.0
106481371	0.0	0.0
43	303.0	257.0
645486	0.0	0.0
47	4789.0	33085.0
48	3186.0	3889.0
49	5.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	0.0	1.0
106481340	0.0	0.0
85458	3804.0	3240.0
106481345	0.0	0.0
