id	a5f5e1b6-9947-442f-a106-9df71b3a2e75	619af800-bb88-4a0b-9a4b-0259a0f99ff3
1068	0.0	0.0
85369	2014.0	2048.0
85366	22.0	4.0
85364	1811.0	1639.0
85365	2184.0	3030.0
85363	1041.0	1743.0
85360	2390.0	866.0
1080	89.0	1345.0
85391	1.0	12.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	437.0	822.0
1087	7.0	6.0
1086	0.0	0.0
440279	8.0	9.0
1085	1.0	0.0
1084	1.0	6.0
440278	96.0	163.0
1082	0.0	1.0
403294	0.0	0.0
440275	3546.0	5045.0
1081	5.0	76.0
85397	0.0	0.0
85395	504.0	825.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	1.0	0.0
1092	0.0	0.0
440270	267.0	132.0
1089	13.0	15.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	139.0	69.0
285598	475.0	284.0
126133	1185.0	1879.0
128790	0.0	0.0
126129	240.0	225.0
126123	3.0	14.0
442862	0.0	0.0
126119	880.0	978.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	46.0	12.0
442896	1.0	0.0
114132	9.0	6.0
442897	0.0	0.0
442898	1.0	0.0
114134	396.0	968.0
442899	0.0	0.0
100128790	0.0	1.0
128760	3.0	3.0
100128788	67.0	130.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	292.0	270.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	20.0	25.0
102466616	0.0	0.0
126052	1.0	0.0
151009	49.0	156.0
403227	0.0	0.0
403228	0.0	0.0
138046	10.0	10.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1606.0	3990.0
107131122	0.0	0.0
138050	5941.0	7712.0
403219	0.0	0.0
151011	2882.0	2895.0
645587	0.0	0.0
165679	648.0	1058.0
126037	48.0	44.0
114049	4585.0	6664.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1278.0	568.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1519.0	2530.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	130.0	351.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	11.0	5.0
645598	0.0	1.0
163007	2.0	2.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	0.0
114041	15.0	6.0
106481496	0.0	0.0
114042	7.0	1.0
106481493	0.0	0.0
114043	18.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	92.0	137.0
126017	1414.0	956.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1551.0	323.0
85301	2065.0	565.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1230.0	8298.0
106481459	0.0	0.0
26994	6932.0	9747.0
106481457	4.0	1.0
26995	2018.0	4488.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1684.0	4189.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	3.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3106.0	3622.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8.0	12.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	246.0	175.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	643.0	1155.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	16.0
106481437	0.0	0.0
26974	311.0	341.0
153657	32.0	19.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1265.0	2019.0
165631	32.0	28.0
106481436	0.0	1.0
26978	16.0	13.0
126075	2199.0	1993.0
106481439	0.0	0.0
403250	0.0	0.0
126074	254.0	448.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4228.0	4123.0
106481444	3.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1347.0	980.0
85354	0.0	0.0
85352	1165.0	359.0
403241	0.0	2.0
344462	4.0	8.0
403244	0.0	0.0
403245	0.0	0.0
153642	655.0	883.0
153643	12.0	129.0
403247	0.0	0.0
403248	0.0	0.0
26985	2846.0	3028.0
106481448	0.0	0.0
26986	53524.0	122501.0
126069	128.0	93.0
106481449	0.0	0.0
126068	300.0	264.0
106481446	0.0	0.0
26983	0.0	0.0
26984	729.0	924.0
106481447	0.0	0.0
106481451	0.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	88.0	26.0
106481455	0.0	0.0
85349	20.0	61.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	7.0	8.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	5.0
85340	0.0	0.0
100873394	4.0	0.0
100873393	0.0	0.0
100873392	10.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	2.0	0.0
100128811	1.0	5.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2381.0	5160.0
100873390	0.0	0.0
728556	31.0	100.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	52.0	49.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	363.0	494.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	1.0	0.0
100873382	0.0	0.0
100873381	13.0	13.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	84.0	81.0
100873384	0.0	0.0
285601	16.0	7.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	80.0	62.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	359.0	843.0
222008	3312.0	21.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	5932.0	4609.0
63904	0.0	0.0
106481430	1.0	1.0
163071	40.0	10.0
63906	987.0	896.0
106481433	0.0	0.0
63908	687.0	738.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	53.0	100.0
63920	418.0	267.0
63923	2.0	19.0
63922	411.0	446.0
728577	28.0	52.0
63925	1736.0	1731.0
63924	58.0	9.0
63916	3765.0	3556.0
63917	3965.0	3780.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	7.0
728564	3.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1078.0	1590.0
106481402	0.0	0.0
63931	1457.0	2209.0
106481403	0.0	0.0
63934	458.0	520.0
728567	16.0	22.0
106481408	0.0	0.0
163088	6.0	3.0
63933	1287.0	2813.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3587.0	2995.0
163087	645.0	489.0
728568	420.0	776.0
106481407	9.0	7.0
3704	2100.0	3390.0
3705	10342.0	8988.0
63926	246.0	698.0
3706	94.0	22.0
63929	905.0	1589.0
3707	6333.0	3426.0
63928	153.0	172.0
3708	8801.0	2618.0
106481411	0.0	0.0
3709	973.0	3588.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	20.0	13.0
3702	76.0	209.0
3703	6772.0	18294.0
645506	2.0	0.0
151050	862.0	1012.0
645520	0.0	0.0
63941	5000.0	7981.0
63940	563.0	545.0
63943	280.0	309.0
728517	0.0	0.0
163033	883.0	754.0
258010	2486.0	4205.0
63947	1.0	0.0
63946	0.0	0.0
728513	1.0	6.0
100033803	0.0	0.0
3716	6677.0	8443.0
100033804	0.0	0.0
3717	742.0	668.0
100033805	0.0	0.0
3718	331.0	308.0
63939	1287.0	670.0
100033806	0.0	0.0
100190799	1.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	83.0	70.0
3710	1120.0	2928.0
3712	7794.0	10540.0
3713	4.0	4.0
3714	2615.0	2406.0
63950	4.0	0.0
728505	1.0	0.0
63951	326.0	415.0
100033807	0.0	0.0
728501	52.0	74.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9834.0	18456.0
100033814	0.0	0.0
3727	15980.0	17614.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	16972.0	25757.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	849.0	1150.0
151056	253.0	190.0
3725	25953.0	19117.0
645528	2.0	0.0
728532	35.0	19.0
163059	347.0	423.0
728538	0.0	0.0
728537	45.0	43.0
63967	14.0	12.0
3737	30.0	3.0
3738	9.0	17.0
3739	2.0	5.0
645538	0.0	0.0
3730	910.0	2190.0
3732	2815.0	4130.0
3734	18.0	14.0
3735	7383.0	13761.0
3736	1.0	1.0
63970	125.0	18.0
3750	269.0	185.0
63971	4052.0	3597.0
63974	0.0	0.0
163049	1987.0	1935.0
63973	0.0	1.0
63976	78.0	51.0
222068	7167.0	14887.0
63978	0.0	0.0
63977	407.0	370.0
63979	308.0	346.0
728524	0.0	0.0
3748	177.0	271.0
163051	70.0	43.0
3749	673.0	408.0
163050	31.0	36.0
3741	64.0	28.0
645548	2.0	5.0
3743	3.0	0.0
3744	0.0	0.0
3745	1515.0	261.0
3746	33.0	47.0
3747	582.0	2405.0
285671	1178.0	668.0
285672	2670.0	2156.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1174.0	127.0
285676	80.0	49.0
3761	1.0	0.0
100128657	0.0	0.0
285679	4.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	261.0	145.0
283008	1.0	1.0
3751	4.0	60.0
100873435	0.0	0.0
3752	2927.0	5554.0
100873434	0.0	0.0
3753	0.0	4.0
100873433	0.0	0.0
3754	72.0	12.0
100873432	0.0	0.0
3755	1125.0	402.0
100873439	0.0	0.0
3756	30.0	5.0
100873438	0.0	0.0
3757	3509.0	1709.0
100873437	0.0	0.0
3758	7.0	3.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	139.0	67.0
3772	310.0	248.0
100861458	1.0	0.0
100861453	4.0	19.0
100861455	0.0	0.0
1107	16786.0	16757.0
1106	5475.0	5429.0
1105	1606.0	3134.0
1104	903.0	2601.0
100873429	0.0	0.0
1103	0.0	1.0
1102	1411.0	1245.0
1101	26.0	31.0
3762	367.0	204.0
100873424	0.0	1.0
3763	131.0	181.0
100128640	187.0	386.0
100873423	0.0	0.0
3764	1936.0	757.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	1.0	0.0
3766	24.0	10.0
100873428	0.0	0.0
3767	288.0	911.0
100873427	0.0	0.0
3768	93.0	315.0
1109	2.0	0.0
100873426	1.0	0.0
1108	9822.0	11360.0
3769	0.0	3.0
100873425	0.0	0.0
100128637	2.0	3.0
100128639	2.0	0.0
3780	53.0	14.0
100873453	0.0	0.0
3781	413.0	643.0
100873452	0.0	0.0
3782	600.0	317.0
100873451	0.0	0.0
3783	1261.0	929.0
100873450	0.0	0.0
1121	1166.0	1496.0
100861468	0.0	0.0
1120	299.0	145.0
100861469	0.0	0.0
1118	81.0	231.0
1117	101.0	668.0
1116	211.0	643.0
1114	479.0	2249.0
1113	5003.0	7097.0
1112	5148.0	5726.0
1111	278.0	539.0
3773	39.0	49.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	453.0	3251.0
100873455	0.0	0.0
3776	28.0	39.0
100873454	0.0	0.0
3777	4032.0	1702.0
3778	11114.0	4639.0
3779	14526.0	2894.0
100873459	0.0	0.0
1119	2129.0	3336.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	419.0	850.0
100128628	2.0	7.0
3791	2912.0	1874.0
100873442	0.0	0.0
3792	24.0	19.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	11.0
1131	94.0	3766.0
1130	973.0	908.0
100861476	0.0	0.0
1129	2.0	1.0
1128	10909.0	3685.0
1124	1103.0	2596.0
1123	2268.0	728.0
1122	279.0	711.0
100861470	0.0	0.0
3784	653.0	1546.0
100873446	0.0	0.0
3785	53.0	327.0
100873445	1.0	0.0
3786	189.0	76.0
100873444	0.0	0.0
3787	31.0	43.0
100873443	0.0	0.0
3788	24.0	23.0
100873449	0.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	80.0	72.0
100128618	0.0	1.0
728597	2.0	7.0
100128617	1.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	162.0	58.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	1.0
285634	2.0	4.0
1142	0.0	0.0
1141	17.0	10.0
285636	2347.0	2658.0
1140	385.0	234.0
728599	1.0	7.0
1139	17.0	9.0
1138	163.0	691.0
1137	8.0	3.0
100861485	0.0	0.0
1136	29.0	144.0
1135	5763.0	8802.0
1134	51.0	10.0
1133	7.0	21.0
3795	297.0	229.0
100873479	1.0	18.0
3796	406.0	798.0
100873478	0.0	0.0
3797	645.0	527.0
100873477	1.0	0.0
3798	71.0	38.0
100873476	0.0	0.0
3799	17539.0	16191.0
100873460	0.0	0.0
728586	13.0	23.0
285641	1.0	3.0
100873464	2.0	0.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	4.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	569.0	698.0
1153	23334.0	27211.0
1152	54284.0	31743.0
285647	8.0	16.0
728589	2.0	6.0
728588	2.0	1.0
1149	2.0	0.0
1147	1023.0	1377.0
1146	7.0	1.0
1145	25.0	63.0
1144	14.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	494.0	1094.0
1163	397.0	428.0
285659	0.0	0.0
1161	247.0	317.0
1160	509.0	388.0
1159	205.0	1105.0
1158	2570.0	83.0
1157	0.0	0.0
1155	3411.0	3417.0
550643	2156.0	2616.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2970.0	3474.0
1175	6178.0	8510.0
285668	2.0	3.0
1174	2068.0	3767.0
1173	28788.0	25695.0
550631	130.0	145.0
100873489	0.0	0.0
283014	12.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	22.0	5.0
1186	2815.0	4876.0
1185	1139.0	1023.0
1184	272.0	1049.0
1183	280.0	153.0
1182	3748.0	13018.0
1181	327.0	644.0
440375	17.0	35.0
1180	3.0	2.0
1179	0.0	0.0
1178	1.0	0.0
283089	10.0	6.0
85495	0.0	0.0
85480	741.0	207.0
283080	0.0	0.0
1198	3342.0	3845.0
1197	1.0	0.0
1196	1998.0	2055.0
1195	4512.0	5053.0
440366	1.0	1.0
1193	310.0	490.0
1192	17261.0	33617.0
1191	68114.0	29216.0
1188	74.0	19.0
283078	2226.0	1382.0
85486	10.0	17.0
128615	0.0	0.0
85481	0.0	0.0
128611	26.0	36.0
440396	71.0	25.0
128609	0.0	0.0
128602	20.0	133.0
440387	0.0	1.0
128674	0.0	0.0
128676	2.0	0.0
114026	0.0	1.0
100861402	6.0	2.0
126014	59.0	120.0
440335	1052.0	444.0
100128690	0.0	0.0
114034	978.0	828.0
126006	64.0	10.0
114036	9.0	14.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	115.0	95.0
100861412	1.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	3.0
100861429	0.0	0.0
128653	0.0	0.0
200728	143.0	237.0
440356	4.0	8.0
440354	41.0	53.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	46.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	19.0	10.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	17.0	23.0
200734	1697.0	3606.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	7.0	6.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3977.0	4274.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	6.0
165530	45.0	89.0
85409	319.0	202.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	250.0
106481383	0.0	1.0
85417	7.0	49.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	67183.0	66701.0
106481389	0.0	0.0
85415	2265.0	16770.0
106481387	0.0	0.0
85413	1.0	5.0
106481388	0.0	0.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	15.0	33.0
106481380	0.0	0.0
11	0.0	0.0
403341	679.0	653.0
12	23.0	241.0
13	1.0	0.0
14	7839.0	13819.0
15	2.0	2.0
16	9551.0	13483.0
645455	3.0	2.0
18	3421.0	6198.0
19	547.0	1000.0
128580	7.0	7.0
85407	1268.0	556.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	856.0	1430.0
106481395	0.0	1.0
85403	1430.0	2443.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2979.0	4658.0
106481390	0.0	0.0
21	1951.0	2653.0
106481391	0.0	0.0
22	689.0	1376.0
153571	266.0	444.0
153572	717.0	2136.0
23	5133.0	6774.0
24	10.0	39.0
25	9318.0	8189.0
26	3331.0	555.0
27	1500.0	2566.0
28	548.0	433.0
29	6579.0	5514.0
153579	341.0	105.0
728615	0.0	0.0
728614	0.0	0.0
200765	232.0	184.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	33.0	31.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	3.0
106481364	0.0	0.0
85438	15.0	0.0
106481361	0.0	0.0
85439	386.0	133.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2737.0	3304.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	128.0	133.0
106481366	0.0	0.0
30	6061.0	9357.0
106481360	0.0	0.0
31	6655.0	8325.0
32	2271.0	1374.0
33	890.0	946.0
34	1146.0	2721.0
35	1903.0	2659.0
153562	837.0	2745.0
36	2642.0	4805.0
37	16420.0	24488.0
38	2475.0	5320.0
440307	19.0	11.0
39	1616.0	2449.0
165545	2.0	12.0
106481369	0.0	0.0
728606	177.0	1665.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	1.0
40	22.0	24.0
106481370	0.0	0.0
41	875.0	779.0
106481371	0.0	0.0
43	294.0	1231.0
645486	0.0	0.0
47	8407.0	24138.0
48	7126.0	5959.0
49	27.0	17.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	0.0	2.0
106481341	0.0	0.0
106481342	3.0	3.0
106481340	0.0	0.0
85458	4402.0	2528.0
106481345	1.0	0.0
