id	06f6022f-d28b-4c80-ac20-ee5923b5e0b5	494ca558-baef-4580-9662-19f2b8527858
285550	1529.0	1255.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	13.0
3640	4.0	5.0
3638	5342.0	4855.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2941.0	1745.0
100873313	0.0	0.0
3632	4714.0	3613.0
100873312	0.0	2.0
100873311	1.0	0.0
3633	2029.0	997.0
100873318	0.0	0.0
3635	2908.0	1213.0
100873317	0.0	0.0
3636	7440.0	9767.0
100128771	43.0	50.0
100873316	8.0	6.0
100873315	0.0	0.0
100128766	0.0	7.0
3651	0.0	0.0
1	23.0	7.0
2	81540.0	39804.0
100873309	0.0	0.0
100873308	0.0	0.0
3	33.0	12.0
3641	0.0	0.0
100873303	0.0	0.0
9	503.0	705.0
3642	85.0	34.0
100873302	0.0	0.0
3643	6316.0	7179.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	92.0	16.0
100873307	0.0	0.0
3646	16691.0	27255.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	191.0	90.0
100873304	1.0	0.0
100873332	0.0	2.0
3660	2996.0	2757.0
100873331	0.0	0.0
3661	1979.0	1615.0
100873330	0.0	0.0
285577	0.0	26.0
3662	233.0	171.0
100128756	0.0	0.0
1000	2680.0	295.0
3652	1603.0	1737.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	34.0	13.0
3654	6977.0	13561.0
100873334	0.0	0.0
3655	8409.0	7807.0
100873333	0.0	1.0
3656	544.0	483.0
100873339	0.0	0.0
3658	6020.0	7692.0
100873338	0.0	0.0
3659	3387.0	2208.0
100873337	1.0	0.0
3670	1727.0	515.0
100873321	0.0	0.0
3671	8471.0	2556.0
100873320	0.0	0.0
3672	33094.0	6990.0
285588	0.0	0.0
3673	4417.0	1802.0
1011	0.0	0.0
1010	9.0	0.0
1008	2871.0	359.0
1007	1.0	0.0
1006	50.0	5.0
1005	294.0	169.0
1004	193.0	161.0
1003	1227.0	754.0
1002	34.0	55.0
1001	3726.0	3514.0
3663	478.0	314.0
100873325	0.0	0.0
3664	7119.0	8417.0
100873324	0.0	0.0
3665	525.0	1094.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3672.0	4221.0
100873329	0.0	0.0
285590	8067.0	3072.0
100873328	0.0	0.0
3669	336.0	805.0
100873327	0.0	0.0
1009	4491.0	2010.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	4.0
728477	14.0	45.0
3680	10421.0	2064.0
3681	17.0	12.0
100128733	1.0	1.0
100873354	1.0	0.0
3682	620.0	482.0
100873353	0.0	0.0
3683	1601.0	906.0
100873352	0.0	0.0
128710	611.0	1349.0
3684	1084.0	605.0
100873351	0.0	0.0
285512	90.0	110.0
1022	954.0	1496.0
