id	8a69e294-e600-432c-8900-cf8f650a8319	208eb16b-3ed5-4cfe-823d-0da9af5ba913
100873356	0.0	0.0
3678	4075.0	1741.0
3679	3193.0	932.0
100873359	0.0	0.0
728464	134.0	35.0
728463	47.0	197.0
100128725	0.0	0.0
3690	307.0	100.0
3691	15113.0	2338.0
100873343	0.0	0.0
3692	5414.0	4514.0
3693	9158.0	10500.0
285521	1577.0	1985.0
100873342	0.0	0.0
3694	3126.0	309.0
100873341	0.0	0.0
3695	185.0	138.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	41.0	129.0
1032	240.0	266.0
285525	7.0	5.0
1031	560.0	571.0
285527	5215.0	6199.0
1030	1097.0	394.0
728468	0.0	0.0
440288	188.0	216.0
1029	50.0	80.0
440295	173.0	304.0
1028	2127.0	460.0
1027	5673.0	5832.0
1026	8029.0	1484.0
1025	3393.0	2997.0
1024	1017.0	1773.0
3685	11392.0	8323.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	730.0	434.0
100873345	0.0	0.0
3688	23666.0	16629.0
100873344	1.0	0.0
3689	3931.0	2173.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	15.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	45.0	56.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	110.0	25.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	2.0
1043	523.0	272.0
1041	3.0	0.0
1040	3693.0	3515.0
1039	1814.0	1433.0
1038	0.0	1.0
1036	539.0	800.0
3696	6134.0	3781.0
3697	1.0	3.0
100873379	0.0	0.0
3698	19.0	23.0
100873378	1.0	0.0
3699	32.0	27.0
100873377	0.0	0.0
728486	9.0	5.0
100873361	0.0	0.0
105373869	3.0	0.0
100873360	0.0	0.0
285540	239.0	152.0
100128705	2.0	4.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	133.0	405.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	2819.0	2630.0
285547	0.0	0.0
1053	5.0	1.0
285548	4.0	0.0
1052	6710.0	1739.0
1051	3857.0	661.0
728489	10.0	10.0
1050	1416.0	924.0
100128707	0.0	0.0
1048	608.0	48.0
1047	2533.0	6067.0
1046	0.0	0.0
1045	77.0	581.0
100873369	7.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	2220.0	646.0
1063	258.0	1675.0
1062	159.0	500.0
1061	8.0	4.0
1060	2996.0	1960.0
440253	155.0	62.0
1059	6008.0	3983.0
1058	4.0	81.0
1057	2.0	2.0
85379	11249.0	5723.0
114112	670.0	784.0
1056	347.0	26.0
85377	4223.0	2260.0
85378	3601.0	4338.0
128745	0.0	1.0
85376	52.0	50.0
440248	645.0	880.0
1075	2338.0	1209.0
1074	8.0	23.0
1073	6537.0	1740.0
1072	30663.0	31751.0
1071	14.0	17.0
440243	0.0	0.0
1070	1270.0	540.0
1069	3877.0	2252.0
1068	0.0	0.0
85369	2750.0	1337.0
85366	6.0	0.0
85364	1884.0	1336.0
85365	4400.0	3176.0
85363	2288.0	1749.0
85360	1287.0	390.0
1080	2783.0	579.0
85391	0.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	942.0	791.0
1087	30.0	1.0
1086	0.0	0.0
440279	8.0	4.0
1085	1.0	7.0
1084	9.0	2.0
440278	172.0	200.0
1082	0.0	0.0
403294	0.0	0.0
440275	7921.0	11928.0
1081	155.0	15.0
85397	3.0	4.0
85395	508.0	690.0
403285	0.0	0.0
1091	0.0	1.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	2.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	2.0
440270	585.0	1163.0
1089	21.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	132.0	72.0
285598	788.0	294.0
126133	1674.0	1234.0
128790	0.0	0.0
126129	192.0	83.0
126123	4.0	1.0
442862	0.0	0.0
126119	668.0	1034.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	17.0	1.0
442896	0.0	0.0
114132	24.0	12.0
442897	0.0	0.0
442898	3.0	1.0
114134	915.0	843.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	4.0
100128788	81.0	167.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	7.0
442890	1.0	0.0
442891	0.0	0.0
442892	0.0	2.0
128756	0.0	0.0
100128782	653.0	335.0
100128781	0.0	4.0
403230	0.0	1.0
403231	0.0	0.0
403232	0.0	1.0
645560	0.0	2.0
403234	0.0	1.0
403235	0.0	1.0
403236	0.0	0.0
63982	5.0	20.0
102466616	0.0	0.0
126052	0.0	1.0
151009	150.0	13.0
403227	0.0	0.0
403228	0.0	0.0
138046	16.0	0.0
645558	0.0	0.0
403229	0.0	5.0
645573	0.0	0.0
645572	0.0	0.0
645571	6.0	7.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	2009.0	2923.0
107131122	0.0	1.0
138050	8157.0	10054.0
403219	3.0	0.0
151011	6680.0	3042.0
645587	1.0	0.0
165679	2199.0	420.0
126037	25.0	44.0
114049	4070.0	5705.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1356.0	519.0
100033821	2.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	1.0
85313	2808.0	1794.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	272.0	361.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	33.0	12.0
645598	0.0	1.0
163007	3.0	1.0
114038	0.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	147.0	7.0
106481496	0.0	0.0
114042	7.0	3.0
106481493	0.0	0.0
114043	1.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	216.0	399.0
126017	3029.0	3190.0
106481497	0.0	3.0
106481498	0.0	0.0
85303	0.0	1.0
85300	533.0	140.0
85301	2096.0	634.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3823.0	9927.0
106481459	0.0	0.0
26994	10047.0	5828.0
106481457	5.0	4.0
26995	2725.0	5009.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2007.0	4332.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	7.0
106481460	1.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2765.0	2833.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3.0	4.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	74.0	37.0
106481470	0.0	1.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	1554.0	1058.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	13.0
106481437	0.0	0.0
26974	364.0	794.0
153657	55.0	89.0
106481438	0.0	1.0
106481435	0.0	1.0
26973	1540.0	1576.0
165631	64.0	51.0
106481436	1.0	0.0
26978	9.0	12.0
126075	1433.0	1815.0
106481439	0.0	1.0
403250	0.0	0.0
126074	270.0	327.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2279.0	2439.0
106481444	4.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1681.0	861.0
85354	0.0	0.0
85352	792.0	242.0
403241	0.0	1.0
344462	0.0	3.0
403244	0.0	0.0
403245	0.0	1.0
153642	1173.0	712.0
153643	9.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	5621.0	5684.0
106481448	0.0	0.0
26986	83046.0	196381.0
126069	170.0	310.0
106481449	0.0	0.0
126068	610.0	500.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1100.0	875.0
106481447	0.0	0.0
106481451	2.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	69.0	16.0
106481455	0.0	1.0
85349	43.0	6.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	2.0	6.0
106481454	0.0	0.0
403238	0.0	0.0
85344	8.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	7.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	5.0
100873392	0.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	3.0
106481413	0.0	0.0
106481414	2.0	0.0
63901	5056.0	7648.0
100873390	0.0	0.0
728556	77.0	197.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	126.0	122.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	521.0	429.0
106481423	2.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	36.0	89.0
100873380	1.0	1.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	1.0
285600	266.0	156.0
100873384	0.0	0.0
285601	53.0	9.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	61.0	51.0
106481424	0.0	0.0
106481425	0.0	1.0
285605	1095.0	638.0
222008	554.0	100.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4947.0	2979.0
63904	0.0	1.0
106481430	0.0	0.0
163071	25.0	8.0
63906	905.0	889.0
106481433	0.0	0.0
63908	1130.0	725.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	124.0	153.0
63920	560.0	627.0
63923	8.0	67.0
63922	361.0	1013.0
728577	128.0	25.0
63925	1773.0	2131.0
63924	11.0	8.0
63916	5257.0	5561.0
63917	6066.0	8914.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	5.0
728564	3.0	2.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1789.0	1228.0
106481402	0.0	1.0
63931	2587.0	3003.0
106481403	1.0	0.0
63934	636.0	949.0
728567	2.0	2.0
106481408	0.0	0.0
163088	6.0	5.0
63933	3063.0	3372.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3906.0	2505.0
163087	994.0	958.0
728568	439.0	621.0
106481407	13.0	17.0
3704	1498.0	1724.0
3705	8351.0	6309.0
63926	888.0	1343.0
3706	35.0	6.0
63929	1284.0	1858.0
3707	6557.0	11955.0
63928	1227.0	28.0
3708	7247.0	7168.0
106481411	0.0	0.0
3709	5713.0	8141.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	13.0	5.0
3702	384.0	241.0
3703	15412.0	19295.0
645506	0.0	0.0
151050	2231.0	2092.0
645520	0.0	0.0
63941	4202.0	5320.0
63940	877.0	388.0
63943	319.0	377.0
728517	0.0	0.0
163033	518.0	725.0
258010	4969.0	3716.0
63947	0.0	0.0
63946	0.0	26.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11610.0	9017.0
100033804	0.0	0.0
3717	2013.0	693.0
100033805	0.0	0.0
3718	542.0	269.0
63939	2169.0	1498.0
100033806	0.0	0.0
100190799	3.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	123.0	116.0
3710	5540.0	14170.0
3712	11019.0	15545.0
3713	195.0	2.0
3714	2990.0	1288.0
63950	0.0	3.0
728505	0.0	0.0
63951	613.0	763.0
100033807	0.0	0.0
728501	19.0	33.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	24642.0	6934.0
100033814	0.0	0.0
3727	12608.0	9780.0
63948	0.0	2.0
100033815	0.0	0.0
222052	0.0	1.0
3728	22535.0	24032.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1797.0	2711.0
151056	415.0	266.0
3725	39815.0	39224.0
645528	2.0	0.0
728532	26.0	15.0
163059	364.0	468.0
728538	2.0	0.0
728537	78.0	224.0
63967	51.0	85.0
3737	43.0	9.0
3738	58.0	44.0
3739	6.0	1.0
645538	0.0	0.0
3730	1947.0	985.0
3732	7039.0	4972.0
3734	80.0	76.0
3735	7799.0	8938.0
3736	6.0	0.0
63970	123.0	24.0
3750	137.0	88.0
63971	8942.0	6568.0
63974	0.0	0.0
163049	3153.0	2995.0
63973	0.0	0.0
63976	157.0	46.0
222068	9966.0	17366.0
63978	1.0	1.0
63977	643.0	865.0
63979	748.0	972.0
728524	0.0	0.0
3748	213.0	230.0
163051	52.0	42.0
3749	852.0	251.0
163050	97.0	55.0
3741	15.0	6.0
645548	0.0	2.0
3743	3.0	2.0
3744	0.0	0.0
3745	708.0	249.0
3746	44.0	21.0
3747	288.0	983.0
285671	1270.0	855.0
285672	2563.0	2366.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	441.0	47.0
285676	190.0	195.0
3761	0.0	2.0
100128657	0.0	0.0
285679	0.0	10.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	568.0	109.0
283008	0.0	0.0
3751	55.0	9.0
100873435	0.0	0.0
3752	6485.0	6335.0
100873434	0.0	0.0
3753	6.0	7.0
100873433	0.0	0.0
3754	39.0	2.0
100873432	0.0	0.0
3755	450.0	360.0
100873439	0.0	0.0
3756	46.0	7.0
100873438	0.0	0.0
3757	1585.0	1597.0
100873437	0.0	0.0
3758	18.0	1.0
100873436	0.0	0.0
100873420	6.0	0.0
3770	121.0	228.0
3772	1228.0	38.0
100861458	0.0	0.0
100861453	21.0	6.0
100861455	0.0	0.0
1107	31381.0	26216.0
1106	9860.0	9748.0
1105	3241.0	2440.0
1104	1322.0	2848.0
100873429	0.0	0.0
1103	0.0	41.0
1102	2509.0	846.0
1101	75.0	18.0
3762	684.0	218.0
100873424	0.0	0.0
3763	269.0	32.0
100128640	205.0	442.0
100873423	0.0	0.0
3764	972.0	221.0
100873422	0.0	0.0
3765	7.0	3.0
100873421	0.0	1.0
3766	16.0	32.0
100873428	0.0	0.0
3767	809.0	1451.0
100873427	0.0	0.0
3768	134.0	19.0
1109	0.0	0.0
100873426	0.0	0.0
1108	14519.0	14033.0
3769	4.0	5.0
100873425	0.0	1.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	10.0	6.0
100873453	0.0	0.0
3781	3750.0	2812.0
100873452	0.0	1.0
3782	705.0	185.0
100873451	0.0	0.0
3783	2886.0	4646.0
100873450	0.0	0.0
1121	2781.0	1869.0
100861468	0.0	0.0
1120	138.0	167.0
100861469	0.0	0.0
1118	182.0	333.0
1117	3164.0	54.0
1116	724.0	239.0
1114	1556.0	215.0
1113	4934.0	1759.0
1112	8756.0	6992.0
1111	438.0	694.0
3773	90.0	2.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1149.0	318.0
100873455	0.0	1.0
3776	138.0	16.0
100873454	0.0	0.0
3777	12509.0	1079.0
3778	11061.0	2992.0
3779	4268.0	912.0
100873459	1.0	1.0
1119	2663.0	3597.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	551.0	1634.0
100128628	13.0	0.0
3791	2861.0	869.0
100873442	0.0	0.0
3792	27.0	41.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	2.0
1131	152.0	5115.0
1130	3241.0	2271.0
100861476	0.0	0.0
1129	169.0	12.0
1128	8674.0	6258.0
1124	759.0	4387.0
1123	983.0	346.0
1122	756.0	1524.0
100861470	0.0	0.0
3784	2640.0	1189.0
100873446	0.0	0.0
3785	9.0	209.0
100873445	0.0	0.0
3786	310.0	193.0
100873444	0.0	0.0
3787	167.0	115.0
100873443	0.0	0.0
3788	79.0	10.0
100873449	4.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	102.0	72.0
100128618	0.0	1.0
728597	3.0	4.0
100128617	3.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	231.0	96.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	26.0	0.0
285634	5.0	7.0
1142	0.0	0.0
1141	27.0	9.0
285636	3884.0	4376.0
1140	427.0	279.0
728599	6.0	3.0
1139	168.0	15.0
1138	238.0	399.0
1137	16.0	2.0
100861485	0.0	0.0
1136	40.0	47.0
1135	5842.0	17324.0
1134	35.0	15.0
1133	15.0	18.0
3795	312.0	315.0
100873479	25.0	9.0
3796	2143.0	1868.0
100873478	0.0	0.0
3797	1151.0	801.0
100873477	1.0	2.0
3798	104.0	28.0
100873476	0.0	0.0
3799	21132.0	20498.0
100873460	0.0	0.0
728586	93.0	15.0
285641	8.0	2.0
100873464	2.0	4.0
100873463	0.0	0.0
100873462	0.0	2.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	632.0	652.0
1153	27112.0	21258.0
1152	44663.0	25713.0
285647	49.0	47.0
728589	9.0	8.0
728588	1.0	0.0
1149	3.0	1.0
1147	2328.0	1759.0
1146	1.0	2.0
1145	49.0	43.0
1144	17.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	1.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	266.0	338.0
1163	677.0	470.0
285659	0.0	0.0
1161	475.0	566.0
1160	358.0	111.0
1159	155.0	106.0
1158	671.0	55.0
1157	0.0	0.0
1155	2577.0	2451.0
550643	2016.0	909.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2466.0	1374.0
1175	4112.0	3835.0
285668	8.0	3.0
1174	2880.0	4034.0
1173	23368.0	19727.0
550631	134.0	182.0
100873489	0.0	0.0
283014	5.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	1.0
283092	0.0	0.0
1187	31.0	35.0
1186	4190.0	4122.0
1185	1758.0	1622.0
1184	726.0	800.0
1183	751.0	589.0
1182	13586.0	16503.0
1181	397.0	970.0
440375	71.0	128.0
1180	24.0	7.0
1179	1.0	0.0
1178	11.0	1.0
283089	15.0	4.0
85495	0.0	0.0
85480	493.0	53.0
283080	0.0	0.0
1198	4004.0	4261.0
1197	0.0	1.0
1196	2375.0	2729.0
1195	5867.0	6247.0
440366	0.0	2.0
1193	608.0	210.0
1192	20067.0	18850.0
1191	38858.0	7644.0
1188	49.0	6.0
283078	1618.0	488.0
85486	1.0	11.0
128615	0.0	0.0
85481	0.0	0.0
128611	91.0	59.0
440396	57.0	73.0
128609	0.0	0.0
128602	5.0	1.0
440387	0.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	3.0	1.0
126014	110.0	54.0
440335	788.0	1261.0
100128690	0.0	0.0
114034	993.0	534.0
126006	45.0	43.0
114036	9.0	8.0
100128696	0.0	3.0
100128688	0.0	0.0
126003	114.0	150.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	17.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	263.0	303.0
440356	6.0	4.0
440354	99.0	57.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	58.0
100873410	0.0	0.0
100873417	2.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	9.0	18.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	47.0	163.0
200734	3080.0	1677.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	7.0
100873408	2.0	0.0
100873407	0.0	2.0
100861430	30.0	10.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5484.0	4148.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	1.0
165530	97.0	28.0
85409	141.0	79.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	220.0
106481383	2.0	2.0
85417	49.0	53.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	158623.0	136874.0
106481389	0.0	0.0
85415	9119.0	12771.0
106481387	0.0	1.0
85413	8.0	26.0
106481388	3.0	7.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	12.0	11.0
106481380	0.0	0.0
11	0.0	0.0
403341	903.0	1183.0
12	541.0	159.0
13	2.0	0.0
14	9016.0	9135.0
15	5.0	2.0
16	11080.0	12961.0
645455	17.0	30.0
18	9845.0	5629.0
19	2944.0	4610.0
128580	3.0	1.0
85407	796.0	246.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	2121.0	1976.0
106481395	0.0	1.0
85403	2955.0	2892.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	2.0
20	4962.0	9818.0
106481390	0.0	0.0
21	3557.0	7421.0
106481391	0.0	0.0
22	1410.0	1570.0
153571	208.0	242.0
153572	741.0	748.0
23	6629.0	5824.0
24	40.0	20.0
25	9311.0	11174.0
26	41429.0	1100.0
27	2395.0	3591.0
28	3654.0	214.0
29	10505.0	7022.0
153579	303.0	121.0
728615	0.0	0.0
728614	0.0	0.0
200765	246.0	263.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	47.0	139.0
102466518	0.0	0.0
102466516	1.0	1.0
102466515	0.0	0.0
106481363	1.0	1.0
106481364	0.0	0.0
85438	5.0	3.0
106481361	0.0	0.0
85439	765.0	76.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3445.0	2917.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	116.0	256.0
106481366	0.0	0.0
30	5838.0	4076.0
106481360	0.0	0.0
31	15387.0	37722.0
32	3280.0	1042.0
33	1965.0	1448.0
34	3603.0	3549.0
35	1421.0	941.0
153562	2882.0	5275.0
36	6472.0	7236.0
37	18143.0	20477.0
38	3280.0	6929.0
440307	19.0	22.0
39	3600.0	1898.0
165545	15.0	7.0
106481369	0.0	0.0
728606	209.0	1831.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	1.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	1.0	0.0
40	12.0	51.0
106481370	0.0	0.0
41	411.0	885.0
106481371	0.0	0.0
43	358.0	129.0
645486	1.0	0.0
47	25142.0	32126.0
48	5135.0	3908.0
49	10.0	4.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	3.0	5.0
106481340	0.0	0.0
85458	5262.0	2987.0
