id	913e6383-a422-4429-8385-c5ad8d90386c	d3f4a547-c742-4ed5-9cee-227735f77891
285550	1398.0	1199.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	15.0
3640	5.0	4.0
3638	3522.0	6838.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1764.0	1951.0
100873313	0.0	0.0
3632	3531.0	4282.0
100873312	0.0	1.0
100873311	1.0	0.0
3633	1199.0	1069.0
100873318	0.0	1.0
3635	3117.0	1987.0
100873317	0.0	0.0
3636	5264.0	9487.0
100128771	24.0	56.0
100873316	4.0	4.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	11.0
1	29.0	19.0
2	100835.0	59548.0
100873309	0.0	0.0
100873308	0.0	1.0
3	18.0	1.0
3641	0.0	0.0
100873303	0.0	0.0
9	417.0	512.0
3642	54.0	259.0
100873302	0.0	0.0
3643	4230.0	8722.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	51.0	51.0
100873307	0.0	1.0
3646	22614.0	20595.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	202.0	175.0
100873304	0.0	1.0
100873332	0.0	1.0
3660	2678.0	3267.0
100873331	0.0	0.0
3661	2068.0	2057.0
100873330	0.0	0.0
285577	0.0	2.0
3662	109.0	74.0
100128756	0.0	0.0
1000	1045.0	1162.0
3652	1161.0	1872.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	45.0	37.0
3654	6168.0	11006.0
100873334	0.0	0.0
3655	10114.0	11244.0
100873333	0.0	0.0
3656	449.0	395.0
100873339	0.0	0.0
3658	3909.0	6443.0
100873338	0.0	0.0
3659	3238.0	2424.0
100873337	0.0	0.0
3670	798.0	575.0
100873321	0.0	0.0
3671	6275.0	3584.0
100873320	0.0	0.0
3672	11468.0	8028.0
285588	0.0	1.0
3673	3903.0	4630.0
1011	0.0	0.0
1010	4.0	3.0
1008	660.0	283.0
1007	3.0	1.0
1006	62.0	46.0
1005	361.0	256.0
1004	311.0	268.0
1003	2008.0	1807.0
1002	25.0	55.0
1001	5430.0	3643.0
3663	372.0	486.0
100873325	0.0	13.0
3664	8743.0	12202.0
100873324	0.0	0.0
3665	880.0	1077.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2730.0	10387.0
100873329	0.0	0.0
285590	3573.0	3135.0
100873328	0.0	0.0
3669	456.0	1603.0
100873327	0.0	0.0
1009	2288.0	2573.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	14.0	24.0
3680	4546.0	3896.0
3681	6.0	10.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	768.0	617.0
100873353	0.0	0.0
3683	1019.0	667.0
100873352	0.0	0.0
128710	442.0	1174.0
3684	613.0	415.0
100873351	0.0	0.0
285512	60.0	177.0
1022	814.0	1319.0
285513	676.0	507.0
1021	2223.0	5839.0
1020	748.0	1000.0
440299	0.0	0.0
1019	3835.0	5222.0
128709	0.0	1.0
1018	12.0	29.0
1017	1304.0	1851.0
1016	50.0	29.0
1015	143.0	42.0
1014	0.0	10.0
1013	0.0	18.0
1012	893.0	1079.0
116730	4.0	10.0
3674	27.0	38.0
100873358	0.0	0.0
3675	7288.0	5973.0
100873357	0.0	2.0
3676	765.0	488.0
100128731	7005.0	5746.0
100873356	0.0	0.0
3678	9366.0	4810.0
3679	3546.0	2951.0
100873359	0.0	0.0
728464	349.0	120.0
728463	59.0	87.0
100128725	0.0	0.0
3690	472.0	275.0
3691	7758.0	7122.0
100873343	2.0	5.0
3692	5146.0	5334.0
3693	7178.0	11439.0
285521	1024.0	1509.0
100873342	0.0	0.0
3694	2211.0	1552.0
100873341	0.0	1.0
3695	172.0	140.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	74.0	51.0
1032	303.0	172.0
285525	2.0	2.0
1031	887.0	391.0
285527	2869.0	5941.0
1030	753.0	759.0
728468	0.0	0.0
440288	122.0	172.0
1029	96.0	226.0
440295	75.0	151.0
1028	1969.0	1532.0
1027	3733.0	4297.0
1026	14175.0	11412.0
1025	2752.0	3069.0
1024	884.0	913.0
3685	7943.0	19262.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	521.0	480.0
100873345	0.0	0.0
3688	26932.0	21768.0
100873344	0.0	0.0
3689	3796.0	2618.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	11.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	53.0	45.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	191.0	88.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	10.0	2.0
1043	692.0	224.0
1041	0.0	4.0
1040	1302.0	3681.0
1039	1965.0	1518.0
1038	0.0	0.0
1036	643.0	428.0
3696	3791.0	3550.0
3697	5.0	0.0
100873379	0.0	0.0
3698	10.0	6.0
100873378	1.0	1.0
3699	142.0	39.0
100873377	0.0	0.0
728486	7.0	3.0
100873361	0.0	0.0
105373869	13.0	9.0
100873360	1.0	0.0
285540	196.0	193.0
100128705	0.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	7.0	48.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2297.0	2737.0
285547	0.0	0.0
1053	3.0	4.0
285548	5.0	1.0
1052	5919.0	3297.0
1051	3012.0	1752.0
728489	14.0	9.0
1050	1302.0	1687.0
100128707	0.0	0.0
1048	136.0	252.0
1047	890.0	1030.0
1046	1.0	1.0
1045	66.0	238.0
100873369	4.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	3.0
1066	6592.0	2520.0
1063	209.0	443.0
1062	124.0	179.0
1061	2.0	5.0
1060	1358.0	2002.0
440253	89.0	89.0
1059	6422.0	5418.0
1058	13.0	26.0
1057	0.0	2.0
85379	5245.0	9991.0
114112	489.0	955.0
1056	234.0	5761.0
85377	3665.0	3574.0
85378	1954.0	3782.0
128745	1.0	1.0
85376	23.0	85.0
440248	213.0	385.0
1075	3210.0	1928.0
1074	13.0	32.0
1073	10523.0	4044.0
1072	31158.0	36425.0
1071	50.0	54.0
440243	0.0	0.0
1070	950.0	955.0
1069	5048.0	3247.0
1068	0.0	0.0
85369	2055.0	2584.0
85366	1.0	2.0
85364	1444.0	1516.0
85365	2743.0	3991.0
85363	1448.0	2500.0
85360	1909.0	943.0
1080	1348.0	838.0
85391	0.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	424.0	627.0
1087	17.0	52.0
1086	0.0	0.0
440279	8.0	6.0
1085	2.0	4.0
1084	22.0	10.0
440278	113.0	139.0
1082	0.0	1.0
403294	0.0	0.0
440275	4670.0	6050.0
1081	19.0	25.0
85397	1.0	4.0
85395	461.0	568.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	246.0	444.0
1089	26.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	87.0	76.0
285598	718.0	897.0
126133	1562.0	1918.0
128790	0.0	0.0
126129	308.0	144.0
126123	2.0	9.0
442862	0.0	0.0
126119	989.0	937.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	0.0	1.0
114131	6.0	3.0
442896	0.0	1.0
114132	25.0	19.0
442897	0.0	0.0
442898	0.0	0.0
114134	670.0	910.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	6.0
100128788	35.0	152.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	353.0	299.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	1.0
403235	0.0	0.0
403236	0.0	0.0
63982	24.0	14.0
102466616	0.0	0.0
126052	0.0	0.0
151009	81.0	86.0
403227	0.0	0.0
403228	0.0	0.0
138046	9.0	19.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1289.0	1686.0
107131122	0.0	0.0
138050	5302.0	6308.0
403219	0.0	0.0
151011	5388.0	3965.0
645587	1.0	3.0
165679	895.0	543.0
126037	37.0	50.0
114049	3396.0	5293.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	38.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1275.0	719.0
100033821	3.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1632.0	2110.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	244.0	334.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	15.0	18.0
645598	2.0	0.0
163007	5.0	10.0
114038	1.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	36.0	24.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	16.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	123.0	253.0
126017	1394.0	2058.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	881.0	553.0
85301	1378.0	1390.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1606.0	6282.0
106481459	0.0	0.0
26994	9424.0	9371.0
106481457	5.0	5.0
26995	2047.0	3461.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2020.0	4468.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	6.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1813.0	2467.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	3.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	9.0	0.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	40.0	65.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	934.0	1136.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	11.0	5.0
106481437	0.0	0.0
26974	192.0	420.0
153657	27.0	69.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	852.0	1337.0
165631	39.0	26.0
106481436	0.0	0.0
26978	5.0	15.0
126075	950.0	1519.0
106481439	0.0	0.0
403250	0.0	0.0
126074	245.0	447.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2792.0	1879.0
106481444	5.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2009.0	1911.0
85354	0.0	0.0
85352	940.0	719.0
403241	1.0	0.0
344462	0.0	2.0
403244	0.0	0.0
403245	1.0	0.0
153642	675.0	596.0
153643	4.0	19.0
403247	0.0	0.0
403248	0.0	0.0
26985	3789.0	6919.0
106481448	0.0	0.0
26986	67440.0	159574.0
126069	156.0	167.0
106481449	0.0	0.0
126068	560.0	517.0
106481446	0.0	0.0
26983	0.0	0.0
26984	916.0	946.0
106481447	1.0	0.0
106481451	0.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	171.0	46.0
106481455	0.0	3.0
85349	8.0	44.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	3.0
85347	0.0	0.0
26980	1.0	10.0
106481454	1.0	0.0
403238	0.0	0.0
85344	2.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	0.0
100873392	5.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	5.0
106481415	0.0	0.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1745.0	5564.0
100873390	0.0	0.0
728556	71.0	188.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	118.0	143.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	316.0	376.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	24.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	184.0	206.0
100873384	0.0	0.0
285601	20.0	15.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	3.0
63910	70.0	51.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	679.0	1246.0
222008	86.0	675.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5200.0	4119.0
63904	0.0	0.0
106481430	0.0	0.0
163071	45.0	22.0
63906	798.0	908.0
106481433	0.0	0.0
63908	692.0	931.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	11.0
285613	42.0	98.0
63920	440.0	421.0
63923	7.0	51.0
63922	227.0	788.0
728577	72.0	64.0
63925	1150.0	1882.0
63924	46.0	8.0
63916	3774.0	5662.0
63917	3731.0	6524.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	6.0
728564	3.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1261.0	1500.0
106481402	0.0	1.0
63931	1763.0	2346.0
106481403	0.0	0.0
63934	477.0	777.0
728567	2.0	1.0
106481408	1.0	0.0
163088	3.0	6.0
63933	1442.0	2582.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3353.0	2848.0
163087	655.0	766.0
728568	340.0	425.0
106481407	6.0	14.0
3704	856.0	1260.0
3705	6938.0	7978.0
63926	528.0	1333.0
3706	127.0	50.0
63929	830.0	1788.0
3707	4591.0	6234.0
63928	704.0	387.0
3708	10138.0	6138.0
106481411	0.0	0.0
3709	2464.0	6923.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	20.0	11.0
3702	191.0	89.0
3703	8110.0	17458.0
645506	1.0	1.0
151050	1895.0	2178.0
645520	0.0	0.0
63941	2020.0	4975.0
63940	1038.0	460.0
63943	253.0	354.0
728517	0.0	0.0
163033	453.0	617.0
258010	2447.0	3448.0
63947	1.0	0.0
63946	0.0	99.0
728513	0.0	5.0
100033803	0.0	1.0
3716	11539.0	12226.0
100033804	0.0	0.0
3717	1406.0	1128.0
100033805	0.0	0.0
3718	577.0	401.0
63939	1536.0	1387.0
100033806	0.0	0.0
100190799	3.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	85.0	95.0
3710	2372.0	6506.0
3712	7639.0	14046.0
3713	37.0	173.0
3714	2462.0	2825.0
63950	1.0	2.0
728505	0.0	1.0
63951	285.0	590.0
100033807	0.0	0.0
728501	46.0	34.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	44170.0	40360.0
100033814	0.0	0.0
3727	12736.0	12530.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	12206.0	27543.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	978.0	3138.0
151056	319.0	297.0
3725	41054.0	54705.0
645528	0.0	0.0
728532	23.0	29.0
163059	221.0	410.0
728538	0.0	2.0
728537	55.0	98.0
63967	43.0	78.0
3737	53.0	39.0
3738	63.0	41.0
3739	4.0	7.0
645538	0.0	0.0
3730	871.0	1416.0
3732	4988.0	6532.0
3734	53.0	53.0
3735	6426.0	8108.0
3736	4.0	2.0
63970	218.0	145.0
3750	367.0	200.0
63971	5643.0	7670.0
63974	0.0	0.0
163049	1961.0	2768.0
63973	0.0	0.0
63976	196.0	173.0
222068	6955.0	13915.0
63978	0.0	0.0
63977	442.0	707.0
63979	521.0	918.0
728524	0.0	0.0
3748	184.0	352.0
