id	fa85b238-f8d6-4c71-b5e0-fdba959b4122	7852bfcc-9d96-4a25-8c4c-feec90f9c21f
285550	1329.0	610.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	3.0	5.0
3640	13.0	24.0
3638	2466.0	927.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1338.0	435.0
100873313	0.0	0.0
3632	3350.0	973.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	842.0	315.0
100873318	0.0	0.0
3635	2357.0	304.0
100873317	0.0	0.0
3636	6366.0	4467.0
100128771	44.0	57.0
100873316	2.0	0.0
100873315	0.0	0.0
100128766	3.0	2.0
3651	0.0	1.0
1	20.0	13.0
2	62306.0	10056.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	0.0
3641	0.0	0.0
100873303	0.0	2.0
9	324.0	263.0
3642	10.0	98.0
100873302	0.0	0.0
3643	5160.0	6085.0
100128764	3.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	31.0	1.0
100873307	0.0	0.0
3646	19701.0	12938.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	136.0	41.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2455.0	739.0
100873331	0.0	0.0
3661	2718.0	3576.0
100873330	0.0	0.0
285577	2.0	0.0
3662	66.0	3.0
100128756	0.0	0.0
1000	174.0	47.0
3652	660.0	339.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	42.0	2.0
3654	4803.0	4319.0
100873334	1.0	0.0
3655	5234.0	1347.0
100873333	2.0	0.0
3656	278.0	120.0
100873339	0.0	0.0
3658	1849.0	809.0
100873338	0.0	0.0
3659	2328.0	474.0
100873337	0.0	0.0
3670	650.0	187.0
100873321	0.0	0.0
3671	5509.0	2049.0
100873320	0.0	0.0
3672	11902.0	891.0
285588	0.0	0.0
3673	2180.0	99.0
1011	0.0	0.0
1010	1.0	1.0
1008	398.0	14.0
1007	0.0	0.0
1006	128.0	24.0
1005	154.0	20.0
1004	312.0	24.0
1003	1757.0	425.0
1002	45.0	31.0
1001	6922.0	958.0
3663	233.0	120.0
100873325	0.0	0.0
3664	5975.0	2713.0
100873324	0.0	0.0
3665	1319.0	2009.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2240.0	1393.0
100873329	0.0	0.0
285590	3756.0	793.0
100873328	0.0	0.0
3669	383.0	539.0
100873327	0.0	0.0
1009	1983.0	590.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	15.0	9.0
728477	0.0	12.0
3680	3416.0	287.0
3681	6.0	8.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	632.0	434.0
100873353	0.0	0.0
3683	546.0	193.0
100873352	0.0	0.0
128710	570.0	893.0
3684	485.0	76.0
100873351	0.0	0.0
285512	73.0	90.0
1022	811.0	535.0
285513	275.0	58.0
1021	1852.0	585.0
1020	848.0	420.0
440299	0.0	0.0
1019	2453.0	649.0
128709	1.0	0.0
1018	12.0	55.0
1017	1093.0	532.0
1016	19.0	0.0
1015	99.0	7.0
1014	1.0	0.0
1013	3.0	41.0
1012	394.0	105.0
116730	28.0	6.0
3674	30.0	22.0
100873358	0.0	0.0
3675	10271.0	1502.0
100873357	1.0	9.0
3676	191.0	18.0
100128731	6690.0	4062.0
100873356	0.0	0.0
3678	12035.0	1423.0
3679	3806.0	404.0
100873359	0.0	0.0
728464	144.0	6.0
728463	63.0	4.0
100128725	0.0	0.0
3690	461.0	11.0
3691	10752.0	1000.0
100873343	0.0	0.0
3692	5389.0	3607.0
3693	9519.0	4338.0
285521	709.0	395.0
100873342	0.0	0.0
3694	992.0	66.0
100873341	0.0	0.0
3695	71.0	7.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	52.0	17.0
1032	240.0	109.0
285525	1.0	5.0
1031	363.0	177.0
285527	1757.0	1261.0
1030	859.0	141.0
728468	0.0	0.0
440288	93.0	23.0
1029	101.0	87.0
440295	75.0	175.0
1028	1782.0	522.0
1027	2392.0	966.0
1026	4556.0	1142.0
1025	2932.0	2016.0
1024	724.0	294.0
3685	4551.0	982.0
100873347	0.0	1.0
100873346	1.0	0.0
3687	404.0	300.0
100873345	0.0	2.0
3688	14636.0	1555.0
100873344	0.0	0.0
3689	2424.0	588.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	6.0	22.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	4.0	4.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	175.0	18.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	3.0
1043	630.0	150.0
1041	0.0	0.0
1040	1068.0	986.0
1039	1438.0	498.0
1038	2.0	0.0
1036	822.0	53.0
3696	1820.0	138.0
3697	1.0	3.0
100873379	0.0	0.0
3698	16.0	9.0
100873378	2.0	0.0
3699	51.0	22.0
100873377	0.0	0.0
728486	5.0	3.0
100873361	0.0	0.0
105373869	7.0	0.0
100873360	0.0	0.0
285540	140.0	98.0
100128705	4.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	135.0	212.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	1927.0	775.0
285547	0.0	0.0
1053	16.0	0.0
285548	18.0	0.0
1052	3551.0	907.0
1051	2784.0	698.0
728489	4.0	13.0
1050	1329.0	483.0
100128707	0.0	0.0
1048	15.0	10.0
1047	707.0	600.0
1046	1.0	0.0
1045	153.0	87.0
100873369	4.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	0.0
1066	5986.0	265.0
1063	299.0	64.0
1062	147.0	15.0
1061	4.0	0.0
1060	1138.0	292.0
440253	96.0	53.0
1059	8184.0	5049.0
1058	27.0	19.0
1057	4.0	3.0
85379	4288.0	759.0
114112	402.0	241.0
1056	203.0	106.0
85377	3707.0	727.0
85378	2837.0	3808.0
128745	0.0	0.0
85376	30.0	1.0
440248	293.0	699.0
1075	1479.0	427.0
1074	22.0	18.0
1073	9034.0	629.0
1072	35389.0	20171.0
1071	55.0	80.0
440243	0.0	0.0
1070	755.0	216.0
1069	5207.0	1594.0
1068	0.0	0.0
85369	1642.0	778.0
85366	11.0	3.0
85364	1318.0	746.0
85365	1778.0	1512.0
85363	1088.0	500.0
85360	2179.0	441.0
1080	270.0	25.0
85391	0.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	391.0	409.0
1087	5.0	0.0
1086	0.0	0.0
440279	5.0	0.0
1085	2.0	0.0
1084	17.0	0.0
440278	99.0	72.0
1082	0.0	0.0
403294	0.0	0.0
440275	4338.0	2815.0
1081	0.0	0.0
85397	6.0	5.0
85395	716.0	541.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	516.0	2049.0
1089	34.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	181.0	185.0
285598	591.0	99.0
126133	1868.0	1237.0
128790	0.0	0.0
126129	225.0	78.0
126123	0.0	0.0
442862	0.0	0.0
126119	1532.0	709.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	2.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	22.0
442896	0.0	0.0
114132	12.0	1.0
442897	0.0	0.0
442898	0.0	0.0
114134	325.0	66.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	1.0
100128788	78.0	204.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	24.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	4.0
128756	0.0	0.0
100128782	326.0	104.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	4.0	1.0
102466616	0.0	0.0
126052	0.0	0.0
151009	73.0	38.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	7.0	12.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1382.0	1860.0
107131122	0.0	9.0
138050	5240.0	3571.0
403219	0.0	0.0
151011	3230.0	387.0
645587	0.0	0.0
165679	275.0	62.0
126037	36.0	46.0
114049	3603.0	3514.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1383.0	162.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1257.0	335.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	203.0	148.0
