id	fd973a6f-54c1-4da1-afb8-7c74cf7aafcd	16dc4634-4e55-4392-9b22-902fd68b2d71
116729	76.0	3.0
728477	10.0	44.0
3680	4752.0	3644.0
3681	21.0	46.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	624.0	543.0
100873353	0.0	0.0
3683	849.0	899.0
100873352	0.0	0.0
128710	558.0	1039.0
3684	817.0	686.0
100873351	0.0	0.0
285512	36.0	106.0
1022	957.0	1627.0
285513	569.0	735.0
1021	2204.0	4421.0
1020	755.0	887.0
440299	1.0	0.0
1019	3808.0	3901.0
128709	0.0	0.0
1018	5.0	18.0
1017	1325.0	1651.0
1016	48.0	34.0
1015	143.0	38.0
1014	0.0	0.0
1013	54.0	14.0
1012	536.0	454.0
116730	16.0	11.0
3674	39.0	17.0
100873358	0.0	0.0
3675	8442.0	4650.0
100873357	0.0	0.0
3676	729.0	899.0
100128731	5335.0	6398.0
100873356	0.0	0.0
3678	8493.0	4405.0
3679	4984.0	4022.0
100873359	0.0	0.0
728464	283.0	168.0
728463	105.0	100.0
100128725	0.0	0.0
3690	473.0	294.0
3691	7786.0	3994.0
100873343	0.0	0.0
3692	4949.0	4641.0
3693	9903.0	13451.0
285521	1329.0	1930.0
100873342	0.0	0.0
3694	1316.0	810.0
100873341	0.0	0.0
3695	133.0	101.0
100873340	0.0	0.0
100128723	3.0	2.0
1033	38.0	62.0
1032	201.0	222.0
285525	10.0	1.0
1031	451.0	558.0
285527	3649.0	5800.0
1030	868.0	578.0
728468	0.0	0.0
440288	154.0	170.0
1029	113.0	61.0
440295	48.0	103.0
1028	2012.0	1830.0
1027	4631.0	5742.0
1026	5890.0	5514.0
1025	2934.0	3021.0
1024	753.0	1066.0
3685	12438.0	19744.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	528.0	855.0
100873345	0.0	0.0
3688	33060.0	29074.0
100873344	0.0	0.0
3689	3675.0	3407.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	1.0
100873370	0.0	0.0
728498	6.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	49.0	63.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	205.0	106.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	0.0
1043	488.0	376.0
1041	0.0	2.0
1040	2765.0	4341.0
1039	1782.0	1896.0
1038	1.0	0.0
1036	1686.0	644.0
3696	2908.0	2384.0
3697	2.0	1.0
100873379	0.0	0.0
3698	17.0	19.0
100873378	1.0	1.0
3699	55.0	40.0
100873377	0.0	0.0
728486	18.0	8.0
100873361	0.0	0.0
105373869	5.0	11.0
100873360	0.0	0.0
285540	192.0	158.0
100128705	2.0	0.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	94.0	35.0
100873362	0.0	0.0
100128701	4.0	4.0
1054	2659.0	2979.0
285547	0.0	0.0
1053	3.0	3.0
285548	3.0	4.0
1052	1616.0	2745.0
1051	1402.0	1427.0
728489	4.0	3.0
1050	1017.0	1419.0
100128707	0.0	0.0
1048	14.0	64.0
1047	2098.0	2307.0
1046	0.0	0.0
1045	80.0	8.0
100873369	1.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	2.0
1066	4259.0	1237.0
1063	206.0	713.0
1062	106.0	337.0
1061	4.0	4.0
1060	1630.0	2398.0
440253	95.0	114.0
1059	5072.0	4442.0
1058	14.0	36.0
1057	1.0	1.0
85379	6377.0	7821.0
114112	654.0	957.0
1056	86.0	35.0
85377	3433.0	2459.0
85378	2069.0	2764.0
128745	2.0	0.0
85376	31.0	25.0
440248	162.0	336.0
1075	2310.0	2091.0
1074	4.0	24.0
1073	11470.0	4816.0
1072	36874.0	38015.0
1071	57.0	91.0
440243	0.0	0.0
1070	756.0	640.0
1069	4634.0	2904.0
1068	0.0	0.0
85369	2223.0	3085.0
85366	104.0	8.0
85364	1564.0	1301.0
85365	3292.0	4755.0
85363	2229.0	2960.0
85360	1657.0	1159.0
1080	190.0	505.0
85391	0.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	541.0	1043.0
1087	1.0	1.0
1086	0.0	0.0
440279	4.0	3.0
1085	1.0	1.0
1084	12.0	13.0
440278	177.0	260.0
1082	1.0	1.0
403294	0.0	0.0
440275	7934.0	11916.0
1081	0.0	2.0
85397	3.0	0.0
85395	337.0	411.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	268.0	664.0
1089	16.0	21.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	119.0	213.0
285598	807.0	755.0
126133	1235.0	1828.0
128790	0.0	1.0
126129	267.0	145.0
126123	4.0	2.0
442862	0.0	0.0
126119	657.0	696.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	2.0
114131	0.0	1.0
442896	0.0	1.0
114132	13.0	17.0
442897	0.0	0.0
442898	0.0	0.0
114134	901.0	1416.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	3.0
100128788	49.0	124.0
100128787	0.0	0.0
440225	0.0	2.0
440224	3.0	0.0
442890	2.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	2.0
100128782	460.0	437.0
100128781	4.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	17.0	13.0
102466616	0.0	0.0
126052	0.0	0.0
151009	64.0	55.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	7.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	8.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1158.0	1766.0
107131122	1.0	0.0
138050	8261.0	10382.0
403219	1.0	0.0
151011	5808.0	4438.0
645587	0.0	2.0
165679	359.0	273.0
126037	33.0	36.0
114049	3385.0	3334.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1359.0	668.0
100033821	1.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1796.0	2332.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	287.0	443.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	0.0	10.0
645598	0.0	1.0
163007	4.0	2.0
114038	1.0	1.0
645591	0.0	0.0
106481495	2.0	0.0
114041	12.0	16.0
106481496	0.0	0.0
114042	3.0	3.0
106481493	0.0	0.0
114043	8.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	159.0	279.0
126017	2200.0	2653.0
106481497	0.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	775.0	365.0
85301	1195.0	1291.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	2.0	0.0
403278	0.0	0.0
26996	2872.0	5648.0
106481459	0.0	0.0
26994	9882.0	10509.0
106481457	3.0	18.0
26995	2055.0	3480.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1920.0	2720.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2211.0	1969.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	1.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	31.0	22.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	35.0	93.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	972.0	1585.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	13.0	4.0
106481437	0.0	0.0
26974	237.0	483.0
153657	43.0	38.0
106481438	0.0	0.0
106481435	1.0	0.0
26973	1106.0	1651.0
165631	76.0	88.0
106481436	0.0	0.0
26978	8.0	12.0
126075	1283.0	1662.0
106481439	0.0	0.0
403250	0.0	0.0
126074	249.0	289.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2640.0	2495.0
106481444	0.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1348.0	1413.0
85354	0.0	0.0
85352	1127.0	461.0
403241	0.0	1.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	943.0	724.0
153643	4.0	11.0
403247	0.0	0.0
403248	0.0	0.0
26985	5249.0	6305.0
106481448	0.0	0.0
26986	62536.0	107871.0
126069	135.0	201.0
106481449	0.0	0.0
126068	634.0	865.0
106481446	0.0	0.0
26983	0.0	0.0
26984	913.0	895.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	95.0	86.0
106481455	0.0	0.0
85349	37.0	23.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	3.0
100873392	2.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	1.0
100128811	0.0	7.0
106481415	0.0	0.0
106481416	1.0	2.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	3330.0	7666.0
100873390	0.0	0.0
728556	67.0	149.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	130.0	171.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	412.0	520.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	23.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	200.0	185.0
100873384	0.0	0.0
285601	14.0	12.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	61.0	63.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	958.0	1060.0
222008	935.0	1873.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4475.0	3476.0
63904	0.0	0.0
106481430	0.0	0.0
163071	25.0	16.0
63906	768.0	699.0
106481433	0.0	0.0
63908	673.0	714.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	17.0
285613	119.0	216.0
63920	623.0	614.0
63923	21.0	18.0
63922	222.0	366.0
728577	33.0	24.0
63925	1405.0	1676.0
63924	30.0	4.0
63916	5471.0	6226.0
63917	4973.0	5908.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	2.0
728564	6.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1508.0	1308.0
106481402	0.0	0.0
63931	2027.0	2445.0
106481403	0.0	0.0
63934	525.0	713.0
728567	5.0	1.0
106481408	0.0	0.0
163088	6.0	3.0
63933	2339.0	3948.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3633.0	2705.0
163087	863.0	884.0
728568	466.0	461.0
106481407	7.0	16.0
3704	1389.0	1459.0
3705	9156.0	8327.0
63926	623.0	924.0
3706	88.0	25.0
63929	1047.0	1787.0
3707	5169.0	4511.0
63928	38.0	34.0
3708	11196.0	7805.0
106481411	0.0	0.0
3709	4465.0	7455.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	7.0	10.0
3702	212.0	312.0
3703	13635.0	23643.0
645506	1.0	0.0
151050	1979.0	2154.0
645520	0.0	0.0
63941	4184.0	5627.0
63940	925.0	631.0
63943	259.0	323.0
728517	0.0	0.0
163033	369.0	457.0
258010	3624.0	5243.0
63947	1.0	0.0
63946	0.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	13309.0	12908.0
100033804	0.0	0.0
3717	1437.0	1705.0
100033805	0.0	0.0
3718	485.0	536.0
63939	1992.0	1299.0
100033806	0.0	0.0
100190799	1.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	84.0	98.0
3710	2776.0	3300.0
3712	12709.0	20612.0
3713	0.0	1.0
3714	2185.0	1490.0
63950	2.0	2.0
728505	0.0	1.0
63951	600.0	1234.0
100033807	0.0	0.0
728501	57.0	15.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8222.0	11429.0
100033814	0.0	0.0
3727	5043.0	8595.0
63948	0.0	1.0
100033815	0.0	0.0
222052	2.0	1.0
3728	15948.0	17830.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1327.0	1965.0
151056	281.0	192.0
3725	18428.0	15467.0
645528	0.0	0.0
728532	62.0	31.0
163059	236.0	440.0
728538	0.0	1.0
728537	33.0	93.0
63967	69.0	113.0
3737	74.0	65.0
3738	49.0	59.0
3739	8.0	9.0
645538	0.0	0.0
3730	1645.0	2219.0
3732	4888.0	6371.0
3734	53.0	60.0
3735	6796.0	7903.0
3736	1.0	2.0
63970	48.0	23.0
3750	434.0	172.0
63971	7877.0	8872.0
63974	0.0	0.0
163049	2179.0	3017.0
63973	0.0	0.0
63976	80.0	88.0
222068	10426.0	13560.0
63978	0.0	0.0
63977	480.0	723.0
63979	465.0	577.0
728524	0.0	0.0
3748	191.0	361.0
163051	34.0	43.0
3749	670.0	539.0
163050	84.0	72.0
3741	18.0	19.0
645548	5.0	3.0
3743	21.0	3.0
3744	0.0	0.0
3745	1345.0	742.0
3746	22.0	15.0
3747	668.0	403.0
285671	1698.0	1746.0
285672	2238.0	2552.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3026.0	718.0
285676	169.0	97.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	10.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	261.0	361.0
283008	22.0	27.0
3751	15.0	15.0
100873435	0.0	0.0
3752	4610.0	9826.0
100873434	0.0	0.0
3753	2.0	8.0
100873433	0.0	0.0
3754	62.0	16.0
100873432	0.0	0.0
3755	696.0	216.0
100873439	0.0	0.0
3756	34.0	85.0
100873438	0.0	0.0
3757	2642.0	1289.0
100873437	0.0	0.0
3758	0.0	1.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	49.0	73.0
3772	191.0	102.0
100861458	0.0	0.0
100861453	8.0	14.0
100861455	0.0	0.0
1107	19175.0	18870.0
1106	6983.0	8401.0
1105	2016.0	1712.0
1104	910.0	1774.0
100873429	0.0	0.0
1103	2.0	0.0
1102	2307.0	1778.0
1101	26.0	42.0
3762	930.0	313.0
100873424	0.0	0.0
3763	269.0	281.0
100128640	205.0	247.0
100873423	0.0	0.0
3764	2042.0	897.0
100873422	0.0	0.0
3765	4.0	2.0
100873421	0.0	0.0
3766	46.0	47.0
100873428	0.0	0.0
3767	561.0	912.0
100873427	0.0	0.0
3768	237.0	412.0
1109	0.0	0.0
100873426	0.0	0.0
1108	12673.0	16161.0
3769	15.0	2.0
100873425	0.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	38.0	21.0
100873453	0.0	0.0
3781	1411.0	2985.0
100873452	0.0	0.0
3782	1012.0	1147.0
100873451	0.0	0.0
3783	803.0	411.0
100873450	0.0	0.0
1121	2210.0	2906.0
100861468	0.0	1.0
1120	63.0	115.0
100861469	0.0	0.0
1118	224.0	770.0
1117	725.0	483.0
1116	105.0	309.0
1114	1074.0	97.0
1113	57.0	251.0
1112	8023.0	8993.0
1111	354.0	471.0
3773	71.0	2.0
100873457	0.0	0.0
100873456	1.0	0.0
3775	578.0	1145.0
100873455	0.0	0.0
3776	69.0	66.0
100873454	0.0	0.0
3777	4375.0	1796.0
3778	13020.0	11616.0
3779	7711.0	3214.0
100873459	0.0	0.0
1119	2324.0	2011.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	464.0	433.0
100128628	4.0	3.0
3791	4033.0	3610.0
100873442	0.0	0.0
3792	115.0	17.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	9.0
1131	162.0	87.0
1130	1977.0	2402.0
100861476	0.0	1.0
1129	140.0	21.0
1128	8499.0	3819.0
1124	1129.0	856.0
1123	2267.0	825.0
1122	576.0	1013.0
100861470	0.0	0.0
3784	1402.0	1669.0
100873446	0.0	0.0
3785	578.0	120.0
100873445	0.0	0.0
3786	256.0	86.0
100873444	0.0	0.0
3787	78.0	65.0
100873443	0.0	0.0
3788	83.0	49.0
100873449	4.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	80.0	80.0
100128618	0.0	0.0
728597	2.0	2.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	282.0	1335.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	4.0
285634	7.0	8.0
1142	0.0	0.0
1141	25.0	10.0
285636	3133.0	3987.0
1140	499.0	328.0
728599	2.0	9.0
1139	103.0	67.0
1138	191.0	417.0
1137	61.0	11.0
100861485	0.0	2.0
1136	54.0	49.0
1135	7663.0	6583.0
1134	177.0	16.0
1133	5.0	7.0
3795	271.0	232.0
100873479	11.0	8.0
3796	1648.0	2232.0
100873478	0.0	0.0
3797	1072.0	868.0
100873477	2.0	0.0
3798	75.0	46.0
100873476	0.0	0.0
3799	20121.0	24474.0
100873460	0.0	0.0
728586	21.0	26.0
285641	0.0	0.0
100873464	1.0	3.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	630.0	463.0
1153	18672.0	24894.0
1152	42295.0	21526.0
285647	20.0	38.0
728589	4.0	3.0
728588	4.0	26.0
1149	4.0	0.0
1147	1772.0	2563.0
1146	27.0	2.0
1145	43.0	37.0
1144	82.0	4.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	391.0	478.0
1163	514.0	509.0
285659	0.0	1.0
1161	404.0	498.0
1160	1145.0	248.0
1159	123.0	229.0
1158	12236.0	325.0
1157	0.0	0.0
1155	2578.0	2583.0
550643	2055.0	1799.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2527.0	2665.0
1175	4285.0	6052.0
285668	6.0	0.0
1174	2593.0	3093.0
1173	23718.0	20061.0
550631	111.0	157.0
100873489	0.0	0.0
283014	4.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	29.0	16.0
1186	3303.0	3948.0
1185	1133.0	1392.0
1184	620.0	873.0
1183	667.0	285.0
1182	8567.0	14028.0
1181	330.0	495.0
440375	49.0	71.0
1180	12.0	3.0
1179	0.0	0.0
1178	14.0	21.0
283089	18.0	13.0
85495	0.0	0.0
85480	801.0	318.0
283080	0.0	0.0
1198	2602.0	3486.0
1197	2.0	1.0
1196	1310.0	1607.0
1195	2832.0	5472.0
440366	0.0	1.0
1193	532.0	463.0
1192	16579.0	16678.0
1191	58866.0	22011.0
1188	50.0	30.0
283078	3081.0	1886.0
85486	3.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	68.0	86.0
440396	33.0	38.0
128609	0.0	0.0
128602	2.0	8.0
440387	0.0	0.0
128674	1.0	2.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	0.0
126014	120.0	108.0
440335	130.0	2739.0
100128690	0.0	0.0
114034	884.0	656.0
126006	3.0	13.0
114036	6.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	109.0	77.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	2.0	0.0
105180391	0.0	0.0
100128682	0.0	3.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	213.0	391.0
440356	2.0	2.0
440354	68.0	98.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	32.0
100873410	0.0	0.0
100873417	0.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	100.0	242.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	26.0	65.0
200734	2837.0	3498.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	4.0
100873408	0.0	1.0
100873407	0.0	0.0
100861430	20.0	22.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4133.0	4557.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	6.0	2.0
165530	46.0	24.0
85409	326.0	240.0
106481385	0.0	3.0
106481386	0.0	0.0
85416	1.0	2.0
106481383	0.0	3.0
85417	16.0	97.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	131852.0	202450.0
106481389	0.0	0.0
85415	9265.0	12915.0
106481387	0.0	0.0
85413	4.0	8.0
106481388	0.0	6.0
645436	0.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	18.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	811.0	913.0
12	45.0	106.0
13	0.0	0.0
14	8420.0	10314.0
15	3.0	0.0
16	13286.0	15717.0
645455	2.0	3.0
18	11167.0	26069.0
19	1642.0	2877.0
128580	10.0	4.0
85407	1268.0	1247.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1767.0	2156.0
106481395	0.0	0.0
85403	2626.0	3512.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3836.0	5863.0
106481390	0.0	0.0
21	2550.0	4976.0
106481391	0.0	0.0
22	1130.0	1438.0
153571	307.0	463.0
153572	406.0	865.0
23	5667.0	6655.0
24	23.0	11.0
25	9500.0	9857.0
26	1726.0	1719.0
27	1874.0	3013.0
28	354.0	361.0
29	6352.0	6413.0
153579	254.0	479.0
728615	0.0	0.0
728614	0.0	0.0
200765	130.0	165.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	14.0	12.0
102466518	0.0	0.0
102466516	0.0	3.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	13.0	1.0
106481361	1.0	0.0
85439	344.0	278.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3148.0	3180.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	122.0	165.0
106481366	0.0	0.0
30	6998.0	7026.0
106481360	0.0	0.0
31	12928.0	33361.0
32	2533.0	2250.0
33	1708.0	3271.0
34	3106.0	4754.0
35	1443.0	853.0
153562	1666.0	3493.0
36	5798.0	11928.0
37	15918.0	19461.0
38	4337.0	8182.0
440307	14.0	15.0
39	4471.0	2179.0
165545	3.0	9.0
106481369	0.0	0.0
728606	126.0	2834.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	8.0	6.0
106481370	0.0	0.0
41	780.0	604.0
106481371	0.0	0.0
43	382.0	189.0
645486	0.0	0.0
47	25070.0	48109.0
48	8041.0	6489.0
49	21.0	23.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	0.0	2.0
106481340	0.0	1.0
