id	1292e7fb-3199-40e3-a5d1-e141507b3b6f	1da9251a-d8fb-4ac7-9997-ef45e771cd6e
285550	1185.0	1686.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	11.0	14.0
3640	4.0	3.0
3638	26241.0	16218.0
100873319	0.0	1.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1082.0	1521.0
100873313	0.0	0.0
3632	3585.0	3452.0
100873312	1.0	6.0
100873311	0.0	0.0
3633	633.0	954.0
100873318	1.0	4.0
3635	1069.0	949.0
100873317	0.0	0.0
3636	7544.0	11226.0
100128771	31.0	42.0
100873316	2.0	7.0
100873315	0.0	0.0
100128766	2.0	3.0
3651	0.0	32.0
1	23.0	27.0
2	15916.0	31401.0
100873309	0.0	0.0
100873308	0.0	0.0
3	7.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	1073.0	1075.0
3642	10.0	145.0
100873302	0.0	0.0
3643	4255.0	4962.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	30.0	47.0
100873307	0.0	1.0
3646	13722.0	21098.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	135.0	156.0
100873304	0.0	2.0
100873332	1.0	0.0
3660	2482.0	2901.0
100873331	0.0	0.0
3661	2799.0	4525.0
100873330	0.0	0.0
285577	2.0	22.0
3662	11.0	30.0
100128756	0.0	0.0
1000	366.0	216.0
3652	1034.0	1224.0
100873336	0.0	1.0
100873335	0.0	1.0
100128750	38.0	58.0
3654	5217.0	7860.0
100873334	0.0	0.0
3655	10304.0	13025.0
100873333	2.0	0.0
3656	328.0	423.0
100873339	0.0	0.0
3658	3461.0	5095.0
100873338	0.0	0.0
3659	985.0	1821.0
100873337	0.0	1.0
3670	260.0	603.0
100873321	0.0	0.0
3671	1797.0	2365.0
100873320	0.0	0.0
3672	6651.0	4439.0
285588	0.0	0.0
3673	3575.0	2729.0
1011	0.0	0.0
1010	1.0	8.0
1008	152.0	172.0
1007	4.0	0.0
1006	66.0	75.0
1005	87.0	382.0
1004	239.0	540.0
1003	731.0	1323.0
1002	24.0	48.0
1001	3697.0	2945.0
3663	357.0	761.0
100873325	0.0	2.0
3664	11306.0	12649.0
100873324	0.0	0.0
3665	1549.0	3103.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	4161.0	5747.0
100873329	0.0	0.0
285590	2562.0	1918.0
100873328	0.0	0.0
3669	528.0	1019.0
100873327	0.0	0.0
1009	1246.0	2161.0
