id	30f0f8c2-21be-4a29-b9b0-3507765a9e1a	cc621d8a-b1b7-4001-bd25-8bfcccb34412
1070	874.0	1267.0
1069	3911.0	6757.0
1068	0.0	0.0
85369	2578.0	2382.0
85366	6.0	3.0
85364	1478.0	2077.0
85365	2849.0	6599.0
85363	2260.0	1824.0
85360	2195.0	1155.0
1080	3459.0	482.0
85391	1.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	654.0	886.0
1087	6.0	6.0
1086	1.0	0.0
440279	8.0	1.0
1085	0.0	0.0
1084	25.0	4.0
440278	151.0	281.0
1082	0.0	0.0
403294	0.0	0.0
440275	6650.0	10884.0
1081	8.0	94.0
85397	0.0	5.0
85395	349.0	925.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	304.0	97.0
1089	41.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	151.0	29.0
285598	852.0	269.0
126133	1699.0	1279.0
128790	0.0	1.0
126129	355.0	220.0
126123	4.0	2.0
442862	0.0	0.0
126119	681.0	1273.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	10.0
442896	0.0	0.0
114132	73.0	40.0
442897	0.0	0.0
442898	1.0	0.0
114134	1450.0	966.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	7.0
100128788	45.0	163.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	2.0
100128782	574.0	416.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	2.0	6.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	18.0	20.0
102466616	0.0	0.0
126052	0.0	1.0
151009	31.0	28.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	20.0	21.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1117.0	2732.0
107131122	0.0	0.0
138050	7047.0	9961.0
403219	0.0	0.0
151011	5581.0	3345.0
645587	0.0	0.0
165679	1696.0	2502.0
126037	22.0	99.0
114049	2968.0	5701.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1220.0	855.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2313.0	2514.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	295.0	395.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	22.0	2.0
645598	1.0	0.0
163007	8.0	2.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	74.0	21.0
106481496	0.0	0.0
114042	0.0	4.0
106481493	0.0	0.0
114043	7.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	172.0	174.0
126017	1570.0	1737.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	667.0	211.0
85301	2397.0	207.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1960.0	12559.0
106481459	0.0	0.0
26994	8700.0	11563.0
106481457	5.0	3.0
26995	1978.0	3233.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4599.0	6326.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2317.0	2224.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	11.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	21.0	8.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	161.0	184.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1016.0	1637.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	18.0
106481437	0.0	0.0
26974	237.0	444.0
153657	43.0	58.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1235.0	961.0
165631	221.0	148.0
106481436	0.0	0.0
26978	7.0	24.0
126075	875.0	2450.0
106481439	0.0	0.0
403250	0.0	0.0
126074	174.0	458.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1837.0	3684.0
106481444	1.0	3.0
106481445	2.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2612.0	1016.0
85354	0.0	0.0
85352	1142.0	307.0
403241	0.0	1.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	837.0	619.0
153643	8.0	218.0
403247	0.0	0.0
403248	0.0	0.0
26985	4625.0	5174.0
106481448	0.0	0.0
26986	66535.0	107855.0
126069	139.0	192.0
106481449	0.0	0.0
126068	848.0	630.0
106481446	0.0	0.0
26983	0.0	0.0
26984	877.0	1386.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	2.0
106481450	0.0	1.0
114088	136.0	23.0
106481455	0.0	0.0
85349	32.0	124.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	4.0	14.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	3.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3098.0	3892.0
100873390	0.0	0.0
728556	67.0	105.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	146.0	113.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	498.0	407.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	13.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	335.0	265.0
100873384	0.0	0.0
285601	23.0	4.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	6.0
63910	136.0	85.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	983.0	477.0
222008	789.0	46.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	3972.0	4362.0
63904	0.0	1.0
106481430	1.0	0.0
163071	43.0	18.0
63906	811.0	952.0
106481433	0.0	0.0
63908	813.0	773.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	1.0
285613	76.0	180.0
63920	486.0	480.0
63923	19.0	25.0
63922	301.0	512.0
728577	16.0	8.0
63925	1809.0	1558.0
63924	12.0	4.0
63916	4577.0	7444.0
63917	4280.0	5552.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	7.0
728564	3.0	15.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1479.0	1367.0
106481402	0.0	0.0
63931	1979.0	2646.0
106481403	1.0	0.0
63934	564.0	618.0
728567	2.0	11.0
106481408	0.0	0.0
163088	2.0	3.0
63933	2259.0	2514.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3760.0	3456.0
163087	1138.0	694.0
728568	276.0	460.0
106481407	10.0	16.0
3704	1438.0	3740.0
3705	5964.0	5574.0
63926	730.0	1531.0
3706	96.0	28.0
63929	1227.0	1654.0
3707	5590.0	8089.0
63928	102.0	2.0
3708	13765.0	8166.0
106481411	0.0	0.0
3709	5848.0	5032.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	19.0	7.0
3702	1106.0	574.0
3703	10855.0	22524.0
645506	0.0	3.0
151050	2114.0	867.0
645520	0.0	0.0
63941	2257.0	6296.0
63940	2330.0	1892.0
63943	235.0	518.0
728517	0.0	0.0
163033	468.0	1237.0
258010	3006.0	4981.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	17353.0	14534.0
100033804	0.0	0.0
3717	2322.0	889.0
100033805	0.0	0.0
3718	2224.0	1131.0
63939	1882.0	1887.0
100033806	0.0	0.0
100190799	2.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	105.0	119.0
3710	3910.0	7536.0
3712	9017.0	13153.0
3713	2.0	0.0
3714	2265.0	1849.0
63950	4.0	1.0
728505	0.0	2.0
63951	455.0	1830.0
100033807	0.0	0.0
728501	23.0	46.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	18196.0	11314.0
100033814	0.0	0.0
3727	8172.0	9968.0
63948	0.0	0.0
100033815	0.0	0.0
222052	5.0	6.0
3728	14316.0	32440.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1747.0	1819.0
151056	450.0	331.0
3725	33212.0	15734.0
645528	2.0	0.0
728532	33.0	33.0
163059	364.0	458.0
728538	2.0	2.0
728537	70.0	37.0
63967	176.0	113.0
3737	72.0	14.0
3738	330.0	124.0
3739	4.0	3.0
645538	0.0	0.0
3730	1594.0	2030.0
3732	6168.0	3415.0
3734	86.0	29.0
3735	6481.0	11784.0
3736	0.0	1.0
63970	130.0	6.0
3750	561.0	276.0
63971	6660.0	4789.0
63974	0.0	0.0
163049	2873.0	2551.0
63973	1.0	4.0
63976	123.0	193.0
222068	8139.0	16564.0
63978	1.0	0.0
63977	629.0	558.0
63979	791.0	795.0
728524	0.0	0.0
3748	495.0	343.0
163051	40.0	75.0
3749	752.0	223.0
163050	102.0	93.0
3741	27.0	32.0
645548	3.0	3.0
3743	4.0	0.0
3744	0.0	0.0
3745	1115.0	164.0
3746	24.0	4.0
3747	80.0	1790.0
285671	1928.0	714.0
285672	2916.0	2561.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2645.0	349.0
285676	218.0	33.0
3761	1.0	6.0
100128657	0.0	0.0
285679	1.0	5.0
100861449	1.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	422.0	157.0
283008	0.0	1.0
3751	27.0	51.0
100873435	0.0	0.0
3752	5173.0	5049.0
100873434	0.0	0.0
3753	4.0	36.0
100873433	0.0	0.0
3754	86.0	9.0
100873432	0.0	0.0
3755	515.0	138.0
100873439	0.0	0.0
3756	43.0	15.0
100873438	0.0	0.0
3757	2031.0	1398.0
100873437	0.0	0.0
3758	3.0	3.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	65.0	44.0
3772	543.0	111.0
100861458	0.0	0.0
100861453	11.0	4.0
100861455	0.0	0.0
1107	21588.0	9206.0
1106	8344.0	6343.0
1105	3499.0	1738.0
1104	1193.0	2897.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2341.0	908.0
1101	78.0	10.0
3762	802.0	321.0
100873424	0.0	0.0
3763	116.0	4.0
100128640	173.0	284.0
100873423	0.0	0.0
3764	1779.0	672.0
100873422	0.0	0.0
3765	5.0	0.0
100873421	0.0	0.0
3766	50.0	39.0
100873428	0.0	0.0
3767	285.0	492.0
100873427	0.0	0.0
3768	140.0	422.0
1109	1.0	0.0
100873426	0.0	0.0
1108	15587.0	17952.0
3769	7.0	3.0
100873425	0.0	0.0
100128637	2.0	5.0
100128639	0.0	0.0
3780	39.0	33.0
100873453	0.0	0.0
3781	854.0	1682.0
100873452	0.0	0.0
3782	939.0	426.0
100873451	0.0	0.0
3783	2081.0	31142.0
100873450	0.0	0.0
1121	2592.0	1931.0
100861468	0.0	0.0
1120	99.0	138.0
100861469	0.0	0.0
1118	252.0	327.0
1117	1092.0	488.0
1116	779.0	475.0
1114	1167.0	555.0
1113	1718.0	1439.0
1112	8771.0	5186.0
1111	513.0	868.0
3773	22.0	45.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	811.0	683.0
100873455	0.0	0.0
3776	91.0	50.0
100873454	0.0	0.0
3777	3678.0	1928.0
3778	12640.0	6601.0
3779	5796.0	2711.0
100873459	0.0	0.0
1119	1600.0	2422.0
100128627	1.0	3.0
100128626	0.0	0.0
3790	555.0	1259.0
100128628	5.0	2.0
3791	6250.0	2804.0
100873442	0.0	0.0
3792	65.0	41.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	10.0	33.0
1131	461.0	4145.0
1130	3458.0	1338.0
100861476	0.0	0.0
1129	97.0	7.0
1128	3698.0	3818.0
1124	1128.0	2346.0
1123	2542.0	507.0
1122	648.0	871.0
100861470	0.0	0.0
3784	1717.0	1196.0
100873446	0.0	0.0
3785	490.0	178.0
100873445	0.0	0.0
3786	147.0	114.0
100873444	0.0	0.0
3787	136.0	5.0
100873443	0.0	0.0
3788	80.0	18.0
100873449	3.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	78.0	60.0
100128618	2.0	3.0
728597	0.0	13.0
100128617	4.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	177.0	1.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	23.0	5.0
285634	8.0	5.0
1142	1.0	4.0
1141	19.0	0.0
285636	3190.0	3034.0
1140	422.0	233.0
728599	3.0	7.0
1139	119.0	15.0
1138	139.0	173.0
1137	158.0	19.0
100861485	0.0	0.0
1136	131.0	49.0
1135	3032.0	5514.0
1134	65.0	25.0
1133	7.0	10.0
3795	309.0	191.0
100873479	10.0	24.0
3796	2604.0	1504.0
100873478	0.0	0.0
3797	1382.0	714.0
100873477	0.0	0.0
3798	78.0	63.0
100873476	0.0	0.0
3799	19294.0	27859.0
100873460	0.0	0.0
728586	16.0	7.0
285641	0.0	2.0
100873464	2.0	0.0
100873463	0.0	1.0
100873462	0.0	0.0
285643	0.0	2.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	882.0	867.0
1153	18690.0	27086.0
1152	21899.0	23953.0
285647	22.0	28.0
728589	11.0	5.0
728588	0.0	3.0
1149	2.0	0.0
1147	1864.0	2003.0
1146	9.0	0.0
1145	73.0	107.0
1144	17.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	272.0	740.0
1163	539.0	543.0
285659	0.0	0.0
1161	480.0	505.0
1160	470.0	96.0
1159	66.0	152.0
1158	1370.0	29.0
1157	0.0	1.0
1155	2975.0	4644.0
550643	1720.0	2263.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2561.0	2930.0
1175	2986.0	6514.0
285668	4.0	0.0
1174	1784.0	1942.0
1173	19860.0	32082.0
550631	133.0	304.0
100873489	0.0	0.0
283014	6.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	16.0	3.0
1186	2749.0	3983.0
1185	1607.0	912.0
1184	867.0	651.0
1183	756.0	730.0
1182	7832.0	16373.0
1181	359.0	499.0
440375	74.0	103.0
1180	10.0	5.0
1179	1.0	0.0
1178	36.0	0.0
283089	15.0	10.0
85495	0.0	0.0
85480	812.0	129.0
283080	1.0	0.0
1198	3150.0	3548.0
1197	1.0	2.0
1196	2104.0	1712.0
1195	4272.0	1304.0
440366	0.0	0.0
1193	1102.0	503.0
1192	13767.0	32611.0
1191	77740.0	29522.0
1188	59.0	18.0
283078	3530.0	1347.0
85486	3.0	19.0
128615	0.0	0.0
85481	0.0	0.0
128611	496.0	212.0
440396	30.0	18.0
128609	0.0	0.0
128602	5.0	10.0
440387	0.0	4.0
128674	1.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	0.0	2.0
126014	155.0	140.0
440335	190.0	6935.0
100128690	0.0	0.0
114034	910.0	700.0
126006	13.0	3.0
114036	11.0	12.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	66.0	49.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	4.0
100128678	6.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	215.0	408.0
440356	2.0	1.0
440354	148.0	90.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	1.0
128646	5.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	15.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	57.0	57.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	30.0	26.0
200734	3118.0	1924.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	30.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	4283.0	5212.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	5.0	6.0
165530	149.0	38.0
85409	440.0	297.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	462.0
106481383	0.0	0.0
85417	18.0	49.0
106481384	0.0	0.0
103106903	3.0	1.0
85414	59020.0	77123.0
106481389	0.0	0.0
85415	4267.0	5906.0
106481387	0.0	0.0
85413	5.0	7.0
106481388	1.0	3.0
645436	0.0	5.0
106481381	0.0	0.0
106481382	0.0	0.0
10	18.0	126.0
106481380	0.0	0.0
11	0.0	0.0
403341	826.0	1233.0
12	116.0	53.0
13	0.0	1.0
14	6575.0	10647.0
15	3.0	3.0
16	9758.0	17506.0
645455	11.0	4.0
18	4741.0	3345.0
19	2315.0	3214.0
128580	5.0	11.0
85407	1828.0	1023.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1756.0	2309.0
106481395	0.0	0.0
85403	2145.0	3602.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4815.0	8915.0
106481390	0.0	0.0
21	2154.0	4668.0
106481391	0.0	0.0
22	1320.0	1495.0
153571	228.0	80.0
153572	424.0	90.0
23	5441.0	7004.0
24	63.0	47.0
25	9551.0	10059.0
26	4085.0	118.0
27	2310.0	2528.0
28	899.0	124.0
29	7318.0	3976.0
153579	213.0	141.0
728615	0.0	1.0
728614	0.0	0.0
200765	197.0	117.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	28.0	10.0
102466518	0.0	1.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	2.0	1.0
106481361	0.0	0.0
85439	298.0	82.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2729.0	5076.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	131.0	61.0
106481366	0.0	0.0
30	4048.0	7016.0
106481360	0.0	0.0
31	7972.0	13435.0
32	3314.0	1710.0
33	928.0	492.0
34	3142.0	3099.0
35	1374.0	1733.0
153562	1664.0	5466.0
36	5483.0	3506.0
37	11232.0	12922.0
38	3257.0	4386.0
440307	10.0	27.0
39	2562.0	3511.0
165545	4.0	4.0
106481369	0.0	0.0
728606	60.0	3404.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	10.0	24.0
106481370	0.0	0.0
41	573.0	876.0
106481371	0.0	0.0
43	548.0	2136.0
645486	0.0	0.0
47	16147.0	44610.0
48	5803.0	5128.0
49	26.0	21.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
