id	526b6171-5947-439d-b61f-4604309532e9	02599613-1566-40af-8606-a438c2b17061
1068	0.0	0.0
85369	2361.0	2366.0
85366	3.0	2.0
85364	2144.0	1569.0
85365	4328.0	4445.0
85363	2422.0	2058.0
85360	1663.0	601.0
1080	914.0	1342.0
85391	0.0	0.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	809.0	1398.0
1087	3.0	3.0
1086	0.0	0.0
440279	1.0	3.0
1085	0.0	1.0
1084	6.0	6.0
440278	226.0	326.0
1082	0.0	0.0
403294	0.0	0.0
440275	7817.0	7615.0
1081	9.0	116.0
85397	0.0	1.0
85395	657.0	540.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	650.0	622.0
1089	8.0	24.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	273.0	107.0
285598	657.0	402.0
126133	1183.0	1254.0
128790	0.0	0.0
126129	268.0	141.0
126123	1.0	4.0
442862	0.0	0.0
126119	1405.0	564.0
442863	0.0	0.0
442864	0.0	1.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	12.0	7.0
442897	0.0	0.0
442898	0.0	0.0
114134	559.0	634.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	8.0
100128788	124.0	131.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	2.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	1.0
128756	0.0	0.0
100128782	572.0	287.0
100128781	1.0	5.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	2.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	32.0	11.0
102466616	0.0	0.0
126052	0.0	0.0
151009	69.0	145.0
403227	0.0	0.0
403228	0.0	0.0
138046	3.0	3.0
645558	0.0	0.0
403229	2.0	6.0
645573	1.0	0.0
645572	0.0	0.0
645571	38.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2475.0	1777.0
107131122	0.0	0.0
138050	6919.0	8058.0
403219	1.0	1.0
151011	7467.0	2727.0
645587	1.0	1.0
165679	529.0	972.0
126037	48.0	36.0
114049	5623.0	4638.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	1269.0	559.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2918.0	2085.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	105.0	216.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	13.0	29.0
645598	0.0	0.0
163007	6.0	3.0
114038	3.0	1.0
645591	0.0	0.0
106481495	0.0	1.0
114041	32.0	19.0
106481496	0.0	0.0
114042	1.0	3.0
106481493	0.0	0.0
114043	1.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	158.0	302.0
126017	2744.0	2478.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	448.0	511.0
85301	1948.0	988.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3126.0	6004.0
106481459	0.0	0.0
26994	10312.0	6007.0
106481457	2.0	4.0
26995	3268.0	2978.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2114.0	3756.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3053.0	2904.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	3.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	164.0	104.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1337.0	1289.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	12.0
106481437	0.0	0.0
26974	319.0	380.0
153657	87.0	71.0
106481438	0.0	0.0
106481435	0.0	1.0
26973	1082.0	1513.0
165631	101.0	33.0
106481436	2.0	2.0
26978	12.0	16.0
126075	2383.0	1764.0
106481439	0.0	0.0
403250	0.0	0.0
126074	341.0	356.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4014.0	1885.0
106481444	1.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	0.0
85358	1737.0	1271.0
85354	0.0	0.0
85352	1538.0	424.0
403241	1.0	5.0
344462	0.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	1061.0	601.0
153643	20.0	14.0
403247	0.0	0.0
403248	0.0	0.0
26985	5287.0	4789.0
106481448	0.0	0.0
26986	59517.0	98304.0
126069	220.0	141.0
106481449	0.0	0.0
126068	838.0	570.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1451.0	912.0
106481447	0.0	0.0
106481451	0.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	147.0	22.0
106481455	0.0	0.0
85349	65.0	29.0
106481456	0.0	2.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	1.0	3.0
106481454	0.0	1.0
403238	0.0	0.0
85344	3.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	1.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3977.0	4083.0
100873390	0.0	0.0
728556	96.0	94.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	185.0	126.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	496.0	432.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	123.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	178.0	106.0
100873384	0.0	0.0
285601	48.0	37.0
106481426	0.0	0.0
106481427	0.0	3.0
222005	0.0	5.0
63910	76.0	56.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	682.0	910.0
222008	77.0	13.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	8384.0	4040.0
63904	0.0	0.0
106481430	1.0	0.0
163071	56.0	15.0
63906	942.0	796.0
106481433	0.0	0.0
63908	954.0	682.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	3.0
285613	131.0	113.0
63920	850.0	369.0
63923	8.0	14.0
63922	350.0	439.0
728577	201.0	118.0
63925	1481.0	1901.0
63924	66.0	7.0
63916	4780.0	7336.0
63917	7671.0	5247.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	7.0
728564	10.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2101.0	1200.0
106481402	0.0	1.0
63931	3417.0	2347.0
106481403	0.0	1.0
63934	625.0	753.0
728567	2.0	2.0
106481408	0.0	0.0
163088	1.0	8.0
63933	2499.0	2046.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4341.0	3466.0
163087	919.0	701.0
728568	686.0	569.0
106481407	11.0	9.0
3704	2342.0	1794.0
3705	9137.0	5579.0
63926	585.0	872.0
3706	130.0	19.0
63929	1167.0	1137.0
3707	6288.0	6814.0
63928	157.0	88.0
3708	9380.0	6152.0
106481411	0.0	0.0
3709	2185.0	6571.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	14.0
3702	210.0	188.0
3703	13339.0	22191.0
645506	2.0	1.0
151050	2835.0	1167.0
645520	0.0	0.0
63941	6217.0	4819.0
63940	816.0	478.0
63943	356.0	359.0
728517	0.0	0.0
163033	504.0	501.0
258010	4559.0	4158.0
63947	0.0	0.0
63946	0.0	15.0
728513	2.0	6.0
100033803	0.0	0.0
3716	11352.0	7348.0
100033804	0.0	0.0
3717	1240.0	698.0
100033805	0.0	0.0
3718	459.0	511.0
63939	1826.0	1032.0
100033806	0.0	0.0
100190799	1.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	241.0	225.0
3710	2072.0	7000.0
3712	12481.0	10783.0
3713	0.0	1.0
3714	2065.0	2319.0
63950	2.0	22.0
728505	1.0	1.0
63951	840.0	832.0
100033807	0.0	0.0
728501	71.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14237.0	8886.0
100033814	0.0	0.0
3727	12237.0	7103.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	12151.0	22187.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1266.0	2125.0
151056	366.0	267.0
3725	24648.0	16606.0
645528	0.0	1.0
728532	37.0	26.0
163059	535.0	390.0
728538	2.0	3.0
728537	94.0	121.0
63967	52.0	30.0
3737	32.0	14.0
3738	58.0	29.0
3739	3.0	21.0
645538	0.0	0.0
3730	1455.0	1454.0
3732	4319.0	4505.0
3734	91.0	27.0
3735	9080.0	9001.0
3736	0.0	0.0
63970	430.0	59.0
3750	233.0	123.0
63971	6778.0	5640.0
63974	0.0	0.0
163049	2840.0	2256.0
63973	0.0	0.0
63976	59.0	63.0
222068	13545.0	10821.0
63978	0.0	0.0
63977	409.0	734.0
63979	688.0	521.0
728524	0.0	0.0
3748	122.0	403.0
163051	50.0	27.0
3749	940.0	588.0
163050	78.0	61.0
3741	47.0	17.0
645548	3.0	6.0
3743	3.0	4.0
3744	0.0	0.0
3745	567.0	394.0
3746	10.0	22.0
3747	1316.0	2332.0
285671	1861.0	776.0
285672	2534.0	1627.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2770.0	203.0
285676	203.0	195.0
3761	2.0	0.0
100128657	0.0	0.0
285679	3.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	239.0	348.0
283008	5.0	1.0
3751	15.0	43.0
100873435	0.0	0.0
3752	4047.0	4542.0
100873434	0.0	0.0
3753	3.0	5.0
100873433	0.0	0.0
3754	102.0	9.0
100873432	0.0	0.0
3755	1213.0	374.0
100873439	0.0	0.0
3756	62.0	10.0
100873438	0.0	0.0
3757	2492.0	961.0
100873437	0.0	0.0
3758	1.0	6.0
100873436	0.0	0.0
100873420	2.0	3.0
3770	90.0	140.0
3772	700.0	392.0
100861458	0.0	1.0
100861453	6.0	11.0
100861455	0.0	0.0
1107	22607.0	18267.0
1106	6658.0	9465.0
1105	1768.0	2210.0
1104	1346.0	2869.0
100873429	0.0	0.0
1103	0.0	2.0
1102	2526.0	1111.0
1101	33.0	49.0
3762	1131.0	207.0
100873424	0.0	0.0
3763	368.0	25.0
100128640	282.0	180.0
100873423	0.0	0.0
3764	3048.0	523.0
100873422	0.0	0.0
3765	0.0	4.0
100873421	0.0	1.0
3766	16.0	28.0
100873428	0.0	0.0
3767	568.0	1084.0
100873427	0.0	0.0
3768	118.0	351.0
1109	0.0	0.0
100873426	1.0	0.0
1108	8482.0	13491.0
3769	21.0	4.0
100873425	0.0	0.0
100128637	3.0	0.0
100128639	0.0	0.0
3780	46.0	11.0
100873453	0.0	0.0
3781	1939.0	3150.0
100873452	0.0	0.0
3782	502.0	225.0
100873451	0.0	0.0
3783	2355.0	9692.0
100873450	0.0	0.0
1121	2475.0	1560.0
100861468	0.0	0.0
1120	242.0	175.0
100861469	0.0	0.0
1118	6.0	136.0
1117	308.0	260.0
1116	55.0	474.0
1114	4215.0	245.0
1113	719.0	920.0
1112	5501.0	5034.0
1111	640.0	305.0
3773	2.0	9.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	980.0	1068.0
100873455	0.0	0.0
3776	17.0	11.0
100873454	0.0	0.0
3777	6863.0	1137.0
3778	11884.0	3786.0
3779	9332.0	2208.0
100873459	0.0	0.0
1119	3700.0	3655.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	618.0	1553.0
100128628	6.0	2.0
3791	2265.0	1333.0
100873442	0.0	0.0
3792	59.0	10.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	10.0
1131	186.0	4084.0
1130	2021.0	1297.0
100861476	0.0	0.0
1129	280.0	5.0
1128	9563.0	5497.0
1124	1111.0	1411.0
1123	3704.0	605.0
1122	447.0	819.0
100861470	0.0	0.0
3784	1143.0	2044.0
100873446	0.0	0.0
3785	729.0	45.0
100873445	0.0	0.0
3786	459.0	123.0
100873444	0.0	0.0
3787	161.0	372.0
100873443	0.0	0.0
3788	172.0	19.0
100873449	0.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	191.0	92.0
100128618	2.0	0.0
728597	5.0	3.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	394.0	378.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	1.0
285634	4.0	2.0
1142	0.0	0.0
1141	18.0	7.0
285636	3241.0	2792.0
1140	599.0	170.0
728599	3.0	1.0
1139	97.0	22.0
1138	192.0	164.0
1137	51.0	0.0
100861485	1.0	0.0
1136	23.0	24.0
1135	5913.0	4576.0
1134	1.0	0.0
1133	8.0	15.0
3795	408.0	185.0
100873479	16.0	12.0
3796	1776.0	1315.0
100873478	0.0	0.0
3797	970.0	390.0
100873477	0.0	4.0
3798	105.0	43.0
100873476	0.0	0.0
3799	19276.0	16086.0
100873460	0.0	0.0
728586	18.0	20.0
285641	1.0	1.0
100873464	3.0	5.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	1.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	669.0	379.0
1153	30943.0	30971.0
1152	49550.0	21923.0
285647	28.0	40.0
728589	5.0	4.0
728588	1.0	4.0
1149	6.0	0.0
1147	2077.0	1686.0
1146	1.0	5.0
1145	73.0	19.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1535.0	294.0
1163	1214.0	482.0
285659	3.0	0.0
1161	631.0	470.0
1160	760.0	135.0
1159	145.0	107.0
1158	2136.0	177.0
1157	0.0	0.0
1155	4657.0	2536.0
550643	2831.0	1644.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3668.0	2251.0
1175	7248.0	3759.0
285668	8.0	2.0
1174	5141.0	2771.0
1173	31712.0	22167.0
550631	237.0	135.0
100873489	0.0	0.0
283014	6.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	49.0	43.0
1186	3515.0	4699.0
1185	1463.0	1404.0
1184	379.0	661.0
1183	458.0	466.0
1182	8875.0	13403.0
1181	474.0	513.0
440375	51.0	79.0
1180	8.0	8.0
1179	1.0	0.0
1178	3.0	0.0
283089	16.0	11.0
85495	0.0	0.0
85480	1609.0	105.0
283080	0.0	0.0
1198	4289.0	4883.0
1197	0.0	4.0
1196	2302.0	2329.0
1195	6152.0	4906.0
440366	1.0	0.0
1193	514.0	257.0
1192	32961.0	21047.0
1191	89094.0	22125.0
1188	131.0	26.0
283078	3465.0	766.0
85486	4.0	9.0
128615	0.0	0.0
85481	1.0	0.0
128611	46.0	49.0
440396	40.0	46.0
128609	0.0	0.0
128602	10.0	6.0
440387	1.0	0.0
128674	1.0	2.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	4.0
126014	108.0	86.0
440335	197.0	2273.0
100128690	0.0	0.0
114034	1021.0	662.0
126006	40.0	62.0
114036	13.0	4.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	101.0	98.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	28.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	382.0	233.0
440356	5.0	3.0
440354	79.0	55.0
440352	1.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	38.0
100873410	0.0	0.0
100873417	1.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	12.0	8.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	36.0	94.0
200734	2299.0	1690.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	6.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	37.0	8.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5084.0	3870.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	6.0	5.0
165530	165.0	44.0
85409	370.0	165.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	2.0	64.0
106481383	0.0	1.0
85417	22.0	45.0
106481384	0.0	1.0
103106903	2.0	1.0
85414	188098.0	153835.0
106481389	0.0	0.0
85415	7814.0	12871.0
106481387	0.0	0.0
85413	8.0	20.0
106481388	2.0	7.0
645436	0.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	105.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	457.0	600.0
12	52.0	386.0
13	0.0	0.0
14	11347.0	9976.0
15	5.0	2.0
16	11036.0	11024.0
645455	6.0	16.0
18	7830.0	5004.0
19	709.0	1926.0
128580	7.0	5.0
85407	751.0	560.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1686.0	1866.0
106481395	1.0	0.0
85403	2339.0	2250.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	3649.0	4827.0
106481390	0.0	0.0
21	2836.0	4293.0
106481391	0.0	0.0
22	1601.0	1475.0
153571	374.0	384.0
153572	458.0	715.0
23	4749.0	5904.0
24	27.0	18.0
25	7242.0	8815.0
26	2236.0	542.0
27	1153.0	1983.0
28	672.0	1307.0
29	6483.0	5149.0
153579	245.0	171.0
728615	0.0	0.0
728614	0.0	0.0
200765	398.0	215.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	40.0	48.0
102466518	0.0	0.0
102466516	2.0	6.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	25.0	0.0
106481361	0.0	1.0
85439	347.0	131.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	5613.0	3607.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	193.0	157.0
106481366	0.0	0.0
30	8645.0	3578.0
106481360	0.0	0.0
31	10762.0	18991.0
32	2338.0	1577.0
33	2846.0	914.0
34	4248.0	2826.0
35	1976.0	943.0
153562	1380.0	3480.0
36	8032.0	8195.0
37	22843.0	10466.0
38	5448.0	3110.0
440307	25.0	18.0
39	6117.0	2575.0
165545	3.0	17.0
106481369	0.0	0.0
728606	320.0	2023.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	7.0	20.0
106481370	0.0	0.0
41	784.0	786.0
106481371	0.0	0.0
43	196.0	308.0
645486	3.0	0.0
47	19693.0	32899.0
48	6902.0	4534.0
49	18.0	3.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	4.0	5.0
106481340	0.0	0.0
85458	6700.0	2476.0
106481345	0.0	0.0
