id	4a8849c2-9e21-4ccf-b703-b6d6311744e0	1530a60d-78d0-4ce6-8959-40080184f716
285550	1372.0	1436.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	17.0
3640	4.0	3.0
3638	9217.0	3893.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1247.0	1269.0
100873313	0.0	0.0
3632	4336.0	4604.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1073.0	748.0
100873318	0.0	0.0
3635	1347.0	900.0
100873317	0.0	0.0
3636	6039.0	8405.0
100128771	45.0	82.0
100873316	3.0	3.0
100873315	0.0	0.0
100128766	1.0	4.0
3651	2.0	6.0
1	7.0	8.0
2	23611.0	38223.0
100873309	0.0	0.0
100873308	0.0	0.0
3	9.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	623.0	137.0
3642	13.0	52.0
100873302	0.0	0.0
3643	4896.0	7477.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	44.0	7.0
100873307	0.0	0.0
3646	20004.0	16551.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	171.0	121.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	3002.0	2538.0
100873331	0.0	0.0
3661	1974.0	2189.0
100873330	0.0	0.0
285577	5.0	0.0
3662	45.0	40.0
100128756	0.0	0.0
1000	122.0	85.0
3652	1426.0	1215.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	32.0	34.0
3654	8384.0	14028.0
100873334	0.0	0.0
3655	10017.0	8543.0
100873333	0.0	1.0
3656	315.0	199.0
100873339	0.0	0.0
3658	3930.0	3533.0
100873338	1.0	0.0
3659	1282.0	1207.0
100873337	0.0	0.0
3670	631.0	400.0
100873321	0.0	0.0
3671	2622.0	3287.0
100873320	0.0	0.0
3672	6238.0	5161.0
285588	0.0	0.0
3673	2885.0	2202.0
1011	0.0	0.0
1010	2.0	0.0
1008	298.0	83.0
1007	2.0	0.0
1006	52.0	6.0
1005	214.0	93.0
1004	180.0	176.0
1003	1346.0	1458.0
1002	144.0	83.0
1001	3242.0	2110.0
3663	328.0	476.0
100873325	1.0	0.0
3664	11728.0	9144.0
100873324	0.0	0.0
3665	743.0	997.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4309.0	4422.0
100873329	0.0	0.0
285590	2545.0	2020.0
100873328	0.0	0.0
3669	541.0	561.0
100873327	0.0	0.0
1009	1911.0	2526.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	4.0	2.0
728477	21.0	10.0
3680	2557.0	1768.0
3681	4.0	8.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	701.0	584.0
100873353	0.0	0.0
3683	317.0	403.0
100873352	0.0	0.0
128710	697.0	808.0
3684	212.0	334.0
100873351	0.0	0.0
285512	63.0	71.0
1022	1309.0	961.0
285513	214.0	337.0
1021	2065.0	3608.0
1020	890.0	960.0
440299	0.0	1.0
1019	3915.0	3690.0
128709	0.0	1.0
1018	27.0	24.0
1017	1428.0	1288.0
1016	42.0	8.0
1015	201.0	96.0
1014	1.0	0.0
1013	10.0	18.0
1012	918.0	1135.0
116730	8.0	28.0
3674	18.0	17.0
100873358	0.0	0.0
3675	5309.0	4577.0
100873357	1.0	0.0
3676	361.0	406.0
100128731	7736.0	6914.0
100873356	0.0	0.0
3678	10603.0	7661.0
3679	3562.0	2764.0
100873359	0.0	0.0
728464	168.0	60.0
728463	100.0	49.0
100128725	0.0	0.0
3690	385.0	231.0
3691	9370.0	8599.0
100873343	0.0	0.0
3692	5423.0	4789.0
3693	10538.0	13128.0
285521	1681.0	1380.0
100873342	0.0	0.0
3694	951.0	505.0
100873341	0.0	1.0
3695	122.0	63.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	42.0	72.0
1032	213.0	218.0
285525	3.0	1.0
1031	655.0	559.0
285527	3205.0	3879.0
1030	314.0	485.0
728468	0.0	1.0
440288	191.0	168.0
1029	43.0	49.0
440295	133.0	96.0
1028	973.0	979.0
1027	4285.0	4360.0
1026	4583.0	2949.0
1025	2309.0	2366.0
1024	924.0	773.0
3685	8760.0	11573.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	175.0	320.0
100873345	2.0	0.0
3688	19445.0	13372.0
100873344	0.0	0.0
3689	1406.0	1802.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	13.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	29.0	14.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	82.0	41.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	4.0
1043	342.0	197.0
1041	0.0	0.0
1040	2641.0	2695.0
1039	1363.0	1276.0
1038	1.0	0.0
1036	1059.0	697.0
3696	3092.0	2171.0
3697	2.0	0.0
100873379	0.0	0.0
3698	14.0	17.0
100873378	0.0	0.0
3699	67.0	52.0
100873377	0.0	0.0
728486	2.0	1.0
100873361	0.0	0.0
105373869	4.0	7.0
100873360	0.0	0.0
285540	211.0	129.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	182.0	187.0
100873362	0.0	0.0
100128701	4.0	7.0
1054	1671.0	2157.0
285547	0.0	0.0
1053	1.0	4.0
285548	4.0	0.0
1052	948.0	2129.0
1051	1065.0	1247.0
728489	9.0	9.0
1050	1255.0	1475.0
100128707	0.0	0.0
1048	68.0	7.0
1047	2844.0	2783.0
1046	0.0	0.0
1045	51.0	17.0
100873369	7.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	6719.0	3176.0
1063	167.0	471.0
1062	104.0	155.0
1061	4.0	3.0
1060	1625.0	1432.0
440253	102.0	56.0
1059	4313.0	4725.0
1058	19.0	20.0
1057	1.0	0.0
85379	5755.0	6943.0
114112	426.0	482.0
1056	162.0	53.0
85377	3248.0	2826.0
85378	2402.0	2814.0
128745	0.0	0.0
85376	34.0	76.0
440248	319.0	315.0
1075	1649.0	1682.0
1074	10.0	9.0
1073	6542.0	2739.0
1072	32271.0	32599.0
1071	40.0	48.0
440243	0.0	0.0
1070	999.0	614.0
1069	3941.0	2656.0
1068	0.0	0.0
85369	2113.0	2167.0
85366	4.0	0.0
85364	1118.0	1166.0
85365	3622.0	3745.0
85363	1614.0	1773.0
85360	1023.0	915.0
1080	650.0	952.0
85391	0.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
