id	6598740f-64d5-4b20-af26-dac644efc45f	d487c477-1052-4b32-8df9-edf0e6872bd4
285550	2365.0	1162.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	50.0	10.0
3640	47.0	8.0
3638	3474.0	6145.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2404.0	2232.0
100873313	0.0	0.0
3632	1861.0	1786.0
100873312	3.0	8.0
100873311	1.0	0.0
3633	2580.0	2206.0
100873318	2.0	2.0
3635	4076.0	4072.0
100873317	0.0	0.0
3636	7037.0	15743.0
100128771	168.0	267.0
100873316	14.0	11.0
100873315	0.0	0.0
100128766	4.0	11.0
3651	2.0	0.0
1	38.0	42.0
2	65809.0	81989.0
100873309	0.0	0.0
100873308	0.0	0.0
3	66.0	20.0
3641	0.0	1.0
100873303	0.0	0.0
9	4993.0	38119.0
3642	4.0	44.0
100873302	0.0	0.0
3643	11899.0	13161.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	21.0	18.0
100873307	0.0	0.0
3646	44496.0	35122.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	467.0	110.0
100873304	1.0	0.0
100873332	8.0	0.0
3660	4148.0	3869.0
100873331	0.0	0.0
3661	2894.0	2852.0
100873330	0.0	0.0
285577	1.0	0.0
3662	180.0	241.0
100128756	1.0	0.0
1000	44.0	414.0
3652	1665.0	1539.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	229.0	39.0
3654	6564.0	11215.0
100873334	0.0	0.0
3655	29721.0	16687.0
100873333	0.0	6.0
3656	796.0	1103.0
100873339	0.0	0.0
3658	7813.0	9613.0
100873338	0.0	0.0
3659	5164.0	5211.0
100873337	0.0	1.0
3670	8.0	43.0
100873321	1.0	0.0
3671	3233.0	6724.0
100873320	0.0	0.0
3672	6226.0	8738.0
285588	1.0	0.0
3673	7375.0	12503.0
1011	0.0	0.0
1010	61.0	1.0
1008	2.0	0.0
1007	0.0	0.0
1006	129.0	57.0
1005	282.0	473.0
1004	407.0	943.0
1003	4327.0	4638.0
1002	322.0	15.0
1001	6450.0	1360.0
3663	585.0	911.0
100873325	0.0	0.0
3664	16437.0	6110.0
100873324	0.0	0.0
3665	1215.0	2998.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	12187.0	2415.0
100873329	0.0	0.0
285590	5682.0	8503.0
100873328	0.0	0.0
3669	732.0	1157.0
100873327	0.0	0.0
1009	2708.0	12196.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	3.0	3.0
728477	7.0	3.0
3680	3394.0	1731.0
3681	37.0	143.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	1042.0	1465.0
100873353	1.0	0.0
3683	1205.0	1662.0
100873352	0.0	0.0
128710	1093.0	1454.0
3684	1283.0	3119.0
100873351	0.0	0.0
285512	437.0	175.0
1022	1888.0	2517.0
285513	2620.0	2619.0
1021	6864.0	3650.0
1020	531.0	2949.0
440299	0.0	0.0
1019	3746.0	5569.0
128709	4.0	5.0
1018	61.0	9.0
1017	2270.0	2918.0
1016	56.0	161.0
1015	46.0	19.0
1014	0.0	0.0
1013	20.0	29.0
1012	1672.0	1497.0
116730	109.0	80.0
3674	40.0	14.0
100873358	0.0	0.0
3675	7351.0	3406.0
100873357	0.0	0.0
3676	1107.0	2550.0
100128731	4493.0	5841.0
100873356	0.0	0.0
3678	3280.0	26130.0
3679	1200.0	731.0
100873359	0.0	0.0
728464	30.0	44.0
728463	102.0	52.0
100128725	0.0	0.0
3690	204.0	21919.0
3691	25513.0	9210.0
100873343	0.0	0.0
3692	4813.0	7374.0
3693	11437.0	18590.0
285521	2228.0	4024.0
100873342	0.0	0.0
3694	9085.0	626.0
100873341	0.0	0.0
3695	158.0	266.0
100873340	2.0	0.0
100128723	6.0	0.0
1033	110.0	532.0
1032	267.0	534.0
285525	10.0	2.0
