id	ef51ae2e-91ac-4d5f-ba2a-0ae978ba33b9	36bcb602-58b0-4731-8d2c-090eaac15d29
285550	1547.0	1666.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	29.0	21.0
3640	12.0	12.0
3638	3739.0	4801.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2856.0	1664.0
100873313	1.0	0.0
3632	2319.0	1344.0
100873312	3.0	0.0
100873311	0.0	0.0
3633	2862.0	1083.0
100873318	0.0	0.0
3635	2191.0	380.0
100873317	0.0	0.0
3636	5828.0	4638.0
100128771	91.0	82.0
100873316	8.0	11.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	41.0	19.0
2	122936.0	25894.0
100873309	0.0	0.0
100873308	0.0	0.0
3	21.0	6.0
3641	0.0	2.0
100873303	0.0	0.0
9	378.0	20342.0
3642	0.0	0.0
100873302	0.0	1.0
3643	8159.0	15127.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	1.0
3645	81.0	15.0
100873307	0.0	0.0
3646	28760.0	39500.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	380.0	76.0
100873304	0.0	0.0
100873332	23.0	0.0
3660	3528.0	3190.0
100873331	0.0	0.0
3661	2255.0	689.0
100873330	0.0	0.0
285577	9.0	0.0
3662	735.0	29.0
100128756	0.0	0.0
1000	359.0	1072.0
3652	1446.0	1372.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	130.0	56.0
3654	3941.0	1848.0
100873334	0.0	0.0
3655	19864.0	4121.0
100873333	0.0	0.0
3656	637.0	172.0
100873339	0.0	0.0
3658	6115.0	7935.0
100873338	0.0	0.0
3659	2772.0	855.0
100873337	0.0	0.0
3670	93.0	13.0
100873321	0.0	0.0
3671	12184.0	12088.0
100873320	0.0	0.0
3672	8173.0	9996.0
285588	1.0	4.0
3673	9684.0	4240.0
1011	0.0	0.0
1010	154.0	1.0
1008	0.0	3.0
1007	0.0	0.0
1006	567.0	24.0
1005	7.0	3.0
1004	644.0	392.0
1003	8278.0	1748.0
1002	187.0	1.0
1001	9220.0	627.0
3663	378.0	485.0
100873325	0.0	0.0
3664	16052.0	7536.0
100873324	0.0	0.0
3665	657.0	307.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9869.0	1871.0
100873329	0.0	0.0
285590	7245.0	5996.0
100873328	0.0	1.0
3669	494.0	109.0
100873327	0.0	0.0
1009	3786.0	15294.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	7.0	2.0
728477	9.0	1.0
3680	4120.0	390.0
3681	22.0	16.0
100128733	1.0	0.0
100873354	1.0	0.0
3682	955.0	942.0
100873353	0.0	0.0
3683	1023.0	587.0
100873352	4.0	0.0
128710	871.0	1143.0
3684	756.0	363.0
100873351	1.0	0.0
285512	301.0	55.0
1022	1451.0	2767.0
285513	1114.0	1194.0
