id	ecbe1717-b6b7-4359-b723-3bfc81c82f2d	86b85802-2fb0-4628-a79f-04bdb80b7461
1056	23.0	36.0
85377	2218.0	1295.0
85378	3164.0	2399.0
128745	1.0	1.0
85376	9.0	51.0
440248	1209.0	747.0
1075	10916.0	6061.0
1074	15.0	57.0
1073	5770.0	1191.0
1072	27627.0	47512.0
1071	594.0	61.0
440243	0.0	0.0
1070	1160.0	2074.0
1069	3927.0	8603.0
1068	0.0	0.0
85369	2714.0	3607.0
85366	3.0	25.0
85364	1657.0	1964.0
85365	2542.0	4575.0
85363	1798.0	2889.0
85360	1859.0	679.0
1080	53.0	9.0
85391	18.0	13.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	15.0	2.0
153733	757.0	1219.0
1087	8.0	144.0
1086	0.0	0.0
440279	23.0	1.0
1085	22.0	1.0
1084	8.0	3.0
440278	180.0	295.0
1082	0.0	0.0
403294	0.0	0.0
440275	7190.0	10664.0
1081	0.0	14.0
85397	2.0	25.0
85395	353.0	319.0
403285	0.0	0.0
1091	0.0	0.0
1090	7.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1307.0	2145.0
1089	11.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	18.0	12.0
285598	1141.0	802.0
126133	1262.0	2293.0
128790	1.0	0.0
126129	264.0	236.0
126123	1.0	0.0
442862	0.0	0.0
126119	544.0	555.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	1.0
114131	1.0	0.0
442896	0.0	2.0
114132	51.0	6.0
442897	0.0	0.0
442898	0.0	1.0
114134	886.0	851.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	5.0
100128788	66.0	359.0
100128787	0.0	0.0
440225	0.0	4.0
440224	9.0	266.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	4.0
128756	1.0	0.0
100128782	146.0	212.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	352.0	0.0
102466616	0.0	0.0
126052	1.0	0.0
151009	91.0	38.0
403227	0.0	1.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	8.0
645572	0.0	0.0
645571	5.0	7.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	315.0	1808.0
107131122	4.0	4.0
138050	12211.0	14274.0
403219	0.0	0.0
151011	9599.0	5556.0
645587	0.0	11.0
165679	136.0	455.0
126037	23.0	45.0
114049	3461.0	5243.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	2.0
106481483	0.0	0.0
85315	901.0	697.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	1.0
85313	2291.0	3173.0
106481486	0.0	1.0
106481487	0.0	0.0
645579	410.0	271.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	1.0
138065	112.0	34.0
645598	0.0	0.0
163007	20.0	208.0
114038	2.0	1.0
645591	1.0	0.0
106481495	0.0	0.0
114041	81.0	9.0
106481496	0.0	0.0
114042	3.0	5.0
106481493	0.0	0.0
114043	38.0	12.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	266.0	582.0
126017	701.0	1422.0
106481497	3.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	2.0
85301	1062.0	2048.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	3.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1066.0	7259.0
106481459	0.0	0.0
26994	13039.0	10651.0
106481457	4.0	30.0
26995	2240.0	3809.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	1.0
102466659	0.0	0.0
26999	955.0	3351.0
403273	0.0	0.0
102466658	4.0	24.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	1.0	5.0
106481461	0.0	0.0
104310350	1.0	0.0
106481466	0.0	0.0
26993	2027.0	2746.0
106481467	0.0	0.0
106481464	1.0	2.0
106481465	0.0	0.0
104310351	0.0	9.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	1.0
138009	2.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	7577.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	666.0	11761.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	876.0	2670.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	2.0
106481437	0.0	0.0
26974	458.0	780.0
153657	23.0	111.0
106481438	12.0	290.0
106481435	0.0	0.0
26973	1529.0	2901.0
165631	249.0	156.0
106481436	0.0	0.0
26978	17.0	24.0
126075	640.0	1707.0
106481439	0.0	0.0
403250	0.0	0.0
126074	191.0	726.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	1498.0	1270.0
106481444	6.0	27.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	7020.0	1313.0
85354	0.0	0.0
85352	168.0	262.0
403241	1.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	748.0	455.0
153643	8.0	28.0
403247	0.0	0.0
403248	0.0	0.0
26985	6014.0	7654.0
106481448	0.0	0.0
26986	81835.0	93704.0
126069	228.0	667.0
106481449	0.0	0.0
126068	1226.0	1704.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1291.0	1703.0
106481447	0.0	0.0
106481451	2.0	11.0
106481452	1.0	0.0
106481450	0.0	1.0
114088	210.0	378.0
106481455	0.0	1.0
85349	34.0	136.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	3.0	7.0
106481454	0.0	1.0
403238	0.0	0.0
85344	2.0	35.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	9.0	58.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	4.0
100873392	4.0	8.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3234.0	10458.0
100873390	0.0	0.0
728556	58.0	78.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	130.0	200.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	596.0	1049.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	2.0
100873382	0.0	0.0
100873381	11.0	15.0
100873380	1.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	179.0	605.0
100873384	0.0	0.0
285601	44.0	4.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	5.0
63910	178.0	132.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	773.0	2144.0
222008	1.0	3.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	3845.0	4549.0
63904	0.0	0.0
106481430	1.0	2.0
163071	73.0	37.0
63906	858.0	782.0
106481433	0.0	0.0
63908	1011.0	1243.0
106481434	0.0	0.0
106481431	2.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	2.0
285613	31.0	67.0
63920	719.0	1812.0
63923	1471.0	995.0
63922	245.0	559.0
728577	802.0	42.0
63925	1364.0	2112.0
63924	45413.0	11.0
63916	4065.0	7433.0
63917	5416.0	4294.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	4.0
728564	3.0	6.0
285622	0.0	9.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2328.0	2913.0
106481402	0.0	0.0
63931	2626.0	4907.0
106481403	0.0	1.0
63934	524.0	827.0
728567	3.0	4.0
106481408	0.0	0.0
163088	4.0	11.0
63933	3893.0	4116.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2969.0	3320.0
163087	1239.0	1565.0
728568	452.0	546.0
106481407	17.0	22.0
3704	1138.0	1783.0
3705	15875.0	7158.0
63926	1039.0	2644.0
3706	9.0	197.0
63929	1772.0	2145.0
3707	6182.0	5304.0
63928	2.0	0.0
3708	6146.0	11119.0
106481411	0.0	1.0
3709	9944.0	7675.0
106481412	0.0	0.0
106481410	2.0	1.0
3700	17.0	76.0
3702	275.0	91.0
3703	10948.0	21272.0
645506	0.0	0.0
151050	1876.0	644.0
645520	0.0	0.0
63941	1076.0	3744.0
63940	1161.0	946.0
63943	305.0	663.0
728517	0.0	0.0
163033	262.0	562.0
258010	1160.0	5210.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	1.0
100033803	0.0	0.0
3716	36130.0	17458.0
100033804	0.0	0.0
3717	3310.0	1797.0
100033805	0.0	0.0
3718	546.0	304.0
63939	1912.0	1884.0
100033806	0.0	0.0
100190799	10.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	122.0	223.0
3710	2802.0	5925.0
3712	6714.0	11005.0
3713	1.0	0.0
3714	2669.0	2255.0
63950	3.0	0.0
728505	4.0	0.0
63951	194.0	22.0
100033807	0.0	0.0
728501	43.0	22.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4147.0	4471.0
100033814	0.0	0.0
3727	6788.0	8745.0
63948	0.0	0.0
100033815	0.0	0.0
222052	9.0	0.0
3728	9913.0	33493.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1871.0	4720.0
151056	246.0	241.0
3725	14104.0	3667.0
645528	7.0	5.0
728532	31.0	51.0
163059	330.0	945.0
728538	0.0	0.0
728537	248.0	658.0
63967	80.0	511.0
3737	615.0	10.0
3738	50.0	37.0
3739	68.0	0.0
645538	0.0	0.0
3730	1573.0	3805.0
3732	3633.0	2385.0
3734	0.0	0.0
3735	9837.0	8122.0
3736	147.0	6.0
63970	97.0	38.0
3750	363.0	298.0
63971	12718.0	12050.0
63974	0.0	0.0
163049	2873.0	4057.0
63973	7.0	0.0
63976	290.0	75.0
222068	5871.0	11285.0
63978	0.0	3.0
63977	624.0	1245.0
63979	648.0	1235.0
728524	0.0	0.0
3748	345.0	120.0
163051	34.0	73.0
3749	1869.0	1089.0
163050	52.0	83.0
3741	29.0	36.0
645548	3.0	21.0
3743	1.0	3.0
3744	0.0	0.0
3745	3974.0	46.0
3746	7.0	2.0
3747	24.0	4.0
285671	1175.0	755.0
285672	2707.0	2633.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	121.0	10882.0
285676	114.0	54.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	6.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1394.0	614.0
283008	13.0	7.0
3751	940.0	744.0
100873435	0.0	0.0
3752	4630.0	6459.0
100873434	0.0	0.0
3753	105.0	33.0
100873433	0.0	1.0
3754	33.0	1054.0
100873432	0.0	0.0
3755	9.0	35.0
100873439	0.0	0.0
3756	59.0	993.0
100873438	0.0	0.0
3757	39.0	48.0
100873437	0.0	0.0
3758	12.0	7.0
100873436	0.0	0.0
100873420	0.0	1.0
3770	79.0	112.0
3772	233.0	52.0
100861458	0.0	0.0
100861453	25.0	8.0
100861455	0.0	0.0
1107	10228.0	21048.0
1106	7773.0	10039.0
1105	4265.0	10775.0
1104	1295.0	2931.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2750.0	1332.0
1101	365.0	8779.0
3762	1279.0	231.0
100873424	0.0	0.0
3763	14.0	10.0
100128640	134.0	179.0
100873423	0.0	0.0
3764	2362.0	417.0
100873422	0.0	0.0
3765	0.0	16.0
100873421	0.0	0.0
3766	15.0	42.0
100873428	0.0	0.0
3767	154.0	1613.0
100873427	0.0	0.0
3768	348.0	41.0
1109	3.0	0.0
100873426	0.0	5.0
1108	15607.0	28576.0
3769	8.0	4.0
100873425	1.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	6.0	16.0
100873453	0.0	0.0
3781	25.0	165.0
100873452	0.0	1.0
3782	716.0	795.0
100873451	0.0	0.0
3783	1004.0	210.0
100873450	0.0	0.0
1121	2672.0	3872.0
100861468	0.0	0.0
1120	302.0	184.0
100861469	0.0	0.0
1118	543.0	97.0
1117	1374.0	3886.0
1116	4914.0	262.0
1114	16.0	5.0
1113	6.0	1.0
1112	18874.0	3243.0
1111	445.0	1160.0
3773	409.0	15.0
100873457	1.0	2.0
100873456	1.0	0.0
3775	272.0	134.0
100873455	0.0	0.0
3776	1042.0	545.0
100873454	0.0	0.0
3777	1478.0	47.0
3778	1932.0	10160.0
3779	1137.0	365.0
100873459	0.0	0.0
1119	1623.0	2067.0
100128627	4.0	5.0
100128626	0.0	0.0
3790	753.0	5951.0
100128628	4.0	6.0
3791	11608.0	7744.0
100873442	0.0	0.0
3792	42.0	657.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	19.0	16.0
1131	176.0	197.0
1130	6486.0	5919.0
100861476	1.0	0.0
1129	0.0	0.0
1128	64.0	25.0
1124	546.0	504.0
1123	1252.0	976.0
1122	1305.0	3984.0
100861470	0.0	0.0
3784	765.0	867.0
100873446	0.0	0.0
3785	0.0	4.0
100873445	0.0	0.0
3786	306.0	757.0
100873444	0.0	0.0
3787	137.0	6.0
100873443	0.0	0.0
3788	41.0	9.0
100873449	15.0	21.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	144.0	88.0
100128618	1.0	1.0
728597	2.0	1.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	70.0	187.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	4.0	1.0
285634	6.0	2.0
1142	0.0	0.0
1141	32.0	96.0
285636	3380.0	6596.0
1140	762.0	752.0
728599	3.0	11.0
1139	21.0	8.0
1138	55.0	43.0
1137	0.0	1.0
100861485	0.0	0.0
1136	9.0	5.0
1135	2.0	67.0
1134	12.0	51.0
1133	18.0	27.0
3795	369.0	397.0
100873479	7.0	2.0
3796	2356.0	2943.0
100873478	0.0	0.0
3797	1361.0	1095.0
100873477	5.0	3.0
3798	92.0	27.0
100873476	0.0	0.0
3799	21944.0	23357.0
100873460	0.0	0.0
728586	29.0	24.0
285641	2.0	0.0
100873464	1.0	4.0
100873463	0.0	0.0
100873462	3.0	3.0
285643	0.0	8.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	712.0	6455.0
1153	19330.0	40302.0
1152	4287.0	1073.0
285647	19.0	61.0
728589	28.0	19.0
728588	0.0	1.0
1149	11737.0	4.0
1147	2452.0	3381.0
1146	3.0	0.0
1145	53.0	49.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	283.0	1479.0
1163	1313.0	2033.0
285659	0.0	0.0
1161	729.0	791.0
1160	346.0	84.0
1159	71.0	153.0
1158	1.0	12.0
1157	0.0	0.0
1155	2370.0	3312.0
550643	1258.0	3238.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	1.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	5692.0	6833.0
1175	2899.0	7108.0
285668	72.0	4.0
1174	1320.0	2577.0
1173	20194.0	19568.0
550631	103.0	342.0
100873489	0.0	0.0
283014	19.0	36.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	74.0	72.0
1186	3138.0	4267.0
1185	2746.0	1549.0
1184	863.0	773.0
1183	1513.0	169.0
1182	8429.0	10612.0
1181	215.0	718.0
440375	31.0	35.0
1180	17.0	6.0
1179	1.0	0.0
1178	7.0	0.0
283089	4.0	14.0
85495	0.0	0.0
85480	382.0	7.0
283080	0.0	0.0
1198	2968.0	3531.0
1197	1.0	1.0
1196	2454.0	4533.0
1195	12355.0	12208.0
440366	2.0	1.0
1193	3362.0	657.0
1192	17374.0	20173.0
1191	111510.0	42218.0
1188	26.0	27.0
283078	601.0	16.0
85486	5.0	3.0
128615	0.0	0.0
85481	1.0	6.0
128611	130.0	20.0
440396	48.0	153.0
128609	0.0	0.0
128602	2.0	1.0
440387	2.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	2.0	1.0
100861402	0.0	11.0
126014	71.0	263.0
440335	291.0	4452.0
100128690	0.0	0.0
114034	628.0	1000.0
126006	30.0	302.0
114036	265.0	69.0
100128696	1.0	0.0
100128688	0.0	0.0
126003	50.0	66.0
100861412	0.0	0.0
105180390	2.0	1.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	5.0	2.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	2.0	0.0
200728	285.0	316.0
440356	2.0	21.0
440354	75.0	100.0
440352	0.0	4.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	9.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	31.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	271.0	453.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	353.0	612.0
200734	3596.0	7606.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	7.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	22.0	26.0
100873402	0.0	0.0
100873401	2.0	4.0
100873400	0.0	3.0
100128665	0.0	0.0
128637	5836.0	6217.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	5.0	10.0
165530	47.0	6.0
85409	82.0	204.0
106481385	0.0	1.0
106481386	1.0	3.0
85416	2.0	0.0
106481383	5.0	4.0
85417	90.0	112.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	426.0	1979.0
106481389	0.0	0.0
85415	666.0	1300.0
106481387	0.0	1.0
85413	13.0	2.0
106481388	1.0	9.0
645436	0.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	6.0	11.0
106481380	0.0	0.0
11	1.0	93.0
403341	1993.0	1657.0
12	177.0	817.0
13	1458.0	1.0
14	6582.0	7164.0
15	2.0	3.0
16	9904.0	8239.0
645455	29.0	20.0
18	1425.0	17177.0
19	16305.0	1537.0
128580	15.0	5.0
85407	192.0	459.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1701.0	2465.0
106481395	0.0	0.0
85403	1992.0	3770.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	3.0
106481393	0.0	0.0
20	5183.0	4420.0
106481390	0.0	0.0
21	3882.0	12625.0
106481391	0.0	0.0
22	1969.0	3691.0
153571	332.0	20653.0
153572	1726.0	22068.0
23	5556.0	6679.0
24	277.0	2297.0
25	9269.0	7732.0
26	15.0	5.0
27	3590.0	6091.0
28	628.0	88.0
29	7494.0	8276.0
153579	20336.0	822.0
728615	0.0	0.0
728614	0.0	0.0
200765	230.0	533.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	53.0	20.0
102466518	2.0	0.0
102466516	13.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1122.0	3573.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3612.0	5221.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	254.0	371.0
106481366	0.0	0.0
30	4285.0	4164.0
106481360	0.0	0.0
31	7596.0	16651.0
32	56743.0	4316.0
33	1713.0	4.0
34	7164.0	5841.0
35	4571.0	1221.0
153562	500.0	5635.0
36	5374.0	21133.0
37	28500.0	15809.0
38	11507.0	8551.0
440307	9.0	24.0
39	955.0	2630.0
165545	9.0	34.0
106481369	0.0	0.0
728606	70.0	2584.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	1.0
40	17.0	10.0
106481370	0.0	0.0
41	245.0	668.0
106481371	0.0	0.0
43	21.0	18.0
645486	0.0	0.0
47	9845.0	24055.0
48	27713.0	5743.0
49	31.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
