id	9570c964-8d26-4280-97b7-43ebc45a3b58	5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2
285550	1142.0	886.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	9.0	23.0
3640	15.0	2.0
3638	2946.0	10992.0
100873319	0.0	1.0
100873314	0.0	0.0
3630	0.0	1.0
3631	1662.0	2231.0
100873313	0.0	0.0
3632	1543.0	1268.0
100873312	4.0	9.0
100873311	0.0	0.0
3633	1804.0	959.0
100873318	0.0	0.0
3635	1666.0	763.0
100873317	0.0	0.0
3636	4854.0	6615.0
100128771	38.0	73.0
100873316	9.0	8.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	0.0	16.0
1	24.0	26.0
2	74763.0	24943.0
100873309	0.0	0.0
100873308	1.0	1.0
3	31.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	1047.0	9061.0
3642	26.0	11373.0
100873302	0.0	0.0
3643	5786.0	11059.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	30.0	11.0
100873307	0.0	0.0
3646	12386.0	67818.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	117.0	48.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2363.0	3070.0
100873331	0.0	0.0
3661	2061.0	2926.0
100873330	0.0	0.0
285577	1.0	0.0
3662	529.0	40.0
100128756	0.0	0.0
1000	109.0	33.0
3652	1034.0	1755.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	109.0	31.0
3654	5245.0	11779.0
100873334	0.0	0.0
3655	13173.0	5905.0
100873333	0.0	0.0
3656	470.0	124.0
100873339	0.0	0.0
3658	3595.0	5969.0
100873338	0.0	0.0
3659	2377.0	4265.0
100873337	1.0	0.0
3670	2.0	71.0
100873321	0.0	0.0
3671	11640.0	1361.0
100873320	0.0	0.0
3672	7823.0	3155.0
285588	0.0	1.0
3673	3488.0	2446.0
1011	0.0	0.0
1010	110.0	4.0
1008	2.0	0.0
1007	0.0	0.0
1006	22.0	18.0
1005	17.0	101.0
1004	347.0	365.0
1003	8513.0	3172.0
1002	124.0	10.0
1001	3961.0	1380.0
3663	412.0	840.0
100873325	0.0	0.0
3664	7173.0	6898.0
100873324	0.0	0.0
3665	1542.0	3578.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7322.0	8835.0
100873329	0.0	0.0
285590	3976.0	1826.0
100873328	0.0	0.0
3669	666.0	661.0
100873327	0.0	0.0
1009	2598.0	1005.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	21.0
728477	3.0	9.0
3680	2468.0	467.0
3681	14.0	35.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	633.0	536.0
100873353	0.0	0.0
3683	591.0	5937.0
100873352	2.0	0.0
128710	538.0	1599.0
3684	998.0	386.0
100873351	0.0	0.0
285512	167.0	39.0
1022	904.0	2166.0
285513	649.0	3781.0
1021	1763.0	421.0
1020	390.0	1244.0
440299	1.0	0.0
1019	2494.0	5179.0
128709	0.0	0.0
1018	23.0	5.0
1017	1182.0	2247.0
1016	2.0	29.0
1015	11.0	4.0
1014	0.0	0.0
1013	6.0	4.0
1012	2851.0	959.0
116730	47.0	54.0
3674	59.0	83.0
100873358	0.0	0.0
3675	7075.0	6303.0
100873357	2.0	0.0
3676	354.0	508.0
100128731	3770.0	6741.0
100873356	0.0	0.0
3678	5944.0	5911.0
3679	11260.0	632.0
100873359	0.0	0.0
728464	49.0	6.0
728463	23.0	3.0
100128725	1.0	0.0
3690	410.0	63.0
3691	12146.0	757.0
100873343	3.0	0.0
3692	3567.0	11234.0
3693	17119.0	3144.0
285521	931.0	1462.0
100873342	0.0	0.0
3694	4155.0	235.0
100873341	0.0	0.0
3695	84.0	114.0
100873340	0.0	1.0
100128723	1.0	0.0
1033	39.0	1142.0
1032	225.0	880.0
285525	3.0	0.0
1031	2600.0	1905.0
285527	4276.0	10104.0
1030	2704.0	363.0
728468	0.0	0.0
440288	93.0	142.0
1029	288.0	181.0
440295	138.0	165.0
1028	2843.0	299.0
1027	3620.0	14382.0
1026	9145.0	3784.0
1025	3012.0	3277.0
1024	483.0	891.0
3685	8638.0	7736.0
100873347	2.0	1.0
100873346	0.0	0.0
3687	609.0	583.0
100873345	0.0	0.0
3688	37507.0	23391.0
100873344	0.0	0.0
3689	2868.0	1782.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	2.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	18.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	14.0	22.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	77.0	10.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	3.0
1043	422.0	485.0
1041	1.0	0.0
1040	1656.0	7315.0
1039	1839.0	5403.0
1038	28.0	3.0
1036	2158.0	50.0
3696	2346.0	110.0
3697	2.0	2.0
100873379	0.0	0.0
3698	3414.0	6.0
100873378	2.0	2.0
3699	90.0	17.0
100873377	0.0	3.0
728486	8.0	7.0
100873361	0.0	1.0
105373869	1.0	20.0
100873360	0.0	5.0
285540	100.0	176.0
100128705	1.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	3025.0	4009.0
285547	0.0	0.0
1053	0.0	4.0
285548	1.0	0.0
1052	2327.0	3119.0
1051	3383.0	2376.0
728489	10.0	6.0
1050	7735.0	497.0
100128707	0.0	0.0
1048	5.0	85167.0
1047	164.0	4661.0
1046	0.0	0.0
1045	0.0	0.0
100873369	10.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	12233.0	159.0
1063	517.0	20914.0
1062	148.0	3445.0
1061	2.0	8.0
1060	1741.0	2092.0
440253	190.0	30.0
1059	4669.0	9823.0
1058	26.0	724.0
1057	1.0	4.0
85379	7803.0	6759.0
114112	708.0	498.0
1056	28.0	3276.0
85377	2454.0	1286.0
85378	3022.0	1650.0
128745	0.0	0.0
85376	10.0	13.0
440248	491.0	255.0
1075	3650.0	10460.0
1074	9.0	79.0
1073	2830.0	928.0
1072	23313.0	48572.0
1071	533.0	61.0
440243	1.0	0.0
1070	768.0	1593.0
1069	2396.0	4676.0
1068	0.0	0.0
85369	1931.0	2135.0
85366	1.0	15.0
85364	1239.0	1698.0
85365	1890.0	2686.0
85363	1879.0	983.0
85360	1257.0	292.0
1080	54.0	3.0
85391	0.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	7.0	0.0
153733	523.0	1184.0
1087	1.0	14.0
1086	0.0	0.0
440279	40.0	13.0
1085	7.0	0.0
1084	10.0	3.0
440278	130.0	189.0
1082	0.0	0.0
403294	1.0	0.0
440275	4992.0	6828.0
1081	0.0	1095.0
85397	4.0	35.0
85395	515.0	597.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	1050.0	386.0
1089	3.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	8.0	1.0
285598	686.0	839.0
126133	1388.0	1047.0
128790	1.0	0.0
126129	168.0	188.0
126123	0.0	0.0
442862	0.0	0.0
126119	579.0	809.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	2.0
114132	38.0	9.0
442897	0.0	0.0
442898	2.0	0.0
114134	442.0	1901.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	2.0
100128788	57.0	160.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	146.0	57.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	215.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	51.0	61.0
403227	52.0	0.0
403228	0.0	0.0
138046	9.0	1.0
645558	0.0	0.0
403229	0.0	2.0
645573	0.0	1.0
645572	0.0	0.0
645571	6.0	13.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	556.0	1896.0
107131122	0.0	0.0
138050	7032.0	7097.0
403219	0.0	0.0
151011	5090.0	3285.0
645587	2.0	2.0
165679	178.0	66.0
126037	31.0	46.0
114049	3131.0	4262.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	527.0	251.0
100033821	0.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1767.0	1190.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	177.0	263.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	109.0	5.0
645598	0.0	1.0
163007	2.0	95.0
114038	1.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	36.0	9.0
106481496	0.0	0.0
114042	6.0	2.0
106481493	0.0	0.0
114043	10.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	166.0	236.0
126017	439.0	766.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	8.0
85301	1930.0	129.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	1.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1094.0	5070.0
106481459	0.0	0.0
26994	8449.0	6530.0
106481457	8.0	5.0
26995	1960.0	4277.0
106481458	0.0	0.0
403271	0.0	0.0
26998	6.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	627.0	10019.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	1.0
26993	2090.0	2174.0
