id	44355367-8f17-4d9b-94de-993036a280f3	49e76e89-2cca-45da-91ac-e4c8c9c4d35e
285550	1632.0	1304.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	5.0
3640	10.0	16.0
3638	2461.0	1513.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	1588.0	976.0
100873313	0.0	0.0
3632	1702.0	1125.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	1715.0	551.0
100873318	3.0	0.0
3635	1929.0	1212.0
100873317	0.0	0.0
3636	3909.0	5478.0
100128771	89.0	56.0
100873316	3.0	4.0
100873315	0.0	0.0
100128766	2.0	9.0
3651	0.0	0.0
1	15.0	17.0
2	93036.0	55539.0
100873309	0.0	0.0
100873308	0.0	0.0
3	44.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	1265.0	7029.0
3642	13.0	127.0
100873302	0.0	0.0
3643	5788.0	3999.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	70.0	21.0
100873307	0.0	0.0
3646	20580.0	26255.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	220.0	76.0
100873304	0.0	0.0
100873332	3.0	0.0
3660	2748.0	2235.0
100873331	0.0	0.0
3661	1841.0	1854.0
100873330	4.0	0.0
285577	0.0	0.0
3662	443.0	155.0
100128756	0.0	0.0
1000	45.0	198.0
3652	928.0	698.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	68.0	19.0
3654	4061.0	5835.0
100873334	0.0	0.0
3655	16102.0	3154.0
100873333	0.0	0.0
3656	377.0	351.0
100873339	0.0	0.0
3658	3356.0	2163.0
100873338	0.0	0.0
3659	2060.0	2270.0
100873337	0.0	0.0
3670	2.0	2.0
100873321	0.0	0.0
3671	10140.0	28122.0
100873320	0.0	0.0
3672	7710.0	4915.0
285588	0.0	0.0
3673	4290.0	979.0
1011	0.0	0.0
1010	36.0	0.0
1008	12.0	0.0
1007	0.0	0.0
1006	48.0	46.0
1005	1.0	1.0
1004	847.0	579.0
1003	9183.0	4698.0
1002	135.0	6.0
1001	4019.0	1105.0
3663	300.0	464.0
100873325	0.0	0.0
3664	7479.0	4600.0
100873324	0.0	0.0
3665	517.0	2031.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7341.0	1207.0
100873329	0.0	0.0
285590	3731.0	4174.0
100873328	0.0	0.0
3669	475.0	519.0
100873327	0.0	0.0
1009	2818.0	11887.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	9.0
728477	6.0	0.0
3680	2554.0	882.0
3681	13.0	97.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	704.0	461.0
100873353	0.0	0.0
3683	949.0	1572.0
100873352	8.0	0.0
128710	674.0	637.0
3684	566.0	1193.0
