id	af504400-7f49-4561-a8e4-8b0b6ca3d02d	b3b6981a-b5db-481c-bc27-76a114856b03
285550	1264.0	664.0
100873310	0.0	0.0
100128777	1.0	0.0
285555	7.0	12.0
3640	13.0	4.0
3638	2719.0	3862.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1702.0	1503.0
100873313	0.0	0.0
3632	1671.0	885.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1558.0	868.0
100873318	1.0	0.0
3635	2056.0	861.0
100873317	0.0	0.0
3636	4460.0	3491.0
100128771	68.0	36.0
100873316	6.0	1.0
100873315	0.0	0.0
100128766	0.0	4.0
3651	0.0	0.0
1	20.0	37.0
2	73972.0	36680.0
100873309	0.0	0.0
100873308	0.0	0.0
3	63.0	3.0
3641	1.0	0.0
100873303	0.0	0.0
9	231.0	9989.0
3642	11.0	0.0
100873302	0.0	0.0
3643	6183.0	7398.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	37.0	2.0
100873307	0.0	0.0
3646	19160.0	14295.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	137.0	61.0
100873304	0.0	0.0
100873332	8.0	0.0
3660	2187.0	1830.0
100873331	0.0	0.0
3661	1441.0	1411.0
100873330	0.0	0.0
285577	4.0	0.0
3662	419.0	24.0
100128756	0.0	0.0
1000	21.0	148.0
3652	989.0	1706.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	166.0	71.0
3654	4071.0	4579.0
100873334	0.0	0.0
3655	14972.0	11127.0
100873333	0.0	0.0
3656	310.0	234.0
100873339	0.0	0.0
3658	3403.0	3223.0
100873338	0.0	0.0
3659	1194.0	870.0
100873337	2.0	0.0
3670	1.0	0.0
100873321	0.0	0.0
3671	10468.0	8258.0
100873320	0.0	0.0
3672	9181.0	3415.0
285588	0.0	3.0
3673	3094.0	3184.0
1011	0.0	0.0
1010	20.0	0.0
1008	6.0	0.0
1007	0.0	0.0
1006	24.0	20.0
1005	0.0	4.0
1004	429.0	340.0
1003	9917.0	3268.0
1002	90.0	55.0
1001	3648.0	5512.0
3663	491.0	1077.0
100873325	0.0	0.0
3664	5687.0	6604.0
100873324	0.0	2.0
3665	500.0	939.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5750.0	6959.0
100873329	0.0	0.0
285590	3836.0	3490.0
100873328	0.0	0.0
3669	434.0	1722.0
100873327	0.0	0.0
1009	2620.0	5243.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	1.0
728477	4.0	3.0
3680	2679.0	861.0
3681	9.0	27.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	750.0	847.0
100873353	0.0	0.0
3683	645.0	713.0
100873352	3.0	0.0
128710	524.0	795.0
3684	1066.0	910.0
100873351	0.0	0.0
285512	159.0	8.0
1022	894.0	2006.0
285513	876.0	5628.0
1021	1861.0	418.0
1020	436.0	2257.0
440299	2.0	0.0
1019	2331.0	4778.0
128709	0.0	0.0
1018	23.0	6.0
1017	1163.0	4134.0
1016	2.0	0.0
1015	15.0	10.0
1014	0.0	12.0
1013	1.0	17.0
1012	3718.0	1165.0
116730	71.0	43.0
3674	66.0	138.0
100873358	0.0	0.0
3675	5237.0	9362.0
100873357	0.0	0.0
3676	360.0	1274.0
100128731	5258.0	7951.0
100873356	0.0	0.0
3678	6495.0	7777.0
3679	14087.0	289.0
100873359	0.0	0.0
728464	64.0	15.0
728463	19.0	11.0
100128725	0.0	2.0
3690	300.0	278.0
3691	11256.0	14581.0
100873343	0.0	0.0
3692	3733.0	6593.0
3693	14396.0	33824.0
285521	1032.0	1235.0
100873342	0.0	0.0
3694	2958.0	3169.0
100873341	0.0	0.0
3695	132.0	40.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	56.0	581.0
1032	236.0	475.0
285525	0.0	1.0
1031	2310.0	422.0
285527	4773.0	2600.0
1030	3929.0	451.0
728468	0.0	0.0
440288	134.0	238.0
1029	104.0	191.0
440295	105.0	8.0
1028	1898.0	188.0
1027	3504.0	556.0
1026	6139.0	3258.0
1025	2883.0	2244.0
1024	621.0	278.0
3685	7984.0	10395.0
100873347	0.0	2.0
100873346	1.0	0.0
3687	299.0	914.0
100873345	0.0	0.0
3688	34027.0	17446.0
100873344	1.0	0.0
3689	2451.0	3467.0
100873349	0.0	1.0
100873348	1.0	0.0
100873372	0.0	8.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	37.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	44.0	46.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	107.0	34.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	30.0
1043	467.0	433.0
1041	3.0	187.0
1040	1125.0	3923.0
1039	1209.0	1420.0
1038	31.0	217.0
1036	4395.0	46.0
3696	2648.0	1430.0
3697	1.0	0.0
100873379	0.0	0.0
3698	23.0	1.0
100873378	0.0	3.0
3699	88.0	46.0
100873377	0.0	1.0
728486	7.0	4.0
100873361	0.0	0.0
105373869	3.0	253.0
100873360	0.0	0.0
285540	153.0	132.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	3164.0	3010.0
285547	0.0	0.0
1053	0.0	2.0
285548	0.0	0.0
1052	3978.0	2041.0
1051	3501.0	4361.0
728489	8.0	1.0
1050	4518.0	468.0
100128707	0.0	0.0
1048	0.0	2090.0
1047	32.0	655.0
1046	0.0	0.0
1045	5.0	0.0
100873369	12.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	12453.0	48.0
1063	250.0	13702.0
1062	133.0	2308.0
1061	4.0	1.0
1060	1459.0	951.0
440253	230.0	85.0
1059	3967.0	3689.0
1058	37.0	411.0
1057	0.0	0.0
85379	9465.0	6998.0
114112	872.0	779.0
1056	12.0	10.0
85377	2707.0	1963.0
85378	2607.0	1731.0
128745	0.0	0.0
85376	4.0	26.0
440248	903.0	270.0
1075	5037.0	2936.0
1074	13.0	8.0
1073	3077.0	644.0
1072	20867.0	36578.0
1071	124.0	57.0
440243	0.0	0.0
1070	812.0	763.0
1069	2219.0	5539.0
1068	0.0	0.0
85369	2226.0	1843.0
85366	3.0	7.0
85364	1029.0	668.0
85365	1646.0	2569.0
85363	1448.0	732.0
85360	1337.0	589.0
1080	30.0	1.0
85391	4.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	398.0	665.0
1087	1.0	22.0
1086	1.0	0.0
440279	19.0	1.0
1085	13.0	2.0
1084	8.0	9.0
440278	133.0	300.0
1082	0.0	0.0
403294	0.0	0.0
440275	4153.0	7449.0
1081	0.0	13783.0
85397	4.0	87.0
85395	325.0	366.0
403285	0.0	0.0
1091	1.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	1.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1052.0	322.0
1089	10.0	8.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	18.0	1.0
285598	959.0	394.0
126133	907.0	2602.0
128790	0.0	0.0
126129	193.0	149.0
126123	1.0	1.0
442862	0.0	0.0
126119	426.0	951.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	56.0	19.0
442897	0.0	0.0
442898	6.0	0.0
114134	373.0	179.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	3.0
100128788	71.0	96.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	138.0	33.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	188.0	5.0
102466616	0.0	0.0
126052	1.0	1.0
151009	50.0	14.0
403227	3.0	1.0
403228	0.0	0.0
138046	7.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	1.0
645572	0.0	0.0
645571	1.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	707.0	1435.0
107131122	0.0	0.0
138050	7458.0	10630.0
403219	0.0	0.0
151011	5217.0	1526.0
645587	3.0	4.0
165679	334.0	163.0
126037	23.0	51.0
114049	2301.0	7346.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	439.0	618.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1463.0	1113.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	240.0	139.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	119.0	3.0
645598	0.0	1.0
163007	0.0	0.0
114038	6.0	11.0
645591	0.0	1.0
106481495	0.0	0.0
114041	117.0	10.0
106481496	0.0	0.0
114042	4.0	2.0
106481493	0.0	0.0
114043	7.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	187.0	196.0
126017	438.0	785.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	1.0	0.0
85300	3.0	1.0
85301	1401.0	1232.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	389.0	4043.0
106481459	0.0	0.0
26994	6989.0	6626.0
106481457	6.0	9.0
26995	1626.0	4074.0
106481458	0.0	0.0
403271	0.0	0.0
26998	4.0	0.0
403272	1.0	0.0
102466659	0.0	0.0
26999	855.0	3920.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	4.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1506.0	1289.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
