id	db630aab-54b5-4729-852a-aec20152be99	bcf137e8-156d-4609-8b1b-9a9b379aa2ce
285550	852.0	763.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	6.0
3640	19.0	12.0
3638	2190.0	4382.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1741.0	2424.0
100873313	0.0	2.0
3632	1144.0	1798.0
100873312	5.0	1.0
100873311	0.0	0.0
3633	1260.0	1034.0
100873318	0.0	0.0
3635	1745.0	1769.0
100873317	0.0	0.0
3636	4246.0	4803.0
100128771	35.0	51.0
100873316	12.0	4.0
100873315	0.0	0.0
100128766	0.0	2.0
3651	0.0	0.0
1	29.0	13.0
2	70644.0	65391.0
100873309	0.0	0.0
100873308	0.0	0.0
3	42.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	388.0	207.0
3642	1.0	4.0
100873302	0.0	0.0
3643	5010.0	4762.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	53.0	22.0
100873307	0.0	0.0
3646	13197.0	36581.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	195.0	78.0
100873304	0.0	0.0
100873332	7.0	2.0
3660	1795.0	1679.0
100873331	0.0	0.0
3661	1981.0	1555.0
100873330	1.0	0.0
285577	4.0	1.0
3662	268.0	426.0
100128756	0.0	0.0
1000	471.0	1097.0
3652	808.0	914.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	38.0	14.0
3654	3456.0	5695.0
100873334	0.0	0.0
3655	12335.0	6283.0
100873333	0.0	3.0
3656	264.0	260.0
100873339	0.0	0.0
3658	3672.0	4821.0
100873338	0.0	0.0
3659	1881.0	1952.0
100873337	1.0	0.0
3670	2.0	19.0
100873321	0.0	0.0
3671	8226.0	9306.0
100873320	0.0	0.0
3672	4912.0	7820.0
285588	0.0	0.0
3673	5651.0	4591.0
1011	0.0	0.0
1010	97.0	22.0
1008	2.0	0.0
1007	0.0	0.0
1006	94.0	94.0
1005	7.0	1.0
1004	317.0	709.0
1003	4949.0	4043.0
1002	210.0	41.0
1001	5114.0	14682.0
3663	281.0	388.0
100873325	0.0	0.0
3664	6570.0	6340.0
100873324	0.0	0.0
3665	576.0	1586.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8039.0	2560.0
100873329	0.0	0.0
285590	4978.0	10943.0
100873328	0.0	0.0
3669	352.0	844.0
100873327	0.0	0.0
1009	3373.0	16291.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	1.0
728477	8.0	3.0
3680	2420.0	1636.0
3681	38.0	33.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	466.0	972.0
100873353	0.0	0.0
3683	897.0	1731.0
100873352	0.0	0.0
128710	533.0	926.0
3684	489.0	543.0
100873351	0.0	0.0
285512	196.0	36.0
1022	776.0	659.0
285513	753.0	1243.0
1021	1690.0	1425.0
1020	304.0	447.0
440299	2.0	0.0
1019	2236.0	3681.0
128709	0.0	0.0
1018	34.0	7.0
1017	1167.0	1264.0
1016	4.0	0.0
1015	18.0	7.0
1014	0.0	0.0
1013	8.0	81.0
1012	1511.0	1715.0
116730	17.0	115.0
3674	31.0	11.0
100873358	0.0	0.0
3675	7351.0	2992.0
100873357	2.0	1.0
3676	640.0	1263.0
100128731	2558.0	4974.0
100873356	0.0	0.0
3678	3291.0	9290.0
3679	3960.0	507.0
100873359	0.0	0.0
728464	42.0	57.0
728463	26.0	176.0
100128725	0.0	0.0
3690	179.0	414.0
3691	13670.0	5583.0
100873343	4.0	0.0
3692	2360.0	3500.0
3693	8405.0	15247.0
285521	726.0	1195.0
100873342	0.0	0.0
3694	3123.0	11513.0
100873341	0.0	0.0
3695	100.0	188.0
100873340	1.0	0.0
100128723	0.0	8.0
1033	31.0	570.0
1032	187.0	284.0
285525	5.0	1.0
1031	1285.0	617.0
285527	4780.0	4540.0
1030	747.0	2791.0
728468	0.0	0.0
440288	121.0	126.0
1029	97.0	388.0
440295	134.0	75.0
1028	1784.0	580.0
1027	3551.0	2511.0
1026	2968.0	4116.0
1025	2295.0	2565.0
1024	491.0	1063.0
3685	6248.0	15112.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	424.0	684.0
100873345	0.0	0.0
3688	23228.0	41674.0
100873344	0.0	0.0
3689	1361.0	2814.0
100873349	2.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	5.0	1.0
100873370	0.0	0.0
728498	17.0	3.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	21.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	129.0	131.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	32.0
1043	352.0	1198.0
1041	5.0	9.0
1040	1480.0	2240.0
1039	1311.0	3154.0
1038	7.0	4.0
1036	1507.0	271.0
3696	2552.0	1348.0
3697	1.0	8.0
100873379	0.0	0.0
3698	272.0	20.0
100873378	0.0	4.0
3699	34.0	36.0
100873377	0.0	0.0
728486	2.0	7.0
100873361	0.0	0.0
105373869	11.0	514.0
100873360	0.0	0.0
285540	112.0	52.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	2125.0	3282.0
285547	0.0	0.0
1053	3.0	6.0
285548	1.0	6.0
1052	1224.0	1303.0
1051	1698.0	3266.0
728489	9.0	8.0
1050	2664.0	653.0
100128707	0.0	0.0
1048	9.0	49.0
1047	106.0	74.0
1046	0.0	0.0
1045	0.0	0.0
100873369	14.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	1.0
1066	1185.0	310.0
1063	402.0	9113.0
1062	129.0	1697.0
1061	3.0	1.0
1060	1724.0	1434.0
440253	165.0	80.0
1059	3718.0	6447.0
1058	69.0	324.0
1057	3.0	0.0
85379	7123.0	8874.0
114112	655.0	779.0
1056	19.0	73.0
85377	2173.0	3198.0
85378	3315.0	1823.0
128745	0.0	0.0
85376	13.0	16.0
440248	761.0	267.0
1075	2724.0	5234.0
1074	6.0	11.0
1073	1587.0	810.0
1072	15860.0	53009.0
1071	80.0	90.0
440243	0.0	0.0
1070	601.0	515.0
1069	1740.0	1941.0
1068	0.0	0.0
85369	2139.0	2457.0
85366	2.0	8.0
85364	1244.0	1000.0
85365	1523.0	1860.0
85363	1382.0	1416.0
85360	1151.0	1123.0
1080	62.0	16.0
85391	4.0	11.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	381.0	838.0
1087	3.0	42.0
1086	1.0	0.0
440279	16.0	6.0
1085	5.0	6.0
1084	2.0	1.0
440278	108.0	83.0
1082	0.0	0.0
403294	0.0	0.0
440275	3278.0	4829.0
1081	1.0	0.0
85397	1.0	4.0
85395	369.0	455.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	1591.0	271.0
1089	5.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	25.0	10.0
285598	935.0	799.0
126133	1180.0	1615.0
128790	0.0	0.0
126129	207.0	345.0
126123	1.0	0.0
442862	0.0	0.0
126119	364.0	407.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	1.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	28.0	13.0
442897	0.0	0.0
442898	0.0	0.0
114134	407.0	589.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	6.0
100128788	81.0	54.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	3.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	219.0	166.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	116.0	14.0
102466616	0.0	0.0
126052	0.0	0.0
151009	43.0	83.0
403227	8.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	3.0
645572	0.0	0.0
645571	3.0	5.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	494.0	67.0
107131122	1.0	0.0
138050	5242.0	3924.0
403219	0.0	1.0
