id	4fd01cd7-7ff5-4570-891e-747a0c640ddc	483b7d6e-7853-4fd7-9efe-de5574af9045
285550	1134.0	937.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	26.0	3.0
3640	19.0	4.0
3638	1740.0	1803.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1013.0	1452.0
100873313	0.0	0.0
3632	1113.0	1488.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1217.0	897.0
100873318	0.0	0.0
3635	3036.0	699.0
100873317	0.0	0.0
3636	3379.0	7166.0
100128771	154.0	52.0
100873316	3.0	6.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	1.0
1	6.0	18.0
2	44689.0	37579.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	107.0	35646.0
3642	2.0	2.0
100873302	0.0	0.0
3643	7575.0	7793.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	11.0	21.0
100873307	0.0	0.0
3646	33777.0	18565.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	231.0	58.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2287.0	2467.0
100873331	0.0	0.0
3661	1653.0	1390.0
100873330	0.0	0.0
285577	5.0	1.0
3662	115.0	19.0
100128756	0.0	0.0
1000	79.0	58.0
3652	567.0	956.0
100873336	1.0	2.0
100873335	0.0	0.0
100128750	68.0	20.0
3654	4986.0	6848.0
100873334	0.0	0.0
3655	18437.0	16419.0
100873333	1.0	0.0
3656	200.0	112.0
100873339	0.0	0.0
3658	2922.0	3000.0
100873338	0.0	0.0
3659	880.0	1383.0
100873337	0.0	0.0
3670	1.0	1.0
100873321	0.0	0.0
3671	3503.0	5237.0
100873320	0.0	0.0
3672	2650.0	4803.0
285588	0.0	0.0
3673	4340.0	3351.0
1011	0.0	0.0
1010	104.0	17.0
1008	3.0	0.0
1007	0.0	0.0
1006	84.0	42.0
1005	0.0	8.0
1004	142.0	602.0
1003	1860.0	3492.0
1002	179.0	26.0
1001	6378.0	1808.0
3663	236.0	419.0
100873325	0.0	0.0
3664	9601.0	12969.0
100873324	0.0	0.0
3665	640.0	2480.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7117.0	3072.0
100873329	0.0	0.0
285590	3809.0	4417.0
100873328	0.0	0.0
3669	1078.0	1696.0
100873327	0.0	0.0
1009	1562.0	8445.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	0.0
728477	2.0	5.0
3680	1504.0	922.0
3681	0.0	22.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	441.0	614.0
100873353	0.0	0.0
3683	507.0	211.0
100873352	0.0	0.0
128710	433.0	392.0
3684	212.0	466.0
100873351	0.0	0.0
285512	68.0	20.0
1022	1129.0	1639.0
285513	430.0	4871.0
1021	2800.0	724.0
1020	479.0	1418.0
440299	0.0	0.0
1019	3357.0	3468.0
128709	0.0	0.0
1018	6.0	6.0
1017	1196.0	2168.0
1016	0.0	0.0
1015	16.0	18.0
1014	1.0	0.0
1013	2.0	3.0
1012	1118.0	1369.0
116730	127.0	26.0
3674	9.0	29.0
100873358	0.0	0.0
3675	7379.0	3496.0
100873357	0.0	1.0
3676	206.0	384.0
100128731	4526.0	6581.0
100873356	0.0	0.0
3678	2143.0	6598.0
3679	604.0	664.0
100873359	0.0	0.0
728464	23.0	19.0
728463	22.0	11.0
100128725	0.0	0.0
3690	62.0	449.0
3691	18813.0	14355.0
100873343	0.0	0.0
3692	4962.0	4946.0
3693	8778.0	23853.0
285521	840.0	911.0
100873342	0.0	0.0
3694	4111.0	1659.0
100873341	0.0	0.0
3695	47.0	27.0
100873340	0.0	0.0
100128723	2.0	3.0
1033	67.0	1206.0
1032	104.0	1041.0
285525	3.0	0.0
1031	866.0	1249.0
285527	2679.0	3261.0
1030	159.0	289.0
728468	0.0	0.0
440288	121.0	111.0
1029	123.0	83.0
440295	87.0	43.0
1028	1498.0	404.0
1027	4580.0	6124.0
1026	4423.0	5400.0
1025	2281.0	2824.0
1024	375.0	640.0
3685	3302.0	8644.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	156.0	394.0
100873345	0.0	0.0
3688	17629.0	15910.0
100873344	0.0	0.0
3689	1398.0	1717.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	12.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	2.0
728492	30.0	35.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	48.0	28.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	32.0
1043	361.0	153.0
1041	4.0	4.0
1040	1838.0	3879.0
1039	965.0	3682.0
1038	3.0	0.0
1036	221.0	94.0
3696	3742.0	1111.0
3697	1.0	10.0
100873379	0.0	0.0
3698	856.0	31.0
100873378	2.0	1.0
3699	84.0	36.0
100873377	0.0	0.0
728486	2.0	4.0
100873361	0.0	0.0
105373869	1.0	183.0
100873360	0.0	0.0
285540	57.0	46.0
100128705	0.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	1803.0	2346.0
285547	0.0	0.0
1053	2.0	0.0
285548	21.0	24.0
1052	5144.0	1636.0
1051	3571.0	1918.0
728489	5.0	3.0
1050	200.0	172.0
100128707	0.0	1.0
1048	30.0	8364.0
1047	114.0	1349.0
1046	0.0	1.0
1045	0.0	0.0
100873369	0.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	615.0	149.0
1063	262.0	16428.0
1062	65.0	1546.0
1061	2.0	3.0
1060	1347.0	1252.0
440253	70.0	56.0
1059	4647.0	3170.0
1058	20.0	595.0
1057	1.0	0.0
85379	12564.0	6723.0
114112	684.0	666.0
1056	63.0	25.0
85377	2932.0	1962.0
85378	2523.0	1129.0
128745	1.0	1.0
85376	2.0	15.0
440248	380.0	170.0
1075	1886.0	3485.0
1074	5.0	7.0
1073	1178.0	972.0
1072	20030.0	35127.0
1071	6.0	107.0
440243	0.0	0.0
1070	889.0	992.0
1069	2839.0	4493.0
1068	0.0	0.0
85369	1823.0	2079.0
85366	1.0	15.0
85364	1295.0	789.0
85365	1895.0	2075.0
85363	1086.0	867.0
85360	728.0	752.0
1080	21.0	11.0
85391	0.0	1.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	369.0	496.0
1087	1.0	6.0
1086	0.0	0.0
440279	3.0	1.0
1085	4.0	7.0
1084	0.0	0.0
440278	95.0	159.0
1082	0.0	0.0
403294	0.0	0.0
440275	3314.0	5477.0
1081	0.0	1003.0
85397	1.0	69.0
85395	760.0	431.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	418.0	100.0
1089	5.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	1.0	0.0
285598	574.0	598.0
126133	1388.0	2060.0
128790	0.0	0.0
126129	109.0	242.0
126123	2.0	0.0
442862	0.0	0.0
126119	397.0	713.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	4.0	3.0
442897	0.0	0.0
442898	1.0	0.0
114134	228.0	505.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	44.0	69.0
100128787	2.0	0.0
440225	0.0	0.0
440224	0.0	482.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	158.0	78.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	28.0	5.0
102466616	0.0	0.0
126052	1.0	0.0
151009	34.0	19.0
403227	1.0	0.0
403228	0.0	0.0
138046	5.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	6.0	21.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1851.0	4443.0
107131122	0.0	0.0
138050	5175.0	7876.0
403219	0.0	0.0
151011	4503.0	8228.0
645587	1.0	2.0
165679	256.0	465.0
126037	44.0	54.0
114049	3081.0	6574.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	311.0	282.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2157.0	1813.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	214.0	169.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	100.0	19.0
645598	0.0	1.0
163007	1.0	1.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	337.0	26.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	2.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	183.0	150.0
126017	364.0	303.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	1997.0	603.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	647.0	1943.0
106481459	0.0	0.0
26994	4881.0	4970.0
106481457	2.0	0.0
26995	2023.0	2147.0
106481458	0.0	0.0
403271	0.0	0.0
26998	20.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	941.0	8818.0
403273	0.0	0.0
102466658	13.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	1.0
106481461	0.0	0.0
