id	6b59b355-7581-426d-98c1-36e132a77c4e	b6a39fab-afc2-4498-bb4c-95adeb388c6f
285550	1434.0	878.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	4.0	15.0
3640	4.0	19.0
3638	3199.0	3338.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1522.0	2398.0
100873313	0.0	1.0
3632	1762.0	2764.0
100873312	2.0	5.0
100873311	0.0	0.0
3633	1145.0	1212.0
100873318	0.0	1.0
3635	1240.0	448.0
100873317	0.0	1.0
3636	3312.0	7768.0
100128771	47.0	34.0
100873316	6.0	3.0
100873315	0.0	0.0
100128766	1.0	8.0
3651	0.0	0.0
1	5.0	26.0
2	98238.0	30214.0
100873309	0.0	0.0
100873308	0.0	0.0
3	61.0	5.0
3641	3.0	2.0
100873303	0.0	1.0
9	178.0	557.0
3642	2.0	208.0
100873302	0.0	1.0
3643	6283.0	8536.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	9.0
100873307	0.0	0.0
3646	14327.0	49612.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	45.0	79.0
100873304	0.0	0.0
100873332	7.0	2.0
3660	2051.0	2209.0
100873331	0.0	0.0
3661	1090.0	1816.0
100873330	0.0	0.0
285577	1.0	3.0
3662	427.0	38.0
100128756	0.0	0.0
1000	19.0	355.0
3652	772.0	1524.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	253.0	21.0
3654	3682.0	5359.0
100873334	0.0	0.0
3655	9148.0	4593.0
100873333	1.0	0.0
3656	660.0	210.0
100873339	0.0	0.0
3658	3578.0	16464.0
100873338	0.0	0.0
3659	1431.0	1138.0
100873337	0.0	0.0
3670	1.0	9.0
100873321	0.0	0.0
3671	8415.0	7011.0
100873320	0.0	0.0
3672	16283.0	6031.0
285588	0.0	0.0
3673	294.0	4231.0
1011	0.0	0.0
1010	132.0	0.0
1008	1.0	2.0
1007	0.0	4.0
1006	11.0	54.0
1005	3.0	11.0
1004	371.0	426.0
1003	8575.0	1921.0
1002	11.0	583.0
1001	154.0	2274.0
3663	367.0	1480.0
100873325	0.0	0.0
3664	353.0	13263.0
100873324	0.0	0.0
3665	273.0	1406.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3778.0	10044.0
100873329	0.0	0.0
285590	2784.0	4557.0
100873328	0.0	0.0
3669	206.0	1353.0
100873327	0.0	0.0
1009	1767.0	7257.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	3.0
728477	0.0	3.0
3680	2698.0	564.0
3681	13.0	18.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	990.0	298.0
100873353	0.0	1.0
3683	707.0	374.0
100873352	14.0	0.0
128710	352.0	1812.0
3684	1789.0	253.0
100873351	0.0	0.0
285512	139.0	142.0
1022	584.0	1337.0
285513	635.0	4448.0
1021	1438.0	603.0
1020	295.0	1038.0
440299	0.0	0.0
1019	2076.0	2311.0
128709	0.0	0.0
1018	14.0	17.0
1017	731.0	1419.0
1016	1.0	221.0
1015	8.0	14.0
1014	5.0	9.0
1013	1.0	151.0
1012	2475.0	934.0
116730	54.0	23.0
3674	67.0	19.0
100873358	0.0	0.0
3675	1424.0	2618.0
100873357	2.0	4.0
3676	387.0	386.0
100128731	4498.0	4990.0
100873356	0.0	0.0
3678	5340.0	6574.0
3679	28830.0	726.0
100873359	0.0	0.0
728464	23.0	10.0
728463	4.0	22.0
100128725	0.0	0.0
3690	360.0	132.0
3691	2844.0	6008.0
100873343	0.0	0.0
3692	2682.0	3354.0
3693	29540.0	46810.0
285521	832.0	1239.0
100873342	0.0	0.0
3694	194.0	308.0
100873341	0.0	0.0
3695	84.0	32.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	40.0	173.0
1032	309.0	468.0
285525	2.0	2.0
1031	3054.0	550.0
285527	4119.0	4657.0
1030	6852.0	1101.0
728468	0.0	1.0
440288	70.0	154.0
1029	62.0	249.0
440295	24.0	347.0
1028	4206.0	2393.0
1027	3051.0	4436.0
1026	7785.0	4564.0
1025	2076.0	2014.0
1024	662.0	990.0
3685	10600.0	10110.0
100873347	2.0	0.0
100873346	0.0	0.0
3687	1105.0	408.0
100873345	0.0	1.0
3688	73035.0	23397.0
100873344	0.0	0.0
3689	4949.0	1104.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	187.0
100873371	3.0	5.0
100873370	0.0	0.0
728498	4.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	25.0	52.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	62.0	16.0
100873374	0.0	2.0
728495	0.0	3.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	16.0
1043	1145.0	242.0
1041	0.0	103.0
1040	155.0	4598.0
1039	999.0	3161.0
1038	58.0	4.0
1036	4016.0	124.0
3696	182.0	919.0
3697	3.0	3.0
100873379	0.0	0.0
3698	12.0	22.0
100873378	2.0	0.0
3699	40.0	42.0
100873377	0.0	0.0
728486	11.0	3.0
100873361	0.0	0.0
105373869	1.0	1020.0
100873360	0.0	0.0
285540	42.0	55.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	3.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	3399.0	2663.0
285547	0.0	0.0
1053	4.0	2.0
285548	0.0	4.0
1052	3392.0	1709.0
1051	4415.0	2073.0
728489	3.0	26.0
1050	11224.0	1404.0
100128707	0.0	0.0
1048	87.0	527.0
1047	18.0	136.0
1046	0.0	0.0
1045	5.0	3.0
100873369	14.0	3.0
100873368	0.0	2.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	3.0
1066	51528.0	2230.0
1063	188.0	1338.0
1062	133.0	648.0
1061	1.0	5.0
1060	1058.0	1623.0
440253	177.0	68.0
1059	4128.0	4541.0
1058	35.0	92.0
1057	4.0	2.0
85379	2909.0	4615.0
114112	589.0	895.0
1056	21.0	24.0
85377	978.0	1945.0
