id	ab574ed8-1dcc-437e-9471-7caa4b7fc4a6	e9cbd268-573f-41fc-9f17-d25e1d1c9759
85369	2082.0	1230.0
85366	2.0	28.0
85364	869.0	972.0
85365	1254.0	1562.0
85363	1137.0	878.0
85360	1865.0	1557.0
1080	38.0	5.0
85391	0.0	3.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	402.0	327.0
1087	0.0	21.0
1086	1.0	0.0
440279	21.0	2.0
1085	10.0	1.0
1084	42.0	8.0
440278	96.0	140.0
1082	0.0	0.0
403294	0.0	0.0
440275	5010.0	3983.0
1081	0.0	5.0
85397	5.0	13.0
85395	278.0	239.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	1.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	437.0	476.0
1089	24.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	43.0	25.0
285598	815.0	426.0
126133	1647.0	1277.0
128790	0.0	0.0
126129	164.0	163.0
126123	0.0	1.0
442862	0.0	0.0
126119	624.0	852.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	269.0	29.0
442897	0.0	0.0
442898	3.0	2.0
114134	693.0	391.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	2.0
100128788	13.0	163.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	104.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	89.0	72.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	669.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	37.0	20.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	21.0	1.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	14.0	694.0
107131122	0.0	1.0
138050	8635.0	4685.0
403219	0.0	0.0
151011	6791.0	2268.0
645587	1.0	0.0
165679	16.0	235.0
126037	30.0	182.0
114049	1996.0	3611.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	916.0	449.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1294.0	1391.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	203.0	96.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	10.0	2.0
645598	1.0	0.0
163007	3.0	46.0
114038	1.0	0.0
645591	0.0	7.0
106481495	0.0	0.0
114041	0.0	9.0
106481496	0.0	0.0
114042	2.0	2.0
106481493	0.0	0.0
114043	12.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	108.0	76.0
126017	327.0	419.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	505.0	697.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	527.0	1025.0
106481459	0.0	0.0
26994	8667.0	4842.0
106481457	2.0	3.0
26995	1263.0	1920.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	518.0	542.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	4.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1340.0	1584.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	3462.0	79.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12.0	4297.0
106481470	2.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	407.0	666.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	3.0
106481437	0.0	0.0
26974	102.0	113.0
153657	6.0	7.0
106481438	0.0	41.0
106481435	0.0	0.0
26973	997.0	1115.0
165631	303.0	84.0
106481436	0.0	0.0
26978	15.0	23.0
126075	392.0	1182.0
106481439	0.0	0.0
403250	0.0	0.0
126074	90.0	319.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	901.0	1656.0
106481444	1.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6937.0	825.0
85354	0.0	0.0
85352	67.0	76.0
403241	1.0	0.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	412.0	231.0
153643	3.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	3196.0	2330.0
106481448	0.0	0.0
26986	37005.0	61396.0
126069	111.0	93.0
106481449	0.0	0.0
126068	548.0	422.0
106481446	0.0	0.0
26983	0.0	0.0
26984	652.0	652.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	52.0	123.0
106481455	0.0	0.0
85349	6.0	33.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	6.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	9.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	11.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1931.0	1394.0
100873390	0.0	0.0
728556	36.0	41.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	91.0	57.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	307.0	200.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	126.0	284.0
100873384	0.0	0.0
285601	55.0	8.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	2.0
63910	258.0	251.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	415.0	388.0
222008	2.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2337.0	1724.0
63904	0.0	0.0
106481430	0.0	0.0
163071	40.0	18.0
63906	656.0	451.0
106481433	0.0	0.0
63908	597.0	393.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	17.0	40.0
63920	278.0	311.0
63923	799.0	528.0
63922	171.0	938.0
728577	156.0	1.0
63925	1175.0	1482.0
63924	27406.0	0.0
63916	2840.0	2541.0
63917	3195.0	1824.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	7.0
728564	0.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1189.0	845.0
106481402	1.0	0.0
63931	1404.0	862.0
106481403	1.0	0.0
63934	238.0	170.0
728567	1.0	3.0
106481408	0.0	2.0
163088	5.0	1.0
63933	1842.0	1273.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2593.0	2722.0
163087	609.0	347.0
728568	144.0	272.0
106481407	12.0	3.0
3704	1069.0	1614.0
3705	12672.0	3961.0
63926	394.0	758.0
3706	10.0	36.0
63929	1029.0	926.0
3707	4663.0	1580.0
63928	0.0	1.0
3708	3544.0	1026.0
106481411	0.0	0.0
3709	4954.0	1541.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	29.0	15.0
3702	130.0	120.0
3703	6438.0	8181.0
645506	0.0	0.0
151050	1027.0	611.0
645520	0.0	0.0
63941	679.0	1136.0
63940	1411.0	1033.0
63943	227.0	233.0
728517	0.0	0.0
163033	254.0	329.0
258010	401.0	653.0
63947	0.0	0.0
63946	0.0	34.0
728513	3.0	3.0
100033803	0.0	0.0
3716	22304.0	8176.0
100033804	0.0	0.0
3717	2278.0	698.0
100033805	0.0	0.0
3718	341.0	384.0
63939	713.0	661.0
100033806	0.0	0.0
100190799	14.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	116.0	45.0
3710	3385.0	1406.0
3712	2582.0	6022.0
3713	0.0	5.0
3714	1859.0	1292.0
63950	0.0	2.0
728505	1.0	0.0
63951	112.0	11.0
100033807	0.0	0.0
728501	22.0	23.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10506.0	3488.0
100033814	0.0	0.0
3727	10387.0	6145.0
63948	0.0	0.0
100033815	0.0	0.0
222052	11.0	2.0
3728	3850.0	7482.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1147.0	811.0
151056	421.0	230.0
3725	20752.0	8378.0
645528	4.0	0.0
728532	36.0	10.0
163059	139.0	156.0
728538	0.0	1.0
728537	120.0	106.0
63967	73.0	128.0
3737	148.0	2.0
3738	27.0	21.0
3739	82.0	3.0
645538	0.0	0.0
3730	2012.0	558.0
3732	1552.0	1612.0
3734	0.0	0.0
3735	5359.0	5523.0
3736	179.0	7.0
63970	5.0	10.0
3750	174.0	126.0
63971	7538.0	2439.0
63974	0.0	0.0
163049	1655.0	1562.0
63973	0.0	1.0
63976	486.0	32.0
222068	3521.0	5240.0
63978	0.0	0.0
63977	468.0	618.0
63979	404.0	521.0
728524	0.0	0.0
3748	68.0	53.0
163051	8.0	24.0
3749	805.0	534.0
163050	41.0	32.0
3741	128.0	6.0
645548	3.0	52.0
3743	0.0	2.0
3744	1.0	1.0
3745	2044.0	35.0
3746	2.0	2.0
3747	0.0	6.0
285671	707.0	167.0
285672	1557.0	1152.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	21.0	3.0
285676	63.0	42.0
3761	0.0	0.0
100128657	0.0	0.0
285679	1.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	591.0	430.0
283008	5.0	26.0
3751	612.0	703.0
100873435	1.0	0.0
3752	1975.0	937.0
100873434	0.0	0.0
3753	30.0	6.0
100873433	0.0	0.0
3754	25.0	29.0
100873432	0.0	0.0
3755	4.0	11.0
100873439	0.0	0.0
3756	21.0	29.0
100873438	0.0	0.0
3757	14.0	50.0
100873437	0.0	0.0
3758	21.0	4.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	23.0	47.0
3772	473.0	327.0
100861458	0.0	0.0
100861453	8.0	8.0
100861455	0.0	0.0
1107	7177.0	5185.0
1106	4965.0	2821.0
1105	2805.0	1525.0
1104	694.0	1962.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1535.0	1016.0
1101	35.0	449.0
3762	1311.0	292.0
100873424	0.0	0.0
3763	3.0	86.0
100128640	47.0	41.0
100873423	0.0	0.0
3764	1864.0	904.0
100873422	0.0	0.0
3765	12.0	2.0
100873421	0.0	0.0
3766	9.0	13.0
100873428	0.0	0.0
3767	90.0	235.0
100873427	0.0	0.0
3768	506.0	49.0
1109	5.0	0.0
100873426	1.0	0.0
1108	8859.0	10192.0
3769	1.0	3.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	0.0	36.0
100873453	0.0	0.0
3781	14.0	62.0
100873452	0.0	0.0
3782	395.0	365.0
100873451	0.0	0.0
3783	246.0	1195.0
100873450	0.0	0.0
1121	1829.0	913.0
100861468	0.0	0.0
1120	153.0	99.0
100861469	0.0	0.0
1118	284.0	225.0
1117	85.0	109.0
1116	984.0	793.0
1114	8.0	4.0
1113	2.0	0.0
1112	15233.0	2838.0
1111	193.0	348.0
3773	49.0	1.0
100873457	1.0	0.0
100873456	1.0	0.0
3775	223.0	755.0
100873455	0.0	0.0
3776	74.0	287.0
100873454	0.0	0.0
3777	313.0	2.0
3778	1663.0	476.0
3779	371.0	107.0
100873459	0.0	0.0
1119	624.0	796.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	221.0	1125.0
100128628	3.0	2.0
3791	6597.0	3634.0
100873442	0.0	0.0
3792	11.0	64.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	24.0
1131	105.0	110.0
1130	5103.0	1034.0
100861476	0.0	0.0
1129	1.0	3.0
1128	1.0	35.0
1124	609.0	211.0
1123	543.0	1570.0
1122	817.0	448.0
100861470	0.0	0.0
3784	1117.0	873.0
100873446	0.0	0.0
3785	0.0	3.0
100873445	0.0	0.0
3786	697.0	458.0
100873444	0.0	0.0
3787	3.0	5.0
100873443	0.0	0.0
3788	27.0	5.0
100873449	2.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	72.0	76.0
100128618	1.0	0.0
728597	2.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	19.0	7.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	40.0
285634	12.0	1.0
1142	0.0	0.0
1141	2.0	12.0
285636	2075.0	1348.0
1140	307.0	248.0
728599	3.0	2.0
1139	4.0	6.0
1138	36.0	148.0
1137	0.0	19.0
100861485	0.0	0.0
1136	11.0	20.0
1135	1.0	1.0
1134	11.0	367.0
1133	14.0	19.0
3795	222.0	105.0
100873479	5.0	2.0
3796	1457.0	760.0
100873478	0.0	0.0
3797	707.0	1059.0
100873477	2.0	0.0
3798	8.0	31.0
100873476	0.0	0.0
3799	18506.0	6013.0
100873460	0.0	0.0
728586	15.0	9.0
285641	0.0	0.0
100873464	4.0	1.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	912.0	1496.0
1153	10780.0	9652.0
1152	2423.0	2485.0
285647	11.0	7.0
728589	25.0	4.0
728588	0.0	14.0
1149	9265.0	0.0
1147	1707.0	995.0
1146	0.0	2.0
1145	34.0	28.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	128.0	1195.0
1163	700.0	510.0
285659	0.0	0.0
1161	435.0	295.0
1160	496.0	60.0
1159	3.0	333.0
1158	3.0	4.0
1157	0.0	0.0
1155	1810.0	1747.0
550643	587.0	2103.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3526.0	3258.0
1175	2226.0	3478.0
285668	15.0	2.0
1174	782.0	3933.0
1173	16363.0	20227.0
550631	31.0	96.0
100873489	0.0	0.0
283014	1.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	72.0	57.0
1186	2923.0	3396.0
1185	2100.0	683.0
1184	866.0	284.0
1183	845.0	196.0
1182	4633.0	3535.0
1181	137.0	269.0
440375	41.0	19.0
1180	5.0	9.0
1179	0.0	0.0
1178	7.0	0.0
283089	6.0	8.0
85495	0.0	0.0
85480	118.0	0.0
283080	0.0	0.0
1198	2168.0	1894.0
1197	1.0	2.0
1196	1329.0	1460.0
1195	4674.0	4725.0
440366	0.0	0.0
1193	2639.0	495.0
1192	15146.0	12265.0
1191	65049.0	24495.0
1188	22.0	18.0
283078	283.0	193.0
85486	3.0	5.0
128615	1.0	0.0
85481	0.0	0.0
128611	51.0	24.0
440396	26.0	36.0
128609	0.0	0.0
128602	1.0	0.0
440387	2.0	11.0
128674	2.0	0.0
128676	0.0	0.0
114026	1.0	1.0
100861402	0.0	2.0
126014	218.0	349.0
440335	0.0	3250.0
100128690	0.0	0.0
114034	418.0	460.0
126006	2.0	594.0
114036	118.0	93.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	41.0	47.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	3.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	3.0	2.0
200728	230.0	107.0
440356	0.0	10.0
440354	50.0	42.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	2.0
100873413	0.0	0.0
128646	12.0	11.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	4.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	14.0	8.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	129.0	114.0
200734	3491.0	2448.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	7.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3727.0	2832.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	3.0	0.0
165530	53.0	17.0
85409	18.0	645.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	2.0	5.0
106481383	2.0	2.0
85417	54.0	16.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	178.0	134.0
106481389	0.0	0.0
85415	78.0	388.0
106481387	0.0	0.0
85413	8.0	2.0
106481388	2.0	1.0
645436	0.0	0.0
106481381	2.0	0.0
106481382	0.0	0.0
10	1.0	77.0
106481380	0.0	0.0
11	0.0	3.0
403341	1244.0	675.0
12	3.0	32.0
13	1932.0	4.0
14	4793.0	6224.0
15	1.0	0.0
16	8044.0	5654.0
645455	19.0	8.0
18	478.0	1858.0
19	12784.0	2368.0
128580	4.0	7.0
85407	393.0	94.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1381.0	1086.0
106481395	1.0	1.0
85403	1348.0	1026.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3587.0	2143.0
106481390	1.0	0.0
21	3160.0	2564.0
106481391	0.0	0.0
22	1111.0	722.0
153571	125.0	828.0
153572	191.0	1009.0
23	3983.0	2647.0
24	76.0	196.0
25	11029.0	3682.0
26	18.0	27.0
27	4011.0	1657.0
28	394.0	28.0
29	5703.0	2421.0
153579	14982.0	99.0
728615	1.0	0.0
728614	0.0	0.0
200765	92.0	87.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	29.0	11.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	864.0	603.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1720.0	1930.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	162.0	70.0
106481366	0.0	0.0
30	2539.0	1377.0
106481360	0.0	0.0
31	4652.0	5376.0
32	37842.0	505.0
33	805.0	7.0
34	3624.0	1433.0
35	3585.0	564.0
153562	50.0	688.0
36	1785.0	2085.0
37	21150.0	5152.0
38	6202.0	1187.0
440307	6.0	225.0
39	513.0	541.0
165545	0.0	8.0
106481369	0.0	0.0
728606	0.0	159.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	9.0	10.0
106481370	0.0	0.0
41	204.0	202.0
106481371	0.0	0.0
43	19.0	16.0
645486	0.0	0.0
47	9219.0	5372.0
48	17306.0	1326.0
49	39.0	21.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	4.0	2.0
106481340	0.0	0.0
85458	7122.0	1000.0
106481345	0.0	0.0
85459	668.0	733.0
106481346	0.0	0.0
85456	20626.0	8215.0
442910	0.0	0.0
106481343	0.0	0.0
