id	7e450615-1252-4b4c-bebb-0f292dec3ceb	3c49cb1a-c0f5-4b74-81f9-aa18d3da1e43
3698	1122.0	12.0
100873378	15.0	6.0
3699	61.0	48.0
100873377	0.0	0.0
728486	0.0	3.0
100873361	0.0	0.0
105373869	12.0	127.0
100873360	0.0	0.0
285540	94.0	138.0
100128705	4.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	4.0	0.0
100873362	0.0	0.0
100128701	5.0	1.0
1054	2383.0	2364.0
285547	0.0	0.0
1053	5.0	5.0
285548	2.0	3.0
1052	2116.0	1552.0
1051	3776.0	1605.0
728489	13.0	3.0
1050	5867.0	1232.0
100128707	0.0	0.0
1048	282.0	12968.0
1047	264.0	7229.0
1046	0.0	0.0
1045	1.0	0.0
100873369	0.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	14201.0	435.0
1063	383.0	3548.0
1062	37.0	635.0
1061	0.0	0.0
1060	1074.0	1501.0
440253	253.0	52.0
1059	6315.0	5664.0
1058	30.0	313.0
1057	0.0	0.0
85379	5702.0	3125.0
114112	536.0	430.0
1056	59.0	36.0
85377	2622.0	1074.0
85378	2712.0	943.0
128745	0.0	0.0
85376	5.0	34.0
440248	582.0	138.0
1075	4532.0	7269.0
1074	9.0	21.0
1073	2813.0	995.0
1072	35798.0	43585.0
1071	911.0	41.0
440243	0.0	0.0
1070	1110.0	1183.0
1069	5192.0	4948.0
1068	0.0	0.0
85369	2124.0	2072.0
85366	1.0	14.0
85364	1892.0	832.0
85365	2027.0	1827.0
85363	1194.0	1282.0
85360	1433.0	389.0
1080	153.0	13.0
85391	20.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	457.0	723.0
1087	15.0	18.0
1086	0.0	1.0
440279	1.0	1.0
1085	6.0	7.0
1084	0.0	4.0
440278	162.0	219.0
1082	0.0	0.0
403294	0.0	0.0
440275	3785.0	5829.0
1081	0.0	1.0
85397	3.0	1.0
85395	727.0	560.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	4.0
440270	883.0	29.0
1089	9.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	12.0	1.0
285598	654.0	148.0
126133	1622.0	3689.0
128790	0.0	0.0
126129	294.0	175.0
126123	0.0	0.0
442862	0.0	0.0
126119	765.0	1329.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	24.0	5.0
442897	0.0	0.0
442898	0.0	0.0
114134	133.0	538.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	7.0
100128788	67.0	222.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	180.0	53.0
100128781	0.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	114.0	1.0
102466616	0.0	0.0
126052	0.0	0.0
151009	67.0	31.0
403227	33.0	0.0
403228	0.0	0.0
138046	18.0	7.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	3.0
645572	0.0	0.0
645571	2.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1159.0	3059.0
107131122	0.0	1.0
138050	6376.0	6083.0
403219	0.0	0.0
151011	3048.0	3358.0
645587	0.0	0.0
165679	335.0	6764.0
126037	48.0	27.0
114049	3732.0	5503.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	451.0	286.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1633.0	1207.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	219.0	202.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	67.0	23.0
645598	0.0	0.0
163007	11.0	16.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	0.0
114041	71.0	4.0
106481496	0.0	0.0
114042	4.0	1.0
106481493	0.0	0.0
114043	14.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	161.0	122.0
126017	398.0	538.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	1608.0	1075.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	5.0
403275	0.0	1.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	729.0	6556.0
106481459	0.0	0.0
26994	4536.0	8838.0
106481457	6.0	6.0
26995	2689.0	4736.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	873.0	2224.0
403273	0.0	0.0
102466658	11.0	7.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	11.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2388.0	2313.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	2.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	4293.0	341.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	346.0	1052.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	593.0	1733.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	4.0
106481437	0.0	0.0
26974	265.0	194.0
153657	27.0	79.0
106481438	1.0	13.0
106481435	0.0	0.0
26973	769.0	787.0
165631	60.0	32.0
106481436	0.0	0.0
26978	14.0	5.0
126075	992.0	854.0
106481439	0.0	0.0
403250	0.0	0.0
126074	243.0	520.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2394.0	1681.0
106481444	8.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2270.0	782.0
85354	0.0	0.0
85352	34.0	67.0
403241	0.0	0.0
344462	3.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	357.0	664.0
153643	6.0	1.0
403247	0.0	0.0
403248	5.0	0.0
26985	2735.0	4467.0
106481448	0.0	0.0
26986	56586.0	60552.0
126069	111.0	278.0
106481449	0.0	0.0
126068	592.0	519.0
106481446	0.0	0.0
26983	0.0	0.0
26984	989.0	1268.0
106481447	0.0	0.0
106481451	5.0	5.0
106481452	3.0	0.0
106481450	0.0	1.0
114088	211.0	12.0
106481455	0.0	0.0
85349	99.0	36.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	6.0	3.0
106481454	2.0	0.0
403238	0.0	0.0
85344	0.0	22.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	10.0
85340	0.0	0.0
100873394	6.0	2.0
100873393	0.0	0.0
100873392	4.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1621.0	3682.0
100873390	0.0	0.0
728556	32.0	40.0
106481419	4.0	0.0
100128817	0.0	0.0
728558	57.0	84.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	346.0	358.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	10.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	90.0	241.0
100873384	0.0	0.0
285601	2.0	7.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	0.0	0.0
63910	156.0	250.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	193.0	1003.0
222008	4.0	3.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4480.0	2671.0
63904	0.0	0.0
106481430	0.0	1.0
163071	53.0	81.0
63906	1061.0	662.0
106481433	0.0	0.0
63908	763.0	1301.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	31.0	46.0
63920	442.0	477.0
63923	975.0	149.0
63922	441.0	757.0
728577	148.0	10.0
63925	1380.0	973.0
63924	14602.0	793.0
63916	2619.0	2916.0
63917	2674.0	2184.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	0.0
728564	0.0	4.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1596.0	1478.0
106481402	0.0	0.0
63931	1994.0	1896.0
106481403	0.0	0.0
63934	477.0	412.0
728567	17.0	3.0
106481408	0.0	2.0
163088	22.0	0.0
63933	2196.0	2099.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3617.0	2548.0
163087	578.0	457.0
728568	390.0	397.0
106481407	3.0	3.0
3704	2337.0	1208.0
3705	7056.0	8676.0
63926	428.0	768.0
3706	35.0	703.0
63929	703.0	701.0
3707	4695.0	744.0
63928	17.0	0.0
3708	7889.0	6728.0
106481411	0.0	0.0
3709	3595.0	5449.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	24.0	3.0
3702	117.0	100.0
3703	10123.0	14241.0
645506	1.0	0.0
151050	779.0	245.0
645520	0.0	0.0
63941	1263.0	4018.0
63940	1187.0	2435.0
63943	526.0	1285.0
728517	0.0	1.0
163033	426.0	464.0
258010	1149.0	2829.0
63947	0.0	0.0
63946	0.0	0.0
728513	8.0	2.0
100033803	0.0	0.0
3716	14002.0	23136.0
100033804	0.0	0.0
3717	684.0	1608.0
100033805	0.0	0.0
3718	505.0	281.0
63939	895.0	1059.0
100033806	0.0	0.0
100190799	0.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	59.0	127.0
3710	1903.0	8256.0
3712	6017.0	12815.0
3713	23.0	0.0
3714	5977.0	1371.0
63950	11.0	1.0
728505	0.0	0.0
63951	91.0	11.0
100033807	0.0	0.0
728501	29.0	14.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	11600.0	4344.0
100033814	0.0	0.0
3727	10586.0	11054.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	25114.0	28901.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1299.0	3379.0
151056	282.0	107.0
3725	28363.0	7809.0
645528	10.0	0.0
728532	40.0	67.0
163059	337.0	470.0
728538	1.0	1.0
728537	220.0	133.0
63967	34.0	469.0
3737	8.0	8.0
3738	24.0	45.0
3739	12.0	1.0
645538	0.0	0.0
3730	711.0	933.0
3732	5574.0	11122.0
3734	0.0	0.0
3735	9361.0	4836.0
3736	62.0	6.0
63970	309.0	21.0
3750	271.0	184.0
63971	5959.0	2374.0
63974	0.0	0.0
163049	2075.0	1801.0
63973	167.0	1.0
63976	137.0	66.0
222068	5303.0	9365.0
63978	0.0	0.0
63977	426.0	696.0
63979	481.0	549.0
728524	0.0	0.0
3748	616.0	739.0
163051	50.0	31.0
3749	1574.0	565.0
163050	60.0	67.0
3741	54.0	36.0
645548	7.0	6.0
3743	12.0	0.0
3744	0.0	0.0
3745	1419.0	30.0
3746	42.0	51.0
3747	84.0	0.0
285671	417.0	105.0
285672	1426.0	1320.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	72.0	2357.0
285676	47.0	11.0
3761	2.0	0.0
100128657	0.0	0.0
285679	0.0	7.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	819.0	150.0
283008	0.0	0.0
3751	151.0	7986.0
100873435	0.0	0.0
3752	1396.0	687.0
100873434	0.0	0.0
3753	5.0	6.0
100873433	0.0	0.0
3754	44.0	10.0
100873432	0.0	0.0
3755	86.0	9.0
100873439	0.0	0.0
3756	17.0	333.0
100873438	0.0	0.0
3757	78.0	19.0
100873437	0.0	0.0
3758	6.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	108.0	77.0
3772	146.0	91.0
100861458	0.0	0.0
100861453	22.0	7.0
100861455	0.0	0.0
1107	11699.0	13077.0
1106	5708.0	4930.0
1105	1354.0	3898.0
1104	1515.0	2786.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1238.0	385.0
1101	3600.0	10896.0
3762	269.0	181.0
100873424	0.0	0.0
3763	9.0	12.0
100128640	191.0	49.0
100873423	0.0	0.0
3764	1683.0	220.0
100873422	0.0	0.0
3765	0.0	2.0
100873421	0.0	1.0
3766	10.0	16.0
100873428	0.0	0.0
3767	541.0	3174.0
100873427	0.0	0.0
3768	149.0	204.0
1109	7.0	2.0
100873426	8.0	0.0
1108	12614.0	15603.0
3769	10.0	12.0
100873425	0.0	1.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	91.0	8.0
100873453	0.0	0.0
3781	37.0	42.0
100873452	0.0	0.0
3782	245.0	380.0
100873451	0.0	0.0
3783	1357.0	403.0
100873450	0.0	0.0
1121	884.0	2211.0
100861468	0.0	0.0
1120	179.0	64.0
100861469	0.0	0.0
1118	88.0	82.0
1117	1545.0	149.0
1116	1482.0	769.0
1114	40.0	4.0
1113	34.0	3.0
1112	5301.0	1554.0
1111	331.0	1342.0
3773	748.0	14.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	253.0	307.0
100873455	0.0	0.0
3776	287.0	6293.0
100873454	0.0	0.0
3777	462.0	113.0
3778	4291.0	2432.0
3779	9143.0	408.0
100873459	0.0	0.0
1119	1345.0	1303.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	1010.0	865.0
100128628	0.0	2.0
3791	4267.0	1717.0
100873442	0.0	0.0
3792	174.0	4.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	17.0	19.0
1131	44.0	35.0
1130	1516.0	588.0
100861476	0.0	0.0
1129	2.0	0.0
1128	188.0	2.0
1124	236.0	222.0
1123	652.0	211.0
1122	401.0	643.0
100861470	0.0	0.0
3784	638.0	523.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	157.0	276.0
100873444	0.0	0.0
3787	64.0	4.0
100873443	0.0	0.0
3788	46.0	1.0
100873449	1.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	92.0	29.0
100128618	1.0	0.0
728597	0.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	29.0	0.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	21.0	1.0
285634	1.0	1.0
1142	1.0	0.0
1141	104.0	6.0
285636	1356.0	2906.0
1140	630.0	723.0
728599	4.0	0.0
1139	28.0	4.0
1138	74.0	23.0
1137	1.0	0.0
100861485	0.0	0.0
1136	19.0	1.0
1135	20.0	0.0
1134	3.0	74.0
1133	3.0	4.0
3795	417.0	608.0
100873479	13.0	1.0
3796	761.0	1153.0
100873478	0.0	0.0
3797	1282.0	1811.0
100873477	2.0	2.0
3798	322.0	18.0
100873476	0.0	0.0
3799	6567.0	14087.0
100873460	0.0	0.0
728586	15.0	14.0
285641	0.0	0.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	3.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	850.0	2936.0
1153	25959.0	22524.0
1152	3626.0	1088.0
285647	6.0	32.0
728589	8.0	34.0
728588	0.0	3.0
1149	3862.0	302.0
1147	937.0	1902.0
1146	1.0	1.0
1145	104.0	41.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	186.0	821.0
1163	1187.0	1176.0
285659	0.0	0.0
1161	308.0	326.0
1160	838.0	131.0
1159	130.0	376.0
1158	1.0	5.0
1157	0.0	0.0
1155	3283.0	4361.0
550643	1329.0	2197.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2221.0	1869.0
1175	3718.0	6915.0
285668	19.0	5.0
1174	2004.0	1510.0
1173	16905.0	18330.0
550631	178.0	105.0
100873489	0.0	0.0
283014	16.0	14.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	110.0	11.0
1186	2907.0	10850.0
1185	1553.0	638.0
1184	228.0	533.0
1183	481.0	116.0
1182	2907.0	7824.0
1181	264.0	255.0
440375	12.0	40.0
1180	76.0	4.0
1179	2.0	0.0
1178	0.0	0.0
283089	5.0	3.0
85495	0.0	0.0
85480	386.0	18.0
283080	0.0	0.0
1198	2792.0	1763.0
1197	0.0	0.0
1196	2440.0	1357.0
1195	5400.0	2962.0
440366	1.0	7.0
1193	1325.0	357.0
1192	18493.0	34024.0
1191	113857.0	315978.0
1188	76.0	17.0
283078	98.0	18.0
85486	9.0	2.0
128615	0.0	0.0
85481	0.0	3.0
128611	50.0	31.0
440396	75.0	66.0
128609	0.0	0.0
128602	6.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	12.0	6.0
126014	104.0	370.0
440335	1016.0	8060.0
100128690	0.0	0.0
114034	820.0	1211.0
126006	165.0	167.0
114036	80.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	35.0	111.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	2.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	228.0	204.0
440356	8.0	30.0
440354	29.0	31.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	7.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	10.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	329.0	134.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	59.0	72.0
200734	3470.0	5552.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	4.0	0.0
100128665	0.0	0.0
128637	3681.0	1890.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	1.0
165530	129.0	20.0
85409	226.0	139.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	9.0	0.0
106481383	0.0	0.0
85417	34.0	88.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	653.0	829.0
106481389	0.0	0.0
85415	591.0	1622.0
106481387	2.0	0.0
85413	1.0	1.0
106481388	0.0	4.0
645436	0.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	4.0	65.0
106481380	0.0	0.0
11	3.0	0.0
403341	949.0	668.0
12	155.0	2270.0
13	28.0	0.0
14	7688.0	9673.0
15	3.0	3.0
16	9437.0	7568.0
645455	3.0	4.0
18	2101.0	5771.0
19	1561.0	623.0
128580	14.0	9.0
85407	103.0	51.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1382.0	2462.0
106481395	0.0	0.0
85403	1145.0	2469.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3920.0	4895.0
106481390	0.0	0.0
21	2414.0	17116.0
106481391	0.0	0.0
22	1411.0	1766.0
153571	710.0	445.0
153572	4352.0	500.0
23	4749.0	9203.0
24	387.0	104.0
25	4934.0	4480.0
26	23.0	6.0
27	1226.0	2284.0
28	521.0	83.0
29	6727.0	5155.0
153579	5468.0	211.0
728615	0.0	0.0
728614	0.0	0.0
200765	235.0	100.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	128.0	20.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	2.0	0.0
85439	858.0	380.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3494.0	4116.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	106.0	74.0
106481366	0.0	0.0
30	4002.0	1257.0
106481360	0.0	0.0
31	6387.0	5290.0
32	11880.0	2955.0
33	360.0	29.0
34	2751.0	3045.0
35	3437.0	709.0
153562	813.0	3750.0
36	6373.0	19111.0
37	22901.0	13103.0
38	6885.0	4316.0
440307	5.0	10.0
39	1261.0	1181.0
165545	54.0	1301.0
106481369	0.0	0.0
728606	332.0	534.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	52.0	3.0
106481370	0.0	0.0
41	260.0	652.0
106481371	0.0	0.0
43	184.0	19.0
645486	0.0	0.0
47	7937.0	13208.0
48	10000.0	3153.0
49	9.0	2.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	4.0
106481340	0.0	0.0
85458	3521.0	2831.0
106481345	0.0	0.0
85459	330.0	594.0
