id	cd20a78a-7e98-4601-8cf0-3a121d58613c	99c7b545-c90e-407f-9086-0ef8e108f973
285550	818.0	531.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	5.0
3640	0.0	0.0
3638	6239.0	1091.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	962.0	731.0
100873313	0.0	0.0
3632	1161.0	808.0
100873312	0.0	5.0
100873311	0.0	0.0
3633	1129.0	970.0
100873318	0.0	0.0
3635	424.0	370.0
100873317	0.0	1.0
3636	3226.0	2740.0
100128771	154.0	71.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	11.0	0.0
3651	1.0	0.0
1	1.0	6.0
2	43854.0	15088.0
100873309	0.0	0.0
100873308	1.0	0.0
3	22.0	6.0
3641	0.0	1.0
100873303	0.0	0.0
9	66.0	3385.0
3642	59.0	2.0
100873302	1.0	0.0
3643	6232.0	3686.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	42.0	8.0
100873307	0.0	0.0
3646	17786.0	5928.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	37.0	20.0
100873304	0.0	1.0
100873332	3.0	0.0
3660	1527.0	1048.0
100873331	0.0	0.0
3661	909.0	673.0
100873330	0.0	0.0
285577	2.0	1.0
3662	232.0	63.0
100128756	0.0	0.0
1000	115.0	136.0
3652	511.0	674.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	681.0	42.0
3654	1789.0	1953.0
100873334	0.0	0.0
3655	4504.0	4290.0
100873333	3.0	0.0
3656	1590.0	174.0
100873339	0.0	0.0
3658	2806.0	2712.0
100873338	0.0	0.0
3659	673.0	884.0
100873337	1.0	0.0
3670	9.0	0.0
100873321	1.0	0.0
3671	4137.0	3268.0
100873320	0.0	0.0
3672	3321.0	2536.0
285588	0.0	0.0
3673	45.0	715.0
1011	0.0	0.0
1010	8.0	1.0
1008	3.0	7.0
1007	2.0	0.0
1006	6.0	14.0
1005	3.0	48.0
1004	287.0	369.0
1003	6011.0	1825.0
1002	22.0	30.0
1001	27.0	220.0
3663	119.0	132.0
100873325	0.0	0.0
3664	120.0	3918.0
100873324	0.0	0.0
3665	280.0	724.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	4189.0	2145.0
100873329	0.0	0.0
285590	1283.0	3311.0
100873328	0.0	0.0
3669	179.0	162.0
100873327	0.0	0.0
1009	534.0	7693.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	0.0
728477	1.0	2.0
3680	1302.0	603.0
3681	4.0	0.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	464.0	290.0
100873353	0.0	0.0
3683	155.0	229.0
100873352	0.0	0.0
128710	211.0	664.0
3684	265.0	204.0
100873351	0.0	0.0
285512	53.0	90.0
1022	447.0	902.0
285513	345.0	406.0
1021	601.0	537.0
1020	201.0	217.0
440299	0.0	1.0
1019	1772.0	1488.0
128709	0.0	0.0
1018	7.0	6.0
1017	412.0	683.0
1016	7.0	0.0
1015	3.0	10.0
1014	0.0	0.0
1013	1.0	1.0
1012	1284.0	702.0
116730	36.0	14.0
3674	31.0	7.0
100873358	0.0	0.0
3675	902.0	2114.0
100873357	0.0	0.0
3676	85.0	191.0
100128731	3907.0	2142.0
100873356	0.0	0.0
3678	2977.0	3069.0
3679	16811.0	1274.0
100873359	0.0	0.0
728464	3.0	16.0
728463	5.0	11.0
100128725	0.0	0.0
3690	107.0	54.0
3691	1535.0	2098.0
100873343	1.0	0.0
3692	1977.0	1678.0
3693	6092.0	15806.0
285521	761.0	743.0
100873342	0.0	0.0
3694	13.0	1927.0
100873341	0.0	0.0
3695	33.0	23.0
100873340	0.0	0.0
100128723	0.0	10.0
1033	23.0	35.0
1032	297.0	144.0
285525	3.0	3.0
