id	edc3bfaa-aad7-44d5-8aa0-bb5a311b24c5	5ec8fcf2-85bc-4c30-9329-62b1cc47b67f
285550	2150.0	512.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	5.0
3640	5.0	13.0
3638	4627.0	3780.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	3523.0	1028.0
100873313	0.0	0.0
3632	2450.0	891.0
100873312	3.0	3.0
100873311	0.0	0.0
3633	2224.0	771.0
100873318	0.0	0.0
3635	4444.0	1263.0
100873317	0.0	0.0
3636	4522.0	4154.0
100128771	27.0	14.0
100873316	42.0	3.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	17.0
1	10.0	30.0
2	148582.0	36010.0
100873309	0.0	0.0
100873308	0.0	0.0
3	123.0	2.0
3641	1.0	1.0
100873303	2.0	0.0
9	655.0	129.0
3642	13.0	77.0
100873302	0.0	0.0
3643	8811.0	3376.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	28.0	5.0
100873307	0.0	0.0
3646	27074.0	30138.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	236.0	22.0
100873304	0.0	0.0
100873332	4.0	1.0
3660	3614.0	1882.0
100873331	0.0	0.0
3661	974.0	1345.0
100873330	0.0	1.0
285577	3.0	0.0
3662	615.0	610.0
100128756	0.0	0.0
1000	1072.0	255.0
3652	1679.0	827.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	144.0	46.0
3654	3264.0	9952.0
100873334	2.0	0.0
3655	26906.0	6315.0
100873333	1.0	0.0
3656	663.0	395.0
100873339	1.0	0.0
3658	7661.0	3845.0
100873338	0.0	0.0
3659	3149.0	3925.0
100873337	1.0	0.0
3670	4.0	5.0
100873321	1.0	0.0
3671	12398.0	5847.0
100873320	0.0	0.0
3672	20226.0	2242.0
285588	1.0	0.0
3673	10582.0	1918.0
1011	0.0	0.0
1010	220.0	5.0
1008	95.0	5.0
1007	0.0	0.0
1006	402.0	13.0
1005	18.0	0.0
