id	f4d80dc6-a28c-4d31-99e8-f58e78678654	a4c7b6e8-ed30-42b2-9daa-0cf0b9d59259
285550	1133.0	1372.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	8.0
3640	6.0	5.0
3638	2549.0	3873.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	1290.0	3187.0
100873313	0.0	0.0
3632	1318.0	838.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1303.0	2312.0
100873318	0.0	0.0
3635	1251.0	2241.0
100873317	0.0	0.0
3636	2438.0	8753.0
100128771	12.0	18.0
100873316	6.0	2.0
100873315	0.0	0.0
100128766	1.0	5.0
3651	1.0	196.0
1	19.0	14.0
2	72454.0	16956.0
100873309	0.0	1.0
100873308	0.0	0.0
3	27.0	9.0
3641	0.0	1.0
100873303	0.0	0.0
9	759.0	102.0
3642	6.0	190.0
100873302	0.0	0.0
3643	3164.0	6925.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	12.0	28.0
100873307	0.0	0.0
3646	11511.0	41545.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	111.0	52.0
100873304	0.0	1.0
100873332	1.0	0.0
3660	1660.0	3405.0
100873331	0.0	0.0
3661	1032.0	2010.0
100873330	0.0	0.0
285577	0.0	2.0
3662	264.0	3166.0
100128756	0.0	0.0
1000	38.0	351.0
3652	772.0	1140.0
100873336	0.0	0.0
100873335	0.0	1.0
100128750	43.0	3.0
3654	2947.0	59001.0
100873334	0.0	0.0
3655	8028.0	8210.0
100873333	0.0	0.0
3656	359.0	381.0
100873339	0.0	0.0
3658	2228.0	3371.0
100873338	0.0	0.0
3659	4086.0	11195.0
100873337	0.0	0.0
3670	4.0	93.0
100873321	0.0	0.0
3671	6274.0	1961.0
100873320	0.0	0.0
3672	3714.0	1400.0
285588	0.0	0.0
3673	2130.0	728.0
1011	0.0	0.0
1010	3.0	4.0
1008	8.0	0.0
1007	0.0	0.0
1006	36.0	0.0
1005	6.0	12.0
1004	501.0	113.0
1003	9680.0	1248.0
1002	39.0	15.0
1001	1780.0	8222.0
3663	382.0	846.0
100873325	0.0	0.0
3664	4089.0	5208.0
100873324	0.0	0.0
3665	812.0	2110.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2022.0	7411.0
100873329	0.0	0.0
285590	2828.0	8167.0
100873328	0.0	0.0
3669	388.0	1659.0
100873327	0.0	0.0
1009	1400.0	2918.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	27.0
728477	2.0	1.0
3680	1710.0	1480.0
3681	7.0	77.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	582.0	2633.0
100873353	0.0	0.0
3683	942.0	3164.0
100873352	0.0	1.0
128710	437.0	366.0
3684	525.0	1512.0
100873351	0.0	0.0
285512	95.0	44.0
1022	776.0	1557.0
285513	586.0	1257.0
1021	1311.0	3935.0
1020	289.0	1125.0
440299	0.0	0.0
1019	1921.0	10722.0
128709	0.0	0.0
1018	13.0	19.0
1017	1099.0	6495.0
1016	2.0	1.0
1015	10.0	7.0
1014	0.0	0.0
1013	3.0	8.0
1012	2628.0	449.0
116730	39.0	52.0
3674	9.0	92.0
100873358	0.0	0.0
3675	4374.0	1394.0
100873357	1.0	0.0
3676	395.0	1508.0
100128731	3579.0	7154.0
100873356	0.0	0.0
3678	5378.0	3781.0
3679	4173.0	252.0
100873359	0.0	0.0
728464	39.0	7.0
728463	18.0	121.0
100128725	0.0	0.0
3690	353.0	44.0
3691	6193.0	4792.0
100873343	0.0	1.0
3692	2858.0	7107.0
3693	7985.0	3672.0
285521	932.0	1414.0
100873342	0.0	0.0
3694	3101.0	83.0
100873341	0.0	0.0
3695	97.0	941.0
