id	3a04fb30-378c-48a0-a02e-85cf81b31b43	fced57a8-570a-4f05-aa10-4e16aa7ecc85
285550	1340.0	860.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	15.0	8.0
3640	2.0	25.0
3638	3163.0	4511.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2302.0	2297.0
100873313	0.0	1.0
3632	2066.0	1331.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	1916.0	937.0
100873318	0.0	0.0
3635	2597.0	2628.0
100873317	0.0	1.0
3636	5300.0	9712.0
100128771	45.0	27.0
100873316	10.0	6.0
100873315	0.0	0.0
100128766	0.0	6.0
3651	0.0	0.0
1	8.0	11.0
2	115802.0	69041.0
100873309	0.0	0.0
100873308	0.0	0.0
3	20.0	14.0
3641	1.0	0.0
100873303	0.0	0.0
9	2243.0	1916.0
3642	2.0	4.0
100873302	1.0	0.0
3643	7618.0	5732.0
100128764	2.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	57.0	45.0
100873307	0.0	0.0
3646	16363.0	21175.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	102.0	49.0
100873304	0.0	0.0
100873332	5.0	1.0
3660	3017.0	2862.0
100873331	0.0	0.0
3661	1363.0	4308.0
100873330	0.0	0.0
285577	3.0	0.0
3662	602.0	411.0
100128756	0.0	0.0
1000	85.0	695.0
3652	1302.0	816.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	165.0	80.0
3654	4605.0	14568.0
100873334	0.0	0.0
3655	13969.0	2015.0
100873333	0.0	1.0
3656	546.0	560.0
100873339	0.0	0.0
3658	4336.0	3626.0
100873338	0.0	0.0
3659	2954.0	10999.0
100873337	0.0	0.0
3670	6.0	20.0
100873321	0.0	0.0
3671	11261.0	24476.0
100873320	0.0	0.0
3672	12678.0	6851.0
285588	1.0	1.0
3673	4059.0	5768.0
1011	0.0	0.0
1010	20.0	1.0
1008	11.0	0.0
1007	0.0	0.0
1006	285.0	45.0
1005	9.0	6.0
1004	492.0	392.0
1003	14665.0	4343.0
1002	122.0	48.0
1001	2955.0	1565.0
3663	536.0	1561.0
100873325	0.0	0.0
3664	8044.0	7342.0
100873324	0.0	1.0
3665	556.0	5665.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7984.0	3254.0
100873329	0.0	0.0
285590	4654.0	5053.0
100873328	0.0	0.0
3669	272.0	3190.0
100873327	0.0	0.0
1009	2697.0	21112.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	5.0
728477	3.0	2.0
3680	2572.0	1033.0
3681	31.0	152.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	862.0	1479.0
100873353	0.0	0.0
3683	1115.0	3839.0
100873352	1.0	0.0
128710	705.0	1306.0
3684	1416.0	1948.0
100873351	0.0	0.0
285512	148.0	38.0
1022	1069.0	1863.0
285513	879.0	1392.0
1021	2555.0	3025.0
1020	563.0	2101.0
440299	0.0	0.0
1019	2797.0	5614.0
128709	2.0	1.0
1018	18.0	27.0
1017	1610.0	2624.0
1016	10.0	355.0
1015	13.0	4.0
1014	0.0	0.0
1013	3.0	35.0
1012	5702.0	1423.0
116730	35.0	74.0
3674	60.0	37.0
100873358	0.0	0.0
3675	7147.0	8479.0
100873357	0.0	0.0
3676	376.0	1269.0
100128731	5884.0	7947.0
100873356	0.0	0.0
3678	7812.0	10723.0
3679	14164.0	436.0
100873359	0.0	0.0
728464	34.0	61.0
728463	17.0	26.0
100128725	0.0	0.0
3690	493.0	195.0
3691	9511.0	20331.0
100873343	0.0	0.0
3692	4045.0	16666.0
3693	22762.0	29474.0
285521	1186.0	834.0
100873342	0.0	0.0
3694	2948.0	2236.0
100873341	0.0	0.0
3695	138.0	342.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	68.0	618.0
1032	271.0	1100.0
285525	4.0	1.0
1031	1744.0	2334.0
285527	6800.0	3227.0
1030	3664.0	3333.0
728468	0.0	0.0
440288	138.0	134.0
1029	97.0	801.0
440295	103.0	157.0
1028	2562.0	267.0
1027	5120.0	6349.0
1026	20705.0	17558.0
1025	3446.0	4522.0
1024	677.0	695.0
3685	13777.0	12348.0
100873347	1.0	2.0
100873346	0.0	0.0
3687	790.0	2154.0
100873345	0.0	1.0
3688	47215.0	26317.0
100873344	0.0	0.0
3689	3946.0	11941.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	2.0
100873370	0.0	0.0
728498	29.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	24.0	15.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	68.0	69.0
100873374	0.0	0.0
728495	3.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	17.0
1043	787.0	2811.0
1041	3.0	0.0
1040	1804.0	3608.0
1039	2178.0	5677.0
1038	24.0	4.0
1036	4972.0	154.0
3696	1816.0	995.0
3697	10.0	9.0
100873379	0.0	0.0
3698	95.0	1.0
100873378	1.0	0.0
3699	86.0	49.0
100873377	0.0	0.0
728486	12.0	29.0
100873361	0.0	0.0
105373869	8.0	889.0
100873360	0.0	0.0
285540	172.0	99.0
100128705	4.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	2.0	3.0
1054	3537.0	3649.0
285547	1.0	1.0
1053	5.0	7.0
285548	2.0	15.0
1052	2884.0	539.0
1051	3636.0	3233.0
728489	6.0	24.0
1050	4398.0	1882.0
100128707	0.0	0.0
1048	14.0	392.0
1047	163.0	796.0
1046	0.0	0.0
1045	3.0	0.0
100873369	8.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	36191.0	247.0
1063	406.0	8326.0
1062	197.0	1247.0
1061	3.0	1.0
1060	1990.0	1105.0
440253	303.0	73.0
1059	4029.0	9102.0
1058	33.0	576.0
1057	3.0	0.0
85379	8946.0	2860.0
114112	881.0	472.0
1056	27.0	118.0
85377	3228.0	1813.0
85378	2461.0	1783.0
128745	0.0	0.0
85376	3.0	24.0
440248	571.0	102.0
1075	7576.0	8984.0
1074	12.0	26.0
1073	3436.0	1005.0
1072	27694.0	90655.0
1071	326.0	103.0
440243	0.0	0.0
1070	930.0	1103.0
1069	3208.0	4854.0
1068	0.0	0.0
85369	2391.0	3367.0
85366	0.0	9.0
85364	1365.0	1198.0
85365	2519.0	3257.0
85363	1872.0	1126.0
85360	1397.0	1390.0
1080	49.0	9.0
85391	7.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	7.0	1.0
153733	617.0	773.0
1087	5.0	9.0
1086	0.0	0.0
440279	55.0	3.0
1085	11.0	1.0
1084	17.0	3.0
440278	145.0	150.0
1082	0.0	0.0
403294	0.0	0.0
440275	5410.0	2990.0
1081	1.0	2792.0
85397	3.0	13.0
85395	268.0	588.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	1.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	697.0	84.0
1089	7.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	15.0	6.0
285598	975.0	446.0
126133	1053.0	2817.0
128790	1.0	0.0
126129	145.0	173.0
126123	0.0	0.0
442862	0.0	0.0
126119	404.0	1450.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	75.0	47.0
442897	0.0	0.0
442898	4.0	0.0
114134	755.0	516.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	1.0
100128788	56.0	81.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	179.0	95.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	165.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	68.0	49.0
403227	21.0	0.0
403228	0.0	0.0
138046	1.0	15.0
645558	0.0	0.0
403229	0.0	1.0
645573	1.0	0.0
645572	0.0	0.0
645571	8.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	1.0	0.0
200634	460.0	1152.0
107131122	0.0	0.0
138050	10192.0	7803.0
403219	0.0	0.0
151011	5942.0	2233.0
645587	2.0	0.0
165679	516.0	910.0
126037	18.0	203.0
114049	2658.0	8089.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	671.0	964.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1965.0	1286.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	122.0	67.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	12.0
645598	0.0	1.0
163007	1.0	12.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	56.0	7.0
106481496	0.0	0.0
114042	3.0	1.0
106481493	0.0	0.0
114043	22.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	180.0	191.0
126017	495.0	613.0
106481497	0.0	0.0
106481498	0.0	1.0
85303	0.0	0.0
85300	4.0	0.0
85301	1228.0	439.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	1.0	0.0
26996	1638.0	4004.0
106481459	0.0	0.0
26994	9941.0	6846.0
106481457	2.0	6.0
26995	2259.0	3157.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1106.0	1480.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1508.0	2756.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	1.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	2733.0	5.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1405.0	8768.0
106481470	1.0	1.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	899.0	801.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	3.0
106481437	0.0	0.0
26974	354.0	210.0
153657	56.0	30.0
106481438	3.0	1.0
106481435	0.0	0.0
26973	1282.0	994.0
165631	213.0	171.0
106481436	0.0	0.0
26978	17.0	12.0
126075	653.0	1223.0
106481439	0.0	0.0
403250	0.0	0.0
126074	205.0	427.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1138.0	2324.0
106481444	2.0	2.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	5749.0	1345.0
85354	0.0	0.0
85352	79.0	178.0
403241	4.0	0.0
344462	0.0	12.0
403244	0.0	0.0
403245	0.0	0.0
153642	469.0	452.0
153643	8.0	1.0
403247	0.0	0.0
403248	0.0	0.0
26985	4607.0	5488.0
106481448	0.0	0.0
26986	53470.0	112192.0
126069	136.0	72.0
106481449	0.0	0.0
126068	768.0	559.0
106481446	0.0	1.0
26983	0.0	0.0
26984	938.0	1188.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	0.0	1.0
106481450	1.0	0.0
114088	174.0	64.0
106481455	0.0	1.0
85349	65.0	28.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	0.0	4.0
106481454	1.0	0.0
403238	0.0	0.0
85344	3.0	0.0
403239	0.0	0.0
85345	0.0	0.0
