id	40633fb7-6665-4897-ba2d-76502e35dcd7	432d86b3-b5d0-46c0-96d8-d7d5f4e6c3b6
100873360	0.0	0.0
285540	105.0	70.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	3646.0	2186.0
285547	0.0	0.0
1053	2.0	6.0
285548	4.0	8.0
1052	1877.0	1666.0
1051	3182.0	5686.0
728489	7.0	27.0
1050	1378.0	1145.0
100128707	0.0	0.0
1048	100.0	357.0
1047	874.0	583.0
1046	0.0	0.0
1045	1.0	6.0
100873369	4.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	4259.0	3173.0
1063	862.0	7599.0
1062	121.0	1761.0
1061	7.0	6.0
1060	2676.0	877.0
440253	295.0	19.0
1059	6290.0	3585.0
1058	8.0	652.0
1057	2.0	2.0
85379	18264.0	5144.0
114112	1098.0	42.0
1056	35.0	44.0
85377	4318.0	1275.0
85378	4777.0	1565.0
128745	1.0	2.0
85376	10.0	29.0
440248	1232.0	203.0
1075	3096.0	22376.0
1074	44.0	18.0
1073	2318.0	237.0
1072	26890.0	58205.0
1071	22.0	82.0
440243	0.0	0.0
1070	1185.0	635.0
1069	3598.0	3411.0
1068	0.0	0.0
85369	3337.0	1142.0
85366	5.0	10.0
85364	2522.0	834.0
85365	3299.0	2626.0
85363	2325.0	528.0
85360	1492.0	293.0
1080	43.0	12.0
85391	71.0	15.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	786.0	380.0
1087	289.0	23.0
1086	1.0	0.0
440279	11.0	0.0
1085	2.0	0.0
1084	2.0	9.0
440278	148.0	58.0
1082	1.0	0.0
403294	0.0	0.0
440275	5941.0	2470.0
1081	0.0	20.0
85397	6.0	25.0
85395	604.0	658.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	1.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	3152.0	460.0
1089	5.0	20.0
85388	0.0	0.0
85389	0.0	0.0
128718	2.0	0.0
285596	38.0	7.0
285598	2074.0	145.0
126133	1898.0	1326.0
128790	2.0	0.0
126129	202.0	44.0
126123	0.0	0.0
442862	0.0	0.0
126119	611.0	1085.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	5.0	6.0
442897	0.0	0.0
442898	5.0	0.0
114134	1115.0	390.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	9.0
100128788	128.0	189.0
100128787	0.0	1.0
440225	0.0	0.0
440224	5.0	4.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	1.0	0.0
100128782	358.0	77.0
100128781	5.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	130.0	4.0
102466616	0.0	0.0
126052	0.0	0.0
151009	113.0	37.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	21.0	34.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1337.0	1834.0
107131122	0.0	2.0
138050	10001.0	4060.0
403219	0.0	0.0
151011	7670.0	1533.0
645587	3.0	28.0
165679	478.0	7587.0
126037	61.0	30.0
114049	3784.0	2778.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	981.0	664.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2655.0	2086.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	358.0	84.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	106.0	768.0
645598	0.0	0.0
163007	4.0	5.0
114038	3.0	0.0
645591	0.0	0.0
106481495	1.0	0.0
114041	424.0	118.0
106481496	1.0	0.0
114042	8.0	4.0
106481493	0.0	0.0
114043	14.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	528.0	374.0
126017	1005.0	497.0
106481497	3.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	7.0	1.0
85301	3024.0	673.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2379.0	3404.0
106481459	0.0	0.0
26994	9009.0	6547.0
106481457	7.0	15.0
26995	3171.0	4349.0
106481458	0.0	0.0
403271	0.0	0.0
26998	7.0	11.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1442.0	1613.0
403273	0.0	0.0
102466658	8.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	1.0
106481460	3.0	4.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2925.0	2116.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	0.0
106481471	0.0	0.0
85329	543.0	19.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	3983.0	1413.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1401.0	795.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	10.0	1.0
106481437	0.0	0.0
26974	598.0	19.0
153657	122.0	42.0
106481438	2.0	685.0
106481435	0.0	0.0
26973	2125.0	2575.0
165631	111.0	376.0
106481436	0.0	0.0
26978	12.0	10.0
126075	888.0	941.0
106481439	0.0	0.0
403250	0.0	0.0
126074	325.0	360.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2061.0	2721.0
106481444	14.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2719.0	779.0
85354	0.0	0.0
85352	81.0	43.0
403241	1.0	0.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	882.0	206.0
153643	22.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	5097.0	4226.0
106481448	0.0	0.0
26986	119841.0	147951.0
126069	290.0	81.0
106481449	0.0	0.0
126068	1558.0	251.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1229.0	513.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	3.0
114088	1205.0	36.0
106481455	0.0	0.0
85349	107.0	24.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	0.0
85347	0.0	0.0
26980	21.0	8.0
106481454	0.0	0.0
403238	0.0	0.0
85344	7.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	5.0
85340	0.0	0.0
100873394	2.0	0.0
100873393	1.0	0.0
100873392	6.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4062.0	1977.0
100873390	0.0	1.0
728556	64.0	52.0
106481419	3.0	0.0
100128817	0.0	0.0
728558	141.0	42.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	746.0	184.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	8.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	277.0	88.0
100873384	0.0	0.0
285601	8.0	31.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	249.0	760.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	854.0	337.0
222008	1.0	203.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4067.0	2129.0
63904	0.0	0.0
106481430	1.0	0.0
163071	80.0	31.0
63906	1019.0	705.0
106481433	0.0	0.0
63908	1034.0	607.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	55.0	63.0
63920	883.0	212.0
63923	1377.0	55.0
63922	685.0	1384.0
728577	197.0	1.0
63925	2455.0	1434.0
63924	2174.0	29.0
63916	4037.0	3159.0
63917	4767.0	1997.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	8.0	2.0
728564	3.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2330.0	1741.0
106481402	1.0	0.0
63931	2580.0	1500.0
106481403	1.0	0.0
63934	1342.0	37.0
728567	10.0	4.0
106481408	0.0	1.0
163088	9.0	6.0
63933	2635.0	1045.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4378.0	2553.0
163087	1702.0	331.0
728568	394.0	199.0
106481407	6.0	2.0
3704	1909.0	1329.0
3705	3182.0	4181.0
63926	1159.0	649.0
3706	9.0	16.0
63929	1917.0	1660.0
3707	4864.0	4009.0
63928	4.0	2.0
3708	26420.0	7171.0
106481411	0.0	0.0
3709	14845.0	2604.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	65.0	17.0
3702	199.0	915.0
3703	13613.0	6602.0
645506	0.0	0.0
151050	2074.0	329.0
645520	0.0	0.0
63941	1375.0	2082.0
63940	888.0	2173.0
63943	463.0	371.0
728517	0.0	0.0
163033	517.0	706.0
258010	3111.0	867.0
63947	0.0	0.0
63946	9.0	20.0
728513	2.0	0.0
100033803	0.0	0.0
3716	20390.0	8031.0
100033804	0.0	0.0
3717	2249.0	1262.0
100033805	0.0	0.0
3718	692.0	1909.0
63939	2413.0	1349.0
100033806	0.0	0.0
100190799	3.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	71.0	52.0
3710	5902.0	3200.0
3712	7535.0	3997.0
3713	4.0	43.0
3714	6819.0	2124.0
63950	6.0	4.0
728505	1.0	0.0
63951	120.0	184.0
100033807	0.0	0.0
728501	30.0	4.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7433.0	6601.0
100033814	0.0	0.0
3727	6533.0	9603.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	2.0
3728	28437.0	35389.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2604.0	1678.0
151056	347.0	81.0
3725	35205.0	5111.0
645528	2.0	0.0
728532	28.0	9.0
163059	476.0	87.0
728538	0.0	1.0
728537	521.0	138.0
63967	35.0	710.0
3737	13.0	7.0
3738	103.0	143.0
3739	18.0	0.0
645538	0.0	0.0
3730	1824.0	356.0
3732	7039.0	3190.0
3734	0.0	0.0
3735	9029.0	6299.0
3736	86.0	2.0
63970	578.0	67.0
3750	339.0	351.0
63971	11783.0	735.0
63974	0.0	0.0
163049	3799.0	1515.0
63973	251.0	0.0
63976	282.0	28.0
222068	7128.0	3380.0
63978	1.0	0.0
63977	1200.0	650.0
63979	1702.0	903.0
728524	0.0	0.0
3748	687.0	1162.0
163051	43.0	8.0
3749	4393.0	223.0
163050	67.0	35.0
3741	30.0	17.0
645548	13.0	4.0
3743	4.0	1.0
3744	0.0	0.0
3745	1150.0	96.0
3746	61.0	0.0
3747	170.0	0.0
285671	1283.0	47.0
285672	2476.0	1056.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	42.0	14.0
285676	172.0	26.0
3761	4.0	1.0
100128657	0.0	0.0
285679	5.0	1.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1535.0	796.0
283008	0.0	0.0
3751	305.0	71.0
100873435	0.0	0.0
3752	2968.0	43.0
100873434	0.0	0.0
3753	19.0	16.0
100873433	0.0	0.0
3754	82.0	223.0
100873432	0.0	0.0
3755	162.0	14.0
100873439	0.0	0.0
3756	29.0	230.0
100873438	0.0	0.0
3757	102.0	31.0
100873437	0.0	0.0
3758	5.0	7.0
100873436	0.0	0.0
100873420	12.0	0.0
3770	188.0	55.0
3772	52.0	85.0
100861458	0.0	0.0
100861453	18.0	2.0
100861455	0.0	0.0
1107	19737.0	6648.0
1106	12512.0	4191.0
1105	4624.0	1277.0
1104	2022.0	2679.0
100873429	0.0	0.0
1103	0.0	1.0
1102	2378.0	359.0
1101	1753.0	826.0
3762	300.0	291.0
100873424	0.0	0.0
3763	1.0	0.0
100128640	284.0	21.0
100873423	0.0	0.0
3764	1495.0	560.0
100873422	0.0	0.0
3765	10.0	10.0
100873421	0.0	0.0
3766	21.0	433.0
100873428	0.0	0.0
3767	813.0	335.0
100873427	0.0	0.0
3768	102.0	18.0
1109	5.0	0.0
100873426	2.0	3.0
1108	21456.0	12906.0
3769	48.0	2.0
100873425	0.0	2.0
100128637	2.0	2.0
100128639	0.0	0.0
3780	74.0	31.0
100873453	0.0	0.0
3781	51.0	31.0
100873452	0.0	0.0
3782	379.0	252.0
100873451	0.0	0.0
3783	3509.0	571.0
100873450	0.0	0.0
1121	2386.0	1364.0
100861468	0.0	0.0
1120	275.0	100.0
100861469	0.0	0.0
1118	251.0	5224.0
1117	1210.0	190.0
1116	1851.0	7903.0
1114	15.0	11.0
1113	64.0	34.0
1112	6754.0	2803.0
1111	465.0	934.0
3773	439.0	4.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	521.0	1700.0
100873455	0.0	0.0
3776	612.0	239.0
100873454	0.0	0.0
3777	233.0	12.0
3778	8885.0	1797.0
3779	7482.0	162.0
100873459	0.0	0.0
1119	3060.0	1287.0
100128627	2.0	7.0
100128626	1.0	0.0
3790	1816.0	459.0
100128628	1.0	0.0
3791	3988.0	1502.0
100873442	0.0	0.0
3792	178.0	128.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	10.0
1131	514.0	6.0
1130	5104.0	1457.0
100861476	0.0	2.0
1129	17.0	0.0
1128	929.0	156.0
1124	330.0	200.0
1123	651.0	459.0
1122	2100.0	1611.0
100861470	0.0	0.0
3784	801.0	242.0
100873446	0.0	0.0
3785	9.0	2.0
100873445	0.0	0.0
3786	233.0	51.0
100873444	0.0	0.0
3787	275.0	4.0
100873443	0.0	0.0
3788	38.0	6.0
100873449	19.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	167.0	76.0
100128618	0.0	0.0
728597	0.0	0.0
100128617	1.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	54.0	1.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	0.0	37.0
285634	5.0	2.0
1142	0.0	0.0
1141	251.0	5.0
285636	3379.0	2814.0
1140	840.0	624.0
728599	12.0	0.0
1139	52.0	3.0
1138	102.0	56.0
1137	2.0	0.0
100861485	0.0	0.0
1136	12.0	4.0
1135	169.0	0.0
1134	8.0	111.0
1133	26.0	7.0
3795	424.0	405.0
100873479	3.0	0.0
3796	2345.0	1277.0
100873478	0.0	0.0
3797	1833.0	1196.0
100873477	11.0	1.0
3798	574.0	33.0
100873476	0.0	0.0
3799	18068.0	11396.0
100873460	0.0	0.0
728586	27.0	6.0
285641	1.0	0.0
100873464	6.0	2.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	3.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1127.0	2201.0
1153	32021.0	10150.0
1152	2326.0	5032.0
285647	42.0	9.0
728589	33.0	16.0
728588	2.0	13.0
1149	965.0	16.0
1147	1929.0	1922.0
1146	2.0	6.0
1145	82.0	34.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	427.0	1683.0
1163	1187.0	1177.0
285659	0.0	0.0
1161	520.0	224.0
1160	315.0	35.0
1159	167.0	10.0
1158	6.0	13.0
1157	0.0	0.0
1155	2657.0	1922.0
550643	1272.0	1476.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2691.0	3651.0
1175	2546.0	4024.0
285668	14.0	15.0
1174	2044.0	2445.0
1173	16115.0	22839.0
550631	195.0	258.0
100873489	0.0	0.0
283014	5.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	76.0	33.0
1186	3280.0	4927.0
1185	2627.0	527.0
1184	522.0	780.0
1183	391.0	67.0
1182	10445.0	3612.0
1181	335.0	816.0
440375	52.0	26.0
1180	28.0	1.0
1179	2.0	0.0
1178	0.0	6.0
283089	13.0	1.0
85495	0.0	0.0
85480	447.0	7.0
283080	0.0	17.0
1198	3911.0	1609.0
1197	4.0	1.0
1196	3165.0	1508.0
1195	11868.0	2177.0
440366	12.0	0.0
1193	1203.0	1002.0
1192	11884.0	11731.0
1191	66717.0	13896.0
1188	57.0	5.0
283078	139.0	1237.0
85486	18.0	10.0
128615	0.0	0.0
85481	0.0	2.0
128611	153.0	302.0
440396	102.0	82.0
128609	0.0	0.0
128602	6.0	8.0
440387	0.0	0.0
128674	7.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	3.0	10.0
126014	126.0	850.0
440335	866.0	1008.0
100128690	0.0	0.0
114034	778.0	1060.0
126006	230.0	186.0
114036	31.0	3.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	124.0	71.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	3.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	175.0	128.0
440356	10.0	88.0
440354	91.0	31.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	15.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	15.0	19.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	139.0	27.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	193.0	188.0
200734	6555.0	4368.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	10.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	3.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5105.0	1907.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	11.0	5.0
165530	148.0	7.0
85409	519.0	90.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	4.0	94.0
106481383	0.0	5.0
85417	78.0	56.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	589.0	332.0
106481389	0.0	0.0
85415	3623.0	3128.0
106481387	0.0	0.0
85413	3.0	7.0
106481388	7.0	5.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	30.0	9.0
106481380	0.0	0.0
11	0.0	0.0
403341	2233.0	907.0
12	63.0	150.0
13	6.0	48.0
14	8545.0	4227.0
15	3.0	16.0
16	8463.0	7077.0
645455	27.0	3.0
18	3994.0	5174.0
19	3530.0	2043.0
128580	17.0	5.0
85407	441.0	113.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1934.0	1384.0
106481395	0.0	0.0
85403	2039.0	2831.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	6042.0	6552.0
106481390	0.0	0.0
21	4424.0	3141.0
106481391	0.0	0.0
22	2127.0	967.0
153571	1090.0	2294.0
153572	8338.0	4486.0
23	5455.0	3889.0
24	225.0	163.0
25	8421.0	7024.0
26	7.0	39.0
27	2949.0	1903.0
28	405.0	148.0
29	9288.0	4676.0
153579	3369.0	127.0
728615	3.0	0.0
728614	0.0	0.0
200765	414.0	171.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	21.0	6.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	3.0
85439	1796.0	236.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3097.0	1371.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	356.0	84.0
106481366	0.0	0.0
30	3551.0	1295.0
106481360	0.0	0.0
31	14938.0	8900.0
32	7378.0	792.0
33	831.0	3.0
34	4502.0	1938.0
35	1840.0	448.0
153562	2291.0	928.0
36	14003.0	4552.0
37	19203.0	9457.0
38	3547.0	2092.0
440307	11.0	10.0
39	1522.0	1251.0
165545	23.0	35.0
106481369	0.0	0.0
728606	299.0	11.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	11.0	18.0
106481370	0.0	0.0
41	740.0	299.0
106481371	0.0	0.0
43	222.0	238.0
645486	0.0	0.0
47	13726.0	15324.0
48	4059.0	2059.0
49	15.0	1.0
106481338	0.0	0.0
106481339	1.0	0.0
