id	c3ed7c7a-b80a-4de2-8dfb-b60bcf336375	1324ee08-213e-44c7-b28a-849d091ce308
100128788	94.0	139.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	3.0	0.0
442892	2.0	2.0
128756	0.0	0.0
100128782	137.0	49.0
100128781	0.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	461.0	2236.0
102466616	0.0	0.0
126052	1.0	0.0
151009	60.0	16.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	3.0	6.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1182.0	936.0
107131122	0.0	0.0
138050	5675.0	9067.0
403219	0.0	0.0
151011	4662.0	4158.0
645587	0.0	0.0
165679	917.0	74.0
126037	87.0	85.0
114049	5028.0	8113.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	17.0	22.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	389.0	368.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2003.0	1392.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	257.0	214.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	164.0	10.0
645598	0.0	0.0
163007	0.0	0.0
114038	1.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	304.0	21.0
106481496	0.0	0.0
114042	4.0	2.0
106481493	0.0	0.0
114043	8.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	138.0	65.0
126017	610.0	907.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	2.0
85301	1447.0	935.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	4.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1659.0	3844.0
106481459	0.0	0.0
26994	5157.0	7697.0
106481457	5.0	1.0
26995	2945.0	3660.0
106481458	0.0	0.0
403271	0.0	0.0
26998	6.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1944.0	1737.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	7.0	6.0
26993	2179.0	1814.0
106481467	0.0	0.0
106481464	3.0	0.0
106481465	0.0	0.0
104310351	0.0	5.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	3.0	9.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1367.0	5.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1044.0	127.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	922.0	1269.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	2.0
106481437	0.0	0.0
26974	214.0	63.0
153657	51.0	144.0
106481438	22.0	84.0
106481435	0.0	0.0
26973	673.0	612.0
165631	39.0	46.0
106481436	0.0	0.0
26978	16.0	18.0
126075	846.0	1075.0
106481439	0.0	0.0
403250	0.0	0.0
126074	312.0	273.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2168.0	2709.0
106481444	2.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1834.0	1622.0
85354	0.0	0.0
85352	76.0	607.0
403241	0.0	0.0
344462	0.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	333.0	462.0
153643	19.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	3909.0	5626.0
106481448	0.0	0.0
26986	123948.0	129096.0
126069	114.0	167.0
106481449	0.0	0.0
126068	685.0	504.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1032.0	1404.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	354.0	217.0
106481455	0.0	0.0
85349	92.0	73.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	7.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	11.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	16.0
85340	0.0	0.0
100873394	2.0	0.0
100873393	0.0	0.0
100873392	0.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	2.0
106481416	0.0	4.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2443.0	3069.0
100873390	0.0	0.0
728556	25.0	71.0
106481419	4.0	0.0
100128817	0.0	0.0
728558	74.0	95.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	427.0	443.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	142.0	306.0
100873384	0.0	0.0
285601	29.0	29.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	622.0	799.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	492.0	991.0
222008	7877.0	53998.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4556.0	5605.0
63904	0.0	0.0
106481430	0.0	1.0
163071	51.0	7.0
63906	1102.0	1319.0
106481433	0.0	0.0
63908	943.0	1082.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	148.0	117.0
63920	297.0	427.0
63923	1324.0	2579.0
63922	523.0	584.0
728577	90.0	10.0
63925	1434.0	1462.0
63924	5153.0	8.0
63916	2740.0	3399.0
63917	3708.0	3502.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	3.0
728564	4.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1528.0	1564.0
106481402	0.0	1.0
63931	1802.0	2255.0
106481403	0.0	0.0
63934	642.0	126.0
728567	9.0	5.0
106481408	0.0	0.0
163088	14.0	21.0
63933	2303.0	3304.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4105.0	4951.0
163087	606.0	477.0
728568	669.0	946.0
106481407	8.0	4.0
3704	3329.0	6221.0
3705	3841.0	4195.0
63926	1311.0	2170.0
3706	65.0	84.0
63929	779.0	608.0
3707	3391.0	3712.0
63928	12.0	0.0
3708	6320.0	3059.0
106481411	0.0	1.0
3709	7912.0	2964.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	9.0	0.0
3702	107.0	160.0
3703	9459.0	11692.0
645506	0.0	0.0
151050	734.0	591.0
645520	0.0	0.0
63941	2136.0	3921.0
63940	766.0	672.0
63943	468.0	661.0
728517	0.0	0.0
163033	364.0	465.0
258010	1739.0	2809.0
63947	0.0	0.0
63946	3.0	0.0
728513	3.0	5.0
100033803	0.0	0.0
3716	14073.0	15574.0
100033804	0.0	0.0
3717	667.0	823.0
100033805	0.0	0.0
3718	327.0	304.0
63939	1497.0	2613.0
100033806	0.0	0.0
100190799	3.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	107.0	46.0
3710	3993.0	5394.0
3712	5873.0	5297.0
3713	15.0	85.0
3714	3618.0	2432.0
63950	2.0	1.0
728505	0.0	1.0
63951	61.0	13.0
100033807	0.0	0.0
728501	35.0	40.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	3606.0	3004.0
100033814	0.0	0.0
3727	7358.0	3911.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	30411.0	39476.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1868.0	1898.0
151056	261.0	59.0
3725	17551.0	4917.0
645528	0.0	0.0
728532	16.0	30.0
163059	359.0	169.0
728538	3.0	0.0
728537	158.0	93.0
63967	102.0	370.0
3737	6.0	7.0
3738	18.0	29.0
3739	7.0	1.0
645538	0.0	0.0
3730	643.0	1154.0
3732	10946.0	8923.0
3734	0.0	0.0
3735	11199.0	10474.0
3736	50.0	49.0
63970	265.0	8.0
3750	209.0	126.0
63971	5100.0	4718.0
63974	0.0	0.0
163049	2371.0	1434.0
63973	86.0	0.0
63976	134.0	47.0
222068	6950.0	12541.0
63978	0.0	0.0
63977	569.0	513.0
63979	732.0	1093.0
728524	0.0	0.0
3748	450.0	1242.0
163051	45.0	49.0
3749	1533.0	568.0
163050	67.0	66.0
3741	28.0	9.0
645548	8.0	10.0
3743	4.0	0.0
3744	0.0	0.0
3745	565.0	147.0
3746	28.0	7.0
3747	24.0	0.0
285671	506.0	240.0
285672	1455.0	1832.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	453.0	2962.0
285676	77.0	31.0
3761	0.0	1.0
100128657	0.0	0.0
285679	5.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	702.0	330.0
283008	2.0	1.0
3751	330.0	880.0
100873435	0.0	0.0
3752	641.0	267.0
100873434	0.0	0.0
3753	67.0	1.0
100873433	0.0	0.0
3754	5421.0	8045.0
100873432	0.0	0.0
3755	91.0	74.0
100873439	0.0	0.0
3756	28.0	56.0
100873438	0.0	0.0
3757	119.0	67.0
100873437	0.0	0.0
3758	1.0	1.0
100873436	0.0	0.0
100873420	1.0	3.0
3770	124.0	76.0
3772	81.0	67.0
100861458	0.0	1.0
100861453	40.0	40.0
100861455	0.0	0.0
1107	12633.0	12062.0
1106	7661.0	4445.0
1105	2539.0	2714.0
1104	2583.0	4319.0
100873429	0.0	0.0
1103	0.0	0.0
1102	951.0	600.0
1101	817.0	132.0
3762	229.0	242.0
100873424	0.0	0.0
3763	10.0	14.0
100128640	260.0	92.0
100873423	0.0	0.0
3764	930.0	1792.0
100873422	0.0	0.0
3765	0.0	0.0
100873421	0.0	1.0
3766	17.0	15.0
100873428	0.0	0.0
3767	1251.0	1951.0
100873427	0.0	0.0
3768	107.0	164.0
1109	0.0	0.0
100873426	2.0	2.0
1108	17583.0	23738.0
3769	9.0	8.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	27.0	42.0
100873453	0.0	0.0
3781	64.0	53.0
100873452	0.0	0.0
3782	193.0	199.0
100873451	0.0	0.0
3783	4256.0	313.0
100873450	0.0	0.0
1121	1421.0	2067.0
100861468	0.0	0.0
1120	125.0	118.0
100861469	0.0	0.0
1118	144.0	15.0
1117	1327.0	185.0
1116	3303.0	832.0
1114	44.0	9.0
1113	56.0	3.0
1112	4043.0	3275.0
1111	463.0	630.0
3773	231.0	11.0
100873457	1.0	0.0
100873456	1.0	0.0
3775	1316.0	5610.0
100873455	0.0	0.0
3776	895.0	35.0
100873454	0.0	0.0
3777	376.0	50.0
3778	2485.0	466.0
3779	2614.0	152.0
100873459	0.0	0.0
1119	3075.0	2559.0
100128627	1.0	3.0
100128626	0.0	0.0
3790	932.0	1124.0
100128628	6.0	9.0
3791	2405.0	2378.0
100873442	0.0	0.0
3792	71.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	14.0	16.0
1131	821.0	215.0
1130	1734.0	2191.0
100861476	0.0	1.0
1129	0.0	0.0
1128	935.0	26.0
1124	193.0	355.0
1123	1064.0	2447.0
1122	1183.0	2064.0
100861470	0.0	0.0
3784	3614.0	3249.0
100873446	0.0	0.0
3785	7.0	0.0
100873445	0.0	0.0
3786	118.0	311.0
100873444	0.0	0.0
3787	323.0	19.0
100873443	0.0	0.0
3788	17.0	26.0
100873449	0.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	195.0	68.0
100128618	4.0	0.0
728597	0.0	0.0
100128617	0.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	48.0	14.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	5.0
285634	2.0	0.0
1142	0.0	0.0
1141	114.0	30.0
285636	1940.0	2956.0
1140	625.0	465.0
728599	1.0	3.0
1139	24.0	14.0
1138	81.0	68.0
1137	2.0	0.0
100861485	1.0	0.0
1136	9.0	83.0
1135	16.0	0.0
1134	37.0	261.0
1133	33.0	14.0
3795	441.0	522.0
100873479	4.0	0.0
3796	1434.0	1896.0
100873478	0.0	0.0
3797	1155.0	1260.0
100873477	0.0	1.0
3798	139.0	30.0
100873476	0.0	0.0
3799	11687.0	17663.0
100873460	0.0	0.0
728586	36.0	19.0
285641	0.0	0.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	2.0	4.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2228.0	3535.0
1153	29895.0	18526.0
1152	1762.0	2732.0
285647	18.0	38.0
728589	18.0	22.0
728588	0.0	19.0
1149	1113.0	0.0
1147	1412.0	2048.0
1146	1.0	2.0
1145	71.0	56.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	519.0	1630.0
1163	1415.0	2302.0
285659	0.0	0.0
1161	496.0	692.0
1160	215.0	45.0
1159	92.0	12.0
1158	2.0	2.0
1157	0.0	0.0
1155	2759.0	4596.0
550643	966.0	826.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1795.0	3657.0
1175	3468.0	5632.0
285668	6.0	2.0
1174	2873.0	4772.0
1173	15513.0	25122.0
550631	126.0	339.0
100873489	0.0	0.0
283014	16.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	52.0	17.0
1186	4900.0	8718.0
1185	1444.0	905.0
1184	521.0	997.0
1183	296.0	235.0
1182	6339.0	9183.0
1181	309.0	470.0
440375	63.0	50.0
1180	76.0	7.0
1179	0.0	0.0
1178	5.0	0.0
283089	11.0	4.0
85495	0.0	0.0
85480	157.0	6.0
283080	0.0	0.0
1198	2555.0	1557.0
1197	1.0	0.0
1196	2009.0	1684.0
1195	3497.0	2313.0
440366	11.0	7.0
1193	1057.0	431.0
1192	17581.0	29675.0
1191	58722.0	56955.0
1188	29.0	4.0
283078	419.0	210.0
85486	7.0	10.0
128615	0.0	0.0
85481	33.0	17.0
128611	62.0	57.0
440396	35.0	42.0
128609	0.0	0.0
128602	1.0	1.0
440387	0.0	3.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	0.0
100861402	3.0	3.0
126014	30.0	226.0
440335	1774.0	3866.0
100128690	0.0	0.0
114034	964.0	893.0
126006	120.0	139.0
114036	22.0	43.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	49.0	18.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	2.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	169.0	114.0
440356	13.0	12.0
440354	95.0	105.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	15.0	6.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	13.0	7.0
100861435	1.0	1.0
100861436	0.0	0.0
440345	142.0	88.0
200734	2698.0	1786.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	3.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5054.0	8878.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	1.0
165530	37.0	13.0
85409	253.0	868.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	12.0	109.0
106481383	0.0	0.0
85417	43.0	210.0
106481384	0.0	0.0
103106903	6.0	0.0
85414	327.0	250.0
106481389	0.0	0.0
85415	3743.0	3259.0
106481387	0.0	0.0
85413	11.0	2.0
106481388	0.0	2.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	2.0
10	24.0	33.0
106481380	0.0	0.0
11	0.0	1.0
403341	656.0	670.0
12	216.0	185.0
13	28.0	1.0
14	9187.0	12927.0
15	1.0	4.0
16	10102.0	19796.0
645455	0.0	15.0
18	2138.0	1189.0
19	1516.0	3065.0
128580	18.0	3.0
85407	106.0	631.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2053.0	3260.0
106481395	0.0	0.0
85403	1549.0	2634.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	5123.0	10868.0
106481390	0.0	0.0
21	3954.0	5357.0
106481391	0.0	0.0
22	1644.0	1225.0
153571	786.0	378.0
153572	4189.0	861.0
23	5873.0	7523.0
24	410.0	1587.0
25	5550.0	7700.0
26	29.0	32.0
27	1600.0	3299.0
28	212.0	23.0
29	4703.0	5020.0
153579	1493.0	78.0
728615	0.0	0.0
728614	0.0	0.0
200765	356.0	249.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	20.0	16.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	2.0
85439	664.0	497.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4059.0	5121.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	189.0	61.0
106481366	0.0	0.0
30	2892.0	1921.0
106481360	0.0	0.0
31	5187.0	6603.0
32	5292.0	315.0
33	163.0	1.0
34	3058.0	3281.0
35	1611.0	259.0
153562	2043.0	3993.0
36	9283.0	10686.0
37	12381.0	9490.0
38	3512.0	2901.0
440307	7.0	6.0
39	1439.0	1439.0
165545	36.0	42.0
106481369	0.0	0.0
728606	26.0	3.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	19.0	2.0
106481370	0.0	0.0
41	762.0	392.0
106481371	0.0	0.0
43	78.0	26.0
645486	0.0	0.0
47	10116.0	18342.0
48	4164.0	4439.0
49	58.0	89.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	2.0
106481340	0.0	0.0
85458	2613.0	1478.0
