id	57b2e9d8-ddae-4457-9959-0d911288e8dc	4dddb0ad-1c56-4100-9f5e-a0e9722a12f9
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	4.0	2.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	752.0	16.0
107131122	0.0	0.0
138050	5713.0	2669.0
403219	0.0	0.0
151011	2835.0	2502.0
645587	1.0	1.0
165679	83.0	1159.0
126037	39.0	34.0
114049	3028.0	5480.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	679.0	428.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1129.0	1152.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	154.0	68.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	54.0	2.0
645598	0.0	2.0
163007	6.0	6.0
114038	2.0	1.0
645591	1.0	1.0
106481495	0.0	0.0
114041	71.0	239.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	87.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	129.0	137.0
126017	311.0	741.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	1464.0	1263.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	457.0	269.0
106481459	0.0	0.0
26994	4245.0	7431.0
106481457	0.0	9.0
26995	1874.0	1688.0
106481458	0.0	0.0
403271	0.0	0.0
26998	5.0	23.0
403272	0.0	1.0
102466659	0.0	0.0
26999	856.0	2119.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	6.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2236.0	1725.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2257.0	38.0
106481472	0.0	0.0
106481477	3.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	1.0
85320	322.0	8.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	402.0	589.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	3.0
106481437	0.0	0.0
26974	140.0	103.0
153657	18.0	8.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	603.0	1812.0
165631	221.0	215.0
106481436	2.0	0.0
26978	5.0	9.0
126075	866.0	441.0
106481439	0.0	0.0
403250	0.0	0.0
126074	205.0	140.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2037.0	1145.0
106481444	2.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4252.0	603.0
85354	0.0	0.0
85352	22.0	76.0
403241	3.0	0.0
344462	0.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	275.0	199.0
153643	7.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	2030.0	1908.0
106481448	0.0	0.0
26986	48954.0	66485.0
126069	81.0	68.0
106481449	0.0	0.0
126068	372.0	376.0
106481446	0.0	0.0
26983	0.0	0.0
26984	802.0	616.0
106481447	0.0	0.0
106481451	1.0	5.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	103.0	68.0
106481455	0.0	0.0
85349	55.0	94.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	4.0	12.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	5.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1687.0	2623.0
100873390	0.0	0.0
728556	28.0	83.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	40.0	52.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	215.0	498.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	53.0	64.0
100873384	0.0	0.0
285601	50.0	13.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	1.0	5.0
63910	477.0	317.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	208.0	247.0
222008	2.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3170.0	1736.0
63904	0.0	0.0
106481430	0.0	0.0
163071	23.0	26.0
63906	912.0	624.0
106481433	0.0	0.0
63908	529.0	709.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	66.0	131.0
63920	266.0	252.0
63923	1192.0	56.0
63922	539.0	847.0
728577	88.0	20.0
63925	1464.0	1354.0
63924	19608.0	3.0
63916	2614.0	3048.0
63917	3294.0	2200.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	4.0
728564	4.0	6.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1310.0	1790.0
106481402	0.0	0.0
63931	1232.0	1094.0
106481403	0.0	0.0
63934	306.0	479.0
728567	3.0	4.0
106481408	0.0	0.0
163088	7.0	6.0
63933	1658.0	2523.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2948.0	2355.0
163087	474.0	313.0
728568	289.0	247.0
106481407	8.0	12.0
3704	2522.0	2304.0
3705	7684.0	2928.0
63926	300.0	1111.0
3706	20.0	32.0
63929	816.0	740.0
3707	4683.0	1305.0
63928	5.0	0.0
3708	2177.0	2342.0
106481411	0.0	0.0
3709	2218.0	1825.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	33.0	16.0
3702	127.0	579.0
3703	6186.0	13603.0
645506	0.0	2.0
151050	490.0	268.0
645520	0.0	0.0
63941	1160.0	574.0
63940	3274.0	2009.0
63943	420.0	1035.0
728517	0.0	0.0
163033	580.0	553.0
258010	621.0	843.0
63947	1.0	0.0
63946	1.0	0.0
728513	18.0	0.0
100033803	0.0	0.0
3716	10286.0	10090.0
100033804	0.0	0.0
3717	1002.0	2625.0
100033805	0.0	0.0
3718	579.0	1756.0
63939	635.0	895.0
100033806	0.0	0.0
100190799	2.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	71.0	39.0
3710	1545.0	4391.0
3712	3999.0	2831.0
3713	1.0	3203.0
3714	3189.0	761.0
63950	0.0	28.0
728505	0.0	1.0
63951	61.0	76.0
100033807	0.0	0.0
728501	57.0	18.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12167.0	6311.0
100033814	0.0	0.0
3727	9198.0	4391.0
63948	0.0	0.0
100033815	0.0	0.0
222052	3.0	0.0
3728	12958.0	18162.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1167.0	1969.0
151056	590.0	906.0
3725	27617.0	7320.0
645528	14.0	4.0
728532	19.0	43.0
163059	226.0	259.0
728538	0.0	1.0
728537	139.0	95.0
63967	86.0	566.0
3737	48.0	5.0
3738	24.0	82.0
3739	16.0	1.0
645538	0.0	0.0
3730	616.0	1356.0
3732	5243.0	7715.0
3734	0.0	0.0
3735	6616.0	12179.0
3736	102.0	21.0
63970	401.0	17.0
3750	326.0	83.0
63971	3248.0	2405.0
63974	1.0	0.0
163049	1254.0	1400.0
63973	40.0	2.0
63976	122.0	37.0
222068	3826.0	5803.0
63978	0.0	0.0
63977	490.0	526.0
63979	466.0	911.0
728524	0.0	0.0
3748	330.0	1218.0
163051	42.0	29.0
3749	1171.0	1269.0
163050	24.0	33.0
3741	41.0	4.0
645548	3.0	10.0
3743	2.0	6.0
3744	6.0	0.0
3745	1110.0	410.0
3746	12.0	0.0
3747	6.0	0.0
285671	278.0	135.0
285672	1033.0	878.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	0.0
285676	61.0	190.0
3761	1.0	2.0
100128657	0.0	0.0
285679	1.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	529.0	2094.0
283008	0.0	0.0
3751	156.0	98.0
100873435	0.0	0.0
3752	653.0	60.0
100873434	0.0	0.0
3753	175.0	14.0
100873433	0.0	0.0
3754	89.0	7.0
100873432	0.0	0.0
3755	54.0	109.0
100873439	0.0	0.0
3756	13.0	4.0
100873438	0.0	0.0
3757	84.0	16.0
100873437	0.0	0.0
3758	7.0	6.0
100873436	0.0	0.0
100873420	4.0	0.0
3770	108.0	117.0
3772	130.0	126.0
100861458	0.0	0.0
100861453	21.0	12.0
100861455	0.0	0.0
1107	8174.0	7617.0
1106	3600.0	2528.0
1105	1213.0	1880.0
1104	1576.0	2539.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1420.0	1105.0
1101	239.0	30.0
3762	2785.0	294.0
100873424	0.0	1.0
3763	0.0	31.0
100128640	77.0	115.0
100873423	0.0	0.0
3764	1568.0	177.0
100873422	0.0	0.0
3765	3.0	8.0
100873421	0.0	1.0
3766	9.0	99.0
100873428	0.0	0.0
3767	212.0	19.0
100873427	0.0	0.0
3768	297.0	27.0
1109	7.0	1.0
100873426	0.0	1.0
1108	9608.0	12946.0
3769	5.0	2.0
100873425	1.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	36.0	54.0
100873453	0.0	0.0
3781	32.0	22.0
100873452	0.0	0.0
3782	151.0	157.0
100873451	0.0	0.0
3783	2875.0	2390.0
100873450	0.0	0.0
1121	702.0	901.0
100861468	0.0	0.0
1120	421.0	123.0
100861469	0.0	0.0
1118	7720.0	123.0
1117	1734.0	14786.0
1116	15037.0	10021.0
1114	10.0	1.0
1113	46.0	2.0
1112	3717.0	2691.0
1111	352.0	1093.0
3773	103.0	4.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	270.0	825.0
100873455	0.0	0.0
3776	309.0	122.0
100873454	0.0	0.0
3777	324.0	197.0
3778	1488.0	316.0
3779	2549.0	245.0
100873459	0.0	0.0
1119	1899.0	818.0
100128627	3.0	4.0
100128626	0.0	0.0
3790	408.0	276.0
100128628	0.0	1.0
3791	3080.0	1406.0
100873442	0.0	0.0
3792	55.0	23.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	2.0
1131	77.0	1210.0
1130	1527.0	1242.0
100861476	0.0	0.0
1129	0.0	1.0
1128	290.0	26.0
1124	210.0	128.0
1123	504.0	1470.0
1122	381.0	564.0
100861470	0.0	0.0
3784	1294.0	2625.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	113.0	267.0
100873444	0.0	0.0
3787	166.0	222.0
100873443	0.0	0.0
3788	33.0	1.0
100873449	1.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	371.0	44.0
100128618	2.0	0.0
728597	0.0	0.0
100128617	2.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	44.0	194.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	6.0
285634	2.0	4.0
1142	1.0	0.0
1141	41.0	16.0
285636	1093.0	1562.0
1140	631.0	523.0
728599	1.0	3.0
1139	9.0	8.0
1138	36.0	95.0
1137	3.0	0.0
100861485	0.0	0.0
1136	16.0	8.0
1135	21.0	4.0
1134	20.0	55.0
1133	11.0	5.0
3795	471.0	238.0
100873479	5.0	2.0
3796	688.0	1474.0
100873478	0.0	0.0
3797	699.0	489.0
100873477	0.0	0.0
3798	63.0	21.0
100873476	0.0	0.0
3799	5653.0	6138.0
100873460	0.0	0.0
728586	17.0	16.0
285641	2.0	0.0
100873464	1.0	7.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1019.0	2908.0
1153	19057.0	3808.0
1152	2855.0	234.0
285647	1.0	15.0
728589	9.0	9.0
728588	0.0	0.0
1149	3167.0	1.0
1147	872.0	1086.0
1146	0.0	6.0
1145	54.0	26.0
1144	1.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	1.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	418.0	1869.0
1163	965.0	1336.0
285659	1.0	0.0
1161	357.0	399.0
1160	247.0	11.0
1159	79.0	460.0
1158	14.0	13.0
1157	0.0	0.0
1155	2767.0	1872.0
550643	1196.0	1576.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2806.0	1971.0
1175	4715.0	3845.0
285668	21.0	3.0
1174	1766.0	4320.0
1173	18700.0	15590.0
550631	127.0	85.0
100873489	0.0	0.0
283014	7.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	50.0	25.0
1186	3735.0	2597.0
1185	1318.0	926.0
1184	399.0	934.0
1183	486.0	950.0
1182	2502.0	4631.0
1181	220.0	345.0
440375	16.0	40.0
1180	28.0	3.0
1179	1.0	0.0
1178	7.0	4.0
283089	4.0	2.0
85495	0.0	0.0
85480	162.0	11.0
283080	0.0	1.0
1198	2657.0	1541.0
1197	2.0	4.0
1196	2137.0	2337.0
1195	4771.0	2434.0
440366	2.0	0.0
1193	1749.0	740.0
1192	21492.0	22491.0
1191	79400.0	66204.0
1188	55.0	7.0
283078	128.0	153.0
85486	3.0	17.0
128615	0.0	0.0
85481	0.0	0.0
128611	71.0	180.0
440396	58.0	61.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	1.0
128674	0.0	0.0
128676	1.0	0.0
114026	1.0	0.0
100861402	0.0	2.0
126014	891.0	647.0
440335	473.0	789.0
100128690	0.0	0.0
114034	598.0	674.0
126006	56.0	14.0
114036	75.0	3.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	52.0	37.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	27.0
200728	173.0	82.0
440356	5.0	2.0
440354	63.0	33.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	21.0	6.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	8.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	149.0	123.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	133.0	119.0
200734	1861.0	1408.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	14.0	8.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2887.0	2478.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	1.0	6.0
165530	43.0	0.0
85409	209.0	298.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	2.0	2.0
106481383	2.0	2.0
85417	32.0	28.0
106481384	0.0	2.0
103106903	0.0	1.0
85414	503.0	159.0
106481389	0.0	0.0
85415	658.0	781.0
106481387	0.0	0.0
85413	82.0	5.0
106481388	0.0	1.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	8.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	762.0	834.0
12	82.0	355.0
13	881.0	45.0
14	6145.0	5151.0
15	11.0	4.0
16	6761.0	6690.0
645455	3.0	8.0
18	627.0	616.0
19	2816.0	3010.0
128580	15.0	4.0
85407	64.0	60.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	880.0	630.0
106481395	0.0	1.0
85403	948.0	1650.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3464.0	3079.0
106481390	0.0	0.0
21	2289.0	662.0
106481391	0.0	0.0
22	1059.0	1428.0
153571	433.0	204.0
153572	2026.0	418.0
23	3989.0	6002.0
24	64.0	130.0
25	6779.0	6339.0
26	18.0	38.0
27	1524.0	2203.0
28	340.0	27.0
29	6766.0	4413.0
153579	10381.0	9.0
728615	0.0	0.0
728614	0.0	0.0
200765	176.0	220.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	46.0	12.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	676.0	769.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1934.0	1473.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	215.0	67.0
106481366	0.0	0.0
30	3529.0	2900.0
106481360	0.0	0.0
31	2405.0	3566.0
32	12843.0	399.0
33	411.0	22.0
34	1891.0	1157.0
35	3435.0	509.0
153562	366.0	1039.0
36	1553.0	377.0
37	27275.0	7123.0
38	5822.0	1958.0
440307	13.0	1.0
39	873.0	247.0
165545	4.0	11.0
106481369	0.0	0.0
728606	8.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	5.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	39.0	3.0
106481370	0.0	0.0
41	546.0	47.0
106481371	0.0	0.0
43	53.0	223.0
645486	0.0	0.0
47	5103.0	7149.0
48	7174.0	2790.0
49	10.0	3.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	4.0	5.0
106481340	0.0	0.0
85458	2045.0	539.0
106481345	0.0	0.0
85459	264.0	682.0
106481346	0.0	0.0
85456	16415.0	10147.0
