id	05eb3daf-d392-4ede-87d6-8f0aef8b6372	8d13e259-238e-4d2f-b9d3-4cffd4302abb
285550	2068.0	722.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	7.0
3640	48.0	10.0
3638	3523.0	2504.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2750.0	1723.0
100873313	0.0	1.0
3632	1855.0	2244.0
100873312	6.0	2.0
100873311	0.0	0.0
3633	2689.0	1083.0
100873318	0.0	0.0
3635	4484.0	1310.0
100873317	0.0	0.0
3636	6452.0	4629.0
100128771	130.0	28.0
100873316	6.0	1.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	23.0	15.0
2	72409.0	115017.0
100873309	0.0	0.0
100873308	0.0	0.0
3	24.0	17.0
3641	1.0	0.0
100873303	0.0	0.0
9	266.0	293.0
3642	4.0	0.0
100873302	0.0	0.0
3643	12834.0	9561.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	139.0	77.0
100873307	0.0	0.0
3646	46336.0	14046.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	443.0	55.0
100873304	1.0	0.0
100873332	5.0	2.0
3660	3361.0	1811.0
100873331	0.0	0.0
3661	2192.0	1630.0
100873330	2.0	0.0
285577	8.0	0.0
3662	960.0	285.0
100128756	0.0	0.0
1000	69.0	876.0
3652	1659.0	557.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	123.0	26.0
3654	6460.0	4630.0
100873334	0.0	0.0
3655	28746.0	6793.0
100873333	0.0	0.0
3656	555.0	215.0
100873339	0.0	0.0
3658	6650.0	2806.0
100873338	0.0	0.0
3659	2970.0	1874.0
100873337	0.0	0.0
3670	38.0	45.0
100873321	0.0	0.0
3671	8062.0	22173.0
100873320	0.0	0.0
3672	6310.0	15876.0
285588	3.0	0.0
3673	9680.0	3571.0
1011	0.0	0.0
1010	40.0	6.0
1008	4.0	1.0
1007	0.0	0.0
1006	704.0	66.0
1005	0.0	0.0
1004	303.0	1695.0
1003	2748.0	7084.0
1002	374.0	64.0
1001	15879.0	3193.0
3663	365.0	370.0
100873325	0.0	0.0
3664	15325.0	4982.0
100873324	0.0	0.0
3665	540.0	571.0
100873323	0.0	0.0
100873322	1.0	0.0
3667	13002.0	2815.0
100873329	0.0	0.0
285590	9853.0	17770.0
100873328	0.0	0.0
3669	1341.0	1110.0
100873327	0.0	0.0
1009	5162.0	57068.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	8.0	1.0
728477	11.0	0.0
3680	3918.0	2820.0
3681	13.0	70.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	748.0	842.0
100873353	0.0	0.0
3683	947.0	589.0
100873352	0.0	0.0
128710	623.0	484.0
3684	394.0	504.0
100873351	0.0	0.0
285512	160.0	32.0
1022	1938.0	1035.0
285513	1025.0	1301.0
1021	6535.0	2941.0
1020	449.0	763.0
440299	1.0	0.0
1019	4270.0	11342.0
128709	0.0	0.0
1018	36.0	3.0
1017	2351.0	1260.0
1016	1.0	3.0
1015	53.0	63.0
1014	2.0	21.0
1013	9.0	10.0
1012	1676.0	2518.0
116730	121.0	94.0
3674	84.0	17.0
100873358	0.0	0.0
3675	10125.0	2539.0
100873357	1.0	0.0
3676	950.0	1265.0
100128731	5161.0	10371.0
100873356	0.0	0.0
3678	3315.0	15101.0
3679	3012.0	688.0
100873359	0.0	0.0
728464	94.0	218.0
728463	85.0	6.0
100128725	0.0	0.0
3690	271.0	307.0
3691	17772.0	4986.0
100873343	0.0	0.0
3692	5548.0	5677.0
3693	16057.0	34075.0
285521	1311.0	1235.0
100873342	0.0	0.0
3694	9699.0	4865.0
100873341	0.0	0.0
3695	213.0	78.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	51.0	292.0
1032	192.0	517.0
285525	5.0	0.0
1031	2085.0	869.0
285527	5559.0	2582.0
1030	536.0	6809.0
728468	0.0	0.0
440288	225.0	56.0
1029	67.0	1138.0
440295	164.0	29.0
1028	2155.0	1156.0
1027	6299.0	2765.0
1026	10895.0	7142.0
1025	3307.0	2117.0
1024	707.0	858.0
3685	8663.0	21735.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	507.0	1015.0
100873345	0.0	0.0
3688	37581.0	63541.0
100873344	0.0	0.0
3689	1590.0	2541.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	3.0	0.0
100873370	0.0	1.0
728498	22.0	13.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	32.0	15.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	178.0	125.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	15.0	16.0
1043	383.0	484.0
1041	6.0	0.0
1040	3072.0	871.0
1039	3197.0	4487.0
1038	6.0	9.0
1036	1074.0	461.0
3696	5127.0	819.0
3697	2.0	0.0
