id	b07b373c-29e1-4e88-a3a9-783568cc12eb	f8c2f22d-5254-46c1-9b7d-429e5ac2854e
285550	2150.0	868.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	13.0
3640	1.0	2.0
3638	3673.0	7577.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2358.0	1947.0
100873313	0.0	2.0
3632	3164.0	2477.0
100873312	1.0	9.0
100873311	0.0	0.0
3633	1585.0	1563.0
100873318	0.0	6.0
3635	1640.0	441.0
100873317	0.0	0.0
3636	4802.0	11265.0
100128771	91.0	88.0
100873316	13.0	17.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	2.0
1	5.0	44.0
2	126958.0	14237.0
100873309	0.0	0.0
100873308	0.0	0.0
3	69.0	3.0
3641	3.0	0.0
100873303	0.0	0.0
9	278.0	123580.0
3642	14.0	43.0
100873302	0.0	1.0
3643	9933.0	10314.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	21.0	31.0
100873307	0.0	0.0
3646	18581.0	27224.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	61.0	91.0
100873304	0.0	0.0
100873332	8.0	0.0
3660	2662.0	4246.0
100873331	0.0	0.0
3661	1526.0	1752.0
100873330	0.0	1.0
285577	1.0	0.0
3662	238.0	8.0
100128756	0.0	0.0
1000	17.0	521.0
3652	1427.0	1615.0
100873336	0.0	0.0
100873335	0.0	1.0
100128750	313.0	160.0
3654	4994.0	10122.0
100873334	0.0	0.0
3655	15072.0	1749.0
100873333	2.0	0.0
3656	1349.0	315.0
100873339	0.0	0.0
3658	5984.0	4251.0
100873338	0.0	0.0
3659	2342.0	3815.0
100873337	1.0	0.0
3670	0.0	1.0
100873321	0.0	0.0
3671	10559.0	12432.0
100873320	0.0	0.0
3672	27956.0	3264.0
285588	2.0	0.0
3673	524.0	5676.0
1011	0.0	0.0
1010	13.0	21.0
1008	11.0	2.0
1007	0.0	0.0
1006	33.0	19.0
1005	11.0	19.0
1004	1013.0	282.0
1003	23195.0	1243.0
1002	10.0	49.0
1001	8.0	3753.0
3663	474.0	832.0
100873325	0.0	0.0
3664	320.0	21281.0
100873324	0.0	0.0
3665	385.0	992.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4373.0	3224.0
100873329	0.0	0.0
285590	4771.0	8474.0
100873328	0.0	0.0
