id	57cbdd69-7be9-4865-86dd-82bfb0ea803d	4791874c-5ef8-4fbf-8085-055a28057529
285550	1039.0	2009.0
100873310	0.0	0.0
100128777	0.0	2.0
285555	17.0	117.0
3640	8.0	2.0
3638	2945.0	6050.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1488.0	2331.0
100873313	0.0	0.0
3632	1794.0	1081.0
100873312	0.0	8.0
100873311	0.0	1.0
3633	989.0	1884.0
100873318	0.0	19.0
3635	956.0	350.0
100873317	0.0	0.0
3636	5327.0	10188.0
100128771	72.0	76.0
100873316	14.0	0.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	11.0	30.0
2	68525.0	15976.0
100873309	0.0	0.0
100873308	0.0	6.0
3	29.0	38.0
3641	0.0	3.0
100873303	0.0	0.0
9	565.0	1236.0
3642	5.0	3.0
100873302	0.0	0.0
3643	8407.0	30707.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	14.0	8.0
100873307	0.0	0.0
3646	16097.0	29134.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	97.0	163.0
100873304	0.0	1.0
100873332	3.0	0.0
3660	1497.0	2087.0
100873331	0.0	1.0
3661	1302.0	1163.0
100873330	0.0	0.0
285577	11.0	5.0
3662	186.0	22.0
100128756	0.0	1.0
1000	46.0	154.0
3652	928.0	2678.0
100873336	0.0	20.0
100873335	0.0	0.0
100128750	145.0	26.0
3654	4895.0	2823.0
100873334	0.0	4.0
3655	10131.0	5548.0
100873333	0.0	2.0
3656	215.0	355.0
100873339	0.0	0.0
3658	3908.0	6640.0
100873338	0.0	0.0
3659	1152.0	553.0
100873337	0.0	0.0
3670	0.0	3.0
100873321	0.0	7.0
3671	8394.0	694.0
100873320	0.0	4.0
3672	10035.0	5354.0
285588	1.0	0.0
3673	2614.0	7670.0
1011	0.0	0.0
1010	14.0	7.0
1008	2.0	2.0
1007	0.0	5.0
1006	23.0	62.0
1005	4.0	7.0
1004	404.0	1006.0
