id	c18ab48c-9c87-46d5-ae3d-a97f7b3875c8	deaa56c1-8031-4c65-b3bc-1228407e06ea
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2102.0	1255.0
285547	0.0	0.0
1053	5.0	9.0
285548	2.0	20.0
1052	3343.0	886.0
1051	2833.0	2294.0
728489	7.0	6.0
1050	679.0	273.0
100128707	1.0	0.0
1048	13.0	519.0
1047	91.0	75.0
1046	0.0	0.0
1045	0.0	0.0
100873369	17.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	6.0
1066	1255.0	511.0
1063	699.0	2058.0
1062	184.0	241.0
1061	2.0	1.0
1060	1623.0	901.0
440253	132.0	126.0
1059	4001.0	5735.0
1058	57.0	67.0
1057	1.0	0.0
85379	11163.0	2133.0
114112	665.0	376.0
1056	84.0	26.0
85377	3463.0	1032.0
85378	3837.0	1104.0
128745	0.0	0.0
85376	5.0	0.0
440248	876.0	158.0
1075	3883.0	1478.0
1074	16.0	23.0
1073	1207.0	613.0
1072	22298.0	29585.0
1071	68.0	183.0
440243	0.0	0.0
1070	639.0	681.0
1069	1646.0	3127.0
1068	0.0	0.0
85369	1909.0	1160.0
85366	0.0	4.0
85364	921.0	1010.0
85365	1790.0	1678.0
85363	1605.0	655.0
85360	749.0	1475.0
1080	86.0	4.0
85391	2.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	422.0	471.0
1087	50.0	18.0
1086	2.0	2.0
440279	32.0	0.0
1085	2.0	4.0
1084	11.0	0.0
440278	122.0	117.0
1082	0.0	0.0
403294	0.0	0.0
440275	4470.0	2819.0
1081	3.0	2.0
85397	4.0	22.0
85395	461.0	360.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	6.0
440270	2018.0	366.0
1089	11.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	104.0	1.0
285598	836.0	513.0
126133	1934.0	840.0
128790	1.0	0.0
126129	183.0	223.0
126123	0.0	0.0
442862	0.0	0.0
126119	449.0	656.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	30.0	18.0
442897	0.0	0.0
442898	2.0	0.0
114134	827.0	329.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	2.0
100128788	93.0	113.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	3.0
442890	0.0	0.0
442891	1.0	1.0
442892	2.0	0.0
128756	0.0	0.0
100128782	153.0	116.0
100128781	0.0	0.0
403230	1.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	79.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	37.0	21.0
403227	0.0	1.0
403228	1.0	0.0
138046	4.0	0.0
645558	0.0	0.0
403229	6.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	6.0	1.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	640.0	743.0
107131122	0.0	1.0
138050	6685.0	5138.0
403219	0.0	0.0
151011	4294.0	2513.0
645587	0.0	1.0
165679	561.0	2955.0
126037	16.0	28.0
114049	2797.0	2856.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	429.0	422.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1784.0	1191.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	183.0	166.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	117.0	388.0
645598	0.0	0.0
163007	5.0	35.0
114038	3.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	48.0	39.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	4.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	238.0	131.0
126017	454.0	362.0
106481497	1.0	0.0
106481498	0.0	1.0
85303	0.0	0.0
85300	4.0	0.0
85301	2545.0	1120.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1449.0	883.0
106481459	0.0	0.0
26994	6723.0	4298.0
106481457	8.0	10.0
26995	1805.0	1500.0
106481458	0.0	0.0
403271	0.0	0.0
26998	7.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	779.0	1663.0
403273	0.0	0.0
102466658	7.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2288.0	1968.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	2.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	1.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	61.0	19.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	48071.0	1994.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	651.0	592.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	0.0
106481437	0.0	0.0
26974	192.0	328.0
153657	50.0	39.0
106481438	2.0	4.0
106481435	0.0	0.0
26973	1312.0	663.0
165631	166.0	30.0
106481436	0.0	0.0
26978	11.0	8.0
126075	767.0	687.0
106481439	1.0	0.0
403250	0.0	0.0
126074	208.0	169.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1361.0	1092.0
106481444	8.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3436.0	1209.0
85354	0.0	0.0
85352	66.0	393.0
403241	0.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	355.0	322.0
153643	32.0	22.0
403247	0.0	0.0
403248	0.0	0.0
26985	3410.0	2450.0
106481448	0.0	0.0
26986	55385.0	60797.0
126069	113.0	147.0
106481449	0.0	0.0
126068	522.0	442.0
106481446	0.0	0.0
26983	0.0	0.0
26984	726.0	543.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	444.0	108.0
106481455	0.0	1.0
85349	99.0	17.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	0.0	4.0
106481454	1.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	9.0	6.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	6.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	2.0
106481415	0.0	3.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2145.0	1630.0
100873390	0.0	0.0
728556	113.0	46.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	138.0	50.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	485.0	302.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	579.0	222.0
100873384	0.0	0.0
285601	23.0	10.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	0.0
63910	211.0	317.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	663.0	441.0
222008	376.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2107.0	2775.0
63904	0.0	0.0
106481430	3.0	0.0
163071	19.0	26.0
63906	829.0	542.0
106481433	0.0	0.0
63908	722.0	501.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	86.0	51.0
63920	289.0	286.0
63923	464.0	694.0
63922	572.0	370.0
728577	392.0	30.0
63925	1991.0	1405.0
63924	225.0	1.0
63916	2744.0	2509.0
63917	2555.0	2092.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	0.0
728564	1.0	3.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1232.0	972.0
106481402	0.0	0.0
63931	1238.0	1505.0
106481403	1.0	0.0
63934	652.0	396.0
728567	1.0	6.0
106481408	0.0	0.0
163088	4.0	5.0
63933	1984.0	1111.0
106481409	1.0	0.0
106481406	0.0	0.0
63935	2515.0	2363.0
163087	632.0	498.0
728568	344.0	242.0
106481407	9.0	6.0
3704	1505.0	2006.0
3705	2863.0	4158.0
63926	651.0	707.0
3706	2.0	18.0
63929	1228.0	700.0
3707	3307.0	2090.0
63928	4.0	0.0
3708	6764.0	2283.0
106481411	2.0	2.0
3709	8254.0	1989.0
106481412	0.0	0.0
106481410	4.0	0.0
3700	30.0	5.0
3702	241.0	44.0
3703	7593.0	8237.0
645506	1.0	0.0
151050	944.0	369.0
645520	0.0	0.0
63941	695.0	1263.0
63940	847.0	755.0
63943	226.0	332.0
728517	0.0	0.0
163033	295.0	435.0
258010	1780.0	1200.0
63947	0.0	0.0
63946	45.0	0.0
728513	2.0	3.0
100033803	0.0	0.0
3716	11404.0	9424.0
100033804	0.0	0.0
3717	1277.0	757.0
100033805	0.0	0.0
3718	923.0	321.0
63939	727.0	802.0
100033806	0.0	0.0
100190799	12.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	86.0	53.0
3710	6829.0	2754.0
3712	15402.0	3517.0
3713	4.0	13.0
3714	3169.0	1240.0
63950	0.0	0.0
728505	0.0	0.0
63951	63.0	14.0
100033807	0.0	0.0
728501	21.0	35.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4399.0	14355.0
100033814	0.0	0.0
3727	8824.0	6028.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	1.0
3728	22864.0	27050.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2077.0	1268.0
151056	241.0	197.0
3725	27525.0	19043.0
645528	0.0	0.0
728532	16.0	23.0
163059	346.0	238.0
728538	0.0	0.0
728537	268.0	83.0
63967	89.0	62.0
3737	20.0	1.0
3738	70.0	8.0
3739	0.0	1.0
645538	0.0	0.0
3730	984.0	830.0
3732	5151.0	2849.0
3734	0.0	0.0
3735	5496.0	4111.0
3736	424.0	1.0
63970	223.0	5.0
3750	259.0	141.0
63971	4826.0	2969.0
63974	0.0	0.0
163049	2370.0	1700.0
63973	58.0	0.0
63976	202.0	48.0
222068	4951.0	4628.0
63978	0.0	0.0
63977	748.0	401.0
63979	534.0	369.0
728524	0.0	0.0
3748	1002.0	898.0
163051	28.0	23.0
3749	2273.0	644.0
163050	59.0	32.0
3741	39.0	15.0
645548	8.0	11.0
3743	3.0	1.0
3744	0.0	0.0
3745	511.0	17.0
3746	14.0	2.0
3747	46.0	1.0
285671	612.0	297.0
285672	1268.0	1352.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	90.0	745.0
285676	122.0	30.0
3761	1.0	0.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	444.0	711.0
283008	10.0	1.0
3751	179.0	778.0
100873435	0.0	0.0
3752	1446.0	673.0
100873434	0.0	0.0
3753	23.0	1.0
100873433	0.0	0.0
3754	18.0	430.0
100873432	0.0	0.0
3755	61.0	8.0
100873439	0.0	0.0
3756	14.0	371.0
100873438	0.0	0.0
3757	55.0	14.0
100873437	0.0	0.0
3758	2.0	0.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	123.0	52.0
3772	103.0	287.0
100861458	1.0	0.0
100861453	19.0	10.0
100861455	0.0	0.0
1107	10520.0	5110.0
1106	7318.0	3710.0
1105	3742.0	2084.0
1104	1861.0	2051.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1022.0	547.0
1101	416.0	775.0
3762	598.0	347.0
100873424	0.0	0.0
3763	13.0	65.0
100128640	119.0	85.0
100873423	0.0	0.0
3764	330.0	875.0
100873422	0.0	0.0
3765	4.0	0.0
100873421	3.0	0.0
3766	7.0	14.0
100873428	0.0	0.0
3767	489.0	703.0
100873427	0.0	0.0
3768	113.0	46.0
1109	3.0	0.0
100873426	0.0	0.0
1108	14560.0	10838.0
3769	12.0	4.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	27.0	24.0
100873453	0.0	0.0
3781	32.0	49.0
100873452	0.0	0.0
3782	527.0	492.0
100873451	0.0	0.0
3783	3136.0	2062.0
100873450	0.0	0.0
1121	1457.0	922.0
100861468	0.0	0.0
1120	225.0	62.0
100861469	0.0	0.0
1118	11220.0	222.0
1117	1261.0	463.0
1116	14249.0	2093.0
1114	30.0	2.0
1113	15.0	2.0
1112	4052.0	1720.0
1111	343.0	397.0
3773	202.0	5.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	958.0	4580.0
100873455	0.0	0.0
3776	1007.0	470.0
100873454	0.0	0.0
3777	251.0	75.0
3778	3684.0	408.0
3779	1967.0	316.0
100873459	0.0	0.0
1119	2276.0	706.0
100128627	6.0	0.0
100128626	0.0	0.0
3790	1027.0	3496.0
100128628	6.0	6.0
3791	2532.0	2198.0
100873442	0.0	0.0
3792	92.0	24.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	9.0
1131	204.0	35.0
1130	2769.0	1461.0
100861476	0.0	0.0
1129	3.0	0.0
1128	352.0	20.0
1124	215.0	136.0
1123	691.0	882.0
1122	1048.0	2023.0
100861470	0.0	0.0
3784	690.0	705.0
100873446	0.0	0.0
3785	5.0	5.0
100873445	0.0	0.0
3786	117.0	1032.0
100873444	0.0	0.0
3787	76.0	5.0
100873443	0.0	0.0
3788	28.0	6.0
100873449	5.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	254.0	69.0
100128618	1.0	2.0
728597	1.0	0.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	117.0	25.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	10.0	0.0
285634	4.0	1.0
1142	0.0	0.0
1141	181.0	12.0
285636	2212.0	1864.0
1140	376.0	254.0
728599	2.0	0.0
1139	54.0	9.0
1138	42.0	11.0
1137	1.0	0.0
100861485	1.0	0.0
1136	8.0	53.0
1135	660.0	0.0
1134	78.0	172.0
1133	21.0	16.0
3795	201.0	111.0
100873479	8.0	1.0
3796	1557.0	791.0
100873478	0.0	0.0
3797	1137.0	1162.0
100873477	0.0	0.0
3798	184.0	39.0
100873476	0.0	0.0
3799	9566.0	5140.0
100873460	0.0	0.0
728586	37.0	7.0
285641	1.0	0.0
100873464	3.0	3.0
100873463	0.0	2.0
100873462	0.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2449.0	7321.0
1153	15867.0	11816.0
1152	680.0	482.0
285647	21.0	11.0
728589	69.0	11.0
728588	597.0	2.0
1149	30.0	0.0
1147	1619.0	923.0
1146	1.0	2.0
1145	42.0	40.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	1.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	2.0	0.0
100873494	0.0	0.0
1164	193.0	556.0
1163	476.0	775.0
285659	0.0	0.0
1161	325.0	259.0
1160	139.0	77.0
1159	159.0	62.0
1158	4.0	7.0
1157	0.0	0.0
1155	1593.0	2178.0
550643	875.0	1238.0
283025	1.0	0.0
100873499	0.0	3.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1895.0	3180.0
1175	2126.0	2700.0
285668	9.0	0.0
1174	1660.0	2107.0
1173	11210.0	12413.0
550631	148.0	158.0
100873489	0.0	0.0
283014	7.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	1.0	0.0
1187	10.0	10.0
1186	3538.0	3004.0
1185	1465.0	843.0
1184	521.0	296.0
1183	366.0	77.0
1182	7160.0	3944.0
1181	320.0	329.0
440375	55.0	12.0
1180	32.0	5.0
1179	18.0	0.0
1178	0.0	0.0
283089	11.0	0.0
85495	0.0	0.0
85480	186.0	12.0
283080	0.0	0.0
1198	2741.0	1246.0
1197	0.0	1.0
1196	2141.0	2433.0
1195	7307.0	2144.0
440366	2.0	1.0
1193	889.0	292.0
1192	9924.0	12575.0
1191	188061.0	59186.0
1188	20.0	5.0
283078	26.0	4716.0
85486	5.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	89.0	4.0
440396	59.0	26.0
128609	0.0	0.0
128602	1.0	26.0
440387	0.0	0.0
128674	1.0	0.0
128676	1.0	1.0
114026	1.0	0.0
100861402	1.0	2.0
126014	227.0	441.0
440335	523.0	2586.0
100128690	0.0	0.0
114034	663.0	452.0
126006	108.0	207.0
114036	21.0	65.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	45.0	40.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	1.0
100128678	3.0	1.0
100861429	0.0	0.0
128653	5.0	13.0
200728	163.0	112.0
440356	4.0	24.0
440354	60.0	54.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	4.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	5.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	157.0	78.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	170.0	109.0
200734	5547.0	3659.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	9.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3164.0	3360.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	0.0
165530	103.0	3.0
85409	261.0	545.0
106481385	0.0	1.0
106481386	1.0	0.0
85416	2.0	0.0
106481383	8.0	0.0
85417	33.0	46.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	341.0	206.0
106481389	0.0	0.0
85415	2380.0	2114.0
106481387	0.0	0.0
85413	11.0	2.0
106481388	2.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	153.0	10.0
106481380	0.0	0.0
11	0.0	0.0
403341	648.0	548.0
12	427.0	243.0
13	132.0	0.0
14	5268.0	4644.0
15	9.0	4.0
16	6170.0	3969.0
645455	9.0	14.0
18	1916.0	6141.0
19	3257.0	1582.0
128580	4.0	9.0
85407	122.0	45.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1114.0	1076.0
106481395	1.0	0.0
85403	1722.0	1289.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4282.0	2957.0
106481390	0.0	0.0
21	10956.0	4780.0
106481391	0.0	0.0
22	1207.0	972.0
153571	758.0	2400.0
153572	4624.0	5186.0
23	4521.0	3035.0
24	176.0	264.0
25	7470.0	4085.0
26	17.0	12.0
27	2594.0	2935.0
28	552.0	215.0
29	6040.0	2670.0
153579	1283.0	32.0
728615	1.0	0.0
728614	0.0	0.0
200765	223.0	129.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	17.0	9.0
102466518	0.0	0.0
102466516	5.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	497.0	406.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1383.0	1671.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	295.0	164.0
106481366	0.0	0.0
30	3904.0	2225.0
106481360	1.0	0.0
31	22359.0	3442.0
32	2686.0	355.0
33	453.0	6.0
34	6516.0	1342.0
35	1048.0	348.0
153562	1666.0	1111.0
36	5449.0	3705.0
37	12256.0	5726.0
38	1844.0	1854.0
440307	7.0	5.0
39	1623.0	667.0
165545	4.0	52.0
106481369	0.0	0.0
728606	279.0	16.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	40.0	9.0
106481370	0.0	0.0
41	326.0	137.0
106481371	0.0	0.0
43	128.0	16.0
645486	0.0	0.0
47	20517.0	9152.0
48	2579.0	2095.0
49	22.0	2.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	9.0	5.0
106481340	2.0	0.0
85458	3090.0	1500.0
106481345	0.0	0.0
85459	1094.0	563.0
106481346	0.0	0.0
85456	15182.0	10894.0
