id	446db9e9-d5aa-48ba-a84d-cf6a7d8f8fc4	d6b9e128-8f20-43a1-9d16-b3e2b3d60e34
85340	0.0	1.0
100873394	0.0	9.0
100873393	0.0	3.0
100873392	6.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	2.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1301.0	1747.0
100873390	0.0	0.0
728556	22.0	46.0
106481419	0.0	0.0
100128817	0.0	1.0
728558	54.0	126.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	306.0	815.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	57.0	267.0
100873384	0.0	0.0
285601	13.0	1.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	1.0	4.0
63910	241.0	2119.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	286.0	663.0
222008	32.0	40693.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5343.0	6479.0
63904	0.0	0.0
106481430	1.0	1.0
163071	18.0	30.0
63906	1369.0	915.0
106481433	0.0	0.0
63908	417.0	1231.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	120.0	227.0
63920	240.0	401.0
63923	836.0	526.0
63922	824.0	2299.0
728577	56.0	3.0
63925	1938.0	3146.0
63924	9578.0	777.0
63916	2077.0	3532.0
63917	3522.0	4806.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	1.0
728564	11.0	12.0
285622	0.0	6.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2288.0	2710.0
106481402	0.0	0.0
63931	1669.0	2503.0
106481403	0.0	0.0
63934	525.0	1939.0
728567	5.0	4.0
106481408	0.0	0.0
163088	6.0	13.0
63933	1715.0	2934.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4975.0	6237.0
163087	591.0	1811.0
728568	382.0	947.0
106481407	10.0	6.0
3704	2909.0	2293.0
3705	6762.0	16939.0
63926	415.0	1679.0
3706	19.0	96.0
63929	961.0	1392.0
3707	2619.0	3149.0
63928	1.0	5.0
3708	4544.0	7683.0
106481411	0.0	0.0
3709	2443.0	1455.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	22.0	18.0
3702	104.0	108.0
3703	7580.0	7281.0
645506	0.0	0.0
151050	430.0	433.0
645520	0.0	0.0
63941	1818.0	9370.0
63940	1840.0	591.0
63943	728.0	457.0
728517	0.0	0.0
163033	1027.0	5182.0
258010	1836.0	4427.0
63947	0.0	0.0
63946	5.0	0.0
728513	10.0	2.0
100033803	0.0	0.0
3716	8429.0	9884.0
100033804	0.0	0.0
3717	608.0	2031.0
100033805	0.0	0.0
3718	696.0	196.0
63939	509.0	877.0
100033806	0.0	0.0
100190799	0.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	91.0	84.0
3710	1998.0	6512.0
3712	6543.0	8432.0
3713	0.0	1.0
3714	4307.0	3853.0
63950	2.0	2.0
728505	2.0	1.0
63951	77.0	8.0
100033807	0.0	0.0
728501	133.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	38212.0	7145.0
100033814	0.0	0.0
3727	53982.0	24765.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	35593.0	47662.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1035.0	2261.0
151056	528.0	69.0
3725	28705.0	6395.0
645528	5.0	0.0
728532	38.0	42.0
163059	365.0	437.0
728538	3.0	0.0
728537	174.0	155.0
63967	14.0	331.0
3737	9.0	1.0
3738	51.0	24.0
3739	5.0	0.0
645538	0.0	0.0
3730	564.0	8092.0
3732	7925.0	503.0
3734	0.0	0.0
3735	8803.0	4999.0
3736	40.0	7.0
63970	281.0	49.0
3750	293.0	105.0
63971	3199.0	3209.0
63974	0.0	0.0
163049	1868.0	1919.0
63973	58.0	3.0
63976	95.0	50.0
222068	6280.0	12853.0
63978	0.0	0.0
63977	433.0	951.0
63979	346.0	638.0
728524	0.0	0.0
3748	652.0	89.0
163051	60.0	36.0
3749	1580.0	404.0
163050	29.0	92.0
3741	31.0	54.0
645548	2.0	38.0
3743	5.0	1.0
3744	0.0	0.0
3745	384.0	85.0
3746	116.0	196.0
3747	426.0	23890.0
285671	399.0	263.0
285672	1239.0	1090.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	85.0
285676	67.0	60.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	295.0	148.0
283008	0.0	0.0
3751	117.0	223.0
100873435	0.0	0.0
3752	694.0	3911.0
100873434	0.0	0.0
3753	77.0	10.0
100873433	0.0	0.0
3754	109.0	10.0
100873432	0.0	0.0
3755	262.0	12.0
100873439	0.0	0.0
3756	10.0	123.0
100873438	0.0	0.0
3757	143.0	712.0
100873437	0.0	0.0
3758	3.0	2.0
100873436	0.0	0.0
100873420	3.0	1.0
3770	201.0	103.0
3772	67.0	11.0
100861458	0.0	0.0
100861453	8.0	12.0
100861455	0.0	0.0
1107	11529.0	25275.0
1106	3766.0	7281.0
1105	1611.0	3558.0
1104	2357.0	2149.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1032.0	416.0
1101	1181.0	98.0
3762	612.0	358.0
100873424	0.0	0.0
3763	9.0	81.0
100128640	171.0	187.0
100873423	0.0	0.0
3764	737.0	329.0
100873422	0.0	0.0
3765	3.0	6.0
100873421	0.0	0.0
3766	6.0	18.0
100873428	0.0	0.0
3767	748.0	2175.0
100873427	0.0	0.0
3768	176.0	102.0
1109	0.0	0.0
100873426	2.0	2.0
1108	13071.0	20994.0
3769	10.0	0.0
100873425	1.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	63.0	3.0
100873453	0.0	0.0
3781	31.0	92.0
100873452	0.0	0.0
3782	121.0	351.0
100873451	0.0	0.0
3783	5395.0	129.0
100873450	0.0	0.0
1121	667.0	1888.0
100861468	0.0	0.0
1120	386.0	167.0
100861469	0.0	1.0
1118	1266.0	103.0
1117	3277.0	38.0
1116	34537.0	260.0
1114	67.0	1115.0
1113	80.0	16.0
1112	2130.0	2588.0
1111	281.0	369.0
3773	296.0	3.0
100873457	1.0	1.0
100873456	0.0	1.0
3775	995.0	965.0
100873455	0.0	0.0
3776	1106.0	16.0
100873454	0.0	0.0
3777	457.0	48.0
3778	1807.0	1486.0
3779	6762.0	132.0
100873459	0.0	1.0
1119	1742.0	1917.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	1087.0	696.0
100128628	2.0	13.0
3791	1063.0	5651.0
100873442	0.0	0.0
3792	65.0	61.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	19.0	36.0
1131	73.0	213.0
1130	1296.0	1854.0
100861476	0.0	0.0
1129	1.0	0.0
1128	283.0	6.0
1124	200.0	431.0
1123	697.0	317.0
1122	392.0	813.0
100861470	0.0	0.0
3784	1481.0	559.0
100873446	0.0	0.0
3785	24.0	33.0
100873445	0.0	0.0
3786	166.0	164.0
100873444	0.0	0.0
3787	87.0	2.0
100873443	0.0	0.0
3788	7.0	5.0
100873449	0.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	175.0	174.0
100128618	0.0	0.0
728597	0.0	5.0
100128617	8.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	25.0	7.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	45.0
285634	0.0	3.0
1142	0.0	0.0
1141	233.0	16.0
285636	1163.0	2421.0
1140	806.0	733.0
728599	4.0	1.0
1139	7.0	2.0
1138	67.0	62.0
1137	3.0	2.0
100861485	0.0	0.0
1136	6.0	3.0
1135	17.0	5.0
1134	42.0	30.0
1133	13.0	13.0
3795	677.0	253.0
100873479	4.0	3.0
3796	604.0	1549.0
100873478	0.0	0.0
3797	1409.0	1414.0
100873477	0.0	0.0
3798	223.0	6.0
100873476	0.0	0.0
3799	6845.0	17746.0
100873460	0.0	0.0
728586	25.0	23.0
285641	1.0	2.0
100873464	0.0	4.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	0.0	10.0
100128603	0.0	0.0
100873461	0.0	1.0
1154	2621.0	11477.0
1153	37310.0	21153.0
1152	3960.0	2837.0
285647	6.0	64.0
728589	16.0	42.0
728588	2.0	33.0
1149	2759.0	211.0
1147	914.0	1948.0
1146	5.0	3.0
1145	128.0	18.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	298.0	1615.0
1163	1206.0	1532.0
285659	0.0	0.0
1161	334.0	359.0
1160	405.0	88.0
1159	191.0	85.0
1158	0.0	10.0
1157	0.0	0.0
1155	5368.0	8758.0
550643	2244.0	2059.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2430.0	2715.0
1175	5149.0	2650.0
285668	13.0	49.0
1174	2798.0	5744.0
1173	22516.0	18124.0
550631	393.0	189.0
100873489	0.0	0.0
283014	8.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	64.0	97.0
1186	3824.0	7099.0
1185	1083.0	1142.0
1184	163.0	289.0
1183	230.0	86.0
1182	3247.0	10523.0
1181	414.0	883.0
440375	31.0	89.0
1180	108.0	9.0
1179	0.0	0.0
1178	13.0	0.0
283089	4.0	3.0
85495	0.0	0.0
85480	320.0	15.0
283080	0.0	1.0
1198	3219.0	4891.0
1197	3.0	1.0
1196	1939.0	2871.0
1195	3934.0	3992.0
440366	1.0	0.0
1193	851.0	502.0
1192	24915.0	17562.0
1191	86564.0	103721.0
1188	74.0	1.0
283078	73.0	5.0
85486	13.0	4.0
128615	0.0	0.0
85481	0.0	1.0
128611	44.0	40.0
440396	50.0	82.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	4.0
100861402	1.0	2.0
126014	260.0	86.0
440335	2176.0	2919.0
100128690	0.0	0.0
114034	1225.0	378.0
126006	276.0	569.0
114036	19.0	17.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	93.0	129.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	1.0	8.0
100861429	0.0	0.0
128653	0.0	0.0
200728	227.0	65.0
440356	7.0	22.0
440354	76.0	90.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	1.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	10.0	6.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	10.0	7.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	17.0	68.0
200734	2117.0	3620.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	3.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2975.0	5639.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	4.0
165530	30.0	9.0
85409	508.0	1200.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	2.0	1.0
106481383	0.0	5.0
85417	34.0	136.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	281.0	242.0
106481389	0.0	0.0
85415	2185.0	3941.0
106481387	0.0	0.0
85413	6.0	1.0
106481388	1.0	4.0
645436	3.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	17.0	14.0
106481380	0.0	0.0
11	0.0	0.0
403341	517.0	1272.0
12	297.0	2700.0
13	48.0	1.0
14	10058.0	8123.0
15	11.0	10.0
16	8452.0	10123.0
645455	1.0	13.0
18	1568.0	4566.0
19	1081.0	2302.0
128580	13.0	5.0
85407	33.0	27.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1005.0	3493.0
106481395	0.0	1.0
85403	1047.0	5033.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	4935.0	6700.0
106481390	0.0	0.0
21	2868.0	22376.0
106481391	0.0	0.0
22	1203.0	1046.0
153571	1021.0	183.0
153572	3909.0	302.0
23	4771.0	5155.0
24	131.0	22.0
25	5941.0	9492.0
26	26.0	7.0
27	957.0	2186.0
28	261.0	53.0
29	6916.0	10628.0
153579	1348.0	2166.0
728615	0.0	0.0
728614	0.0	0.0
200765	176.0	266.0
106481358	0.0	1.0
106481359	0.0	1.0
728611	29.0	10.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	790.0	477.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3161.0	4217.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	304.0	284.0
106481366	0.0	0.0
30	5253.0	5927.0
106481360	0.0	0.0
31	3173.0	15551.0
32	6087.0	5005.0
33	203.0	18.0
34	2576.0	2484.0
35	4758.0	4764.0
153562	1142.0	2370.0
36	3014.0	18756.0
37	33446.0	16821.0
38	4383.0	2910.0
440307	13.0	17.0
39	1380.0	1111.0
165545	7.0	50.0
106481369	0.0	0.0
728606	54.0	17.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	36.0	5.0
106481370	0.0	0.0
41	301.0	719.0
106481371	0.0	0.0
43	139.0	47.0
645486	0.0	0.0
47	6168.0	26451.0
48	4004.0	1314.0
49	25.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	11.0	2.0
106481340	0.0	2.0
85458	2431.0	824.0
