id	f31566a9-ffde-40fa-b879-71827a3540a9	f95c523a-cfb0-4b7e-9a66-48dcf9d24515
100873325	0.0	0.0
3664	9821.0	9674.0
100873324	0.0	0.0
3665	715.0	3317.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7708.0	6226.0
100873329	0.0	0.0
285590	4036.0	7166.0
100873328	0.0	0.0
3669	617.0	545.0
100873327	0.0	0.0
1009	2339.0	14955.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	17.0	5.0
3680	2116.0	638.0
3681	13.0	94.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	690.0	624.0
100873353	0.0	0.0
3683	1319.0	1241.0
100873352	0.0	2.0
128710	951.0	1994.0
3684	558.0	611.0
100873351	0.0	0.0
285512	296.0	55.0
1022	1232.0	837.0
285513	1053.0	714.0
1021	3407.0	1511.0
1020	476.0	1394.0
440299	4.0	0.0
1019	3189.0	3912.0
128709	1.0	0.0
1018	71.0	24.0
1017	1643.0	2192.0
1016	0.0	3.0
1015	23.0	39.0
1014	2.0	0.0
1013	10.0	7.0
1012	1473.0	442.0
116730	104.0	36.0
3674	58.0	59.0
100873358	0.0	0.0
3675	8195.0	5319.0
100873357	0.0	0.0
3676	575.0	544.0
100128731	3646.0	4877.0
100873356	0.0	0.0
3678	2579.0	5374.0
3679	2034.0	551.0
100873359	0.0	0.0
728464	41.0	44.0
728463	30.0	5.0
100128725	0.0	0.0
3690	221.0	66.0
3691	17468.0	2598.0
100873343	0.0	0.0
3692	4673.0	7251.0
3693	12379.0	12874.0
285521	939.0	1944.0
100873342	0.0	0.0
3694	3506.0	213.0
100873341	0.0	0.0
3695	137.0	233.0
100873340	1.0	0.0
100128723	1.0	6.0
1033	14.0	389.0
1032	192.0	1000.0
285525	3.0	2.0
1031	837.0	934.0
285527	5510.0	4928.0
1030	629.0	1054.0
728468	0.0	0.0
440288	196.0	126.0
1029	99.0	257.0
440295	286.0	95.0
1028	1806.0	225.0
1027	5875.0	5290.0
1026	2420.0	12014.0
1025	2737.0	2154.0
1024	648.0	995.0
3685	6141.0	11056.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	525.0	888.0
100873345	0.0	0.0
3688	21464.0	21108.0
100873344	0.0	0.0
3689	2041.0	3724.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	3.0	2.0
100873370	0.0	0.0
728498	34.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	53.0	42.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	119.0	42.0
100873374	1.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	14.0
1043	524.0	699.0
1041	5.0	44.0
1040	2431.0	6236.0
1039	1112.0	1721.0
1038	5.0	5.0
1036	622.0	99.0
3696	4622.0	720.0
3697	2.0	6.0
100873379	0.0	0.0
3698	2855.0	15.0
100873378	0.0	3.0
3699	104.0	31.0
100873377	0.0	0.0
728486	1.0	6.0
100873361	0.0	0.0
105373869	1.0	457.0
100873360	0.0	0.0
285540	182.0	250.0
100128705	2.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	2259.0	3903.0
285547	0.0	0.0
1053	3.0	3.0
285548	2.0	8.0
1052	1098.0	203.0
1051	2196.0	1743.0
728489	13.0	2.0
1050	819.0	845.0
100128707	0.0	0.0
1048	32.0	52.0
1047	238.0	513.0
1046	0.0	0.0
1045	1.0	0.0
100873369	18.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	0.0
1066	1132.0	200.0
1063	343.0	6946.0
1062	129.0	1870.0
1061	5.0	8.0
1060	2148.0	1276.0
440253	210.0	58.0
1059	4492.0	5113.0
1058	29.0	397.0
1057	2.0	5.0
85379	12785.0	3414.0
114112	854.0	604.0
1056	42.0	58.0
85377	3053.0	958.0
85378	5247.0	2438.0
128745	1.0	1.0
85376	7.0	33.0
440248	869.0	190.0
1075	2420.0	3017.0
1074	16.0	23.0
1073	1296.0	473.0
1072	17406.0	43926.0
1071	19.0	37.0
440243	0.0	0.0
1070	1007.0	482.0
1069	2299.0	4084.0
1068	0.0	0.0
85369	2584.0	1687.0
85366	8.0	24.0
85364	1712.0	978.0
85365	2399.0	2099.0
85363	1689.0	820.0
85360	778.0	417.0
1080	131.0	12.0
85391	4.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	632.0	292.0
1087	8.0	14.0
1086	1.0	0.0
440279	31.0	6.0
1085	3.0	0.0
1084	2.0	3.0
440278	143.0	137.0
1082	0.0	1.0
403294	0.0	0.0
440275	4127.0	3971.0
1081	0.0	0.0
85397	1.0	21.0
85395	512.0	182.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	2.0
440270	3131.0	315.0
1089	4.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	10.0	4.0
285598	1204.0	1676.0
126133	1469.0	1879.0
128790	2.0	0.0
126129	154.0	108.0
126123	2.0	0.0
442862	0.0	0.0
126119	369.0	460.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	4.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	9.0	6.0
442897	0.0	0.0
442898	0.0	1.0
114134	363.0	438.0
442899	0.0	1.0
100128790	0.0	0.0
128760	8.0	6.0
100128788	151.0	129.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	1.0	0.0
442892	2.0	0.0
128756	0.0	0.0
100128782	174.0	28.0
100128781	0.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	47.0	1.0
102466616	0.0	0.0
126052	0.0	2.0
151009	97.0	10.0
403227	16.0	1.0
403228	0.0	0.0
138046	6.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	6.0	6.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1315.0	1556.0
107131122	0.0	0.0
138050	7626.0	7035.0
403219	0.0	0.0
151011	4990.0	2422.0
645587	17.0	10.0
165679	194.0	401.0
126037	35.0	109.0
114049	3169.0	3096.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	11.0	1.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	616.0	467.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1891.0	1019.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	362.0	188.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	235.0	63.0
645598	0.0	1.0
163007	7.0	230.0
114038	3.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	387.0	108.0
106481496	0.0	0.0
114042	0.0	2.0
106481493	0.0	0.0
114043	16.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	477.0	658.0
126017	738.0	898.0
106481497	3.0	1.0
106481498	1.0	0.0
85303	0.0	0.0
85300	4.0	1.0
85301	3654.0	450.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	6.0	2.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1278.0	2047.0
106481459	0.0	0.0
26994	5325.0	6311.0
106481457	12.0	8.0
26995	1990.0	2767.0
106481458	0.0	0.0
403271	0.0	0.0
26998	6.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1617.0	3014.0
403273	0.0	0.0
102466658	3.0	2.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	7.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2646.0	3021.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	1.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	3.0	0.0
106481471	0.0	0.0
85329	225.0	42.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	783.0	408.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	997.0	1653.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	1.0
106481437	0.0	0.0
26974	592.0	438.0
153657	88.0	63.0
106481438	5.0	1.0
106481435	0.0	0.0
26973	1480.0	790.0
165631	177.0	100.0
106481436	0.0	0.0
26978	8.0	13.0
126075	1028.0	2129.0
106481439	0.0	0.0
403250	0.0	0.0
126074	249.0	466.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1569.0	4388.0
106481444	16.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3011.0	737.0
85354	0.0	0.0
85352	153.0	373.0
403241	1.0	2.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	579.0	292.0
153643	9.0	11.0
403247	0.0	0.0
403248	0.0	0.0
26985	3626.0	6261.0
106481448	0.0	0.0
26986	81408.0	100927.0
126069	215.0	261.0
106481449	0.0	0.0
126068	1071.0	1307.0
106481446	0.0	0.0
26983	2.0	1.0
26984	934.0	758.0
106481447	0.0	0.0
106481451	5.0	6.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	531.0	71.0
106481455	0.0	0.0
85349	91.0	21.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	2.0	5.0
106481454	2.0	0.0
403238	0.0	0.0
85344	10.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	7.0	6.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	2.0
100873392	3.0	5.0
100873391	0.0	0.0
100873398	0.0	2.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	3.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3570.0	2324.0
100873390	1.0	0.0
728556	54.0	60.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	140.0	133.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	667.0	331.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	220.0	202.0
100873384	0.0	0.0
285601	1.0	4.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	3.0	2.0
63910	237.0	159.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	587.0	508.0
222008	0.0	11.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2565.0	5502.0
63904	0.0	0.0
106481430	0.0	0.0
163071	47.0	7.0
63906	896.0	792.0
106481433	0.0	0.0
63908	1069.0	699.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	69.0	67.0
63920	721.0	192.0
63923	881.0	1725.0
63922	862.0	610.0
728577	207.0	8.0
63925	2475.0	1665.0
63924	1956.0	139.0
63916	2854.0	5734.0
63917	3414.0	2989.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	3.0	4.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1315.0	1057.0
106481402	0.0	0.0
63931	1661.0	2647.0
106481403	4.0	0.0
63934	1342.0	125.0
728567	5.0	3.0
106481408	0.0	0.0
163088	5.0	1.0
63933	2302.0	1583.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3692.0	3232.0
163087	1099.0	574.0
728568	417.0	468.0
106481407	5.0	5.0
3704	1650.0	1141.0
3705	2694.0	4735.0
63926	805.0	1438.0
3706	6.0	25.0
63929	1137.0	1647.0
3707	3972.0	3144.0
63928	12.0	0.0
3708	12397.0	3807.0
106481411	0.0	1.0
3709	16821.0	2102.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	46.0	10.0
3702	254.0	319.0
3703	9572.0	9413.0
645506	0.0	0.0
151050	1536.0	751.0
645520	0.0	0.0
63941	1010.0	1303.0
63940	818.0	777.0
63943	428.0	276.0
728517	0.0	0.0
163033	421.0	291.0
258010	2074.0	3065.0
63947	0.0	1.0
63946	0.0	5.0
728513	1.0	0.0
100033803	0.0	0.0
3716	15757.0	10173.0
100033804	0.0	0.0
3717	1298.0	1071.0
100033805	0.0	0.0
3718	649.0	620.0
63939	1636.0	700.0
100033806	0.0	0.0
100190799	2.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	165.0	35.0
3710	5794.0	2703.0
3712	5930.0	4973.0
3713	0.0	10.0
3714	4255.0	465.0
63950	1.0	0.0
728505	1.0	0.0
63951	99.0	30.0
100033807	0.0	0.0
728501	55.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	5056.0	3448.0
100033814	0.0	0.0
3727	4722.0	4649.0
63948	0.0	1.0
100033815	0.0	0.0
222052	3.0	1.0
3728	23202.0	26484.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2426.0	1048.0
151056	365.0	83.0
3725	21339.0	5319.0
645528	0.0	1.0
728532	19.0	31.0
163059	391.0	163.0
728538	0.0	1.0
728537	480.0	114.0
63967	17.0	413.0
3737	26.0	7.0
3738	82.0	64.0
3739	5.0	2.0
645538	0.0	0.0
3730	1189.0	588.0
3732	6173.0	5239.0
3734	0.0	0.0
3735	8747.0	3012.0
3736	117.0	54.0
63970	364.0	8.0
3750	195.0	340.0
63971	6412.0	2912.0
63974	0.0	0.0
163049	2782.0	2156.0
63973	183.0	1.0
63976	143.0	34.0
222068	5547.0	6830.0
63978	0.0	1.0
63977	1016.0	519.0
63979	1230.0	1123.0
728524	0.0	0.0
3748	443.0	1800.0
163051	46.0	83.0
3749	4165.0	227.0
163050	70.0	140.0
3741	16.0	17.0
645548	6.0	8.0
3743	4.0	2.0
3744	0.0	0.0
3745	722.0	88.0
3746	12.0	25.0
3747	1098.0	2.0
285671	690.0	428.0
285672	1659.0	1242.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	36.0	12.0
285676	124.0	50.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	4.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	867.0	196.0
283008	9.0	13.0
3751	101.0	499.0
100873435	0.0	0.0
3752	2507.0	739.0
100873434	0.0	0.0
3753	229.0	8.0
100873433	0.0	0.0
3754	95.0	149.0
100873432	0.0	0.0
3755	114.0	220.0
100873439	0.0	0.0
3756	17.0	107.0
100873438	0.0	0.0
3757	101.0	166.0
100873437	0.0	0.0
3758	10.0	3.0
100873436	0.0	0.0
100873420	3.0	2.0
3770	252.0	48.0
3772	25.0	59.0
100861458	0.0	0.0
100861453	18.0	9.0
100861455	0.0	0.0
1107	13312.0	9377.0
1106	10851.0	5916.0
1105	3718.0	2399.0
1104	2134.0	2634.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1975.0	572.0
1101	4227.0	172.0
3762	223.0	245.0
100873424	0.0	0.0
3763	3.0	22.0
100128640	246.0	15.0
100873423	0.0	0.0
3764	961.0	222.0
100873422	0.0	0.0
3765	3.0	6.0
100873421	2.0	0.0
3766	18.0	53.0
100873428	0.0	0.0
3767	546.0	1195.0
100873427	2.0	0.0
3768	98.0	50.0
1109	2.0	0.0
100873426	5.0	1.0
1108	15838.0	26617.0
3769	9.0	0.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	43.0	72.0
100873453	0.0	0.0
3781	51.0	23.0
100873452	0.0	0.0
3782	245.0	182.0
100873451	0.0	0.0
3783	6417.0	404.0
100873450	0.0	0.0
1121	1749.0	2550.0
100861468	0.0	0.0
1120	397.0	152.0
100861469	0.0	1.0
1118	10.0	88.0
1117	1485.0	105.0
1116	3989.0	913.0
1114	37.0	6.0
1113	35.0	6.0
1112	5767.0	2294.0
1111	313.0	593.0
3773	93.0	5.0
100873457	2.0	1.0
100873456	0.0	0.0
3775	376.0	1441.0
100873455	0.0	0.0
3776	626.0	27.0
100873454	0.0	0.0
3777	214.0	42.0
3778	2132.0	624.0
3779	2046.0	69.0
100873459	0.0	0.0
1119	3910.0	2232.0
100128627	12.0	5.0
100128626	0.0	0.0
3790	1053.0	460.0
100128628	11.0	3.0
3791	3227.0	1516.0
100873442	0.0	0.0
3792	67.0	40.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	10.0
1131	350.0	5.0
1130	2951.0	3495.0
100861476	0.0	0.0
1129	0.0	0.0
1128	1151.0	32.0
1124	180.0	266.0
1123	451.0	732.0
1122	1448.0	1927.0
100861470	0.0	0.0
3784	811.0	475.0
100873446	0.0	0.0
3785	20.0	1.0
100873445	0.0	0.0
3786	250.0	162.0
100873444	0.0	0.0
3787	112.0	3.0
100873443	0.0	0.0
3788	4.0	13.0
100873449	18.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	220.0	129.0
100128618	2.0	0.0
728597	2.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	97.0	5.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	38.0
285634	2.0	5.0
1142	0.0	0.0
1141	201.0	28.0
285636	2690.0	4296.0
1140	533.0	698.0
728599	8.0	4.0
1139	22.0	2.0
1138	64.0	146.0
1137	1.0	0.0
100861485	0.0	0.0
1136	11.0	16.0
1135	6.0	3.0
1134	2.0	70.0
1133	21.0	9.0
3795	330.0	423.0
100873479	5.0	0.0
3796	1726.0	1587.0
100873478	0.0	0.0
3797	1318.0	1676.0
100873477	6.0	3.0
3798	389.0	298.0
100873476	0.0	0.0
3799	11033.0	9081.0
100873460	0.0	0.0
728586	27.0	11.0
285641	0.0	0.0
100873464	7.0	0.0
100873463	0.0	0.0
100873462	5.0	0.0
285643	2.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1774.0	2268.0
1153	27180.0	5723.0
1152	926.0	603.0
285647	18.0	23.0
728589	14.0	7.0
728588	0.0	22.0
1149	445.0	69.0
1147	1405.0	1700.0
1146	7.0	3.0
1145	64.0	39.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	270.0	987.0
1163	850.0	1057.0
285659	0.0	0.0
1161	419.0	310.0
1160	278.0	67.0
1159	153.0	174.0
1158	8.0	28.0
1157	0.0	0.0
1155	1942.0	2517.0
550643	963.0	1578.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1688.0	1752.0
1175	1885.0	4770.0
285668	17.0	3.0
1174	1483.0	2696.0
1173	12452.0	20480.0
550631	170.0	339.0
100873489	0.0	0.0
283014	15.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	61.0	88.0
1186	3433.0	6331.0
1185	2172.0	686.0
1184	455.0	395.0
1183	436.0	392.0
1182	8011.0	12382.0
1181	322.0	704.0
440375	37.0	29.0
1180	44.0	6.0
1179	3.0	0.0
1178	0.0	1.0
283089	25.0	7.0
85495	0.0	0.0
85480	270.0	17.0
283080	0.0	0.0
1198	3914.0	2142.0
1197	0.0	0.0
1196	2848.0	1718.0
1195	10494.0	2253.0
440366	4.0	0.0
1193	805.0	1044.0
1192	9469.0	9132.0
1191	54693.0	28690.0
1188	29.0	5.0
283078	224.0	32.0
85486	15.0	6.0
128615	0.0	0.0
85481	0.0	4.0
128611	116.0	133.0
440396	92.0	50.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	1.0	1.0
128676	0.0	1.0
114026	0.0	0.0
100861402	0.0	7.0
126014	78.0	151.0
440335	832.0	2147.0
100128690	0.0	0.0
114034	688.0	553.0
126006	217.0	77.0
114036	25.0	17.0
100128696	2.0	0.0
100128688	0.0	0.0
126003	81.0	35.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	194.0	213.0
440356	7.0	88.0
440354	100.0	88.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	20.0	13.0
100873410	0.0	0.0
100873417	5.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	205.0	106.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	159.0	87.0
200734	4153.0	3247.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	2.0
128637	4037.0	4481.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	1.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	2.0
165530	198.0	14.0
85409	209.0	488.0
106481385	0.0	0.0
106481386	2.0	0.0
85416	0.0	0.0
106481383	4.0	2.0
85417	51.0	112.0
106481384	0.0	1.0
103106903	5.0	0.0
85414	270.0	251.0
106481389	0.0	0.0
85415	3353.0	1055.0
106481387	0.0	0.0
85413	11.0	4.0
106481388	9.0	6.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	1.0
10	4.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1397.0	538.0
12	214.0	446.0
13	11.0	7.0
14	6535.0	8540.0
15	7.0	1.0
16	6981.0	14040.0
645455	8.0	11.0
18	2457.0	6603.0
19	2445.0	1522.0
128580	11.0	13.0
85407	164.0	302.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1711.0	2851.0
106481395	1.0	0.0
85403	1658.0	3498.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4796.0	4719.0
106481390	0.0	0.0
21	3910.0	10683.0
106481391	0.0	0.0
22	1728.0	1015.0
153571	505.0	213.0
153572	4722.0	397.0
23	4408.0	3580.0
24	187.0	23.0
25	6752.0	5525.0
26	15.0	23.0
27	2344.0	3965.0
28	909.0	124.0
29	6391.0	5968.0
153579	4266.0	208.0
728615	1.0	0.0
728614	0.0	0.0
200765	460.0	141.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	15.0	36.0
102466518	0.0	0.0
102466516	4.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	836.0	95.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2315.0	3356.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	350.0	223.0
106481366	0.0	0.0
30	2662.0	2185.0
106481360	0.0	0.0
31	4898.0	9623.0
32	5997.0	891.0
33	129.0	15.0
34	2576.0	1887.0
35	1340.0	901.0
153562	1874.0	1094.0
36	6457.0	13003.0
37	19310.0	9498.0
38	2679.0	1473.0
440307	19.0	4.0
39	737.0	779.0
165545	18.0	388.0
106481369	0.0	0.0
728606	373.0	8.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	11.0	449.0
106481370	0.0	0.0
41	819.0	102.0
106481371	0.0	0.0
43	79.0	107.0
645486	0.0	0.0
47	8925.0	18855.0
48	2797.0	3634.0
49	18.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	3.0	2.0
106481340	0.0	0.0
85458	3933.0	2406.0
106481345	1.0	0.0
85459	1276.0	673.0
