id	284f0774-1db5-4f86-a26c-0f967fa05d2f	9ad28472-32f0-4cb5-ba51-17d3e75fe85d
1070	1216.0	933.0
1069	3484.0	3310.0
1068	0.0	0.0
85369	3181.0	1755.0
85366	3.0	23.0
85364	1836.0	1160.0
85365	2410.0	1297.0
85363	2431.0	1390.0
85360	1306.0	347.0
1080	98.0	9.0
85391	1.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	713.0	864.0
1087	36.0	6.0
1086	0.0	0.0
440279	45.0	21.0
1085	3.0	2.0
1084	1.0	5.0
440278	189.0	123.0
1082	1.0	0.0
403294	0.0	0.0
440275	6074.0	3057.0
1081	2.0	0.0
85397	6.0	11.0
85395	341.0	766.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	1.0	1.0
1092	0.0	0.0
440270	2824.0	428.0
1089	2.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	50.0	2.0
285598	1664.0	561.0
126133	1213.0	1648.0
128790	1.0	0.0
126129	171.0	70.0
126123	1.0	1.0
442862	0.0	0.0
126119	348.0	309.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	2.0	0.0
442893	1.0	0.0
442894	0.0	1.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	16.0	16.0
442897	0.0	0.0
442898	13.0	0.0
114134	1282.0	630.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	12.0
100128788	140.0	109.0
100128787	0.0	0.0
440225	1.0	0.0
440224	13.0	4.0
442890	0.0	0.0
442891	1.0	0.0
442892	5.0	0.0
128756	0.0	0.0
100128782	223.0	124.0
100128781	4.0	6.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	212.0	16.0
102466616	0.0	0.0
126052	1.0	0.0
151009	90.0	60.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	8.0	2.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	746.0	1218.0
107131122	1.0	0.0
138050	9534.0	5588.0
403219	3.0	0.0
151011	8282.0	3289.0
645587	6.0	4.0
165679	887.0	112.0
126037	43.0	108.0
114049	3334.0	2609.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	1.0
106481483	0.0	0.0
85315	918.0	983.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2661.0	1946.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	319.0	185.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	1.0	0.0
138065	92.0	390.0
645598	0.0	0.0
163007	10.0	2.0
114038	2.0	0.0
645591	1.0	0.0
106481495	1.0	2.0
114041	110.0	32.0
106481496	0.0	0.0
114042	7.0	2.0
106481493	0.0	0.0
114043	29.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	481.0	351.0
126017	723.0	509.0
106481497	0.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	10.0	0.0
85301	4309.0	4945.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2182.0	382.0
106481459	0.0	0.0
26994	9886.0	5890.0
106481457	22.0	17.0
26995	2655.0	1493.0
106481458	0.0	0.0
403271	0.0	1.0
26998	4.0	8.0
403272	2.0	0.0
102466659	0.0	0.0
26999	1649.0	741.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	5.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3061.0	2797.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	1.0
106481473	0.0	1.0
106481474	3.0	0.0
106481471	0.0	0.0
85329	1302.0	108.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2656.0	195.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1295.0	620.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	0.0
106481437	0.0	0.0
26974	367.0	314.0
153657	293.0	39.0
106481438	2.0	2.0
106481435	0.0	0.0
26973	2270.0	1647.0
165631	221.0	103.0
106481436	4.0	0.0
26978	26.0	8.0
126075	950.0	503.0
106481439	0.0	0.0
403250	0.0	0.0
126074	267.0	155.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	1470.0	1735.0
106481444	20.0	9.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3790.0	2785.0
85354	0.0	0.0
85352	132.0	1064.0
403241	4.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	1.0	0.0
153642	733.0	421.0
153643	33.0	7.0
403247	0.0	0.0
403248	0.0	0.0
26985	4893.0	3946.0
106481448	0.0	0.0
26986	72592.0	127053.0
126069	280.0	118.0
106481449	0.0	0.0
126068	1539.0	718.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1158.0	1062.0
106481447	0.0	0.0
106481451	4.0	1.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	895.0	293.0
106481455	1.0	0.0
85349	180.0	182.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	1.0
85347	0.0	0.0
26980	3.0	5.0
106481454	1.0	0.0
403238	0.0	0.0
85344	9.0	4.0
403239	0.0	0.0
85345	0.0	2.0
85343	0.0	0.0
344454	8.0	1.0
85340	1.0	0.0
100873394	0.0	0.0
100873393	9.0	1.0
100873392	4.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4462.0	2365.0
100873390	0.0	0.0
728556	40.0	43.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	191.0	200.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	769.0	646.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	8.0	3.0
100873380	1.0	0.0
100128804	0.0	1.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	411.0	131.0
100873384	0.0	0.0
285601	11.0	16.0
106481426	0.0	0.0
106481427	2.0	2.0
222005	2.0	1.0
63910	269.0	110.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	851.0	436.0
222008	37.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3198.0	3638.0
63904	0.0	0.0
106481430	2.0	0.0
163071	75.0	21.0
63906	854.0	682.0
106481433	0.0	0.0
63908	1405.0	1080.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	7.0	0.0
285613	52.0	116.0
63920	521.0	306.0
63923	612.0	120.0
63922	580.0	1738.0
728577	268.0	93.0
63925	2759.0	2153.0
63924	6838.0	582.0
63916	3600.0	3700.0
63917	4536.0	1710.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	0.0	8.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1367.0	855.0
106481402	0.0	0.0
63931	2362.0	2116.0
106481403	1.0	0.0
63934	1207.0	1340.0
728567	1.0	0.0
106481408	0.0	0.0
163088	10.0	15.0
63933	2687.0	3662.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4447.0	3427.0
163087	1357.0	809.0
728568	365.0	381.0
106481407	14.0	1.0
3704	1403.0	2011.0
3705	4116.0	2463.0
63926	1033.0	943.0
3706	9.0	10.0
63929	1910.0	2054.0
3707	6028.0	27584.0
63928	6.0	8.0
3708	22412.0	2201.0
106481411	0.0	0.0
3709	14296.0	10923.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	52.0	16.0
3702	377.0	281.0
3703	10602.0	16312.0
645506	0.0	0.0
151050	2154.0	1381.0
645520	0.0	0.0
63941	1209.0	632.0
63940	922.0	1111.0
63943	343.0	425.0
728517	0.0	0.0
163033	333.0	482.0
258010	2937.0	1963.0
63947	0.0	0.0
63946	1.0	0.0
728513	3.0	1.0
100033803	0.0	0.0
3716	20828.0	8153.0
100033804	0.0	0.0
3717	2612.0	1379.0
100033805	0.0	0.0
3718	898.0	679.0
63939	1809.0	1184.0
100033806	0.0	0.0
100190799	10.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	176.0	46.0
3710	5442.0	9341.0
3712	6810.0	3047.0
3713	0.0	2.0
3714	4290.0	1558.0
63950	0.0	4.0
728505	1.0	0.0
63951	198.0	50.0
100033807	0.0	0.0
728501	32.0	30.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10995.0	3831.0
100033814	0.0	0.0
3727	14338.0	4698.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	1.0
3728	24669.0	22071.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2982.0	6063.0
151056	321.0	249.0
3725	44263.0	9060.0
645528	3.0	5.0
728532	20.0	13.0
163059	620.0	384.0
728538	1.0	1.0
728537	564.0	374.0
63967	79.0	628.0
3737	56.0	7.0
3738	198.0	32.0
3739	39.0	2.0
645538	0.0	0.0
3730	1647.0	269.0
3732	4766.0	5314.0
3734	0.0	0.0
3735	8281.0	11320.0
3736	119.0	5.0
63970	303.0	52.0
3750	388.0	79.0
63971	9770.0	3839.0
63974	0.0	0.0
163049	4282.0	2410.0
63973	137.0	26.0
63976	507.0	29.0
222068	6307.0	5041.0
63978	1.0	0.0
63977	1119.0	910.0
63979	1418.0	1049.0
728524	0.0	0.0
3748	2535.0	1067.0
163051	38.0	29.0
3749	4214.0	1860.0
163050	79.0	76.0
3741	38.0	8.0
645548	3.0	11.0
3743	6.0	3.0
3744	0.0	0.0
3745	1330.0	3374.0
3746	130.0	26.0
3747	158.0	36.0
285671	1386.0	362.0
285672	2500.0	1779.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	21.0	4.0
285676	199.0	121.0
3761	0.0	5.0
100128657	0.0	1.0
285679	6.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1035.0	187.0
283008	32.0	9.0
3751	271.0	294.0
100873435	1.0	0.0
3752	1644.0	688.0
100873434	0.0	0.0
3753	156.0	16.0
100873433	0.0	0.0
3754	30.0	221.0
100873432	0.0	0.0
3755	78.0	158.0
100873439	0.0	0.0
3756	25.0	10.0
100873438	0.0	0.0
3757	92.0	51.0
100873437	0.0	0.0
3758	9.0	8.0
100873436	0.0	0.0
100873420	2.0	2.0
3770	202.0	102.0
3772	86.0	48.0
100861458	0.0	0.0
100861453	34.0	17.0
100861455	0.0	0.0
1107	16851.0	9502.0
1106	12154.0	7760.0
1105	5517.0	3585.0
1104	1531.0	3447.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2831.0	917.0
1101	584.0	251.0
3762	183.0	246.0
100873424	0.0	0.0
3763	5.0	2.0
100128640	317.0	98.0
100873423	0.0	0.0
3764	2414.0	252.0
100873422	1.0	0.0
3765	17.0	4.0
100873421	2.0	0.0
3766	29.0	263.0
100873428	0.0	0.0
3767	205.0	89.0
100873427	0.0	0.0
3768	205.0	22.0
1109	7.0	3.0
100873426	1.0	0.0
1108	18763.0	22441.0
3769	66.0	7.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	58.0	21.0
100873453	0.0	0.0
3781	56.0	24.0
100873452	0.0	2.0
3782	887.0	261.0
100873451	0.0	0.0
3783	2366.0	6152.0
100873450	0.0	0.0
1121	2815.0	1092.0
100861468	0.0	0.0
1120	350.0	264.0
100861469	0.0	0.0
1118	93.0	97.0
1117	2570.0	5355.0
1116	1978.0	31203.0
1114	22.0	16.0
1113	18.0	0.0
1112	9513.0	3385.0
1111	458.0	2533.0
3773	740.0	88.0
100873457	2.0	0.0
100873456	1.0	0.0
3775	625.0	519.0
100873455	0.0	0.0
3776	394.0	324.0
100873454	0.0	0.0
3777	104.0	89.0
3778	6523.0	866.0
3779	3817.0	1065.0
100873459	0.0	1.0
1119	2993.0	3923.0
100128627	8.0	1.0
100128626	0.0	1.0
3790	1188.0	1521.0
100128628	8.0	3.0
3791	5322.0	2515.0
100873442	0.0	0.0
3792	66.0	34.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	18.0	7.0
1131	493.0	2164.0
1130	6015.0	2038.0
100861476	0.0	0.0
1129	44.0	0.0
1128	448.0	633.0
1124	500.0	72.0
1123	703.0	327.0
1122	2068.0	5484.0
100861470	0.0	0.0
3784	678.0	290.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	228.0	286.0
100873444	0.0	0.0
3787	76.0	157.0
100873443	0.0	0.0
3788	6.0	2.0
100873449	25.0	11.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	174.0	185.0
100128618	3.0	3.0
728597	30.0	1.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	83.0	59.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	52.0
285634	3.0	3.0
1142	0.0	0.0
1141	251.0	111.0
285636	3789.0	2599.0
1140	653.0	331.0
728599	9.0	2.0
1139	74.0	7.0
1138	55.0	507.0
1137	6.0	0.0
100861485	0.0	0.0
1136	17.0	53.0
1135	70.0	6.0
1134	3.0	15.0
1133	43.0	13.0
3795	318.0	191.0
100873479	7.0	3.0
3796	2574.0	3160.0
100873478	0.0	0.0
3797	1576.0	1353.0
100873477	3.0	1.0
3798	581.0	48.0
100873476	0.0	0.0
3799	17548.0	14391.0
100873460	0.0	0.0
728586	25.0	24.0
285641	2.0	0.0
100873464	9.0	1.0
100873463	0.0	0.0
100873462	6.0	1.0
285643	0.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1111.0	868.0
1153	28775.0	11414.0
1152	1697.0	2561.0
285647	33.0	30.0
728589	54.0	12.0
728588	6.0	0.0
1149	1070.0	57.0
1147	2227.0	1305.0
1146	5.0	2.0
1145	74.0	48.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	259.0	1094.0
1163	936.0	2732.0
285659	0.0	0.0
1161	641.0	458.0
1160	375.0	94.0
1159	125.0	174.0
1158	15.0	19.0
1157	1.0	0.0
1155	2024.0	3022.0
550643	1221.0	395.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2481.0	2630.0
1175	2046.0	3799.0
285668	29.0	2.0
1174	1410.0	1352.0
1173	14621.0	20283.0
550631	194.0	180.0
100873489	0.0	0.0
283014	9.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	171.0	37.0
1186	3387.0	3681.0
1185	3261.0	618.0
1184	513.0	595.0
1183	830.0	830.0
1182	9973.0	5696.0
1181	480.0	480.0
440375	53.0	43.0
1180	48.0	16.0
1179	2.0	0.0
1178	1.0	11.0
283089	26.0	2.0
85495	0.0	0.0
85480	337.0	56.0
283080	2.0	1.0
1198	4120.0	2290.0
1197	1.0	0.0
1196	2920.0	2771.0
1195	11503.0	3392.0
440366	3.0	1.0
1193	1791.0	584.0
1192	10952.0	12011.0
1191	66857.0	13582.0
1188	60.0	12.0
283078	236.0	37.0
85486	7.0	6.0
128615	0.0	0.0
85481	1.0	0.0
128611	264.0	70.0
440396	87.0	116.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	3.0	2.0
128676	1.0	1.0
114026	1.0	1.0
100861402	2.0	2.0
126014	72.0	110.0
440335	556.0	608.0
100128690	0.0	0.0
114034	1069.0	701.0
126006	147.0	67.0
114036	31.0	69.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	36.0	24.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	230.0	231.0
440356	8.0	34.0
440354	148.0	112.0
440352	3.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	35.0
100873410	0.0	0.0
100873417	2.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	427.0	445.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	329.0	249.0
200734	6561.0	2966.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	6.0
100873408	0.0	1.0
100873407	0.0	1.0
100861430	2.0	1.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	2.0	0.0
100128665	0.0	0.0
128637	5040.0	3468.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	16.0	8.0
165530	173.0	1314.0
85409	413.0	105.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	17.0	27.0
106481383	4.0	0.0
85417	79.0	515.0
106481384	1.0	0.0
103106903	1.0	12.0
85414	607.0	404.0
106481389	0.0	0.0
85415	2831.0	2931.0
106481387	0.0	0.0
85413	1.0	53.0
106481388	15.0	6.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	28.0	12.0
106481380	0.0	0.0
11	0.0	0.0
403341	1550.0	727.0
12	115.0	99.0
13	55.0	5.0
14	6216.0	4498.0
15	3.0	4.0
16	8446.0	17909.0
645455	11.0	8.0
18	3973.0	1365.0
19	4502.0	1913.0
128580	6.0	9.0
85407	343.0	47.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1736.0	1732.0
106481395	0.0	0.0
85403	1781.0	2115.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4891.0	1813.0
106481390	0.0	0.0
21	3370.0	3170.0
106481391	0.0	0.0
22	1988.0	862.0
153571	461.0	48.0
153572	4807.0	421.0
23	4643.0	5790.0
24	442.0	327.0
25	9699.0	3497.0
26	32.0	22.0
27	3798.0	3879.0
28	658.0	321.0
29	7913.0	2918.0
153579	3502.0	370.0
728615	0.0	0.0
728614	0.0	0.0
200765	383.0	306.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	26.0	3.0
102466518	3.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2065.0	336.0
106481362	0.0	0.0
106481367	2.0	0.0
85437	2652.0	1771.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	388.0	275.0
106481366	0.0	0.0
30	2639.0	1288.0
106481360	0.0	0.0
31	9887.0	3834.0
32	12987.0	1618.0
33	464.0	178.0
34	4591.0	3613.0
35	1907.0	543.0
153562	1786.0	2423.0
36	11389.0	3149.0
37	15971.0	7610.0
38	4107.0	2383.0
440307	11.0	11.0
39	1474.0	1949.0
165545	13.0	6.0
106481369	0.0	0.0
728606	52.0	60.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	5.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	6.0
106481370	0.0	0.0
41	468.0	510.0
106481371	0.0	0.0
43	236.0	27.0
645486	0.0	0.0
47	12533.0	6922.0
48	5924.0	2380.0
49	44.0	113.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	9.0	5.0
