id	a1a68fe9-9635-4b7f-b9a2-34474ef8c1dc	95041603-df86-48f7-9ba5-8289883df2d0
285550	1315.0	1591.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	5.0
3640	12.0	4.0
3638	1681.0	5868.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	1236.0	2000.0
100873313	0.0	0.0
3632	1710.0	1974.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1152.0	1553.0
100873318	0.0	1.0
3635	1758.0	2818.0
100873317	0.0	0.0
3636	3863.0	10766.0
100128771	126.0	41.0
100873316	8.0	6.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	1.0
1	20.0	39.0
2	85990.0	83214.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	10.0
3641	0.0	1.0
100873303	0.0	0.0
9	435.0	18363.0
3642	20.0	28.0
100873302	0.0	2.0
3643	6487.0	10151.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	14.0	12.0
100873307	0.0	0.0
3646	21783.0	22231.0
100873306	0.0	0.0
100873305	0.0	2.0
3647	183.0	93.0
100873304	0.0	0.0
100873332	4.0	5.0
3660	2057.0	2291.0
100873331	0.0	0.0
3661	1894.0	2906.0
100873330	0.0	0.0
285577	0.0	0.0
3662	260.0	321.0
100128756	0.0	0.0
1000	106.0	215.0
3652	704.0	1022.0
100873336	1.0	2.0
100873335	0.0	0.0
100128750	105.0	32.0
3654	5966.0	7936.0
100873334	0.0	0.0
3655	13188.0	7810.0
100873333	2.0	0.0
3656	353.0	516.0
100873339	0.0	0.0
3658	3181.0	3812.0
100873338	0.0	1.0
3659	2840.0	5461.0
100873337	0.0	1.0
3670	3.0	14.0
100873321	0.0	0.0
3671	9661.0	13540.0
100873320	0.0	0.0
3672	4933.0	5847.0
285588	0.0	1.0
3673	5368.0	4233.0
1011	0.0	0.0
1010	234.0	6.0
1008	0.0	1.0
1007	0.0	0.0
1006	29.0	29.0
1005	0.0	345.0
1004	404.0	784.0
1003	6402.0	8376.0
1002	88.0	16.0
1001	7729.0	2084.0
3663	487.0	1110.0
100873325	0.0	0.0
3664	9335.0	8434.0
100873324	0.0	0.0
3665	594.0	4101.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6108.0	2640.0
100873329	0.0	0.0
285590	7125.0	7512.0
100873328	0.0	0.0
3669	595.0	1295.0
100873327	0.0	0.0
1009	1820.0	8760.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	1.0
728477	1.0	6.0
3680	2379.0	2172.0
3681	6.0	40.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	676.0	721.0
100873353	0.0	0.0
3683	594.0	1914.0
100873352	0.0	0.0
128710	376.0	1097.0
3684	816.0	1804.0
100873351	0.0	0.0
285512	109.0	72.0
1022	1081.0	1536.0
285513	671.0	2718.0
1021	2365.0	1045.0
1020	348.0	1799.0
440299	0.0	0.0
1019	2894.0	5915.0
128709	0.0	2.0
1018	29.0	7.0
1017	1293.0	3386.0
1016	0.0	0.0
1015	13.0	24.0
1014	13.0	0.0
1013	0.0	15.0
1012	3098.0	1625.0
116730	103.0	50.0
3674	26.0	25.0
100873358	0.0	0.0
3675	8764.0	7611.0
100873357	0.0	0.0
3676	337.0	996.0
100128731	3646.0	9995.0
100873356	0.0	0.0
3678	6279.0	13411.0
3679	4853.0	1246.0
100873359	0.0	0.0
728464	4.0	15.0
728463	26.0	18.0
100128725	0.0	0.0
3690	443.0	331.0
3691	17993.0	8677.0
100873343	0.0	0.0
3692	4295.0	8695.0
3693	12142.0	22033.0
285521	889.0	990.0
100873342	0.0	0.0
3694	4382.0	5121.0
100873341	0.0	0.0
3695	112.0	221.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	70.0	848.0
1032	294.0	985.0
285525	5.0	3.0
