id	0d38dab7-b983-4829-9a5b-d79f0fee6f26	ff850c31-bb15-47a2-bd3d-2590ca013e68
285550	1120.0	1126.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	16.0
3640	11.0	8.0
3638	3385.0	2872.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1622.0	1451.0
100873313	1.0	0.0
3632	1182.0	1399.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1256.0	1021.0
100873318	0.0	0.0
3635	1875.0	1515.0
100873317	0.0	0.0
3636	4252.0	6579.0
100128771	99.0	47.0
100873316	18.0	11.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	0.0
1	26.0	35.0
2	73976.0	21266.0
100873309	0.0	0.0
100873308	0.0	0.0
3	29.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	642.0	1373.0
3642	100.0	6538.0
100873302	1.0	0.0
3643	3702.0	5014.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	68.0	37.0
100873307	0.0	0.0
3646	14975.0	10414.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	151.0	59.0
100873304	1.0	0.0
100873332	3.0	0.0
3660	2127.0	1994.0
100873331	0.0	0.0
3661	1494.0	1326.0
100873330	0.0	0.0
285577	0.0	1.0
3662	658.0	157.0
100128756	1.0	0.0
1000	152.0	315.0
3652	844.0	1170.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	41.0	14.0
3654	3401.0	3490.0
100873334	0.0	1.0
3655	10628.0	2595.0
100873333	1.0	0.0
3656	340.0	128.0
100873339	0.0	0.0
3658	3431.0	3353.0
100873338	0.0	0.0
3659	1804.0	2006.0
100873337	2.0	0.0
3670	14.0	5.0
100873321	1.0	0.0
3671	10512.0	1970.0
100873320	0.0	0.0
3672	4038.0	2472.0
285588	0.0	0.0
3673	3510.0	1522.0
1011	0.0	0.0
1010	62.0	0.0
1008	11.0	1.0
1007	1.0	0.0
1006	28.0	19.0
1005	9.0	128.0
1004	508.0	395.0
1003	6889.0	2348.0
1002	96.0	46.0
1001	3158.0	189.0
3663	762.0	624.0
100873325	0.0	0.0
3664	7344.0	10828.0
100873324	0.0	0.0
3665	687.0	1061.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4273.0	2142.0
100873329	0.0	0.0
285590	3898.0	1280.0
100873328	0.0	0.0
3669	405.0	310.0
100873327	0.0	0.0
1009	4567.0	2468.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	8.0	6.0
3680	2004.0	891.0
3681	158.0	12.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	940.0	407.0
100873353	0.0	0.0
3683	1377.0	1019.0
100873352	0.0	0.0
128710	670.0	897.0
3684	1401.0	672.0
100873351	0.0	0.0
285512	155.0	91.0
1022	859.0	1048.0
285513	1487.0	3178.0
1021	1993.0	644.0
1020	466.0	1221.0
440299	0.0	0.0
1019	2319.0	2380.0
128709	0.0	0.0
1018	25.0	19.0
1017	1230.0	983.0
1016	4.0	0.0
1015	25.0	7.0
1014	1.0	0.0
1013	7.0	8.0
1012	1681.0	786.0
116730	51.0	14.0
3674	22.0	14.0
100873358	0.0	0.0
3675	6796.0	4978.0
100873357	0.0	1.0
3676	775.0	829.0
100128731	3980.0	3478.0
100873356	0.0	0.0
3678	5360.0	3227.0
3679	1896.0	503.0
100873359	0.0	0.0
728464	41.0	15.0
728463	15.0	2.0
100128725	0.0	0.0
3690	373.0	209.0
3691	7697.0	742.0
100873343	0.0	1.0
3692	2663.0	3407.0
3693	7650.0	2877.0
285521	1045.0	1204.0
100873342	0.0	0.0
3694	5631.0	1908.0
100873341	0.0	0.0
3695	121.0	82.0
100873340	0.0	1.0
100128723	0.0	1.0
1033	84.0	311.0
1032	199.0	695.0
285525	2.0	1.0
1031	824.0	1134.0
285527	3996.0	2421.0
1030	644.0	576.0
728468	0.0	0.0
440288	116.0	90.0
1029	88.0	376.0
440295	108.0	61.0
1028	1589.0	236.0
1027	3918.0	625.0
1026	4367.0	7317.0
1025	2400.0	2725.0
1024	586.0	406.0
3685	10614.0	11632.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	2698.0	834.0
100873345	0.0	0.0
3688	20592.0	19190.0
100873344	0.0	1.0
3689	8853.0	3652.0
100873349	1.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	2.0
100873370	0.0	0.0
728498	26.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	38.0	31.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	111.0	37.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	18.0	26.0
1043	4106.0	455.0
1041	13.0	5.0
1040	1727.0	3263.0
1039	1321.0	1111.0
1038	4.0	0.0
1036	666.0	53.0
3696	3228.0	949.0
3697	6.0	2.0
100873379	0.0	0.0
3698	127.0	9.0
100873378	0.0	1.0
3699	64.0	73.0
100873377	0.0	0.0
728486	16.0	2.0
100873361	0.0	0.0
105373869	38.0	62.0
100873360	0.0	1.0
285540	102.0	70.0
100128705	2.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2434.0	3419.0
285547	0.0	0.0
1053	10.0	6.0
285548	1.0	0.0
1052	1608.0	525.0
1051	1958.0	718.0
728489	4.0	4.0
1050	728.0	710.0
100128707	0.0	0.0
1048	248.0	10887.0
1047	147.0	203.0
1046	0.0	0.0
1045	0.0	1.0
100873369	4.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	7.0	0.0
1066	1991.0	96.0
1063	484.0	1910.0
1062	173.0	585.0
1061	5.0	1.0
1060	1691.0	1538.0
440253	139.0	34.0
1059	3218.0	3656.0
1058	49.0	211.0
1057	3.0	1.0
85379	7078.0	4064.0
114112	505.0	465.0
1056	25.0	59.0
85377	2656.0	1432.0
85378	2260.0	2537.0
128745	0.0	0.0
85376	10.0	39.0
440248	603.0	252.0
1075	7311.0	2037.0
1074	8.0	11.0
1073	2010.0	776.0
1072	21037.0	29878.0
1071	147.0	66.0
440243	0.0	0.0
1070	853.0	1059.0
1069	2164.0	2833.0
1068	0.0	0.0
85369	1545.0	1673.0
85366	2.0	13.0
85364	1296.0	991.0
85365	2146.0	2184.0
85363	1659.0	379.0
85360	840.0	372.0
1080	43.0	9.0
85391	13.0	8.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	474.0	839.0
1087	30.0	330.0
1086	0.0	0.0
440279	33.0	6.0
1085	4.0	2.0
1084	5.0	4.0
440278	133.0	270.0
1082	0.0	0.0
403294	0.0	0.0
440275	4216.0	3073.0
1081	1.0	14.0
85397	1.0	4.0
85395	234.0	242.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	1.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	1.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
