id	edea4e5b-ad4d-4a0b-9656-3d82d4a24698	bdceb6c5-77d1-43e6-9046-1340502c2a60
100128731	5701.0	5968.0
100873356	0.0	0.0
3678	4730.0	11107.0
3679	1371.0	1608.0
100873359	0.0	0.0
728464	106.0	44.0
728463	38.0	16.0
100128725	0.0	1.0
3690	426.0	235.0
3691	15035.0	5623.0
100873343	2.0	0.0
3692	4908.0	7349.0
3693	15036.0	22100.0
285521	1664.0	901.0
100873342	0.0	0.0
3694	7753.0	2720.0
100873341	0.0	0.0
3695	185.0	68.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	93.0	326.0
1032	281.0	357.0
285525	9.0	3.0
1031	1301.0	960.0
285527	7533.0	4057.0
1030	520.0	2070.0
728468	0.0	0.0
440288	213.0	96.0
1029	129.0	438.0
440295	245.0	55.0
1028	2768.0	1012.0
1027	8710.0	3372.0
1026	4159.0	10148.0
1025	3811.0	4784.0
1024	922.0	549.0
3685	18652.0	13073.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	478.0	886.0
100873345	0.0	0.0
3688	34717.0	27884.0
100873344	0.0	0.0
3689	2792.0	3239.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	8.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	25.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	44.0	23.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	135.0	43.0
100873374	0.0	2.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	49.0	29.0
1043	781.0	462.0
1041	8.0	18.0
1040	3868.0	2254.0
1039	1712.0	2009.0
1038	10.0	15.0
1036	1182.0	409.0
3696	5077.0	751.0
3697	4.0	10.0
100873379	0.0	0.0
3698	2291.0	15.0
100873378	4.0	3.0
3699	80.0	321.0
100873377	0.0	0.0
728486	3.0	12.0
100873361	0.0	0.0
105373869	13.0	523.0
100873360	0.0	0.0
285540	233.0	104.0
100128705	6.0	0.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	3403.0	2485.0
285547	0.0	0.0
1053	0.0	8.0
285548	0.0	10.0
1052	4340.0	1644.0
1051	3144.0	1796.0
728489	12.0	12.0
1050	707.0	1242.0
100128707	0.0	0.0
1048	103.0	456.0
1047	989.0	415.0
1046	0.0	0.0
1045	0.0	0.0
100873369	7.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	1100.0	1903.0
1063	953.0	3434.0
1062	245.0	681.0
1061	5.0	2.0
1060	3201.0	1523.0
440253	162.0	57.0
1059	6468.0	4799.0
1058	68.0	213.0
1057	2.0	0.0
85379	13967.0	2548.0
114112	1033.0	364.0
1056	54.0	244.0
85377	3230.0	1342.0
85378	4304.0	940.0
128745	0.0	0.0
85376	27.0	18.0
440248	858.0	257.0
1075	4168.0	3707.0
1074	37.0	15.0
1073	1987.0	1322.0
1072	32690.0	54189.0
1071	35.0	206.0
440243	0.0	1.0
1070	1214.0	974.0
1069	4848.0	6587.0
1068	0.0	0.0
85369	3080.0	1509.0
85366	0.0	21.0
85364	2551.0	2293.0
85365	4036.0	2668.0
85363	2521.0	1445.0
85360	1268.0	1336.0
1080	2715.0	9.0
85391	61.0	14.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	2.0
153733	861.0	654.0
1087	27.0	17.0
1086	0.0	0.0
440279	57.0	4.0
1085	11.0	3.0
1084	4.0	3.0
440278	277.0	115.0
1082	0.0	0.0
403294	0.0	0.0
440275	5938.0	2939.0
1081	0.0	0.0
85397	1.0	32.0
85395	636.0	369.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	1.0
440270	2480.0	223.0
1089	7.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	7.0	1.0
285598	1576.0	549.0
126133	1883.0	2301.0
128790	0.0	0.0
126129	208.0	194.0
126123	1.0	0.0
442862	0.0	0.0
126119	649.0	768.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	15.0	8.0
442897	0.0	0.0
442898	3.0	0.0
114134	844.0	423.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	2.0
100128788	101.0	94.0
100128787	1.0	0.0
440225	0.0	0.0
440224	12.0	1.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	4.0
128756	0.0	0.0
100128782	211.0	49.0
100128781	3.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	50.0	164.0
102466616	0.0	0.0
126052	0.0	0.0
151009	28.0	39.0
403227	26.0	0.0
403228	0.0	0.0
138046	81.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	1.0	4.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1307.0	991.0
107131122	1.0	0.0
138050	10690.0	5869.0
403219	1.0	0.0
151011	6968.0	3759.0
645587	30.0	3.0
165679	383.0	293.0
126037	55.0	69.0
114049	4160.0	3786.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	874.0	736.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3022.0	1791.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	390.0	162.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	277.0	143.0
645598	1.0	0.0
163007	6.0	0.0
114038	3.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	188.0	41.0
106481496	0.0	0.0
114042	4.0	1.0
106481493	0.0	0.0
114043	16.0	11.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	382.0	139.0
126017	959.0	791.0
106481497	2.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	0.0
85301	3375.0	885.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	3.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3556.0	2888.0
106481459	0.0	0.0
26994	11552.0	8211.0
106481457	4.0	0.0
26995	2961.0	2707.0
106481458	0.0	0.0
403271	0.0	0.0
26998	8.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1603.0	1549.0
403273	0.0	0.0
102466658	7.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	5.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2806.0	1359.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	2.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	5.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	102.0	361.0
106481472	0.0	0.0
106481477	0.0	4.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4970.0	952.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1366.0	790.0
403255	0.0	1.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	0.0
106481437	0.0	0.0
26974	549.0	193.0
153657	118.0	42.0
106481438	10.0	21.0
106481435	0.0	0.0
26973	2091.0	1805.0
165631	211.0	80.0
106481436	0.0	1.0
26978	9.0	4.0
126075	1096.0	965.0
106481439	0.0	0.0
403250	0.0	0.0
126074	296.0	302.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2340.0	1365.0
106481444	11.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2754.0	1632.0
85354	0.0	0.0
85352	116.0	157.0
403241	1.0	0.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	872.0	439.0
153643	33.0	14.0
403247	0.0	0.0
403248	0.0	0.0
26985	5800.0	3843.0
106481448	0.0	0.0
26986	109151.0	40159.0
126069	315.0	103.0
106481449	0.0	0.0
126068	1675.0	667.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1219.0	1032.0
106481447	0.0	0.0
106481451	6.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	621.0	94.0
106481455	0.0	0.0
85349	133.0	59.0
106481456	1.0	1.0
26982	0.0	0.0
106481453	5.0	1.0
85347	0.0	0.0
26980	18.0	3.0
106481454	1.0	0.0
403238	0.0	0.0
85344	14.0	14.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	18.0	38.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	4.0	1.0
100873392	1.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	1.0	2.0
63901	3974.0	2924.0
100873390	0.0	0.0
728556	58.0	58.0
106481419	2.0	1.0
100128817	0.0	0.0
728558	133.0	51.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	979.0	429.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	4.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	436.0	241.0
100873384	0.0	0.0
285601	11.0	20.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	3.0
63910	202.0	118.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1175.0	813.0
222008	2.0	5900.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3724.0	4985.0
63904	0.0	0.0
106481430	0.0	1.0
163071	114.0	36.0
63906	963.0	953.0
106481433	0.0	0.0
63908	1062.0	699.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	2.0	0.0
100873389	0.0	0.0
100873388	4.0	0.0
285613	69.0	28.0
63920	1009.0	586.0
63923	2215.0	258.0
63922	692.0	916.0
728577	184.0	9.0
63925	2432.0	1406.0
63924	626.0	2548.0
63916	4731.0	3681.0
63917	5331.0	2177.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	5.0
728564	2.0	4.0
285622	2.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1673.0	1409.0
106481402	0.0	1.0
63931	2711.0	1219.0
106481403	0.0	0.0
63934	1414.0	454.0
728567	1.0	0.0
106481408	0.0	0.0
163088	3.0	2.0
63933	4279.0	2719.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4039.0	3300.0
163087	1493.0	529.0
728568	487.0	368.0
106481407	6.0	10.0
3704	1686.0	1171.0
3705	3974.0	5626.0
63926	1632.0	624.0
3706	5.0	103.0
63929	1542.0	726.0
3707	5439.0	3693.0
63928	3.0	0.0
3708	20078.0	2114.0
106481411	0.0	0.0
3709	15996.0	3416.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	37.0	21.0
3702	389.0	135.0
3703	19408.0	7600.0
645506	0.0	0.0
151050	1987.0	636.0
645520	0.0	0.0
63941	1472.0	1785.0
63940	1160.0	2639.0
63943	524.0	723.0
728517	0.0	0.0
163033	583.0	512.0
258010	4154.0	2544.0
63947	0.0	0.0
63946	1.0	1.0
728513	0.0	2.0
100033803	0.0	0.0
3716	24511.0	18395.0
100033804	0.0	0.0
3717	4228.0	1127.0
100033805	0.0	0.0
3718	602.0	322.0
63939	2004.0	1532.0
100033806	0.0	0.0
100190799	2.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	172.0	94.0
3710	6151.0	5392.0
3712	9603.0	7525.0
3713	6.0	0.0
3714	4224.0	1579.0
63950	4.0	0.0
728505	3.0	0.0
63951	181.0	16.0
100033807	0.0	0.0
728501	34.0	19.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4889.0	6008.0
100033814	0.0	0.0
3727	7915.0	9167.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	3.0
3728	26557.0	32647.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2865.0	2691.0
151056	322.0	115.0
3725	24647.0	12179.0
645528	2.0	0.0
728532	32.0	27.0
163059	516.0	287.0
728538	0.0	0.0
728537	448.0	192.0
63967	81.0	358.0
3737	39.0	11.0
3738	132.0	23.0
3739	4.0	1.0
645538	0.0	0.0
3730	3260.0	835.0
3732	5803.0	3322.0
3734	0.0	0.0
3735	10195.0	7274.0
3736	856.0	184.0
63970	287.0	8.0
3750	391.0	356.0
63971	9633.0	5086.0
63974	0.0	0.0
163049	3726.0	2014.0
63973	183.0	0.0
63976	267.0	122.0
222068	8264.0	5515.0
63978	1.0	0.0
63977	961.0	500.0
63979	1272.0	833.0
728524	0.0	0.0
3748	351.0	1340.0
163051	46.0	48.0
3749	2599.0	420.0
163050	86.0	68.0
3741	46.0	100.0
645548	27.0	29.0
3743	1.0	0.0
3744	0.0	0.0
3745	726.0	306.0
3746	38.0	8.0
3747	2569.0	635.0
285671	1235.0	247.0
285672	2221.0	1656.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	150.0	1488.0
285676	120.0	84.0
3761	1.0	0.0
100128657	0.0	0.0
285679	3.0	6.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1771.0	420.0
283008	21.0	8.0
3751	193.0	1488.0
100873435	0.0	0.0
3752	4752.0	597.0
100873434	0.0	0.0
3753	92.0	10.0
100873433	0.0	0.0
3754	46.0	894.0
100873432	0.0	0.0
3755	106.0	13.0
100873439	0.0	0.0
3756	10.0	228.0
100873438	0.0	0.0
3757	165.0	41.0
100873437	0.0	0.0
3758	2.0	2.0
100873436	0.0	0.0
100873420	4.0	1.0
3770	237.0	75.0
3772	108.0	97.0
100861458	0.0	1.0
100861453	25.0	20.0
100861455	0.0	0.0
1107	26689.0	14871.0
1106	14042.0	4784.0
1105	5064.0	4480.0
1104	2051.0	3002.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2528.0	880.0
1101	6292.0	1599.0
3762	288.0	382.0
100873424	0.0	0.0
3763	5.0	3.0
100128640	266.0	25.0
100873423	0.0	0.0
3764	905.0	952.0
100873422	0.0	0.0
3765	10.0	5.0
100873421	0.0	0.0
3766	21.0	20.0
100873428	0.0	0.0
3767	2575.0	1126.0
100873427	0.0	0.0
3768	156.0	127.0
1109	2.0	0.0
100873426	5.0	14.0
1108	25111.0	15303.0
3769	114.0	9.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	93.0	8.0
100873453	0.0	0.0
3781	19.0	99.0
100873452	0.0	1.0
3782	723.0	545.0
100873451	0.0	0.0
3783	1872.0	699.0
100873450	0.0	0.0
1121	2837.0	1595.0
100861468	0.0	1.0
1120	231.0	80.0
100861469	0.0	1.0
1118	158.0	111.0
1117	2860.0	238.0
1116	12048.0	2451.0
1114	850.0	5.0
1113	157.0	5.0
1112	6841.0	3406.0
1111	551.0	477.0
3773	1143.0	2.0
100873457	2.0	1.0
100873456	0.0	0.0
3775	395.0	1416.0
100873455	0.0	0.0
3776	708.0	102.0
100873454	0.0	0.0
3777	125.0	71.0
3778	2923.0	678.0
3779	1819.0	269.0
100873459	0.0	0.0
1119	3139.0	756.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	1181.0	899.0
100128628	10.0	6.0
3791	5221.0	3943.0
100873442	0.0	0.0
3792	240.0	17.0
100873441	5.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	50.0
1131	250.0	75.0
1130	5685.0	1406.0
100861476	0.0	0.0
1129	0.0	1.0
1128	509.0	58.0
1124	536.0	209.0
1123	1066.0	543.0
1122	2060.0	1231.0
100861470	0.0	0.0
3784	986.0	7586.0
100873446	0.0	0.0
3785	24.0	0.0
100873445	0.0	0.0
3786	433.0	245.0
100873444	0.0	0.0
3787	145.0	22.0
100873443	0.0	0.0
3788	7.0	9.0
100873449	20.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	150.0	152.0
100128618	1.0	0.0
728597	0.0	0.0
100128617	4.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	111.0	22.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	2.0
285634	3.0	4.0
1142	0.0	0.0
1141	189.0	11.0
285636	3732.0	2907.0
1140	859.0	587.0
728599	12.0	1.0
1139	39.0	5.0
1138	73.0	64.0
1137	2.0	0.0
100861485	0.0	0.0
1136	24.0	11.0
1135	139.0	4.0
1134	20.0	160.0
1133	25.0	12.0
3795	263.0	182.0
100873479	2.0	1.0
3796	2414.0	1226.0
100873478	0.0	0.0
3797	1615.0	1071.0
100873477	13.0	0.0
3798	439.0	13.0
100873476	0.0	0.0
3799	19633.0	11341.0
100873460	0.0	0.0
728586	23.0	13.0
285641	1.0	1.0
100873464	7.0	2.0
100873463	0.0	0.0
100873462	3.0	1.0
285643	1.0	1.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	2260.0	2854.0
1153	29139.0	12048.0
1152	1012.0	3090.0
285647	53.0	25.0
728589	31.0	14.0
728588	3.0	39.0
1149	86.0	187.0
1147	2383.0	1743.0
1146	2.0	1.0
1145	75.0	38.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	653.0	1840.0
1163	1165.0	1325.0
285659	1.0	0.0
1161	643.0	350.0
1160	242.0	155.0
1159	98.0	179.0
1158	6.0	5.0
1157	1.0	0.0
1155	2957.0	4041.0
550643	1736.0	2034.0
283025	0.0	1.0
100873499	1.0	1.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3544.0	3120.0
1175	3231.0	4214.0
285668	8.0	13.0
1174	2220.0	2336.0
1173	18628.0	22399.0
550631	257.0	171.0
100873489	0.0	0.0
283014	9.0	24.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	39.0	50.0
1186	3847.0	5625.0
1185	2278.0	855.0
1184	441.0	390.0
1183	660.0	198.0
1182	11902.0	5793.0
1181	388.0	285.0
440375	92.0	25.0
1180	27.0	54.0
1179	1.0	0.0
1178	0.0	3.0
283089	19.0	2.0
85495	0.0	0.0
85480	258.0	33.0
283080	0.0	0.0
1198	3700.0	2093.0
1197	2.0	0.0
1196	2825.0	1858.0
1195	13159.0	3360.0
440366	1.0	0.0
1193	1430.0	1050.0
1192	14780.0	23949.0
1191	54573.0	61480.0
1188	49.0	11.0
283078	238.0	64.0
85486	10.0	4.0
128615	0.0	0.0
85481	0.0	5.0
128611	149.0	40.0
440396	102.0	61.0
128609	0.0	0.0
128602	1.0	7.0
440387	2.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	5.0
126014	121.0	278.0
440335	1525.0	2943.0
100128690	0.0	0.0
114034	897.0	847.0
126006	204.0	313.0
114036	30.0	53.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	134.0	116.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	219.0	132.0
440356	11.0	3.0
440354	84.0	26.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	9.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	182.0	76.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	409.0	95.0
200734	6366.0	3198.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	23.0	6.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5812.0	4209.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	1.0
165530	189.0	9.0
85409	416.0	796.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	7.0	1.0
106481383	0.0	2.0
85417	69.0	20.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	360.0	320.0
106481389	0.0	0.0
85415	3694.0	661.0
106481387	0.0	0.0
85413	59.0	13.0
106481388	14.0	3.0
645436	3.0	1.0
106481381	0.0	1.0
106481382	0.0	0.0
10	63.0	75.0
106481380	0.0	0.0
11	2.0	1.0
403341	2288.0	1117.0
12	865.0	585.0
13	7.0	0.0
14	8418.0	6822.0
15	2.0	2.0
16	10370.0	10033.0
645455	19.0	8.0
18	6473.0	5159.0
19	3425.0	1910.0
128580	24.0	3.0
85407	161.0	318.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2336.0	2496.0
106481395	3.0	0.0
85403	2552.0	3013.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	1.0
106481393	0.0	0.0
20	5667.0	4838.0
106481390	0.0	0.0
21	4192.0	9648.0
106481391	0.0	0.0
22	2318.0	628.0
153571	694.0	235.0
153572	4845.0	483.0
23	5490.0	6382.0
24	282.0	587.0
25	10058.0	6934.0
26	27.0	34.0
27	2911.0	2719.0
28	762.0	125.0
29	9846.0	5537.0
153579	2900.0	708.0
728615	1.0	0.0
728614	0.0	1.0
200765	373.0	160.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	19.0	20.0
102466518	1.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2132.0	854.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3507.0	3748.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	216.0	73.0
106481366	0.0	0.0
30	3493.0	1787.0
106481360	0.0	0.0
31	11795.0	3163.0
32	4277.0	3624.0
33	91.0	67.0
34	5601.0	2246.0
35	2875.0	1742.0
153562	3058.0	2323.0
36	17406.0	4008.0
37	21943.0	13279.0
38	4792.0	2282.0
440307	4.0	6.0
39	1482.0	1382.0
165545	19.0	59.0
106481369	0.0	0.0
728606	948.0	520.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	45.0	108.0
106481370	0.0	0.0
41	543.0	157.0
106481371	0.0	0.0
43	58.0	23.0
645486	0.0	1.0
47	17665.0	9567.0
48	4942.0	3316.0
49	24.0	5.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	8.0	2.0
106481340	0.0	0.0
