id	352a2653-8001-44cd-852c-288684114104	e70fb08e-1239-4035-874e-64dbb3ac0e3d
285550	1679.0	1436.0
100873310	0.0	0.0
100128777	1.0	1.0
285555	21.0	12.0
3640	11.0	9.0
3638	2365.0	1914.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2806.0	1952.0
100873313	1.0	0.0
3632	1833.0	1070.0
100873312	9.0	0.0
100873311	0.0	0.0
3633	2654.0	2081.0
100873318	0.0	0.0
3635	4248.0	2571.0
100873317	1.0	0.0
3636	6521.0	5794.0
100128771	142.0	85.0
100873316	10.0	2.0
100873315	0.0	0.0
100128766	1.0	5.0
3651	0.0	0.0
1	56.0	12.0
2	154218.0	23630.0
100873309	0.0	0.0
100873308	0.0	0.0
3	61.0	17.0
3641	0.0	2.0
100873303	0.0	2.0
9	1125.0	239.0
3642	5.0	19.0
100873302	0.0	0.0
3643	9089.0	5692.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	81.0	13.0
100873307	0.0	0.0
3646	25397.0	22736.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	281.0	39.0
100873304	0.0	0.0
100873332	7.0	1.0
3660	3698.0	5304.0
100873331	0.0	0.0
3661	2786.0	4236.0
100873330	0.0	0.0
285577	1.0	0.0
3662	942.0	1091.0
100128756	0.0	0.0
1000	116.0	135.0
3652	1320.0	1483.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	110.0	14.0
3654	6341.0	24696.0
100873334	0.0	0.0
3655	23137.0	34336.0
100873333	0.0	1.0
3656	539.0	1731.0
100873339	0.0	0.0
3658	5290.0	4698.0
100873338	0.0	0.0
3659	5971.0	22662.0
100873337	0.0	2.0
3670	42.0	0.0
100873321	0.0	0.0
3671	15022.0	2104.0
100873320	0.0	0.0
3672	12034.0	1661.0
285588	1.0	0.0
3673	7503.0	6482.0
1011	0.0	0.0
1010	287.0	4.0
1008	50.0	0.0
1007	0.0	0.0
1006	82.0	501.0
1005	10.0	0.0
1004	1104.0	128.0
1003	13205.0	1552.0
1002	221.0	18.0
1001	9812.0	32246.0
3663	813.0	4891.0
100873325	0.0	0.0
3664	10898.0	40382.0
100873324	0.0	0.0
3665	1223.0	2652.0
100873323	0.0	0.0
100873322	1.0	0.0
3667	7704.0	414.0
100873329	0.0	0.0
285590	8286.0	8111.0
100873328	0.0	0.0
3669	671.0	1869.0
100873327	0.0	0.0
1009	4275.0	2203.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	3.0
728477	13.0	6.0
3680	4182.0	677.0
3681	13.0	25.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1072.0	1157.0
100873353	0.0	0.0
3683	2396.0	3566.0
100873352	1.0	0.0
128710	1143.0	1765.0
3684	1468.0	4757.0
100873351	0.0	0.0
285512	252.0	179.0
1022	1184.0	1467.0
285513	1750.0	1460.0
1021	4498.0	5883.0
1020	539.0	1028.0
440299	2.0	4.0
1019	3909.0	4243.0
128709	0.0	0.0
1018	45.0	47.0
1017	2111.0	2526.0
1016	4.0	2.0
1015	84.0	27.0
1014	1.0	2.0
1013	2.0	3.0
1012	3998.0	614.0
116730	77.0	129.0
3674	42.0	75.0
100873358	0.0	0.0
3675	11159.0	1777.0
100873357	5.0	1.0
3676	1299.0	1018.0
100128731	5130.0	7869.0
100873356	0.0	0.0
3678	7538.0	6200.0
3679	8085.0	395.0
100873359	0.0	0.0
728464	88.0	11.0
728463	60.0	0.0
100128725	0.0	0.0
3690	576.0	59.0
3691	18395.0	23334.0
100873343	3.0	8.0
3692	4761.0	10350.0
3693	14755.0	9367.0
285521	1392.0	1100.0
100873342	0.0	0.0
3694	7648.0	11507.0
100873341	0.0	0.0
3695	344.0	496.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	110.0	858.0
1032	360.0	1959.0
285525	5.0	0.0
1031	1908.0	1123.0
285527	7633.0	5940.0
1030	2902.0	104.0
728468	0.0	0.0
440288	186.0	210.0
1029	348.0	70.0
440295	261.0	400.0
1028	2881.0	219.0
1027	6323.0	4574.0
1026	4599.0	5613.0
1025	3850.0	4040.0
1024	1117.0	1540.0
3685	16528.0	9629.0
100873347	2.0	0.0
100873346	0.0	0.0
3687	1273.0	5538.0
100873345	1.0	1.0
3688	44381.0	10365.0
100873344	3.0	0.0
3689	5714.0	17435.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	10.0	2.0
100873370	0.0	0.0
728498	20.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	59.0	18.0
100873375	0.0	0.0
100128710	1.0	1.0
285533	298.0	433.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	27.0	57.0
1043	1643.0	1880.0
1041	18.0	34.0
1040	2307.0	1205.0
1039	1936.0	1230.0
1038	25.0	0.0
1036	2540.0	61.0
3696	5438.0	12634.0
3697	11.0	11.0
100873379	0.0	0.0
3698	463.0	14.0
100873378	4.0	3.0
3699	161.0	16.0
100873377	0.0	0.0
728486	4.0	33.0
100873361	0.0	0.0
105373869	8.0	213.0
100873360	0.0	1.0
285540	96.0	67.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	1.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	3941.0	5027.0
285547	0.0	0.0
1053	2.0	6.0
285548	7.0	9.0
1052	4601.0	6207.0
1051	4557.0	17333.0
728489	11.0	11.0
1050	3726.0	2714.0
100128707	0.0	0.0
1048	27.0	344.0
1047	129.0	307.0
1046	0.0	0.0
1045	3.0	2.0
100873369	11.0	14.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	7972.0	97.0
1063	1194.0	18642.0
1062	300.0	2822.0
1061	5.0	1.0
1060	2458.0	895.0
440253	358.0	106.0
1059	6151.0	13173.0
1058	47.0	1394.0
1057	1.0	4.0
85379	12647.0	9852.0
114112	1141.0	1481.0
1056	52.0	603.0
85377	4077.0	14254.0
85378	4407.0	1589.0
128745	0.0	0.0
85376	7.0	9.0
440248	1520.0	1201.0
1075	7993.0	57910.0
1074	25.0	18.0
1073	3162.0	576.0
1072	31937.0	57369.0
1071	168.0	81.0
440243	1.0	2.0
1070	1026.0	1011.0
1069	3319.0	5425.0
1068	0.0	0.0
85369	3092.0	3423.0
85366	1.0	21.0
85364	2082.0	1506.0
85365	3062.0	2645.0
85363	2602.0	2108.0
85360	1571.0	707.0
1080	123.0	223.0
85391	54.0	26.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	677.0	698.0
1087	10.0	242.0
1086	1.0	1.0
440279	17.0	0.0
1085	4.0	1.0
1084	21.0	36.0
440278	181.0	261.0
1082	1.0	0.0
403294	1.0	0.0
