id	7bca938a-45fa-4a07-ba7b-71796388e645	0c7d119e-22c0-47ed-b736-3404ab2c7065
285550	899.0	512.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	3.0	34.0
3640	4.0	0.0
3638	3186.0	1060.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1349.0	1468.0
100873313	0.0	0.0
3632	1332.0	684.0
100873312	2.0	12.0
100873311	0.0	0.0
3633	1046.0	803.0
100873318	0.0	5.0
3635	1746.0	887.0
100873317	0.0	7.0
3636	3285.0	2161.0
100128771	106.0	112.0
100873316	8.0	5.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	1.0
1	6.0	24.0
2	90997.0	23657.0
100873309	2.0	0.0
100873308	0.0	4.0
3	60.0	19.0
3641	0.0	0.0
100873303	1.0	0.0
9	213.0	9738.0
3642	5.0	0.0
100873302	0.0	2.0
3643	4936.0	6302.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	14.0	9.0
100873307	0.0	0.0
3646	14625.0	7413.0
100873306	0.0	0.0
100873305	0.0	2.0
3647	37.0	40.0
100873304	0.0	7.0
100873332	6.0	0.0
3660	2092.0	1030.0
100873331	0.0	0.0
3661	1168.0	744.0
100873330	0.0	0.0
285577	6.0	0.0
3662	477.0	84.0
100128756	0.0	0.0
1000	38.0	129.0
3652	559.0	748.0
100873336	2.0	1.0
100873335	0.0	0.0
100128750	101.0	41.0
3654	4102.0	2123.0
100873334	0.0	0.0
3655	5415.0	6567.0
100873333	1.0	1.0
3656	559.0	152.0
100873339	0.0	4.0
3658	3302.0	3715.0
100873338	0.0	3.0
3659	1814.0	1065.0
100873337	0.0	0.0
3670	5.0	0.0
100873321	0.0	16.0
3671	15043.0	2100.0
100873320	0.0	0.0
3672	8069.0	3254.0
285588	0.0	10.0
3673	323.0	3664.0
1011	0.0	0.0
1010	7.0	10.0
1008	18.0	1.0
1007	0.0	0.0
1006	6.0	35.0
1005	2.0	15.0
1004	713.0	609.0
1003	10525.0	1263.0
1002	29.0	24.0
1001	73.0	539.0
3663	916.0	408.0
100873325	0.0	6.0
3664	369.0	7519.0
100873324	0.0	2.0
3665	340.0	437.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2884.0	4759.0
100873329	0.0	0.0
285590	6274.0	2902.0
100873328	0.0	4.0
3669	161.0	166.0
100873327	0.0	5.0
1009	2568.0	12004.0
100873326	0.0	6.0
100873350	0.0	0.0
116729	2.0	1.0
728477	0.0	13.0
3680	2905.0	1146.0
3681	11.0	19.0
100128733	0.0	3.0
100873354	0.0	0.0
3682	795.0	705.0
100873353	0.0	1.0
3683	504.0	536.0
100873352	1.0	0.0
128710	518.0	1409.0
3684	4190.0	1781.0
100873351	0.0	0.0
285512	82.0	141.0
1022	569.0	1588.0
285513	584.0	2102.0
1021	2735.0	4310.0
1020	332.0	486.0
440299	0.0	0.0
1019	2323.0	1321.0
128709	0.0	0.0
1018	18.0	9.0
1017	745.0	781.0
1016	0.0	5.0
1015	4.0	15.0
1014	3.0	10.0
1013	1.0	6.0
1012	1589.0	510.0
116730	39.0	6.0
3674	20.0	16.0
100873358	0.0	3.0
3675	1522.0	2344.0
100873357	3.0	3.0
3676	279.0	1141.0
100128731	4647.0	2883.0
100873356	0.0	0.0
3678	10123.0	2683.0
3679	17860.0	884.0
100873359	0.0	0.0
728464	40.0	32.0
728463	18.0	36.0
100128725	0.0	0.0
3690	911.0	190.0
3691	2421.0	2039.0
100873343	0.0	5.0
3692	2531.0	2383.0
3693	17470.0	16374.0
285521	641.0	685.0
100873342	0.0	0.0
3694	26.0	1918.0
100873341	0.0	0.0
3695	80.0	57.0
100873340	0.0	12.0
100128723	0.0	3.0
1033	190.0	221.0
1032	281.0	123.0
285525	0.0	6.0
1031	1919.0	367.0
285527	3683.0	5418.0
1030	7130.0	1150.0
728468	0.0	0.0
440288	53.0	93.0
1029	172.0	115.0
440295	23.0	66.0
1028	4542.0	285.0
1027	3226.0	4153.0
1026	3726.0	1379.0
1025	2126.0	1245.0
1024	683.0	483.0
3685	11434.0	17770.0
100873347	0.0	0.0
100873346	0.0	1.0
3687	787.0	2596.0
100873345	1.0	0.0
3688	38803.0	24451.0
100873344	0.0	0.0
3689	6952.0	7970.0
100873349	0.0	12.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	3.0
100873370	0.0	0.0
728498	20.0	18.0
100873376	0.0	4.0
728493	0.0	0.0
100128711	1.0	0.0
728492	23.0	15.0
100873375	0.0	3.0
100128710	0.0	20.0
285533	91.0	47.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	10.0
1043	1292.0	1275.0
1041	0.0	0.0
1040	456.0	1736.0
1039	1043.0	1745.0
1038	29.0	77.0
1036	4331.0	286.0
3696	307.0	908.0
3697	11.0	3.0
100873379	0.0	0.0
3698	5.0	14.0
100873378	0.0	2.0
3699	63.0	43.0
100873377	0.0	0.0
728486	35.0	10.0
100873361	0.0	0.0
105373869	6.0	287.0
100873360	0.0	6.0
285540	77.0	91.0
100128705	1.0	6.0
100873365	0.0	19.0
