id	22562d81-b588-454e-bf1a-c67bd24f0d54	02759563-fa2b-4d96-ab78-dd7fee7513d4
100128731	6379.0	9002.0
100873356	0.0	0.0
3678	2314.0	1578.0
3679	2662.0	283.0
100873359	0.0	0.0
728464	24.0	9.0
728463	5.0	43.0
100128725	0.0	0.0
3690	66.0	8.0
3691	14382.0	341.0
100873343	0.0	0.0
3692	5608.0	7522.0
3693	15182.0	2738.0
285521	1199.0	513.0
100873342	0.0	0.0
3694	4405.0	255.0
100873341	0.0	0.0
3695	37.0	17.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	108.0	454.0
1032	245.0	833.0
285525	2.0	1.0
1031	1966.0	735.0
285527	2047.0	878.0
1030	371.0	3118.0
728468	0.0	0.0
440288	130.0	35.0
1029	209.0	1788.0
440295	90.0	100.0
1028	3480.0	1673.0
1027	6967.0	2761.0
1026	2832.0	27330.0
1025	2733.0	1624.0
1024	621.0	1171.0
3685	3618.0	1263.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	334.0	461.0
100873345	0.0	0.0
3688	17534.0	5242.0
100873344	0.0	0.0
3689	1657.0	1602.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	4.0	0.0
100873370	0.0	0.0
728498	7.0	1.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	61.0	12.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	111.0	25.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	36.0	9.0
1043	545.0	918.0
1041	127.0	131.0
1040	2739.0	3267.0
1039	1680.0	854.0
1038	11.0	8.0
1036	916.0	4.0
3696	942.0	799.0
3697	5.0	7.0
100873379	0.0	0.0
3698	66.0	1.0
100873378	1.0	1.0
3699	115.0	9.0
100873377	0.0	0.0
728486	1.0	3.0
100873361	0.0	0.0
105373869	3.0	18.0
100873360	0.0	0.0
285540	44.0	14.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	6.0	1.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	1836.0	4040.0
285547	0.0	0.0
1053	0.0	1.0
285548	0.0	0.0
1052	2437.0	669.0
1051	3001.0	5855.0
728489	0.0	0.0
1050	1857.0	8262.0
100128707	0.0	0.0
1048	205.0	24.0
1047	207.0	267.0
1046	0.0	0.0
1045	0.0	0.0
100873369	7.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	2444.0	975.0
1063	490.0	7669.0
1062	95.0	1282.0
1061	0.0	0.0
1060	933.0	502.0
440253	39.0	15.0
1059	5348.0	4110.0
1058	38.0	983.0
1057	0.0	2.0
85379	8032.0	1442.0
114112	695.0	650.0
1056	35.0	415.0
85377	1737.0	3040.0
85378	2228.0	820.0
128745	0.0	0.0
85376	7.0	3.0
440248	293.0	149.0
1075	2463.0	5139.0
1074	14.0	2.0
1073	1123.0	306.0
1072	38781.0	37693.0
1071	66.0	64.0
440243	0.0	0.0
1070	1022.0	438.0
1069	4446.0	5639.0
1068	0.0	0.0
85369	1841.0	1161.0
85366	0.0	8.0
85364	1524.0	1411.0
85365	2061.0	1025.0
85363	1471.0	97.0
85360	792.0	220.0
1080	44.0	6.0
85391	0.0	8.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	362.0	324.0
1087	10.0	6.0
1086	0.0	0.0
440279	1.0	2.0
1085	1.0	0.0
1084	2.0	5.0
440278	68.0	95.0
1082	0.0	0.0
403294	1.0	0.0
440275	2981.0	1745.0
1081	1.0	18.0
85397	0.0	6.0
85395	742.0	740.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	320.0	29.0
1089	0.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	0.0	2.0
285598	346.0	193.0
126133	2285.0	2032.0
128790	0.0	1.0
126129	168.0	297.0
126123	0.0	0.0
442862	0.0	0.0
126119	789.0	863.0
442863	0.0	0.0
442864	1.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	3.0	2.0
442897	0.0	0.0
442898	0.0	2.0
114134	151.0	431.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	1.0
100128788	78.0	31.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	233.0	50.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	8.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	35.0	25.0
102466616	0.0	0.0
126052	0.0	0.0
151009	22.0	1.0
403227	7.0	0.0
403228	0.0	0.0
138046	0.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	8.0	2.0
645572	0.0	0.0
645571	5.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1095.0	1119.0
107131122	0.0	1.0
138050	5623.0	1901.0
403219	0.0	2.0
151011	2285.0	813.0
645587	2.0	6.0
165679	351.0	36.0
126037	56.0	43.0
114049	4421.0	4555.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	464.0	149.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1735.0	1207.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	216.0	86.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	266.0	5.0
645598	4.0	0.0
163007	0.0	5.0
114038	6.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	51.0	11.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	8.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	157.0	110.0
126017	475.0	857.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	780.0	213.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1563.0	112.0
106481459	0.0	0.0
26994	4929.0	2494.0
106481457	2.0	8.0
26995	3090.0	2066.0
106481458	0.0	0.0
403271	0.0	0.0
26998	13.0	22.0
403272	0.0	0.0
102466659	0.0	0.0
26999	756.0	1018.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	5.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2272.0	1673.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	4.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2134.0	7.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	11295.0	39.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	318.0	351.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	5.0
106481437	0.0	0.0
26974	194.0	520.0
153657	43.0	8.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	972.0	2165.0
165631	29.0	19.0
106481436	0.0	0.0
26978	9.0	30.0
126075	647.0	102.0
106481439	0.0	0.0
403250	0.0	0.0
126074	244.0	82.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2558.0	1129.0
106481444	2.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1310.0	572.0
85354	0.0	0.0
85352	36.0	12.0
403241	0.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	469.0	109.0
153643	193.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	3049.0	2800.0
106481448	0.0	0.0
26986	81169.0	225400.0
126069	106.0	96.0
106481449	0.0	0.0
126068	461.0	183.0
106481446	0.0	0.0
26983	0.0	0.0
26984	856.0	780.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	3.0
106481450	0.0	0.0
114088	478.0	13.0
106481455	0.0	0.0
85349	75.0	26.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	10.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	7.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	11.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1422.0	990.0
100873390	0.0	0.0
728556	57.0	58.0
106481419	0.0	8.0
100128817	0.0	0.0
728558	76.0	46.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	368.0	429.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	139.0	31.0
100873384	0.0	0.0
285601	5.0	2.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	2.0	0.0
63910	53.0	52.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	248.0	182.0
222008	2.0	16.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2676.0	1871.0
63904	0.0	0.0
106481430	0.0	5.0
163071	47.0	17.0
63906	899.0	605.0
106481433	0.0	0.0
63908	466.0	402.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	78.0	86.0
63920	307.0	176.0
63923	1174.0	406.0
63922	398.0	601.0
728577	64.0	7.0
63925	1147.0	760.0
63924	5537.0	11.0
63916	2286.0	1486.0
63917	3183.0	3294.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	0.0
728564	0.0	17.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1102.0	1235.0
106481402	0.0	0.0
63931	1491.0	2773.0
106481403	0.0	0.0
63934	557.0	324.0
728567	7.0	2.0
106481408	0.0	0.0
163088	9.0	1.0
63933	2062.0	3368.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2676.0	1174.0
163087	383.0	324.0
728568	458.0	219.0
106481407	5.0	12.0
3704	2837.0	2246.0
3705	3879.0	2220.0
63926	701.0	885.0
3706	9.0	3.0
63929	637.0	875.0
3707	2778.0	3297.0
63928	7.0	3.0
3708	5922.0	215.0
106481411	2.0	0.0
3709	3288.0	798.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	42.0	0.0
3702	51.0	124.0
3703	10583.0	6038.0
645506	1.0	0.0
151050	547.0	284.0
645520	0.0	0.0
63941	1181.0	5191.0
63940	560.0	338.0
63943	560.0	1016.0
728517	0.0	0.0
163033	507.0	865.0
258010	1128.0	1077.0
63947	0.0	2.0
63946	2.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	12106.0	7835.0
100033804	0.0	0.0
3717	761.0	438.0
100033805	0.0	0.0
3718	369.0	411.0
63939	800.0	1243.0
100033806	0.0	0.0
100190799	0.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	86.0	14.0
3710	3893.0	336.0
3712	5077.0	1411.0
3713	18.0	176.0
3714	3499.0	1484.0
63950	1.0	7.0
728505	3.0	0.0
63951	100.0	119.0
100033807	0.0	0.0
728501	34.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12166.0	3906.0
100033814	0.0	0.0
3727	13172.0	4850.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	32613.0	23198.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1610.0	5057.0
151056	158.0	657.0
3725	38794.0	3115.0
645528	3.0	0.0
728532	37.0	13.0
163059	332.0	201.0
728538	1.0	0.0
728537	135.0	28.0
63967	46.0	212.0
3737	6.0	7.0
3738	13.0	15.0
3739	1.0	0.0
645538	0.0	0.0
3730	737.0	494.0
3732	3770.0	5684.0
3734	0.0	0.0
3735	10639.0	6473.0
3736	169.0	1.0
63970	205.0	3.0
3750	226.0	68.0
63971	5247.0	1241.0
63974	0.0	0.0
163049	1928.0	1022.0
63973	116.0	0.0
63976	49.0	11.0
222068	5419.0	7289.0
63978	0.0	0.0
63977	501.0	612.0
63979	468.0	884.0
728524	0.0	0.0
3748	545.0	510.0
163051	41.0	29.0
3749	964.0	89.0
163050	49.0	15.0
3741	24.0	7.0
645548	28.0	101.0
3743	0.0	0.0
3744	0.0	3.0
3745	385.0	282.0
3746	42.0	18.0
3747	64.0	1.0
285671	292.0	206.0
285672	1498.0	1043.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	447.0	129.0
285676	71.0	112.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	224.0	154.0
283008	2.0	0.0
3751	82.0	34.0
100873435	0.0	0.0
3752	465.0	47.0
100873434	0.0	0.0
3753	34.0	1.0
100873433	0.0	0.0
3754	44.0	36.0
100873432	0.0	0.0
3755	163.0	827.0
100873439	0.0	0.0
3756	11.0	6.0
100873438	0.0	0.0
3757	77.0	303.0
100873437	0.0	0.0
3758	3.0	1.0
100873436	0.0	0.0
100873420	6.0	1.0
3770	153.0	183.0
3772	47.0	11.0
100861458	0.0	2.0
100861453	10.0	1.0
100861455	0.0	0.0
1107	12521.0	2774.0
1106	5031.0	2040.0
1105	1738.0	1412.0
1104	2294.0	2298.0
100873429	0.0	0.0
1103	0.0	1.0
1102	852.0	146.0
1101	1350.0	335.0
3762	189.0	114.0
100873424	0.0	0.0
3763	2.0	3.0
100128640	117.0	45.0
100873423	0.0	0.0
3764	518.0	281.0
100873422	0.0	0.0
3765	3.0	3.0
100873421	0.0	1.0
3766	8.0	10.0
100873428	0.0	0.0
3767	2408.0	120.0
100873427	0.0	0.0
3768	35.0	11.0
1109	0.0	0.0
100873426	3.0	0.0
1108	16317.0	13682.0
3769	95.0	0.0
100873425	1.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	52.0	9.0
100873453	0.0	0.0
3781	23.0	17.0
100873452	0.0	0.0
3782	130.0	145.0
100873451	0.0	0.0
3783	1761.0	4148.0
100873450	0.0	0.0
1121	851.0	494.0
100861468	0.0	0.0
1120	117.0	104.0
100861469	0.0	0.0
1118	428.0	1096.0
1117	1243.0	5104.0
1116	2994.0	1887.0
1114	28.0	17.0
1113	22.0	19.0
1112	2210.0	1867.0
1111	311.0	682.0
3773	82.0	0.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	613.0	380.0
100873455	0.0	0.0
3776	295.0	13.0
100873454	0.0	0.0
3777	206.0	2009.0
3778	6424.0	974.0
3779	3041.0	327.0
100873459	0.0	0.0
1119	1173.0	2926.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	782.0	383.0
100128628	1.0	0.0
3791	2205.0	866.0
100873442	0.0	0.0
3792	34.0	44.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	0.0
1131	70.0	14.0
1130	1156.0	754.0
100861476	0.0	0.0
1129	1.0	0.0
1128	145.0	1436.0
1124	221.0	31.0
1123	828.0	684.0
1122	704.0	290.0
100861470	0.0	0.0
3784	411.0	445.0
100873446	0.0	0.0
3785	17.0	2.0
100873445	0.0	0.0
3786	59.0	82.0
100873444	0.0	0.0
3787	63.0	373.0
100873443	0.0	0.0
3788	0.0	3.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	66.0	119.0
100128618	1.0	1.0
728597	0.0	0.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	87.0	46.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	6.0
285634	0.0	0.0
1142	0.0	0.0
1141	325.0	120.0
285636	1324.0	1604.0
1140	504.0	284.0
728599	6.0	1.0
1139	4.0	6.0
1138	42.0	13.0
1137	13.0	0.0
100861485	0.0	0.0
1136	7.0	6.0
1135	16.0	0.0
1134	36.0	75.0
1133	17.0	18.0
3795	362.0	416.0
100873479	1.0	1.0
3796	843.0	998.0
100873478	0.0	0.0
3797	1419.0	1475.0
100873477	0.0	6.0
3798	282.0	9.0
100873476	0.0	0.0
3799	6548.0	5211.0
100873460	0.0	0.0
728586	11.0	4.0
285641	0.0	0.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	2.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2885.0	2407.0
1153	20257.0	5382.0
1152	1608.0	88.0
285647	26.0	6.0
728589	39.0	5.0
728588	3.0	1.0
1149	2830.0	39.0
1147	896.0	1463.0
1146	0.0	0.0
1145	81.0	108.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	823.0	1922.0
1163	1029.0	2512.0
285659	0.0	0.0
1161	330.0	302.0
1160	316.0	41.0
1159	164.0	1562.0
1158	5.0	48.0
1157	0.0	0.0
1155	3222.0	3639.0
550643	855.0	1790.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1657.0	1897.0
1175	3874.0	7364.0
285668	46.0	0.0
1174	2940.0	5081.0
1173	17543.0	10635.0
550631	266.0	103.0
100873489	0.0	0.0
283014	9.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	16.0	18.0
1186	3258.0	1719.0
1185	935.0	454.0
1184	191.0	1102.0
1183	216.0	684.0
1182	4231.0	2288.0
1181	225.0	172.0
440375	29.0	9.0
1180	98.0	15.0
1179	0.0	0.0
1178	0.0	19.0
283089	3.0	7.0
85495	0.0	0.0
85480	287.0	10.0
283080	0.0	0.0
1198	2496.0	1311.0
1197	0.0	0.0
1196	1749.0	3796.0
1195	2969.0	1179.0
440366	0.0	1.0
1193	512.0	392.0
1192	20104.0	11230.0
1191	39743.0	2732.0
1188	40.0	2.0
283078	93.0	7.0
85486	7.0	11.0
128615	0.0	0.0
85481	0.0	0.0
128611	19.0	32.0
440396	25.0	39.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	7.0	0.0
126014	55.0	106.0
440335	1845.0	1133.0
100128690	0.0	0.0
114034	741.0	405.0
126006	58.0	19.0
114036	10.0	40.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	62.0	54.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	3.0	1.0
100861429	0.0	0.0
128653	3.0	0.0
200728	207.0	86.0
440356	9.0	5.0
440354	16.0	25.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	10.0	1.0
100873410	0.0	0.0
100873417	0.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	74.0	54.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	71.0	20.0
200734	4417.0	935.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	15.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2625.0	4471.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	5.0	1.0
165530	83.0	61.0
85409	331.0	58.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	0.0	0.0
85417	29.0	31.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	295.0	881.0
106481389	0.0	0.0
85415	1145.0	814.0
106481387	0.0	0.0
85413	20.0	13.0
106481388	0.0	0.0
645436	1.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	29.0
106481380	0.0	0.0
11	0.0	0.0
403341	622.0	544.0
12	403.0	1.0
13	71.0	37.0
14	8024.0	4648.0
15	0.0	0.0
16	9247.0	6964.0
645455	4.0	8.0
18	2185.0	366.0
19	908.0	779.0
128580	15.0	5.0
85407	125.0	129.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1251.0	665.0
106481395	0.0	0.0
85403	1509.0	857.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	3347.0	749.0
106481390	0.0	0.0
21	3307.0	1096.0
106481391	0.0	0.0
22	1761.0	1343.0
153571	617.0	450.0
153572	4036.0	787.0
23	4445.0	4265.0
24	62.0	314.0
25	4620.0	2423.0
26	8.0	53.0
27	1222.0	5546.0
28	293.0	43.0
29	6281.0	2479.0
153579	2975.0	58.0
728615	0.0	0.0
728614	0.0	0.0
200765	213.0	117.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	6.0	17.0
102466518	3.0	0.0
102466516	4.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1288.0	110.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3181.0	2058.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	90.0	36.0
106481366	0.0	0.0
30	4512.0	1952.0
106481360	0.0	0.0
31	5149.0	4736.0
32	4423.0	1838.0
33	72.0	18.0
34	2499.0	1533.0
35	2968.0	741.0
153562	1419.0	717.0
36	3778.0	958.0
37	18032.0	7307.0
38	3701.0	7196.0
440307	6.0	2.0
39	1232.0	3138.0
165545	11.0	111.0
106481369	0.0	0.0
728606	52.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	25.0	0.0
106481370	0.0	0.0
41	190.0	74.0
106481371	0.0	0.0
43	44.0	55.0
645486	1.0	0.0
47	10391.0	14484.0
48	3720.0	1967.0
49	2.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	3.0	0.0
106481340	0.0	0.0
85458	2349.0	307.0
106481345	0.0	0.0
85459	450.0	1947.0
106481346	0.0	0.0
85456	16370.0	17536.0
442910	0.0	0.0
106481343	0.0	0.0
85457	1831.0	1282.0
442911	0.0	0.0
