id	a19d9498-5d19-4aef-9db9-d62deef77142	dcaf948d-c02a-4b7b-913b-e91c74b7641c
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	497.0	330.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	10.0
106481437	0.0	0.0
26974	148.0	38.0
153657	19.0	3.0
106481438	1.0	1.0
106481435	0.0	0.0
26973	573.0	396.0
165631	22.0	0.0
106481436	1.0	0.0
26978	20.0	17.0
126075	817.0	173.0
106481439	0.0	0.0
403250	0.0	0.0
126074	372.0	118.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2624.0	1117.0
106481444	6.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1309.0	386.0
85354	0.0	0.0
85352	54.0	105.0
403241	3.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	224.0	170.0
153643	56.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	2831.0	1190.0
106481448	0.0	0.0
26986	71614.0	67907.0
126069	74.0	76.0
106481449	0.0	0.0
126068	328.0	215.0
106481446	0.0	0.0
26983	0.0	0.0
26984	772.0	434.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	287.0	13.0
106481455	0.0	0.0
85349	127.0	0.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	14.0
106481454	0.0	0.0
403238	0.0	0.0
85344	4.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	8.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1641.0	1137.0
100873390	0.0	0.0
728556	71.0	23.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	61.0	16.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	270.0	164.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	1.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	90.0	62.0
100873384	0.0	0.0
285601	1.0	2.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	4.0	13.0
63910	92.0	48.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	411.0	274.0
222008	18.0	9552.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3452.0	1208.0
63904	0.0	0.0
106481430	0.0	0.0
163071	33.0	1.0
63906	905.0	241.0
106481433	0.0	0.0
63908	439.0	143.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	50.0	21.0
63920	239.0	74.0
63923	1329.0	89.0
63922	687.0	284.0
728577	135.0	1.0
63925	1417.0	463.0
63924	1172.0	11.0
63916	2686.0	1248.0
63917	3190.0	855.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	4.0
728564	6.0	1.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1196.0	591.0
106481402	0.0	0.0
63931	1461.0	557.0
106481403	0.0	0.0
63934	548.0	102.0
728567	4.0	11.0
106481408	0.0	0.0
163088	1.0	0.0
63933	1657.0	1120.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3357.0	1152.0
163087	350.0	172.0
728568	329.0	276.0
106481407	10.0	7.0
3704	3025.0	1329.0
3705	4675.0	1373.0
63926	621.0	498.0
3706	10.0	45.0
63929	959.0	558.0
3707	2513.0	642.0
63928	0.0	0.0
3708	2985.0	1056.0
106481411	0.0	0.0
3709	4222.0	1457.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	16.0	1.0
3702	88.0	75.0
3703	9382.0	5894.0
645506	0.0	0.0
151050	372.0	295.0
645520	0.0	0.0
63941	1266.0	193.0
63940	959.0	405.0
63943	509.0	261.0
728517	0.0	0.0
163033	589.0	209.0
258010	1291.0	543.0
63947	0.0	0.0
63946	5.0	0.0
728513	3.0	0.0
100033803	0.0	0.0
3716	9813.0	5587.0
100033804	0.0	0.0
3717	488.0	363.0
100033805	0.0	0.0
3718	466.0	227.0
63939	614.0	262.0
100033806	0.0	0.0
100190799	0.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	73.0	18.0
3710	3062.0	2252.0
3712	6667.0	1860.0
3713	53.0	8.0
3714	4131.0	565.0
63950	1.0	2.0
728505	0.0	1.0
63951	68.0	12.0
100033807	0.0	0.0
728501	35.0	5.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8271.0	4152.0
100033814	0.0	0.0
3727	11126.0	3884.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	86948.0	74791.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1697.0	1121.0
151056	249.0	51.0
3725	24280.0	6342.0
645528	1.0	0.0
728532	26.0	29.0
163059	288.0	205.0
728538	2.0	2.0
728537	110.0	4.0
63967	162.0	163.0
3737	8.0	0.0
3738	29.0	5.0
3739	0.0	0.0
645538	0.0	0.0
3730	571.0	1018.0
3732	6338.0	1448.0
3734	0.0	0.0
3735	8201.0	2996.0
3736	139.0	12.0
63970	416.0	29.0
3750	293.0	45.0
63971	3681.0	2053.0
63974	0.0	0.0
163049	1395.0	490.0
63973	135.0	0.0
63976	78.0	31.0
222068	5254.0	1975.0
63978	1.0	0.0
63977	570.0	231.0
63979	500.0	362.0
728524	0.0	0.0
3748	590.0	62.0
163051	48.0	5.0
3749	1679.0	214.0
163050	44.0	43.0
3741	6.0	10.0
645548	12.0	7.0
3743	0.0	0.0
3744	0.0	0.0
3745	241.0	40.0
3746	23.0	1.0
3747	323.0	0.0
285671	299.0	88.0
285672	906.0	474.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	209.0	3.0
285676	59.0	10.0
3761	5.0	0.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	396.0	243.0
283008	20.0	0.0
3751	58.0	250.0
100873435	0.0	0.0
3752	781.0	141.0
100873434	0.0	0.0
3753	14.0	1.0
100873433	0.0	0.0
3754	102.0	59.0
100873432	0.0	0.0
3755	196.0	31.0
100873439	0.0	0.0
3756	10.0	7.0
100873438	0.0	0.0
3757	139.0	1.0
100873437	0.0	0.0
3758	4.0	0.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	134.0	19.0
3772	57.0	78.0
100861458	0.0	0.0
100861453	13.0	10.0
100861455	0.0	0.0
1107	9286.0	2602.0
1106	4763.0	2058.0
1105	1692.0	1304.0
1104	2848.0	1107.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1003.0	449.0
1101	956.0	14.0
3762	241.0	126.0
100873424	0.0	0.0
3763	2.0	10.0
100128640	127.0	27.0
100873423	0.0	0.0
3764	891.0	316.0
100873422	0.0	0.0
3765	3.0	0.0
100873421	0.0	0.0
3766	7.0	50.0
100873428	0.0	0.0
3767	661.0	63.0
100873427	0.0	0.0
3768	49.0	32.0
1109	0.0	0.0
100873426	0.0	0.0
1108	15282.0	6637.0
3769	24.0	2.0
100873425	0.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	61.0	1.0
100873453	0.0	0.0
3781	48.0	52.0
100873452	1.0	0.0
3782	158.0	157.0
100873451	0.0	0.0
3783	5804.0	387.0
100873450	0.0	0.0
1121	725.0	765.0
100861468	0.0	0.0
1120	103.0	22.0
100861469	0.0	0.0
1118	105.0	4.0
1117	3807.0	28.0
1116	17548.0	366.0
1114	36.0	0.0
1113	69.0	0.0
1112	1680.0	1545.0
1111	532.0	735.0
3773	193.0	0.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	937.0	500.0
100873455	0.0	0.0
3776	1084.0	11.0
100873454	0.0	0.0
3777	229.0	15.0
3778	2624.0	1196.0
3779	2982.0	99.0
100873459	0.0	0.0
1119	1961.0	387.0
100128627	3.0	0.0
100128626	0.0	0.0
3790	1063.0	588.0
100128628	1.0	4.0
3791	2139.0	1279.0
100873442	0.0	0.0
3792	12.0	8.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	3.0
1131	100.0	16.0
1130	791.0	549.0
100861476	0.0	0.0
1129	0.0	0.0
1128	634.0	9.0
1124	173.0	74.0
1123	687.0	952.0
1122	816.0	1051.0
100861470	0.0	0.0
3784	1346.0	430.0
100873446	0.0	0.0
3785	41.0	0.0
100873445	0.0	0.0
3786	115.0	156.0
100873444	0.0	0.0
3787	241.0	0.0
100873443	0.0	0.0
3788	3.0	0.0
100873449	2.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	104.0	21.0
100128618	0.0	0.0
728597	5.0	0.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	32.0	0.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	12.0	0.0
285634	1.0	3.0
1142	0.0	0.0
1141	312.0	3.0
285636	1472.0	843.0
1140	517.0	130.0
728599	3.0	1.0
1139	10.0	9.0
1138	90.0	218.0
1137	0.0	0.0
100861485	0.0	0.0
1136	9.0	16.0
1135	22.0	0.0
1134	14.0	136.0
1133	20.0	7.0
3795	419.0	176.0
100873479	5.0	5.0
3796	923.0	750.0
100873478	0.0	0.0
3797	1179.0	611.0
100873477	0.0	0.0
3798	173.0	35.0
100873476	0.0	0.0
3799	7109.0	5548.0
100873460	0.0	0.0
728586	22.0	2.0
285641	0.0	0.0
100873464	0.0	0.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	4.0	8.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4273.0	857.0
1153	24695.0	5488.0
1152	1307.0	760.0
285647	12.0	2.0
728589	37.0	7.0
728588	35.0	0.0
1149	137.0	5.0
1147	952.0	786.0
1146	0.0	0.0
1145	77.0	23.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	552.0	2393.0
1163	880.0	1168.0
285659	0.0	1.0
1161	346.0	243.0
1160	157.0	37.0
1159	289.0	3.0
1158	7.0	0.0
1157	0.0	0.0
1155	3187.0	1813.0
550643	1342.0	448.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2179.0	2190.0
1175	4188.0	3557.0
285668	8.0	0.0
1174	2616.0	1918.0
1173	17911.0	11202.0
550631	235.0	25.0
100873489	0.0	0.0
283014	5.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	23.0	0.0
1186	3724.0	1267.0
1185	980.0	268.0
1184	273.0	149.0
1183	299.0	30.0
1182	5439.0	3720.0
1181	346.0	75.0
440375	39.0	6.0
1180	56.0	3.0
1179	2.0	0.0
1178	0.0	0.0
283089	5.0	0.0
85495	0.0	0.0
85480	150.0	5.0
283080	0.0	0.0
1198	2141.0	860.0
1197	3.0	2.0
1196	1604.0	536.0
1195	1959.0	1382.0
440366	0.0	0.0
1193	455.0	313.0
1192	16674.0	16601.0
1191	111777.0	11274.0
1188	23.0	0.0
283078	18.0	38.0
85486	14.0	5.0
128615	0.0	0.0
85481	1.0	0.0
128611	29.0	22.0
440396	49.0	11.0
128609	0.0	0.0
128602	15.0	4.0
440387	1.0	0.0
128674	0.0	0.0
128676	2.0	1.0
114026	0.0	0.0
100861402	4.0	10.0
126014	88.0	168.0
440335	1577.0	1293.0
100128690	0.0	0.0
114034	934.0	186.0
126006	93.0	18.0
114036	10.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	60.0	13.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	3.0	3.0
200728	180.0	43.0
440356	6.0	0.0
440354	50.0	12.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	5.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	0.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	5.0	4.0
100861435	0.0	2.0
100861436	0.0	0.0
440345	40.0	12.0
200734	3335.0	1901.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2666.0	1213.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	6.0	3.0
165530	126.0	0.0
85409	405.0	257.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	19.0
106481383	0.0	0.0
85417	27.0	12.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	389.0	58.0
106481389	0.0	0.0
85415	2788.0	1373.0
106481387	0.0	0.0
85413	13.0	0.0
106481388	2.0	0.0
645436	1.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	17.0	3.0
106481380	0.0	0.0
11	0.0	2.0
403341	514.0	206.0
12	334.0	145.0
13	28.0	5.0
14	8062.0	3607.0
15	9.0	1.0
16	7641.0	2627.0
645455	1.0	6.0
18	2716.0	876.0
19	754.0	1114.0
128580	9.0	5.0
85407	122.0	191.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1247.0	612.0
106481395	0.0	0.0
85403	1432.0	1354.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4888.0	732.0
106481390	0.0	0.0
21	3960.0	400.0
106481391	0.0	0.0
22	1235.0	483.0
153571	1182.0	63.0
153572	4709.0	163.0
23	4934.0	2271.0
24	123.0	106.0
25	5976.0	3074.0
26	54.0	4.0
27	1037.0	748.0
28	212.0	16.0
29	5990.0	1625.0
153579	754.0	36.0
728615	0.0	0.0
728614	0.0	0.0
200765	156.0	52.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	32.0	12.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	934.0	361.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1961.0	1143.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	101.0	18.0
106481366	0.0	0.0
30	4635.0	1418.0
106481360	0.0	0.0
31	4459.0	1021.0
32	2155.0	156.0
33	48.0	0.0
34	2210.0	624.0
35	1714.0	184.0
153562	1413.0	952.0
36	4873.0	2013.0
37	17289.0	3282.0
38	2274.0	999.0
440307	9.0	7.0
39	1643.0	1145.0
165545	10.0	5.0
106481369	0.0	0.0
728606	92.0	4.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	15.0	0.0
106481370	0.0	0.0
41	504.0	118.0
106481371	0.0	0.0
43	90.0	37.0
645486	0.0	0.0
47	42191.0	33088.0
48	2626.0	1464.0
49	22.0	2.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	8.0	4.0
106481340	0.0	0.0
85458	1802.0	765.0
106481345	0.0	0.0
85459	362.0	127.0
106481346	0.0	0.0
85456	16468.0	7661.0
442910	0.0	0.0
106481343	0.0	0.0
85457	1988.0	1082.0
442911	0.0	0.0
106481344	0.0	0.0
442912	0.0	0.0
