id	b504f2d6-3354-4b56-9238-bf58fcf4185a	6c60605b-a647-481e-976d-f2945740faf8
285550	1019.0	2284.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	7.0
3640	4.0	22.0
3638	2445.0	7321.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1560.0	4183.0
100873313	0.0	0.0
3632	2235.0	2981.0
100873312	0.0	22.0
100873311	0.0	0.0
3633	1585.0	2556.0
100873318	0.0	1.0
3635	2022.0	6106.0
100873317	0.0	0.0
3636	3724.0	8102.0
100128771	51.0	183.0
100873316	2.0	19.0
100873315	0.0	0.0
100128766	0.0	4.0
3651	0.0	0.0
1	9.0	31.0
2	110569.0	153321.0
100873309	0.0	0.0
100873308	2.0	0.0
3	10.0	60.0
3641	0.0	0.0
100873303	0.0	0.0
9	699.0	31762.0
3642	1.0	221.0
100873302	0.0	3.0
3643	5888.0	45138.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	33.0	44.0
100873307	0.0	0.0
3646	16687.0	45218.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	90.0	208.0
100873304	0.0	1.0
100873332	1.0	3.0
3660	2518.0	5281.0
100873331	0.0	0.0
3661	1294.0	4135.0
100873330	0.0	0.0
285577	4.0	2.0
3662	455.0	1436.0
100128756	0.0	0.0
1000	113.0	226.0
3652	783.0	1846.0
100873336	0.0	5.0
100873335	0.0	0.0
100128750	80.0	82.0
3654	2673.0	7421.0
100873334	0.0	0.0
3655	11726.0	27490.0
100873333	0.0	0.0
3656	366.0	670.0
100873339	0.0	1.0
3658	3339.0	9752.0
100873338	0.0	0.0
3659	4906.0	8468.0
100873337	0.0	0.0
3670	3.0	2.0
100873321	0.0	0.0
3671	13757.0	16779.0
100873320	0.0	0.0
3672	7731.0	17356.0
285588	0.0	4.0
3673	3704.0	11219.0
1011	0.0	0.0
1010	56.0	3.0
1008	12.0	11.0
1007	0.0	0.0
1006	222.0	42.0
1005	0.0	77.0
1004	1039.0	2037.0
1003	10350.0	11410.0
1002	88.0	92.0
1001	4250.0	1147.0
3663	326.0	1671.0
100873325	0.0	0.0
3664	8933.0	25828.0
100873324	0.0	0.0
3665	536.0	1705.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8540.0	9479.0
100873329	0.0	0.0
285590	6987.0	9297.0
100873328	0.0	0.0
3669	266.0	1279.0
100873327	0.0	0.0
1009	2894.0	19054.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	2.0
728477	1.0	6.0
3680	2308.0	3276.0
3681	8.0	56.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	434.0	1262.0
100873353	0.0	0.0
3683	702.0	8502.0
100873352	0.0	1.0
128710	449.0	2178.0
3684	655.0	3213.0
100873351	0.0	0.0
285512	40.0	199.0
1022	1013.0	5099.0
285513	713.0	5083.0
1021	2153.0	5604.0
1020	287.0	943.0
440299	0.0	2.0
1019	2212.0	6167.0
128709	0.0	3.0
1018	6.0	23.0
1017	1427.0	4269.0
1016	4.0	0.0
1015	17.0	95.0
1014	0.0	1.0
1013	2.0	11.0
1012	4259.0	2498.0
116730	65.0	152.0
3674	18.0	23.0
100873358	0.0	0.0
3675	7290.0	3164.0
100873357	0.0	0.0
3676	314.0	4917.0
100128731	4038.0	7365.0
100873356	0.0	0.0
3678	8304.0	12864.0
3679	6389.0	3749.0
100873359	0.0	0.0
728464	62.0	76.0
728463	31.0	13.0
100128725	0.0	0.0
3690	515.0	547.0
3691	13417.0	7443.0
100873343	1.0	0.0
3692	2737.0	8047.0
3693	11518.0	22703.0
285521	695.0	1520.0
100873342	0.0	0.0
3694	2318.0	3355.0
100873341	0.0	0.0
3695	76.0	776.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	67.0	1328.0
1032	328.0	979.0
285525	1.0	3.0
1031	1165.0	1450.0
285527	4696.0	12348.0
1030	1280.0	4913.0
728468	0.0	0.0
440288	99.0	179.0
1029	186.0	500.0
440295	58.0	390.0
1028	3337.0	1209.0
1027	4388.0	9691.0
1026	37080.0	4354.0
1025	2473.0	4361.0
1024	542.0	2376.0
3685	8968.0	31818.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	212.0	2866.0
100873345	0.0	0.0
3688	28596.0	63009.0
100873344	0.0	0.0
3689	1775.0	11390.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	6.0
100873370	0.0	0.0
728498	0.0	12.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	69.0	143.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	75.0	140.0
100873374	0.0	0.0
728495	2.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	26.0
1043	503.0	5835.0
1041	4.0	8.0
1040	1473.0	5374.0
1039	1978.0	4549.0
1038	7.0	22.0
1036	1324.0	1464.0
3696	2450.0	3369.0
3697	8.0	15.0
100873379	0.0	0.0
3698	66.0	55.0
100873378	1.0	8.0
3699	1055.0	173.0
100873377	0.0	0.0
728486	0.0	37.0
100873361	0.0	0.0
105373869	7.0	819.0
100873360	1.0	2.0
285540	128.0	263.0
100128705	0.0	7.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	3.0
100873362	0.0	0.0
100128701	2.0	6.0
1054	3079.0	7194.0
285547	0.0	0.0
1053	2.0	15.0
285548	1.0	1.0
1052	7036.0	1623.0
1051	4668.0	3004.0
728489	4.0	12.0
1050	1717.0	2633.0
100128707	0.0	0.0
1048	3.0	7153.0
1047	156.0	1029.0
1046	0.0	0.0
1045	0.0	3.0
100873369	2.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	7.0
1066	3249.0	1452.0
1063	334.0	20045.0
1062	106.0	4274.0
1061	6.0	7.0
1060	1847.0	3562.0
440253	150.0	240.0
1059	3191.0	5339.0
1058	7.0	651.0
1057	1.0	0.0
85379	8681.0	14807.0
114112	558.0	751.0
1056	21.0	35.0
85377	2156.0	1983.0
85378	1747.0	2288.0
128745	1.0	0.0
85376	7.0	32.0
440248	628.0	957.0
1075	4880.0	17190.0
1074	5.0	29.0
1073	3622.0	3423.0
1072	21726.0	72459.0
1071	276.0	195.0
440243	0.0	0.0
1070	735.0	2196.0
1069	2227.0	7137.0
1068	0.0	0.0
85369	1669.0	3139.0
85366	47.0	29.0
85364	1211.0	2493.0
85365	1815.0	3918.0
85363	1238.0	3372.0
85360	1368.0	828.0
1080	33.0	8.0
85391	0.0	12.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	5.0
153733	519.0	2000.0
1087	5.0	76.0
1086	0.0	0.0
440279	47.0	4.0
1085	8.0	26.0
1084	4.0	10.0
440278	78.0	136.0
1082	1.0	1.0
403294	0.0	0.0
440275	3822.0	7725.0
1081	2.0	0.0
85397	7.0	18.0
85395	291.0	326.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	14.0
440270	272.0	1301.0
1089	5.0	31.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	1.0	15.0
285598	718.0	1259.0
126133	987.0	3340.0
128790	1.0	0.0
126129	167.0	347.0
126123	2.0	1.0
442862	0.0	0.0
126119	350.0	581.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	31.0	48.0
442897	0.0	0.0
442898	1.0	1.0
114134	698.0	1671.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	17.0
100128788	18.0	131.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	35.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	1.0
128756	0.0	2.0
100128782	158.0	143.0
100128781	1.0	6.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	9.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	129.0	75.0
102466616	0.0	0.0
126052	0.0	1.0
151009	37.0	47.0
403227	35.0	0.0
403228	0.0	0.0
138046	3.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	4.0
645572	0.0	0.0
645571	1.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	349.0	180.0
107131122	0.0	1.0
138050	6192.0	13481.0
403219	0.0	0.0
151011	5486.0	6639.0
645587	0.0	7.0
165679	407.0	342.0
126037	19.0	61.0
114049	1868.0	4809.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	6.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	1.0
85315	663.0	1847.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1754.0	5637.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	200.0	712.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	36.0	193.0
645598	0.0	1.0
163007	4.0	10.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	34.0	472.0
106481496	0.0	0.0
114042	3.0	5.0
106481493	0.0	0.0
114043	6.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	100.0	485.0
126017	423.0	2257.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	2.0
85301	909.0	953.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	2.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1200.0	7525.0
106481459	0.0	0.0
26994	8366.0	14044.0
106481457	1.0	11.0
26995	1519.0	3537.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	3.0
403272	0.0	2.0
102466659	0.0	0.0
26999	1113.0	4409.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	0.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1429.0	3352.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	3.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	1482.0	2350.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	385.0	3515.0
106481470	2.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	643.0	3370.0
403255	0.0	3.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	4.0
106481437	0.0	0.0
26974	153.0	190.0
153657	29.0	96.0
106481438	0.0	43.0
106481435	0.0	0.0
26973	1089.0	3669.0
165631	47.0	897.0
106481436	0.0	0.0
