id	dc0592cf-5a96-4aed-86b2-eb7de5492b7c	71c9e9d3-9276-468c-a3a0-053880a75511
440288	208.0	104.0
1029	366.0	1303.0
440295	155.0	128.0
1028	5144.0	163.0
1027	5965.0	8126.0
1026	7781.0	3679.0
1025	3277.0	2015.0
1024	959.0	1981.0
3685	12861.0	18637.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	552.0	1566.0
100873345	1.0	0.0
3688	55774.0	28695.0
100873344	0.0	2.0
3689	2111.0	4371.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	4.0	1.0
100873371	2.0	4.0
100873370	0.0	0.0
728498	18.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	55.0	28.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	168.0	52.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	1.0
1044	9.0	18.0
1043	570.0	235.0
1041	2.0	17.0
1040	1844.0	2696.0
1039	1675.0	5575.0
1038	44.0	11.0
1036	4975.0	111.0
3696	4105.0	4659.0
3697	1.0	0.0
100873379	0.0	0.0
3698	38.0	802.0
100873378	1.0	2.0
3699	114.0	26.0
100873377	0.0	0.0
728486	7.0	2.0
100873361	0.0	0.0
105373869	1.0	1122.0
100873360	0.0	0.0
285540	144.0	95.0
100128705	0.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	4499.0	6531.0
285547	0.0	0.0
1053	5.0	16.0
285548	0.0	22.0
1052	5089.0	1109.0
1051	4549.0	1694.0
728489	6.0	9.0
1050	5194.0	591.0
100128707	0.0	0.0
1048	11.0	234.0
1047	290.0	1257.0
1046	0.0	0.0
1045	2.0	0.0
100873369	5.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	2.0
1066	8557.0	167.0
1063	487.0	7934.0
1062	196.0	1394.0
1061	4.0	0.0
1060	2461.0	1547.0
440253	353.0	96.0
1059	4540.0	3041.0
1058	52.0	646.0
1057	1.0	0.0
85379	10794.0	7263.0
114112	788.0	193.0
1056	28.0	14.0
85377	2013.0	751.0
85378	2223.0	1642.0
128745	0.0	0.0
85376	4.0	20.0
440248	960.0	469.0
1075	9349.0	5589.0
1074	8.0	45.0
1073	5587.0	1046.0
1072	25401.0	67446.0
1071	297.0	38.0
440243	0.0	0.0
1070	1090.0	533.0
1069	3862.0	4667.0
1068	0.0	0.0
85369	2305.0	3168.0
85366	0.0	26.0
85364	1668.0	949.0
85365	2619.0	2869.0
85363	1673.0	1866.0
85360	1322.0	579.0
1080	133.0	1.0
85391	1.0	15.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	14.0	2.0
153733	755.0	1249.0
1087	12.0	26.0
1086	0.0	0.0
440279	27.0	1.0
1085	15.0	0.0
1084	4.0	3.0
440278	166.0	312.0
1082	0.0	0.0
403294	0.0	0.0
440275	6456.0	8221.0
1081	8.0	20.0
85397	8.0	14.0
85395	226.0	608.0
403285	0.0	0.0
1091	1.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	1.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	3.0
440270	1555.0	469.0
1089	3.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	5.0	1.0
285598	665.0	230.0
126133	941.0	823.0
128790	1.0	0.0
126129	172.0	132.0
126123	0.0	0.0
442862	0.0	0.0
126119	379.0	410.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	49.0	11.0
442897	0.0	0.0
442898	1.0	3.0
114134	730.0	714.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	8.0
100128788	73.0	90.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	3.0	1.0
128756	0.0	0.0
100128782	215.0	144.0
100128781	6.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	205.0	7.0
102466616	0.0	0.0
126052	1.0	0.0
151009	93.0	2.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	0.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	625.0	1063.0
107131122	0.0	2.0
138050	9547.0	4667.0
403219	0.0	1.0
151011	7908.0	2014.0
645587	0.0	0.0
165679	291.0	5767.0
126037	35.0	38.0
114049	2739.0	9285.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	638.0	390.0
100033821	0.0	4.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2254.0	3170.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	420.0	383.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	158.0	634.0
645598	2.0	0.0
163007	5.0	0.0
114038	4.0	4.0
645591	0.0	8.0
106481495	1.0	0.0
114041	11.0	311.0
106481496	0.0	0.0
114042	1.0	6.0
106481493	0.0	0.0
114043	12.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	245.0	417.0
126017	625.0	1074.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	3.0
85301	1164.0	1314.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1908.0	4760.0
106481459	0.0	0.0
26994	12458.0	13505.0
106481457	15.0	14.0
26995	2116.0	2326.0
106481458	0.0	0.0
403271	0.0	0.0
26998	4.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	881.0	3151.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	6.0
106481460	7.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1962.0	4868.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	3.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	6947.0	13.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	468.0	469.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1107.0	1452.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	2.0
106481437	0.0	0.0
26974	398.0	364.0
153657	70.0	81.0
106481438	1.0	660.0
106481435	0.0	0.0
26973	1363.0	3147.0
165631	71.0	142.0
106481436	0.0	1.0
26978	18.0	21.0
126075	532.0	601.0
106481439	0.0	0.0
403250	0.0	0.0
126074	235.0	349.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	970.0	1308.0
106481444	10.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	0.0
85358	3509.0	702.0
85354	0.0	0.0
85352	63.0	94.0
403241	0.0	0.0
344462	1.0	7.0
403244	0.0	0.0
403245	0.0	0.0
153642	499.0	503.0
153643	18.0	20.0
403247	0.0	0.0
403248	0.0	0.0
26985	4798.0	6763.0
106481448	0.0	0.0
26986	80224.0	62694.0
126069	201.0	65.0
106481449	0.0	0.0
126068	1031.0	1101.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1337.0	1383.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	2.0	0.0
106481450	0.0	0.0
114088	183.0	207.0
106481455	0.0	0.0
85349	166.0	238.0
106481456	2.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	5.0	6.0
106481454	0.0	1.0
403238	0.0	0.0
85344	6.0	27.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	13.0	16.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	3.0
100873392	5.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	3.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2781.0	3942.0
100873390	0.0	0.0
728556	41.0	91.0
106481419	3.0	0.0
100128817	0.0	0.0
728558	128.0	127.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	557.0	741.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	242.0	374.0
100873384	0.0	0.0
285601	24.0	17.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	3.0	6.0
63910	80.0	233.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	868.0	1346.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	3541.0	2695.0
63904	0.0	0.0
106481430	0.0	0.0
163071	38.0	82.0
63906	662.0	1068.0
106481433	0.0	0.0
63908	976.0	662.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	25.0	94.0
63920	477.0	367.0
63923	478.0	131.0
63922	195.0	888.0
728577	207.0	4.0
63925	1353.0	2344.0
63924	36418.0	5.0
63916	3288.0	5097.0
63917	3847.0	3533.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	5.0
728564	9.0	7.0
285622	0.0	3.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2016.0	2933.0
106481402	0.0	0.0
63931	2589.0	2006.0
106481403	1.0	0.0
63934	776.0	1745.0
728567	1.0	5.0
106481408	0.0	0.0
163088	20.0	4.0
63933	3422.0	5693.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3485.0	2941.0
163087	1047.0	749.0
728568	426.0	1566.0
106481407	16.0	8.0
3704	1196.0	1347.0
3705	10882.0	2454.0
63926	1485.0	930.0
3706	5.0	64.0
63929	1606.0	1922.0
3707	5091.0	2698.0
63928	4.0	0.0
3708	12500.0	3245.0
106481411	0.0	0.0
3709	6327.0	2843.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	34.0	28.0
3702	136.0	146.0
3703	10273.0	15544.0
645506	0.0	2.0
151050	1315.0	518.0
645520	0.0	0.0
63941	931.0	2833.0
63940	1002.0	907.0
63943	306.0	701.0
728517	0.0	0.0
163033	397.0	1189.0
258010	1798.0	2389.0
63947	0.0	0.0
63946	5.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	26733.0	17040.0
100033804	0.0	0.0
3717	2980.0	2421.0
100033805	0.0	0.0
3718	455.0	390.0
63939	1620.0	1514.0
100033806	0.0	0.0
100190799	6.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	155.0	82.0
3710	2358.0	3715.0
3712	5285.0	8792.0
3713	0.0	0.0
3714	2357.0	472.0
63950	3.0	0.0
728505	1.0	2.0
63951	264.0	9.0
100033807	0.0	0.0
728501	46.0	36.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	20973.0	4559.0
100033814	0.0	0.0
3727	16184.0	6052.0
63948	0.0	1.0
100033815	0.0	0.0
222052	2.0	2.0
3728	16158.0	20543.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1755.0	2623.0
151056	294.0	171.0
3725	40284.0	9049.0
645528	3.0	3.0
728532	30.0	34.0
163059	410.0	838.0
728538	1.0	0.0
728537	249.0	77.0
63967	24.0	849.0
3737	35.0	2.0
3738	50.0	39.0
3739	52.0	1.0
645538	0.0	0.0
3730	1442.0	1181.0
3732	2016.0	1465.0
3734	0.0	0.0
3735	8763.0	9282.0
3736	46.0	0.0
63970	57.0	7.0
3750	241.0	149.0
63971	9903.0	2032.0
63974	0.0	0.0
163049	3020.0	5160.0
63973	6.0	0.0
63976	342.0	45.0
222068	6418.0	12295.0
63978	0.0	2.0
63977	674.0	1095.0
63979	1028.0	2478.0
728524	0.0	0.0
3748	645.0	47.0
163051	27.0	33.0
3749	1639.0	197.0
163050	54.0	90.0
3741	56.0	2.0
645548	15.0	24.0
3743	1.0	3.0
3744	0.0	0.0
3745	2613.0	31.0
3746	26.0	8.0
3747	144.0	0.0
285671	1288.0	158.0
285672	2502.0	2228.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	5.0	2.0
285676	96.0	28.0
3761	0.0	0.0
100128657	0.0	0.0
285679	3.0	19.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	757.0	304.0
283008	1.0	1.0
3751	619.0	346.0
100873435	0.0	0.0
3752	2465.0	1469.0
100873434	0.0	0.0
3753	31.0	10.0
100873433	0.0	0.0
3754	12.0	892.0
100873432	0.0	0.0
3755	46.0	2.0
100873439	0.0	0.0
3756	21.0	14.0
100873438	0.0	0.0
3757	46.0	118.0
100873437	0.0	0.0
3758	18.0	4.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	117.0	262.0
3772	111.0	446.0
100861458	0.0	1.0
100861453	21.0	15.0
100861455	0.0	0.0
1107	6409.0	6805.0
1106	7736.0	9689.0
1105	3759.0	5807.0
1104	1080.0	4878.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1708.0	694.0
1101	986.0	2004.0
3762	418.0	274.0
100873424	0.0	0.0
3763	6.0	42.0
100128640	259.0	138.0
100873423	0.0	0.0
3764	2093.0	394.0
100873422	0.0	0.0
3765	1.0	8.0
100873421	2.0	36.0
3766	10.0	15.0
100873428	0.0	0.0
3767	302.0	2113.0
100873427	0.0	0.0
3768	199.0	47.0
1109	0.0	0.0
100873426	0.0	2.0
1108	12988.0	35078.0
3769	10.0	12.0
100873425	3.0	1.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	19.0	43.0
100873453	0.0	0.0
3781	39.0	166.0
100873452	0.0	0.0
3782	590.0	218.0
100873451	0.0	0.0
3783	616.0	1621.0
100873450	0.0	0.0
1121	2104.0	1992.0
100861468	0.0	0.0
1120	249.0	115.0
100861469	0.0	0.0
1118	1233.0	27.0
1117	2497.0	1995.0
1116	8449.0	1789.0
1114	7.0	3.0
1113	17.0	3.0
1112	11960.0	2625.0
1111	272.0	1749.0
3773	719.0	0.0
100873457	2.0	2.0
100873456	0.0	0.0
3775	818.0	3208.0
100873455	0.0	0.0
3776	1312.0	148.0
100873454	0.0	0.0
3777	1839.0	9.0
3778	1996.0	1350.0
3779	1108.0	162.0
100873459	0.0	0.0
1119	1919.0	2239.0
100128627	3.0	0.0
100128626	0.0	0.0
3790	1384.0	5568.0
100128628	8.0	11.0
3791	6239.0	1783.0
100873442	0.0	0.0
3792	23.0	28.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	95.0	32.0
1131	163.0	24.0
1130	5689.0	1196.0
100861476	0.0	1.0
1129	0.0	0.0
1128	85.0	469.0
1124	932.0	2813.0
1123	940.0	665.0
1122	1388.0	1437.0
100861470	0.0	0.0
3784	537.0	519.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	248.0	673.0
100873444	0.0	0.0
3787	35.0	2.0
100873443	0.0	0.0
3788	20.0	6.0
100873449	5.0	6.0
100873448	1.0	0.0
100873447	0.0	2.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	112.0	124.0
100128618	0.0	0.0
728597	4.0	1.0
100128617	6.0	14.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	52.0	118.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	4.0
285634	5.0	4.0
1142	0.0	0.0
1141	108.0	211.0
285636	3272.0	4396.0
1140	634.0	374.0
728599	2.0	2.0
1139	20.0	7.0
1138	47.0	208.0
1137	3.0	1.0
100861485	0.0	0.0
1136	12.0	48.0
1135	1.0	13.0
1134	23.0	347.0
1133	18.0	15.0
3795	141.0	507.0
100873479	11.0	7.0
3796	1827.0	4863.0
100873478	0.0	0.0
3797	970.0	933.0
100873477	2.0	1.0
3798	169.0	32.0
100873476	0.0	0.0
3799	19867.0	24662.0
100873460	0.0	0.0
728586	24.0	31.0
285641	2.0	1.0
100873464	0.0	6.0
100873463	0.0	0.0
100873462	2.0	4.0
285643	0.0	3.0
100128603	3.0	0.0
100873461	0.0	0.0
1154	2061.0	9965.0
1153	22562.0	11456.0
1152	3505.0	236.0
285647	17.0	53.0
728589	36.0	127.0
728588	2.0	9.0
1149	6856.0	3.0
1147	2461.0	4172.0
1146	4.0	4.0
1145	49.0	101.0
1144	2.0	16.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	277.0	2447.0
1163	1456.0	1947.0
285659	0.0	0.0
1161	569.0	713.0
1160	531.0	39.0
1159	175.0	1026.0
1158	3.0	25.0
1157	0.0	0.0
1155	1826.0	4301.0
550643	1478.0	1661.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	3930.0	2323.0
1175	2355.0	6977.0
285668	40.0	0.0
1174	1135.0	5061.0
1173	17203.0	46970.0
550631	122.0	314.0
100873489	0.0	0.0
283014	5.0	12.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	60.0	11.0
1186	2516.0	5159.0
1185	2100.0	730.0
1184	540.0	533.0
1183	810.0	475.0
1182	8377.0	5429.0
1181	201.0	1911.0
440375	18.0	34.0
1180	48.0	5.0
1179	0.0	0.0
1178	11.0	0.0
283089	8.0	6.0
85495	0.0	0.0
85480	337.0	0.0
283080	2.0	0.0
1198	2690.0	3809.0
1197	1.0	1.0
1196	1963.0	2082.0
1195	6488.0	4835.0
440366	2.0	13.0
1193	2320.0	716.0
1192	13667.0	34371.0
1191	51324.0	17046.0
1188	44.0	8.0
283078	642.0	73.0
85486	7.0	12.0
128615	0.0	0.0
85481	1.0	1.0
128611	109.0	80.0
440396	55.0	57.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	5.0	4.0
126014	107.0	537.0
440335	524.0	1614.0
100128690	0.0	0.0
114034	757.0	1943.0
126006	26.0	59.0
114036	77.0	62.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	24.0	76.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	347.0	179.0
440356	10.0	42.0
440354	97.0	131.0
440352	0.0	3.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	7.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	17.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	143.0	147.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	123.0	127.0
200734	4996.0	9762.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	7.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	1.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5812.0	2991.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	7.0	8.0
165530	122.0	9.0
85409	102.0	184.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	1.0
106481383	0.0	4.0
85417	87.0	57.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	268.0	774.0
106481389	0.0	0.0
85415	1604.0	2438.0
106481387	0.0	0.0
85413	29.0	10.0
106481388	5.0	4.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	18.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1525.0	790.0
12	370.0	916.0
13	5.0	0.0
14	4268.0	12486.0
15	8.0	8.0
16	7160.0	11212.0
645455	12.0	10.0
18	1708.0	17523.0
19	10059.0	3195.0
128580	12.0	3.0
85407	130.0	302.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1392.0	1897.0
106481395	0.0	0.0
85403	2155.0	6142.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	3241.0	3048.0
106481390	0.0	0.0
21	2387.0	8650.0
106481391	0.0	0.0
22	2019.0	2159.0
153571	549.0	266.0
153572	3441.0	91.0
23	3748.0	9886.0
24	296.0	145.0
25	6218.0	4491.0
26	30.0	18.0
27	2546.0	3920.0
28	880.0	156.0
29	5351.0	3337.0
153579	6898.0	59.0
728615	0.0	0.0
728614	0.0	0.0
200765	310.0	946.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	33.0	49.0
102466518	1.0	1.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	806.0	767.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3818.0	3529.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	190.0	200.0
106481366	0.0	0.0
30	2424.0	3535.0
106481360	0.0	0.0
31	6218.0	5094.0
32	33116.0	1270.0
33	1426.0	2.0
34	6095.0	4456.0
35	3099.0	251.0
153562	1151.0	1643.0
36	8240.0	6982.0
37	15917.0	5976.0
38	8400.0	4225.0
440307	7.0	22.0
39	899.0	3055.0
165545	9.0	60.0
106481369	0.0	0.0
728606	217.0	304.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	1.0
40	14.0	138.0
106481370	0.0	0.0
41	176.0	1351.0
106481371	0.0	0.0
43	34.0	44.0
645486	0.0	0.0
47	8792.0	16030.0
48	23697.0	3001.0
49	34.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	6.0	7.0
106481340	0.0	0.0
